プリンセスワルツ
分離, 飛沫 白 Inori.wav
エルディ＝アーク(命中), 超斬撃
インフェルノ(準備), オーラ上昇 赤;粒子集中 赤 Charge(High).wav;光巨大剣 赤
インフェルノ(攻撃), 光巨大剣突撃 赤;竜炎;透明化 対象ユニットＩＤ;@戦闘アニメ_転移 -.wav
インフェルノ(命中), 超ビーム 赤 Breath.wav
無双鉄拳(準備), オーラ上昇 橙;粒子集中 橙 Charge(High).wav;光巨大剣 橙
無双鉄拳(攻撃), 光巨大剣突撃 橙
無双鉄拳(命中), 超打 Explode(Nuclear).wav
ラブソリュートゼロ(準備), オーラ上昇 青;粒子集中 青 Charge(High).wav;光巨大剣 青
ラブソリュートゼロ(攻撃), 光巨大剣突撃 青;斬撃;超ビーム 青 Storm.wav
ラブソリュートゼロ(命中), 超ビーム 青 Transform.wav
ナックルブレイカー(準備), オーラ上昇 黒;粒子集中 黒 Charge(High).wav;光巨大剣 黒
ナックルブレイカー(攻撃), 光巨大剣突撃 黒;なぎ払い
ナックルブレイカー(命中), 大刺突 黒 Explode(Nuclear).wav
一刀両断(準備), オーラ上昇 紫;粒子集中 紫 Charge(High).wav;光巨大剣 紫
一刀両断(攻撃), 光巨大剣突撃 紫;振り下ろし
一刀両断(命中), 唐竹割り 紫 Explode(Nuclear).wav
ペルペテュエル, ランス
ＥＣＬＡＩＲ(準備), 粒子集中 赤
ＥＣＬＡＩＲ(攻撃), 振る武器突撃 -.bmp;透明化 対象ユニットＩＤ;@戦闘アニメ_転移 Bazooka.wav
ＥＣＬＡＩＲ(命中), 大刺突 赤 Shock(Low).wav
ＡＬＬＵＭＡＧＥ(準備), 粒子集中 赤
ＡＬＬＵＭＡＧＥ(攻撃), スーパータックル 赤
ＡＬＬＵＭＡＧＥ(命中), スーパータックル 赤 Explode(Far).wav
ゲネイオン(準備), オーラ上昇 赤
ゲネイオン(攻撃), 竜炎;透明化 対象ユニットＩＤ;@戦闘アニメ_転移 -.wav
ゲネイオン(命中), 超ビーム 赤 Breath.wav
鉄拳(攻撃), 振る武器突撃 -.bmp
鉄拳(命中), @戦闘アニメ_格闘攻撃;格闘
鉄拳(命中), @戦闘アニメ_打突攻撃;打撃
鉄拳(命中), @戦闘アニメ_アッパー攻撃;アッパー
鉄拳(命中), @戦闘アニメ_格闘攻撃;連打
重力場(準備), 粒子集中 黒
重力場(攻撃), 魔法放射 黒
重力場(命中), ダメージ 黒 Shock(Low).wav
正拳突き(準備), 粒子集中 橙
正拳突き(攻撃), スーパーパンチ 橙
正拳突き(命中), 強打 Warship.wav
至宝絢爛(準備), 変形 PW_ShikikaguraSuzushiro(Shihou)U.bmp;オーラ上昇 橙
至宝絢爛(攻撃), @戦闘アニメ_光噴出準備 橙 Earthquake.wav;スーパーパンチ 橙
至宝絢爛(命中), 超打 Explode(Nuclear).wav;@戦闘アニメ_変形準備 PW_ShikikaguraSuzushiroU.bmp -.wav
トゥインクルフォーチュン(準備), 射撃武器 \Anime\EFFECT_PW_TFortune.bmp
トゥインクルフォーチュン(攻撃), 光弾銃 青 \Anime\EFFECT_PW_TFortune.bmp
トゥインクルフォーチュン(命中), ダメージ 青 Explode.wav
アイシクルブリッツ(準備), 射撃武器 \Anime\EFFECT_PW_TFortune.bmp
アイシクルブリッツ(攻撃), 光弾銃 白 \Anime\EFFECT_PW_TFortune.bmp
アイシクルブリッツ(命中), 凍結 Transform.wav
ウィップブリッツ(準備), ビームソード 青
ウィップブリッツ(攻撃), 振る武器突撃 -.bmp;振り上げ Swing(2).wav
ウィップブリッツ(命中), 連打 青 Whip.wav
カノンブリッツ(準備), 粒子集中 青;射撃武器 \Anime\EFFECT_PW_TFortune.bmp
カノンブリッツ(攻撃), 竜弾銃 青 \Anime\EFFECT_PW_TFortune.bmp Bazooka.wav
カノンブリッツ(命中), 飛沫 青 Splash.wav
アブソリュートゼロ(準備), オーラ上昇 青
アブソリュートゼロ(攻撃), 超ビーム 青 Storm.wav
アブソリュートゼロ(命中), 超ビーム 青 Transform.wav
インフィニティチェイン(準備), オーラ上昇 青
インフィニティチェイン(攻撃), ＭＡＰビーム 青 Inori.wav
インフィニティチェイン(命中), 連打 青 BreakOff.wav
シールド防御(シールドスカート), シールド防御 \Anime\EFFECT_PW_ShieldSkirt.bmp TransForm.wav
アンカーショット(準備), Reload.wav
アンカーショット(攻撃), 小型ミサイル 2
アンカーショット(命中), ダメージ 黒 BreakOff.wav
ゼーバルシュ(準備), Reload.wav
ゼーバルシュ(攻撃), 小型ミサイル 4
ゼーバルシュ(命中), 連続爆発
ヴァルフィッシュ(準備), 振る武器 \Anime\EFFECT_PW_Walfisch01.bmp 48 Reload.wav
ヴァルフィッシュ(攻撃), 斬撃
ヴァルフィッシュ(命中), 強打 Crash.wav
リーゼンファオスト(準備), 放電;@戦闘アニメ_ヴァルフィッシュ(開放)
リーゼンファオスト(攻撃), 振る武器突撃 \Anime\EFFECT_PW_Walfisch09.bmp 48;振り下ろし
リーゼンファオスト(命中), 超打 Explode(Nuclear).wav
大戟, 方天戟(２)
一閃(準備), オーラ上昇 紫;方天戟(２)
一閃(攻撃), 振る武器突撃 -.bmp;なぎ払い
一閃(命中), 超斬撃
牙(攻撃), 振る武器突撃 -.bmp
牙(命中), 噛み付き
長槍, ランス
突進(攻撃), 振る武器突撃 -.bmp
突進(命中), 強打
正拳(攻撃), スーパーパンチ 黒
正拳(命中), 強打 Warship.wav
針(攻撃), 振る武器突撃 -.bmp
針(命中), 連突
鎌(攻撃), 振る武器突撃 -.bmp;なぎ払い
鎌(命中), なぎ払い
触手(攻撃), 触手 赤
触手(命中), 触手 赤
強酸(攻撃), 光弾 青 Whiz.wav
強酸(命中), 飛沫 青 Splash.wav
光撃(準備), 粒子集中 黄
光撃(攻撃), 光弾 黄 BeamShot.wav
光撃(命中), ダメージ 黄 Explode.wav
豪腕(攻撃), 振る武器突撃 -.bmp;斬撃
豪腕(命中), 超打
炎の槍(準備), 粒子集中 赤
炎の槍(攻撃), スーパータックル 赤
炎の槍(命中), スーパータックル 赤 Explode(Far).wav
光線(準備), 粒子集中 黄
光線(攻撃), 持続ビーム 黄 BeamShot.wav
光線(命中), ダメージ 黄 Explode.wav
巨剣(準備), 巨大剣
巨剣(攻撃), 巨大剣突撃
巨剣(命中), 超斬撃
シャイニングブリッツ(準備), 射撃武器 \Anime\EFFECT_PW_TFortune.bmp
シャイニングブリッツ(攻撃), 光弾銃 黄 \Anime\EFFECT_PW_TFortune.bmp
シャイニングブリッツ(命中), ダメージ 黄 Explode.wav
リーゼンファオスト・Ｅ(準備), 放電;@戦闘アニメ_ヴァルフィシュ(開放)
リーゼンファオスト・Ｅ(攻撃), 振る武器突撃 \Anime\EFFECT_PW_Walfisch09.bmp 48;振り下ろし
リーゼンファオスト・Ｅ(命中), 超打 Explode(Nuclear).wav
至宝絢爛(コピー)(準備), オーラ上昇 橙
至宝絢爛(コピー)(攻撃), @戦闘アニメ_光噴出準備 橙 Earthquake.wav;スーパーパンチ 橙
至宝絢爛(コピー)(命中), 超打 Explode(Nuclear).wav


