天のゼオライマー
エネルギー波, 中ビーム 橙
Ｊカイザー<最大出力>(攻撃), ＭＡＰビーム 青
Ｊカイザー<最大出力>(命中), 超ビーム 青

地のディノディロス
小口径ビーム, ニードルレーザー 黄
小型ミサイル, 小型ミサイル 3
大口径ビーム, 中ビーム 黄
腕部ビーム接射(攻撃), タックル
腕部ビーム接射(命中), 打突;中ビーム 黄
大型ミサイル, ミサイル
マグマ層活性化(準備), 決め文字 地 赤 Sword.wav
マグマ層活性化(攻撃), ＭＡＰ光噴出 赤 FastGun.wav
マグマ層活性化(命中), アッパー Shock(Low).wav

山のバーストン
ビームキャノン, ２連小ビーム 緑
ミサイルランチャー, ミサイル 10
核ミサイル(準備), 決め文字 山 赤 Sword.wav
核ミサイル, ＭＡＰスーパーミサイル

雷のオムザック
ビーム, 中ビーム 赤
プロトンサンダー(準備), 決め文字 雷 赤 Sword.wav
プロトンサンダー(攻撃), @戦闘アニメ_放電準備 Charge.wav;ＭＡＰフラッシュ 白 BeamCannon.wav
プロトンサンダー(命中), オーラ 白 Explode(Far).wav

グレートゼオライマー
メガサーチャービーム, ２連中ビーム 青
格闘(攻撃), タックル Breath.wav
格闘(命中), 強打 Shock(Low).wav
マグラッシュ(攻撃), 光球 赤 BeamGun.wav
マグラッシュ(命中), 大爆発
マグマ層活性化(準備), 決め文字 地 赤 Sword.wav
マグマ層活性化(攻撃), ＭＡＰ光噴出 赤 FastGun.wav
マグマ層活性化(命中), アッパー Shock(Low).wav
デッド・ロンフーン(準備), 決め文字 風 赤 Sword.wav
デッド・ロンフーン(攻撃), 旋風 白
デッド・ロンフーン(命中), 竜巻 Saber.wav
次元連結砲(攻撃), 発光 橙 BeamSaber.wav 対象ユニットＩＤ
次元連結砲(命中), 連続爆発
核ミサイル(準備), 決め文字 山 赤 Sword.wav
核ミサイル, ＭＡＰスーパーミサイル
Ｊカイザー(準備), 決め文字 月 赤 Sword.wav
Ｊカイザー(攻撃), 超ビーム 青
Ｊカイザー(命中), 超ビーム 青
プロトンサンダー(準備), 決め文字 雷 赤 Sword.wav
プロトンサンダー(攻撃), @戦闘アニメ_放電準備 Charge.wav;ＭＡＰフラッシュ 白 BeamCannon.wav
プロトンサンダー(命中), オーラ 白 Explode(Far).wav
トゥインロード(準備), 決め文字 火 赤 Sword.wav;決め文字 水 赤 Sword.wav
トゥインロード(攻撃), 分身斬撃;実弾発射 Laser\EFFECT_NeedleLaserHitA(Red)05.bmp 48 LaserGun.wav 残像;２連中ビーム 青;光球 赤 BeamGun.wav
トゥインロード(命中), 超爆発
烈メイオウ(準備), 決め文字 烈 赤 Sword.wav
烈メイオウ(攻撃), ＭＡＰフラッシュ 橙 Boot.wav;ＭＡＰオーラ 橙 Bazooka.wav
烈メイオウ(命中), オーラ 橙 Explode(Nuclear).wav
分身(空間跳躍), 防御テレポート１ 空間跳躍 64 128 黄 BeamShot.wav
テレポート, テレポート１ BeamShot.wav 黄

ハウドラゴン
メガサーチャービーム, ２連中ビーム 青
格闘(攻撃), タックル Breath.wav
格闘(命中), 強打 Shock(Low).wav
マグラッシュ(攻撃), 光球 赤 BeamGun.wav
マグラッシュ(命中), 大爆発
マグマ層活性化(準備), 決め文字 地 赤 Sword.wav
マグマ層活性化(攻撃), ＭＡＰ光噴出 赤 FastGun.wav
マグマ層活性化(命中), アッパー Shock(Low).wav
デッド・ロンフーン(準備), 決め文字 風 赤 Sword.wav
デッド・ロンフーン(攻撃), 旋風 白
デッド・ロンフーン(命中), 竜巻 Saber.wav
核ミサイル(準備), 決め文字 山 赤 Sword.wav
核ミサイル, ＭＡＰスーパーミサイル
Ｊカイザー(準備), 決め文字 月 赤 Sword.wav
Ｊカイザー(攻撃), 超ビーム 青
Ｊカイザー(命中), 超ビーム 青
オメガプロトンサンダー(準備), 決め文字 雷 赤 Sword.wav
オメガプロトンサンダー(攻撃), @戦闘アニメ_放電準備 Charge.wav;ＭＡＰフラッシュ 白 BeamCannon.wav
オメガプロトンサンダー(命中), オーラ 白 Explode(Far).wav
トゥインロード(準備), 決め文字 火 赤 Sword.wav;決め文字 水 赤 Sword.wav
トゥインロード(攻撃), 実弾発射 Laser\EFFECT_NeedleLaserHitA(Red)05.bmp 48 LaserGun.wav 残像;中ビーム 青;光球 赤 BeamGun.wav
トゥインロード(命中), 超爆発
最強合体破邪ビーム, 虹色超ビーム
