
城戸灰都
断裂の免罪符(準備), 振る武器転送 武器画像=妖刀(２) BeamSaber.wav
連鎖のネファリウス(命中), 斬撃乱舞;「最後だ……絶っ！」;分身斬撃
境界のディスタント(攻撃), 急降下
境界のディスタント(命中), 包囲ビーム 白 Slash.wav;包囲ビーム 白 Slash.wav;包囲ビーム 白 Slash.wav;「境界のディスタント！」;@戦闘アニメ_フェイスアップ攻撃;点打 黒 Slash.wav

ユズリハ(ＵＮＩ)
エルボードロップ(準備), -
エルボードロップ(攻撃), 格闘
エルボードロップ(命中), 打撃
菖蒲刀・神路誉(準備), 振る武器 武器画像=野太刀(２)(鞘)
菖蒲刀・神路誉, 斬撃
双月一刀流：桐(攻撃), なぎ払い Sword.wav
双月一刀流：桐(命中), なぎ払い Saber.wav
双月一刀流：八重一輪(攻撃), キック
双月一刀流：八重一輪(命中), 強打;連斬撃
双月一刀流：咲(攻撃), なぎ払い Sword.wav
双月一刀流：咲(命中), なぎ払い Saber.wav
双月一刀流奥義：華生(攻撃), なぎ払い;斬撃
双月一刀流奥義：華生(命中), 決め文字 蕾 桃 Slash.wav;「悪！」;瞬間変形 Impact\EFFECT_ImpactBall(Pink)02.bmp;決め文字 萌 桃;「悪！ 即！」;決め文字 咲 桃;「悪！ 即！ ざぁーん！」;瞬間変形;決め文字 散 桃 Slash(4).wav
双月一刀流秘奥義：命紅(攻撃), 振る武器突撃 武器画像=野太刀(２)(鞘) -.wav
双月一刀流秘奥義：命紅(命中), 旋回光弾 桃 Whiz.wav;球体圧縮 桃 -.wav;瞬間変形 Impact\EFFECT_ImpactBall(Pink)02.bmp 反映;「秘奥義……命紅！！」;フラッシュ 桃 Sword.wav;瞬間変形;超斬撃 赤 -.wav

ヒルダ(ＵＮＩ)
黒の衣(攻撃), なぎ払い BeamSaber.wav
黒の衣(命中), ビームサーベル 黒
コンデンスグルーム(攻撃), 発光 黒 Bow.wav
コンデンスグルーム(命中), 刺突
インタフェアランス(攻撃), 大ビーム 黒 Whiz.wav
インタフェアランス(命中), 大刺突 黒
フォールンペイン(攻撃), 光打ち下ろし 黒 Whiz.wav
フォールンペイン(命中), 光噴出 黒 Inori.wav
ネールトーレント(攻撃), ３連スラッシュビーム 黒 MicroMissile.wav
ネールトーレント(命中), 連突
レバナンスピラー(攻撃), 振り上げ BeamSaber.wav
レバナンスピラー(命中), アッパー Stab.wav
スキューア(攻撃), 実弾発射 武器画像=光剣２(黒) Beam2.wav
スキューア(命中), 刺突
アンチディスパーシヴ(攻撃), １ＷＡＹ射出;２連光弾 黒 Beamvalcan.wav
アンチディスパーシヴ(命中), 飛沫 黒 Stab.wav;飛沫 黒 Stab.wav
インペイルメント(攻撃), デフォルト Interference.wav
インペイルメント(命中), 「んっふっふっふ……あーっはっはっは！！」;オールレンジ Stab.wav
イン・ザ・ダークネス(攻撃), デフォルト Interference.wav
イン・ザ・ダークネス(命中), オーラ上昇 白 Cannon(4Shot).wav;球体圧縮 白

エルトナム(ＵＮＩ)
エーテライト・グランド(攻撃), なぎ払い;実弾発射 Laser\EFFECT_NeedleLaserHitA(White)01.bmp -.wav 残像
エーテライト・グランド(命中), ダメージ 白 Whip.wav
ホローポイント(準備), ピストル
ホローポイント(攻撃), ピストル
ホローポイント(命中), 超打 Explode.wav
エーテライト・エア, アッパー
スライド・エア(攻撃), ジャンプ
スライド・エア(命中), ブレーンバスター
カッティング・シンク(攻撃), タックル
カッティング・シンク(命中), 強打
バレルレプリカ(準備), ピストル
バレルレプリカ(攻撃), バスタービームランチャー 桃 武器画像=ピストル 32
バレルレプリカ(命中), バスタービームランチャー 桃
トライヘルメス・Ｂ(攻撃), 変形 UNI_HermesU.bmp WarShip.wav
トライヘルメス・Ｂ(命中), @戦闘アニメ_粒子集中準備 白 Charge(High).wav;オーラ上昇 赤 FastGun.wav
トライヘルメス・Ｂ(解説), $(ユニット)はトライヘルメス・ブラックランドで攻撃をかけた。

