
# ＳＲＣ開発センター配布の効果音ファイルをＤＬしておくと吉です。

セブン＝フォートレス
ヴァスクラッフ, Swing.wav
光となれ(準備), Charge.wav
光となれ(命中), 5;Sword.wav;5;Crash.wav;Charge(long).wav
聖なる光の槍(準備), Charge(High).wav
聖なる光の槍, Beam.wav
聖なる光の槍(命中), Explode(Far).wav
立ちのぼる火柱(命中), Fire.wav
全てを貫く右腕, Bazzoka.wav
全てを貫く右腕(命中), Explode.wav
漆黒のつぶて, 1;Whiz.wav;1;Whiz.wav;1;Whiz.wav;1;Whiz.wav;Whiz.wav
握られた心臓, Glass.wav
握られた心臓(命中), BreakOff.wav
冥界より来たれ、負の炎よ, Snap.wav
冥界より来たれ、負の炎よ(命中), Fire.wav
我が手に漆黒の鎌, BeamSaber.wav
我が手に漆黒の鎌(命中), Saber.wav
黒き天使の刃(準備), Fold.wav
黒き天使の刃, -
色なき天使の翼(準備), Wind.wav
色なき天使の翼, -
三大天使召喚(準備), -
三大天使召喚, FlyBy(High).wav
三大天使召喚(命中), -
海癒, Bubble.wav
影跳躍, Whiz.wav
大地の恵み, Sharara.wav
攻撃無効化(葉乱陣), Fold.wav
攻撃無効化(聖光防壁), BeamCoat.wav
攻撃無効化(散らされし力), BeamCoat.wav
# 特殊能力
攻撃無効化(絶対魔法防御), BeamCoat.wav
# 魔王達
# エディンヴィエ
魔王の咆哮【単体】(準備), -
魔王の咆哮【単体】(攻撃), -
魔王の咆哮【単体】(命中), -.wav
魔王の咆哮【全体】(準備), -
魔王の咆哮【全体】(攻撃), Interference.wav
魔王の咆哮【全体】(命中), -.wav
# アイセン
死の接触(準備), -
死の接触(攻撃), chaff.wav 
死の接触(命中), Slash.wav
# ザグラ＝ドゥム
魔性瘴気(準備), -
魔性瘴気(攻撃), Storm.wav
魔性瘴気(命中), Storm.wav
腐食(準備), -
腐食(攻撃), Storm.wav
腐食(命中), Bubble.wav 
# 霊王イクツェル
霊魔攻撃(攻撃), Cannon.wav
霊魔攻撃(命中), Cannon.wav
霊物攻撃(攻撃), Cannon.wav
霊物攻撃(命中), Cannon.wav
# 精霊超獣
超触手(攻撃), Whiz.wav
超触手(命中), Whip.wav
追跡光弾(準備), -
追跡光弾(攻撃), BeamShot.wav
追跡光弾(命中), BeamShot.wav
超光弾, BeamShot.wav
# 魔物たち
魔の虹色光線, BeamShot.wav
腕の剣, Slash.wav
ランス・シュート(攻撃), Swing.wav
ランス・シュート(命中), Slash.wav
# 天井口
伸びる舌(攻撃), Whiz.wav
伸びる舌(命中), Whip.wav
謎のレーザー, BeamShot.wav
説法(準備), -
説法(攻撃), Inori.wav
説法(命中), -
生首投げ(準備), -
生首投げ(攻撃), Swing.wav
生首投げ(準備), Crash.wav
# フレイムゴーレム
溶岩球(準備), -
溶岩球(攻撃), Swing.wav
溶岩球(準備), Crash.wav
# ナトリウムゴーレム
自動反撃(反応爆発), Storm.wav
自爆(反応爆発), Explode(Long).wav
# 七魔剣
ニムリング, Swing.wav
ニムリング(命中), Slash.wav
ソルリング, Swing.wav
ソルリング(命中), Explode(Small).wav
ゼルリング, Swing.wav
ゼルリング(命中), Slash.wav
火炎弾, Fire.wav
火炎弾(命中), Fire.wav
フォウリング, Swing.wav
フォウリング(命中), Slash.wav
キルリング, Swing.wav
阻止(魔法力吸収), BeamCoat.wav
キルリング(命中), Slash.wav
ゾルリング, Swing.wav
ゾルリング(命中), Slash.wav
ジムリング, Swing.wav
ジムリング(命中), Slash.wav
反射(攻撃対象変更), BeamCoat.wav
# イカアーマー
蝕腕, Swing.wav
蝕腕(命中), Crash.wav
烏賊音速斬, Storm.wav
# エビアーマー
重力弾, Cannon.wav
粘液弾,  Cannon.wav
聖光弾, Cannon.wav
爆炎弾, Cannon.wav
# カイアーマー
レインフォールフォグ, Wind.wav
シェルフィッシュドリル, Drill.wav
シェルフィッシュドリル(命中), Drill.wav
