
セブン＝フォートレス
## 武器 ##
ブロードソード, 剣
闇巨人召喚(攻撃), 六芒星 黒;4;Roar.wav
闇巨人召喚(命中), 打撃 Punch.wav
エターナル・フレイム(準備), 魔法集中 赤 Snap(E).wav
エターナル・フレイム(攻撃), 炎投射 赤
エターナル・フレイム(命中), 魔法集中 赤 大 -.wav;光噴出 赤 MicroMissile.wav
ダークネス・Ｅ, ＭＡＰブラックホール
ディメンジョン・Ｄ, ＭＡＰオーラ 白 Interference.wav
死者召喚(攻撃), 六芒星 黒;4;Growl.wav
死者召喚(命中), 打撃 Punch.wav
## 属性魔法・空 ##
聖光爆烈(攻撃), 火炎弾 白 Beam.wav
聖光爆烈(命中), 爆発
光滅羅輪(攻撃), 実弾発射 Anime\Common\EFFECT_Circle(White)01.bmp Whiz.wav
光滅羅輪(命中), クリティカル斬撃 Drill.wav
熱光爆烈(攻撃), 光球 白 Beam.wav
熱光爆烈(命中), 爆発
光滅線, 特殊光線 白
光転疾走, ＭＡＰ移動タックル 白
雷爆光矢(攻撃), 破壊光線 Thunder.wav
雷爆光矢(命中), 連続爆発 3
雷王砲(攻撃), 球電
雷王砲(命中), 球電
孔竜雷撃(攻撃), 破壊光線 Thunder.wav
孔竜雷撃(命中), 破壊光線 Thunder.wav
烈空聖雷(準備), 粒子集中 白
烈空聖雷(攻撃), 光打ち上げ 白 Whiz.wav;2;音再生 Thunder.wav;1;White.bmp 480 480;Clear
烈空聖雷(命中), @戦闘アニメ_落雷攻撃 相手ユニットＩＤ;1;White.bmp 480 480;Clear
聖光疾矢(攻撃), ２連小ビーム 白;小ビーム 白
聖光疾矢(命中), ２連小ビーム 白;小ビーム 白
激滅雷光(攻撃), 破壊光線 Thunder.wav
激滅雷光(命中), 破壊光線 Thunder.wav;球電
衝撃空砲(攻撃), 旋風 白 AntiAirMissile.wav
衝撃空砲(命中), 大刺突 WarShip.wav
雷神王結界陣(準備), 粒子集中 白
雷神王結界陣(攻撃), 魔法放射 白;2;センタリング 相手ユニットＩＤ;1;_
決め画像 Common\EFFECT_LightBall01.bmp BeamSaber.wav 相手ユニットＩＤ
雷神王結界陣(命中), 大放電
鳳凰乱舞(準備), -
鳳凰乱舞(攻撃), 波動放射 白 Dolphin.wav
鳳凰乱舞(命中), 大爆発
神獄気斬(攻撃), 魔法放射 白 Snap(E).wav
神獄気斬(命中), 竜巻 Storm.wav;クリティカル斬撃
超光爆炸(準備), 粒子集中 白 Charge.wav
超光爆炸(攻撃), 必殺光線 白 LaserGun.wav
超光爆炸(命中), 必殺光線 白 LaserGun.wav;超爆発
七色光弾(準備), 五芒星 白 Whiz.wav
七色光弾(攻撃), ＭＡＰ気弾 Explode(Long).wav;ＭＡＰフラッシュ Explode(Nuclear).wav
七色光弾(命中), -
エアドラゴン(準備), 魔法陣 白;4;音再生 Roar.wav
エアドラゴン(攻撃), 旋風 白 Storm.wav
エアドラゴン(命中), 旋風 白
## 属性魔法・炎 ##
撃炎弾(攻撃), 火炎弾 赤 Cannon.wav
撃炎弾(命中), 炎 赤
閃光火矢(攻撃), 火炎弾 赤 Cannon.wav
閃光火矢(命中), 爆発
蒼炎爆烈(攻撃), 火炎弾 青 Cannon.wav
蒼炎爆烈(命中), Explode.wav;1;@戦闘アニメ_オーラ上昇準備 青 Fire.wav 相手ユニットＩＤ
爆裂光矢(攻撃), ＭＡＰ火炎弾 赤 Cannon.wav
爆裂光矢(命中), 爆発
暴爆跳弾(準備), オーラ上昇 赤 Fire.wav
暴爆跳弾(攻撃), キャノン砲 4
暴爆跳弾(命中), 連続爆発 4
百竜炎覇(準備), 周囲回転 Fire\EFFECT_Fire(Red)02.bmp 32 Fire.wav 発光 3
百竜炎覇(攻撃), ＭＡＰオーラ 赤 MicroMissile.wav
百竜炎覇(命中), 超爆発
爆炎衝還(準備), 魔法集中 赤 Snap(E).wav
爆炎衝還(攻撃), 炎投射 赤
爆炎衝還(命中), 魔法集中 赤 大 -.wav;光噴出 赤 MicroMissile.wav
## 属性魔法・森 ##
葉刃嵐刃(攻撃), 木の葉乱舞 Wind.wav
葉刃嵐刃(命中), 斬撃
葉斬舞刃(準備), 木の葉乱舞 Storm.wav
葉斬舞刃(攻撃), 旋風 緑 Storm.wav
葉斬舞刃(命中), 連斬撃;連斬撃;斬撃
銀葉百裂刃(準備), 周囲回転 Anime\Common\EFFECT_Particle(White)01.bmp 32 Whiz.wav
銀葉百裂刃(攻撃), 魔法集中 白 Whiz.wav;旋風 白 Storm.wav
銀葉百裂刃(命中), 旋風 白 Storm.wav;魔法集中 白 大 -.wav;クリティカル斬撃;超斬撃 -.wav
林根天翔(攻撃), 魔法放射 緑;2;センタリング 相手ユニットＩＤ Shock(Low).wav
林根天翔(命中), 斬撃 Slash(2).wav
## 属性魔法・海 ##
鋼水破弾(攻撃), 気弾 BeamShot.wav
鋼水破弾(命中), 飛沫 青 Splash.wav
水斬円盤(攻撃), 光球 青 Whiz.wav
水斬円盤(命中), 斬撃
早水鋭槍(攻撃), 中ビーム 青 Beam.wav
早水鋭槍(命中), 中ビーム 青 Stab.wav;飛沫 青 Splash.wav
水竜爆降(攻撃), 魔法放射 青 大 AntiShipMissile.wav
水竜爆降(命中), 魔法集中 青 大 MicroMissile.wav;飛沫 青 -.wav
## 属性魔法・森＆海 ##
森海双爆光(森)(準備), 粒子集中 緑;粒子集中 青 Partner(1)
森海双爆光(森)(攻撃), 中ビーム 緑;中ビーム 青 Partner(1)
森海双爆光(森)(命中), 中ビーム 緑;中ビーム 青 Partner(1);連続爆発 3;大爆発
森海双爆光(海)(準備), 粒子集中 青;粒子集中 緑 Partner(1)
森海双爆光(海)(攻撃), 中ビーム 青;中ビーム 緑 Partner(1)
森海双爆光(海)(命中), 中ビーム 青;中ビーム 緑 Partner(1);連続爆発 3;大爆発
## 属性魔法・闇 ##
腐沼召喚, ＭＡＰブラックホール
腐沼召喚(命中), -
腐沼召喚(クリティカル), @戦闘アニメ_重力弾命中 Fold.wav 相手ユニットＩＤ;捕縛
魔獣咆哮, 音波 Growl.wav
魔獣咆哮(命中), -
暗指光矢(攻撃), 小ビーム 黒 Beam.wav
暗指光矢(命中), 小ビーム 黒 BeamSaber.wav
暗黒爆烈(攻撃), 重力弾
暗黒爆烈(命中), 魔法放射 黒 Explode.wav
暗黒魔矢(攻撃), 小ビーム 黒 Beam.wav
暗黒魔矢(命中), 小ビーム 黒 BeamSaber.wav
精崩心壊(攻撃), 音波 Hittyuu.wav
精崩心壊(命中), 音波 Hittyuu.wav
暗黒爆針(攻撃), @戦闘アニメ_画像前面発射攻撃 Common\EFFECT_GravityBall01.bmp Whiz.wav 1
暗黒爆針(命中), ニードルレーザー連射 黒 Stab.wav
闇手斬(準備), 粒子集中 黒 Whiz.wav
闇手斬(攻撃), 黒斬撃 BeamSaber.wav
闇手斬(命中), 黒斬撃 BeamSaver.wav
冥還爆球(攻撃), 拡散ビーム 黒 Beam.wav
冥還爆球(命中), 連続爆発 4
闇炎滅絶(攻撃), 炎投射 黒 Whiz.wav
闇炎滅絶(命中), 光噴出 黒 Fire.wav
獄炎滅殺(攻撃), 炎投射 黒 Whiz.wav
獄炎滅殺(命中), 光噴出 黒 Fire.wav
獄黒炎(準備), オーラ上昇 黒 Fire.wav
獄黒炎(攻撃), 火炎弾 黒 Whiz.wav
獄黒炎(命中), 光噴出 黒 Fire.wav
鋭闇刺(攻撃), 魔法放射 黒 Whiz.wav
鋭闇刺(命中), 小ビーム 黒 Stab.wav ランダム方向;小ビーム 黒 Stab.wav ランダム方向;小ビーム 黒 Stab.wav ランダム方向
蟹光線(準備), 音再生 Reload.wav;1;粒子集中 黒 Charge.wav
蟹光線(攻撃), ＭＡＰビーム 白
蟹光線(命中), 超爆発
死気波動(攻撃), 火炎弾 黒 Bazooka.wav
死気波動(命中), 超打 Crash.wav;飛沫 黒 -.wav
魔威球珠(攻撃), 重力弾
魔威球珠(命中), 光噴出 黒 Explode.wav
黒芒槍(攻撃), 中ビーム 黒 Beam.wav
黒芒槍(命中), 中ビーム 黒 Beam.wav;大爆発
麗魔暗掌Ⅱ(準備), 粒子集中 黒
麗魔暗掌Ⅱ(攻撃), 大ビーム 黒 Beam.wav
麗魔暗掌Ⅱ(命中), 大ビーム 黒 Beam.wav;連続爆発 3;大爆発
黒龍影弾(攻撃), 波動放射 黒 残像 AntiShipMissile.wav
黒龍影弾(命中), 回転エナジーブレード 黒 Slash.wav;黒斬撃
冥光気斬(準備), 粒子集中 黒 Charge.wav
冥光気斬(攻撃), シュートカッター 黒 AntiAirMissile.wav
冥光気斬(命中), シュートカッター 黒 Saber.wav;黒斬撃
## 属性魔法・氷 ##
指氷弾, 氷弾
冷気爆烈(攻撃), 火炎弾 白 Whiz.wav
冷気爆烈(命中), 飛沫 白 Glass.wav
氷槍投射(攻撃), 中ビーム 白 EvilEye.wav
氷槍投射(命中), 中ビーム 白 -.wav;飛沫 白 Glass.wav
美粒死惨, 吹雪
氷輪刃(攻撃), 拡散ビーム 白 Whiz.wav
氷輪刃(命中), クリティカル斬撃;飛沫 白 Glass.wav
寒風氷嵐(攻撃), 吹雪
寒風氷嵐(命中), 吹雪;凍結
氷色吐息(命中), 凍結
氷槍乱射(攻撃), 拡散ビーム 白 EvilEye.wav
氷槍乱射(命中), 中ビーム 白 Glass.wav ランダム方向;中ビーム 白 Glass.wav ランダム方向;_
中ビーム 白 Glass.wav ランダム方向;飛沫 白 Glass.wav
氷結爆烈(攻撃), 火炎弾 白 Whiz.wav
氷結爆烈(命中), 凍結;飛沫 白 Glass.wav
氷竜裂壊(攻撃), 波動放射 白 残像 Storm.wav
氷竜裂壊(命中), 回転エナジーブレード 白 Slash.wav;クリティカル斬撃 Glass.wav
魔雪降来(準備), 五芒星 白 Whiz.wav
魔雪降来(攻撃), ＭＡＰ吹雪
魔雪降来(命中), 吹雪;凍結
## 属性魔法・幻 ##
踏踏乱舞(攻撃), ＭＡＰ音符
幻獣襲撃(攻撃), 気斬 桃 Beam.wav
幻獣襲撃(命中), 飛沫 桃 Explode.wav
三日月光鞭(準備), 粒子集中 桃
三日月光鞭(攻撃), 振り上げ Swing(2).wav;なぎ払い Swing(2).wav;斬撃 Swing(2).wav
三日月光鞭(命中), 飛沫 白 Whip.wav;飛沫 白 Whip.wav;飛沫 白 Whip.wav
三日月舞光(攻撃), 小ビーム 黄
三日月舞光(命中), 拡散ビーム 黄 Explode.wav
白月光襲(攻撃), 光球 白 Beam.wav
白月光襲(命中), 大爆発
星芒槍(攻撃), 衛星ビーム -.bmp 桃
星芒槍(命中), 大爆発
閃烈月輪破(準備), 粒子集中 桃 Hittyuu.wav
閃烈月輪破(攻撃), 衛星ビーム Anime\Common\EFFECT_Moon01.bmp 桃
閃烈月輪破(命中), 超爆発
星崩爆球(準備), 粒子集中 桃
星崩爆球(攻撃), 魔法放射 桃
星崩爆球(命中), ;_
周囲回転 Anime\Common\EFFECT_Particle(Pink)01.bmp 32 Charge(High).wav 相手ユニットＩＤ;_
粒子集中 桃 -.wav;2;発光 桃 -.wav;超爆発 Explode(Nuclear).wav
#幸薄戦士特攻(準備), 回転 Partner(1)
幸薄戦士特攻(攻撃), スーパータックル Jet.wav 桃 Partner(1)
幸薄戦士特攻(命中), スーパータックル Crash.wav 桃 Partner(1)
絶叫魔導師特攻(攻撃), スーパータックル Jet.wav 桃 Partner(1)
絶叫魔導師特攻(命中), スーパータックル Crash.wav 桃 Partner(1)
## 紋章属性魔法・空 ##
くるくる回って飛んでいけ(攻撃), 魔法放射 白
くるくる回って飛んでいけ(命中), 回転 4 速;投げ飛ばし
貫く雷弾(攻撃), 小ビーム 黄 Thunder.wav
貫く雷弾(命中), 小ビーム 黄 Thunder.wav;放電
聖なる光の爆烈(攻撃), 火炎弾 白 Beam.wav
聖なる光の爆烈(命中), 爆発
光となれ(準備), 粒子集中 白 Charge(High).wav;2;音再生 Walk(Snow).wav
光となれ(攻撃), 振り下ろし
光となれ(命中), 魔法放射 白 大 Charge(High).wav;超爆発
聖なる光の槍(準備), 粒子集中 白 Charge(High).wav
聖なる光の槍(攻撃), 中ビーム 白 Explode(Long).wav
聖なる光の槍(命中), 中ビーム 白 Explode(Long).wav;超爆発
## 紋章属性魔法・炎 ##
立ちのぼる火柱(攻撃), 火炎弾 赤 Bazooka.wav
立ちのぼる火柱(命中), 火柱
全てを貫く右腕(攻撃), 火炎弾 赤 Bazooka.wav
全てを貫く右腕(命中), 爆発
## 紋章属性魔法・森 ##
舞え、緑の嵐(攻撃), 魔法放射 緑
舞え、緑の嵐(命中), -
## 紋章属性魔法・闇 ##
漆黒のつぶて(攻撃), 火炎弾 黒 BeamShot.wav
漆黒のつぶて(命中), 粒子噴射 黒 BeamSaber.wav
握られた心臓(攻撃), 魔法放射 黒 BeamShot.wav
握られた心臓(命中), 粒子集中 黒 Glass.wav
闇に潜む怒り(攻撃), ＭＡＰ発光 黒 Beam.wav
闇に潜む怒り(命中), 爆発
冥界より来たれ、負の炎よ(攻撃), 炎投射 黒 Whiz.wav
冥界より来たれ、負の炎よ(命中), 光噴出 黒 Fire.wav
我が手に漆黒の鎌(準備), エナジーブレード 黒
我が手に漆黒の鎌(攻撃), 白兵武器
我が手に漆黒の鎌(命中), 黒斬撃 Saber.wav
脚をつかむ影の手(攻撃), 魔法放射 黒
脚をつかむ影の手(命中), -
## 星界魔法・紋章魔法・海 ##
聖なる水の爆烈(攻撃), 光球 青
聖なる水の爆烈(命中), 飛沫 青 Splash.wav
## 星界魔法・紋章魔法・氷 ##
貫く氷牙, 氷弾
吹き付ける氷嵐, 吹雪
## アビリティ ##
海癒, 回復魔法泡
聖空癒, 回復魔法
怖心消沈, 回復魔法泡
大地の恵み, 回復魔法
祝福の剣, 羽
## 特殊能力 ##
攻撃無効化(葉乱陣), 木の葉乱舞 Wind.wav 葉乱陣
分身(四影陣), 分身 BeamSaber.wav 四影陣
## クリーチャー ##
炎のブレス, 火炎放射
水晶のブレス, 旋風 白 Storm.wav
炎弾(攻撃), 火炎弾 赤 Cannon.wav
炎弾(命中), 爆発
光弾(攻撃), 光球 白
光弾(命中), 連続爆発 3;大爆発
光線, ＭＡＰビーム 白
赤い閃光, 中ビーム 赤
瘴気, ＭＡＰ煙 黒
魔力塊放射, 大ビーム 白
# 魔王達
攻撃無効化(絶対魔法防御), BeamCoat.wav
# エンディヴィエ
魔王の咆哮【単体】(準備), -
魔王の咆哮【単体】(攻撃), -
魔王の咆哮【単体】(命中), 重力圧縮 -.wav
魔王の咆哮【全体】(準備), -
魔王の咆哮【全体】(攻撃), ＭＡＰブラックホール
魔王の咆哮【全体】(攻撃), 重力圧縮 -.wav
# アイセン
死の接触(準備), -
死の接触(攻撃), 黒剣突撃 
死の接触(命中), 発光 ブラック Slash.wav
# ザグラ＝ドゥム
魔性瘴気, ＭＡＰ煙 ブラック
腐食(準備), -.wav
腐食(攻撃), デフォルト Storm.wav
腐食(命中), 発光 緑 Storm.wav
# 霊王イクツェル
霊魔攻撃, ＭＡＰ連気弾 遅
霊物攻撃, 連気弾
# 精霊超獣
超触手, 触手 イエロー
追跡光弾(準備), -
追跡光弾(攻撃), ＭＡＰ持続ビーム イエロー BeamShot.wav
追跡光弾(命中), 小ビーム イエロー BeamShot.wav
超光弾, 大ビーム イエロー
# 魔の
魔の虹色光線, 必殺光線
腕の剣, 斬撃
# 天井口
伸びる舌, 触手
謎のレーザー , ２連中ビーム ブラック
説法(準備), -
説法(攻撃), 音符 Inori.wav
説法(命中), -
生首投げ(準備), -
生首投げ(攻撃), なぎ払い;小ビーム ブラック Sword.wav
生首投げ(準備), ダメージ Crash.wav
火炎拳, スーパーパンチ レッド
溶鉄球, 火炎弾
炎輪, 炎投射
# 魔法
復讐の鞭(攻撃), エナジーブレード突撃 BeamSaber.wav
復讐の鞭(命中), 飛沫 Whip.wav
# アイテム関連
蝕腕, 触手 緑
烏賊音速斬, ＭＡＰ強風
重力弾, 重力弾
粘液弾, 泡
聖光弾, 中ビーム 白
爆炎弾, 炎投射
レインフォールフォグ, 煙放射
シェルフィッシュドリル, ドリル
操魔球(攻撃), ３ＷＡＹ射出 Cannon.wav
操魔球(命中), ダメージ Cannon.wav
魔式邪念鞭, チェーン
護神槍, ランス
ソルリング(準備), 剣
ソルリング(攻撃), 剣突撃
ソルリング(命中), 斬撃
ゼルリング(準備), 大剣
ゼルリング(攻撃), 大剣突撃
ゼルリング(命中), 斬撃
フォウリング, サーベル
阻止(魔法力吸収), 切り払い BeamCoat.wav
キルリング(準備), 剣
キルリング(攻撃), 剣突撃
キルリング(命中), 斬撃
反射(攻撃対象変更), 切り払い BeamCoat.wav
ジムリング, 剣
