
汎用
###汎用アイテム###
攻撃無効化(重力障壁), バリア 重力障壁 BeamCoat.wav
指向性ＥＳＰジャマー, 中ビーム 黒
対サイボーグライフル, 対物ライフル
チェインソード, チェーンソー
応急手当(使用), ディレイ 5 Sharara.wav
応急修理(使用), ディレイ 5 Charge(Silent).wav
###格闘家###
阻止(ビーム切り払い), 切り払い
遠当て, 気弾 白
体術(攻撃), 格闘
体術(命中), 強打
体術(命中), @戦闘アニメ_打突攻撃;打撃
体術(命中), @戦闘アニメ_連打攻撃;連打
体術(命中), @戦闘アニメ_キック攻撃;強打
気功術(準備), オーラ上昇 白
気功術(攻撃), 格闘
気功術(命中), 粒子集中 白;ディレイ 5;飛沫 白
###その他###
スタンガン(準備), スーパーガン
スタンガン(攻撃), スーパーガン Thunder.wav
スタンガン(命中), 放電
スタンナックル(攻撃), 打突
スタンナックル(命中), 打撃 -.wav;放電
ショットピストル(準備), 射撃武器 _GetWPBN(軍用拳銃１) 32
ショットピストル(攻撃), ショットガン _GetWPBN(軍用拳銃１) 32
ショットピストル(命中), ショットガン
爆破工作, ＭＡＰ爆発
脳内爆弾, ＭＡＰ大爆発
ワイヤーアンカー, チェーン
内蔵型ビームガン, 小ビーム 桃
ミサイルランチャー(準備), ミサイルランチャー
ミサイルランチャー(攻撃), ミサイルランチャー Missile(4Shot).wav
ミサイルランチャー(命中), 連続爆発
超重量戦斧, ハルバード
###ハッカー###
ハッキング(準備), -
ハッキング(攻撃), -
ハッキング(命中), 音再生 Computer.wav
ウィルス(準備), -
ウィルス(攻撃), -
ウィルス(命中), 音再生 Noise.wav

宇宙人
光線銃, スーパーガン
八本の触手, 多触手 赤
体当たり, 格闘
高周波ブレード, ライトセイバー 黄
特殊光線銃, スーパーガン
バニッシュレーザー, スーパーキャノン
Ｅ高周波ブレード(準備), ライトセイバー 黄
Ｅ高周波ブレード(攻撃), 斬撃 黄;シュートカッター 黄
Ｅ高周波ブレード(命中), シュートカッター 黄

ＵＦＯ
怪光線, リングビーム 黄
トラクタービーム, 特殊光線 白 Charge(Long).wav
キャトルミューテーション(攻撃), 大リングビーム 白
キャトルミューテーション(命中), 重力圧縮 Null.wav;落下

超能力者
###共通###
格闘, 格闘
###火炎###
火炎を纏った拳(攻撃), スーパーパンチ 赤 Punch.wav
火炎を纏った拳(命中), 炎 Fire.wav
火炎放射, 火炎放射
###冷気###
当て身技(氷の壁), 氷の壁 Freeze.wav
氷の矢, 氷弾
冷凍捕縛, 光投射 水色
###電撃###
雷撃, 電撃
スタンナックル(攻撃), スーパーパンチ 黄
スタンナックル(命中), 電撃 Thunder.wav
###地###
石弾(攻撃), 岩弾
石弾(命中), ダメージ Punch.wav
地形変化(攻撃), @戦闘アニメ_発光準備 橙
地形変化(命中), 石柱
地形変化(命中), 岩柱
###風使い###
風撃(攻撃), 旋風 Storm.wav
風撃(命中), 旋風 Storm.wav
###重力###
フィールド(重力障壁), バリア 重力障壁 BeamCoat.wav
重力波, 波動放射 黒
###空間###
空間切断(攻撃), 大斬撃 白 Slash.wav
空間切断(命中), 大斬撃 Slash.wav
擬似ブラックホール(準備), 魔法集中 黒 Hittyuu.wav
擬似ブラックホール(攻撃), 重力弾
擬似ブラックホール(命中), 重力圧縮 Crash.wav
###時間###
加速攻撃, スーパーパンチ乱舞
最高速度(準備), 時間
最高速度(攻撃), スーパーパンチ Punch(4).wav
最高速度(命中), スーパーパンチ Drill.wav
###念動###
阻止(念動防御), バリア 念動防御 BeamCoat.wav
念動弾, 気弾 黄
念動拳, スーパーパンチ 黄
###瞬間移動###
テレポートアタック, 格闘
空中殺法, スーパーダイブ
###対抗###
能力封印, -
###テレパシー###
幻覚(攻撃), 魔法放射 紫 Whiz.wav
幻覚(命中), 飛沫 紫
###光###
光線発射, 小ビーム 白
###音波###
共振音波(攻撃), 音波
共振音波(命中), 飛沫
音波粉砕(攻撃), 音波
音波粉砕(命中), 強打
###水###
水の槍(準備), -
水の槍(攻撃), 小ビーム 水色 Snap.wav
水の槍(命中), 小ビーム 水色 Splash.wav
水の弾丸(攻撃), 気弾 Swing.wav
水の弾丸(命中), 飛沫 青 Splash.wav
###治癒###
ヒーリング, 回復魔法
###電子###
電子操作(攻撃), @戦闘アニメ_発光準備 黄
電子操作(命中), Computer.wav
###生命###
生命操作, 小ビーム 黒

サイボーグ
怪力, タックル
格闘, 格闘
レーザーブレード, ライトセイバー 青
ビームガン, 光弾銃 桃
ガトリング, ガトリング
グレネードランチャー, グレネードランチャー _GetWPBN(グレネードランチャー２) 32

ロボット
パワーアーム(攻撃), なぎ払い
パワーアーム(攻撃), 振り下ろし
パワーアーム(攻撃), 打突
パワーアーム(命中), 強打
クローアーム(攻撃), なぎ払い
クローアーム(攻撃), 振り下ろし
クローアーム(攻撃), 打突
クローアーム(命中), 強打
サイレン(攻撃), 音再生 PatrolCar.wav
サイレン(命中), -
スタンロッド(準備), スタンロッド
スタンロッド(攻撃), 斬撃
スタンロッド(命中), 打撃 -.wav;放電
ゴム弾チェーンガン, チェーンガン 黄
ミニガン, バルカン
ビームサーベル, エナジーカッター 桃
ビームライフル, ビームライフル 桃
ビームカタナ(準備), 振る武器 _GetWPBN(ビームソード(黄)) 48
ビームカタナ(攻撃), 斬撃 黄
ビームカタナ(命中), 光斬撃 黄 中
ビームキャノン, 中ビーム 黄
バーストＡＴライフル, 対戦車ライフル

電脳空間
攻撃プログラム(攻撃), 音再生 Computer.wav
攻撃プログラム(命中), -

車両
ミニガン, バルカン
無反動砲, 大キャノン砲
ヘビーマシンガン, 重機関砲
