
ＷＡ３
キック(命中), Punch.wav
スライミィタッチ(命中), Punch.wav
ロックゲイザー, Bazooka.wav
ハイドロランチャー, Splash.wav
スカイツイスター, Storm.wav
カロリックスフィア, Fire.wav
カレントスパーク, Thunder.wav
アークティックランス, Glass.wav
ブライトブラスト, Beam.wav
スクリーミングマッド, LaserGun.wav
スタンピード(命中), Combo.wav
クラッシャージョー(命中), Crash.wav
アルカナディザスター, Explode(Far).wav
豪腕の一振り(命中), Crash.wav
アルス・マグナ, Explode(Far).wav
ハイペリオンブラスター, LaserGun.wav
ファティマの奇跡, 5;Beam.wav;LaserGun.wav
ステュークスの澱み, 5;Splash.wav;LaserGun.wav
フリムスルスの永久氷壁, 5;Bazooka.wav;3;Glass.wav;3;Glass.wav;Glass.wav
アポカリプスの霹靂, 5;Thunder.wav;Beam.wav
ツォハノアイの太陽風, 5;Fire.wav;Storm.wav
セイファート小宇宙, LaserGun.wav
アゴニーアフェクト, Whiz.wav
アウターワールド, Hide.wav
グラヴィトン, Bazooka.wav
地殻汚染, -.wav
ファイナルディザスター, 5;Explode(Far).wav;5;Explode(Far).wav;Explode(Far).wav
ダイレクトヴォイス, LaserGun.wav
#ダイレクトヴォイス(クリティカル), Hide.wav
アルカンシエル, Interference.wav
#ダイレクトヴォイス(クリティカル), Hide.wav
人体実験(命中), Combo.wav
#人体実験(クリティカル), Hide.wav
