
上弦の伍・玉壺
テレポート, 緊急テレポート Bubble.wav 壺移動
生生流転(炭)(攻撃), @戦闘アニメ_スピン開始 水色;竜炎 水色 Charge.wav
生生流転(炭)(命中), メガショックビーム 水色 Slash.wav
生生流転(準備), 妖刀
生生流転(攻撃), @戦闘アニメ_スピン開始 水色;竜炎 水色 Charge.wav
生生流転(命中), メガショックビーム 水色 Slash.wav
生生流転(ザ)(準備), 日本刀
生生流転(ザ)(攻撃), @戦闘アニメ_スピン開始 白
生生流転(ザ)(命中), 横大斬撃
ヒノカミ神楽(準備), 日本刀;炎の壁
ヒノカミ神楽(攻撃), 飛びかかり
ヒノカミ神楽(命中), 大炎斬撃
ヒノカミ神楽(とどめ), 縦分割
陽華突(準備), 日本刀;粒子集中 赤
陽華突(攻撃), 刺突
陽華突(命中), 大刺突 赤
飛輪陽炎(準備), 日本刀
飛輪陽炎(攻撃), 大斬撃 赤
飛輪陽炎(命中), @戦闘アニメ_波動放射攻撃 赤 速 残像 Slash.wav
円舞(準備), 日本刀
円舞(攻撃), 大斬撃 赤
円舞(命中), 唐竹割り 赤 Fire.wav
烈日紅鏡(準備), 日本刀
烈日紅鏡(攻撃), 白兵武器
烈日紅鏡(命中), ハイパービームサーベル 赤 二刀流
炎舞(準備), 日本刀
炎舞(攻撃), 大炎斬撃 赤;なぎ払い大炎斬撃 赤
炎舞(命中), 大斬撃 赤 Fire.wav;横大斬撃 赤
火車(準備), 日本刀
火車(攻撃), 回転 Swing.wav 1 速 -;連続描画 Bullet\EFFECT_BeamRingCutter(Red)[01-04].bmp 64 2 2 前面 - Wind.wav - - 方向判定 - 下辺
火車(命中), 唐竹割り 水色 Drill.wav
灼骨炎陽(準備), 日本刀
灼骨炎陽(攻撃), 回転斬撃 赤 Fire.wav
灼骨炎陽(命中), 回転斬撃 赤;炎の壁 Glass(2).wav
碧羅の天(準備), 日本刀
碧羅の天(攻撃), 飛びかかり
碧羅の天(命中), 大炎斬撃
碧羅の天(とどめ), 縦分割
日暈の龍・頭舞い(準備), 日本刀
日暈の龍・頭舞い(攻撃), 回転斬撃 赤;竜炎 赤 Fire.wav
日暈の龍・頭舞い(命中), 炎の壁 Slash.wav
斜陽転身(準備), 日本刀
斜陽転身(攻撃), 反転上昇
斜陽転身(命中), なぎ払い大炎斬撃
斜陽転身(とどめ), 横分割
輝輝恩光(準備), 日本刀
輝輝恩光(攻撃), スーパータックル 赤
輝輝恩光(命中), スーパータックル 赤 Glass(2).wav;炎の壁 Charge(High).wav
円舞一閃(準備), 日本刀;放電 Charge.wav
円舞一閃(攻撃), 日本刀突撃
円舞一閃(命中), 斬撃突撃 Thunder.wav;炎の壁
円舞一閃(とどめ), 横分割
拾参ノ型(準備), 振る武器 Weapon\EFFECT_Youtou03.bmp 32;光球集中 赤
拾参ノ型(攻撃), バック転;振り上げ大炎斬撃 赤;タックル
拾参ノ型(命中), 炎斬撃;会話 竈門炭治郎 "<b>烈日紅鏡 炎舞 幻日虹 円舞 斜陽転身</b>" 固定;回転ハイパービームサーベル 赤 Slash(4).wav;会話 竈門炭治郎 "<b>灼骨炎陽 日暈の龍・頭舞い 陽華突！！</b>" 固定;振り上げ大炎斬撃 赤;_
なぎ払い大炎斬撃 赤;大刺突 赤 Fire.wav;強打
拾参ノ型(とどめ), 会話 竈門炭治郎 "<b>燃やせ、</b>" 固定;ディレイ 1;会話 竈門炭治郎 "<b>燃やせ、心を燃やせ！！</b>" 固定;@戦闘アニメ_光圧縮命中 赤;@戦闘アニメ_火柱命中 赤 Explode.wav
爆血刀(使用), @戦闘アニメ_炎の壁準備;@戦闘アニメ_振る武器準備 Weapon\EFFECT_Youtou03.bmp 32
分身(幻日虹), 防御テレポート１ 幻日虹
#雫波紋突き(炭)(準備), 日本刀
#雫波紋突き(炭)(攻撃), @戦闘アニメ_泡球準備 相手ユニットＩＤ;刺突
#雫波紋突き(炭)(命中), 刺突
爪, 爪撃
蹴り, キック
爆血(準備), -
爆血(攻撃), 出血
爆血(命中), 炎の壁 桃
爆血・浄化(使用), 光球放出 桃
霹靂一閃(準備), -
霹靂一閃(攻撃), 放電 対象ユニットＩＤ;斬撃突撃
霹靂一閃(命中), 斬撃突撃 Thunder.wav
霹靂一閃・六連(準備), 放電
霹靂一閃・六連(攻撃), 透明化;スーパータックル乱舞 黄 Whiz.wav
霹靂一閃・六連(命中), スーパータックル乱舞 黄 Thunder.wav;透明化 - 解除
霹靂一閃・八連(準備), 放電
霹靂一閃・八連(攻撃), 透明化;スーパータックル乱舞 黄 Whiz.wav
霹靂一閃・八連(命中), スーパータックル乱舞 黄 Thunder.wav;透明化 - 解除
霹靂一閃・神速(準備), 放電
霹靂一閃・神速(攻撃), 透明化;斬撃突撃
霹靂一閃・神速(命中), 円弧斬撃 黄 Thunder.wav;斬撃突撃;透明化 - 解除
焔雷神(準備), 炎の壁 黄 Thunder.wav
焔雷神(攻撃), 透明化;斬撃突撃
焔雷神(命中), 竜炎 黄 放電 Thunder.wav 大;透明化 - 解除
日輪刀, 日本刀
気絶する(使用), 泡;Falldown.wav
伸・うねり裂き(準備), ソードブレイカー
伸・うねり裂き(攻撃), 振り上げ;大斬撃 白 Whip.wav
伸・うねり裂き(命中), なぎ払い Slashwav;ディレイ 3 Whiz.wav;@戦闘アニメ_ソードブレイカー準備 Reload.wav
狂い裂き(準備), ソードブレイカー 二刀流
狂い裂き(攻撃), 回転斬撃
狂い裂き(命中), 斬撃
喰い裂き(準備), ソードブレイカー 二刀流
喰い裂き(攻撃), なぎ払い
喰い裂き(命中), 横大斬撃 青
切細裂き(準備), ソードブレイカー 二刀流
切細裂き(攻撃), 白兵連撃
切細裂き(命中), 唐竹割り 青
乱杭咬み(準備), ソードブレイカー 二刀流
乱杭咬み(攻撃), 連突
乱杭咬み(命中), 連打;大電撃 Slash(4).wav
御影梅(準備), 日本刀
御影梅(攻撃), 回転斬撃 桃 Whiz.wav
御影梅(命中), 斬撃
渦桃(準備), 日本刀
渦桃(攻撃), 回転 1 速;竜巻 Drill.wav 桃
渦桃(命中), 連続なぎ払い
紅花衣(準備), 日本刀
紅花衣(攻撃), 斬撃
紅花衣(命中), ハイパービームサーベル 桃 二刀流
徒の芍薬(準備), 日本刀
徒の芍薬(攻撃), 刺突;なぎ払い;振り上げ
徒の芍薬(命中), 刺突;なぎ払い;振り上げ;強打
彼岸朱眼(準備), 双邪眼解放 桃 赤 Charge.wav;日本刀;光球集中 赤
彼岸朱眼(攻撃), 日本刀突撃;大斬撃 桃
彼岸朱眼(命中), 横大斬撃 桃;双邪眼閉塞 桃 赤 Reload.wav 対象ユニットＩＤ
鬼喰い, 噛み付き
鬼殺銃, ボルトアクションライフル
肉弾(準備), ボルトアクションライフル
肉弾(攻撃), ボルトアクションライフル
肉弾(命中), 銃弾;岩柱
#
阻止(凪), ビームコート Wind.wav 凪
戯れ(準備), 長ドス
戯れ(攻撃), 連突
戯れ(命中), 妖精;連突
真靡き(準備), 長ドス
真靡き(攻撃), タックル
真靡き(命中), 大刺突 桃 Bubble.wav
複眼六角(準備), 長ドス
複眼六角(攻撃), 刺突
複眼六角(命中), 点乱打 白 Stab.wav
百足蛇腹(準備), 長ドス
百足蛇腹(攻撃), 透明化;岩柱 BreakOff.wav 対象ユニットＩＤ
百足蛇腹(命中), 刺突突撃;超打;透明化 解除
隠し刃(準備), -
隠し刃(攻撃), キック
隠し刃(命中), 刺突
昇り炎天(準備), 炎剣
昇り炎天(攻撃), 振り上げ大炎斬撃 橙
昇り炎天(命中), 振り上げ Slash.wav
不知火, 炎剣突撃
盛炎のうねり(準備), 炎剣
盛炎のうねり(準備), 円月殺法 橙 Fire.wav
盛炎のうねり(攻撃), 炎斬撃
炎虎(準備), 炎剣
炎虎(攻撃), 虎炎 橙 Fire.wav
炎虎(命中), 炎の壁 橙 Slash.wav
煉獄(準備), 炎剣
煉獄(攻撃), スーパータックル 橙
煉獄(命中), スーパータックル 橙;大ビーム 橙 Fire.wav
#日輪刀(宇), 青龍刀 二刀流
火薬玉(準備), 石
火薬玉(攻撃), 石
火薬玉(命中), 斬撃 - Swing.wav 相手ユニットＩＤ;爆発
鳴弦奏々(準備), 青龍刀 二刀流
鳴弦奏々(攻撃), 連続描画 Bullet\EFFECT_BeamRingCutter(White)[01-04].bmp 64 1 2 背面 - Whiz.wav
鳴弦奏々(命中), 回転斬撃;大爆発
轟(準備), 青龍刀 二刀流
轟(攻撃), 振り下ろし
轟(命中), 超爆発
響斬無間(準備), 青龍刀 二刀流
響斬無間(攻撃), 大斬撃 二刀流
響斬無間(命中), 斬撃;爆発;振り上げ大斬撃;大爆発
垂天遠霞(準備), 日本刀
垂天遠霞(攻撃), 刺突
垂天遠霞(命中), 刺突
移流斬り, 日本刀突撃
八重霞(準備), 日本刀
八重霞(攻撃), 白兵武器
八重霞(命中), 連斬撃;斬り上げ
月の霞消(準備), 日本刀
月の霞消(攻撃), 白兵武器
月の霞消(命中), 旋風 白 Mist.wav 
霞雲の海(準備), 日本刀
霞雲の海(攻撃), 煙 Mist.wav 相手ユニットＩＤ
霞雲の海(命中), 斬撃乱舞
分身(朧), 分身 Mist.wav 朧
初恋のわななき(準備), リボン
初恋のわななき(攻撃), なぎ払い 桃
初恋のわななき(命中), 連続なぎ払い Whip.wav
懊悩巡る恋(準備), リボン
懊悩巡る恋(攻撃), 白兵武器
懊悩巡る恋(命中), 回転斬撃 Whip.wav
猫足恋風(準備), リボン
猫足恋風(攻撃), スピンアタック 桃
猫足恋風(命中), スピンアタック 桃 Slash.wav
揺らめく恋情・乱れ爪(準備), リボン
揺らめく恋情・乱れ爪(攻撃), 連続なぎ払い 桃
揺らめく恋情・乱れ爪(命中), なぎ払い大炎斬撃 桃 Thunder.wav
阻止(恋の呼吸), 反射 Slash(4).wav 恋の呼吸
委蛇斬り(準備), フランベルジュ
委蛇斬り(攻撃), なぎ払い
委蛇斬り(命中), 連続なぎ払い
狭頭の毒牙(準備), フランベルジュ
狭頭の毒牙(攻撃), 飛びかかり
狭頭の毒牙(命中), 噛み付き Slash.wav
蜿蜿長蛇(準備), フランベルジュ
蜿蜿長蛇(攻撃), 大斬撃
蜿蜿長蛇(命中), 中ビーム 白 Slash(4).wav
塒締め(準備), フランベルジュ;蛇召喚
塒締め(攻撃), 回転斬撃
塒締め(命中), 包囲ビーム 白 Slash(4).wav
頸蛇双生(準備), フランベルジュ;蛇召喚
頸蛇双生(攻撃), タックル
頸蛇双生(命中), ホーミングレーザー 白 白 Slash.wav;球体圧縮 桃 Slash(4).wav
木枯らし颪(準備), 風剣
木枯らし颪(攻撃), 反転上昇
木枯らし颪(命中), 風;唐竹割り 緑 Slash.wav
#青嵐風樹, 風剣
#爪爪・科戸風(準備), 風剣;大気吸収 緑
#爪爪・科戸風(攻撃), 白兵武器
#爪爪・科戸風(命中), 爪撃 緑 連続 Slash(4).wav
#黒風烟嵐(準備), 風剣
#黒風烟嵐(攻撃), 振り上げ
#黒風烟嵐(命中), 竜巻 黒 Wind.wav
勁風・天狗風(準備), 風剣
勁風・天狗風(攻撃), 反転上昇
勁風・天狗風(命中), 竜巻 緑
塵旋風・削ぎ(準備), 風剣
塵旋風・削ぎ(攻撃), 白兵武器;旋風 緑
塵旋風・削ぎ(命中), 旋風 緑 Slash.wav
昇上砂塵嵐(準備), 風剣
昇上砂塵嵐(攻撃), 振り上げ大炎斬撃 Wind.wav 緑
昇上砂塵嵐(命中), 振り上げ大炎斬撃 Slash.wav 緑
初烈風斬り(準備), 風剣
初烈風斬り(攻撃), タックル
初烈風斬り(命中), 大炎斬撃 Slash(4).wav 緑
韋駄天台風(準備), 風剣;大気吸収 緑
韋駄天台風(攻撃), 飛びかかり
韋駄天台風(命中), 風剣突撃;風 Wind.wav
シールド防御(岩躯の膚), ビームコート Sword.wav 岩躯の膚
手斧, 片刃斧
鎖鉄球(準備), スピンハンマー
鎖鉄球(攻撃), 白兵武器 Whiz.wav
鎖鉄球(命中), ダメージ
天面砕き(準備), スピンハンマー
天面砕き(攻撃), スピンハンマー
天面砕き(命中), 地面衝撃
流紋岩・速征, スピンハンマー
蛇紋岩・双極(準備), 左右別武器 Weapon\EFFECT_SpinHummer01.bmp 32 - Weapon\EFFECT_Tomahawk01.bmp 32
蛇紋岩・双極(攻撃), 白兵連撃
蛇紋岩・双極(命中), 強打;大斬撃
瓦輪刑部(準備), 左右別武器 Weapon\EFFECT_SpinHummer01.bmp 32 - Weapon\EFFECT_Tomahawk01.bmp 32
瓦輪刑部(攻撃), 飛びかかり
瓦輪刑部(命中), 超打;唐竹割り 白
六刀流, 日本刀 二刀流
#
捕食, 噛み付き
背中の管, 多触手 白
吸息(準備), -
吸息(攻撃), 強風
吸息(命中), 球体圧縮 Slash.wav
触手(準備), -
触手(攻撃), 白兵武器
触手(命中), 円弧斬撃 Slash(4).wav
死角の管(準備), 光球集中 黒
死角の管(攻撃), 回転斬撃
死角の管(命中), 超打
衝撃波(準備), -
衝撃波(攻撃), ＭＡＰフラッシュ 黄
衝撃波(命中), 放電;強打
#黒血枳棘(準備), 光球集中 黒
#黒血枳棘(攻撃), 触手 黒
#黒血枳棘(命中), 包囲ビーム 黒 Stab
光球, 大ビーム 黄
月魄災禍(準備), 野太刀
月魄災禍(攻撃), 旋回光弾 黄 Charge(High).wav 対象ユニットＩＤ
月魄災禍(命中), 斬撃
闇月・宵の宮(準備), 野太刀
闇月・宵の宮(攻撃), 黒斬撃
闇月・宵の宮(命中), 円弧斬撃 黄;@戦闘アニメ_出血攻撃 赤 - 相手ユニットＩＤ
厭忌月・銷り(準備), 野太刀
厭忌月・銷り(攻撃), 白兵武器;回転発射 Wind\EFFECT_WindCutter(Yellow)01.bmp 48 Charge.wav 速
厭忌月・銷り(命中), 横大斬撃 黄
常世孤月・無間(準備), 野太刀
常世孤月・無間(攻撃), 斬撃;波動放射 黄 速 残像 Whiz.wav
常世孤月・無間(命中), 超斬撃 黄
珠華ノ弄月(準備), 野太刀
珠華ノ弄月(攻撃), 振り上げ大斬撃 黄
珠華ノ弄月(命中), 回転ハイパービームサーベル 黄 Slash.wav
降り月・連面(準備), 七支刀
降り月・連面(攻撃), 振り上げ
降り月・連面(命中), 落盤 Slash(4).wav 黄
月龍輪尾(準備), 七支刀
月龍輪尾(攻撃), 大斬撃 黄色
月龍輪尾(命中), 斬撃
月虹・片割れ月(準備), 七支刀
月虹・片割れ月(攻撃), 黒斬撃
月虹・片割れ月(命中), 落盤 Slash(4).wav 黄;唐竹割り 黄
穿面斬・蘿月(準備), 七支刀
穿面斬・蘿月(攻撃), 白兵武器;連続描画 Bullet\EFFECT_BeamRingCutter(Yellow)[01-04].bmp 48 4 2 前面 - Drill.wav - - 方向判定 相手ユニットＩＤ
穿面斬・蘿月(命中), 超斬撃 黄
厄鏡・月映え(準備), 七支刀
厄鏡・月映え(攻撃), 円月殺法 黄 Charge(Long).wav
厄鏡・月映え(命中), ビームショットキャノン 黄 Slash(2).wav;ビームショットキャノン 赤 Slash.wav
全身の刃(準備), -
全身の刃(攻撃), ＭＡＰフラッシュ 赤 Explode.wav
全身の刃(命中), 超斬撃 赤 Slash.wav
兇変・天満繊月(準備), 七支刀;光球集中 黒
兇変・天満繊月(攻撃), スピン拡散 黄 Whiz.wav
兇変・天満繊月(命中), 回転ハイパービームサーベル 黄 Slash.wav
凍て曇(準備), 振る武器 DGoods\EFFECT_IronFan01.bmp 32
凍て曇(攻撃), 白兵武器 水色 Swing.wav
凍て曇(命中), 煙 水色 Mist.wav
鉄扇(準備), 振る武器 DGoods\EFFECT_IronFan01.bmp 32
鉄扇(攻撃), 白兵武器
鉄扇(命中), 斬撃
蔓蓮華(準備), 光球集中 水色;振る武器 DGoods\EFFECT_IronFan01.bmp 32
蔓蓮華(攻撃), 白兵武器 水色 Swing.wav;多触手 水色
蔓蓮華(命中), 凍結
寒烈の白姫(準備), 召喚 Creature\EFFECT_WaterElement01.bmp 32 - Charge.wav
寒烈の白姫(攻撃), 吹雪
寒烈の白姫(命中), 大氷柱
蓮葉氷(準備), 振る武器 DGoods\EFFECT_IronFan01.bmp 32
蓮葉氷(攻撃), 白兵武器
蓮葉氷(命中), 凍斬撃
散り蓮華(準備), 振る武器 DGoods\EFFECT_IronFan01.bmp 32
散り蓮華(攻撃), バラ吹雪 水色 Charge.wav 対象ユニットＩＤ;バラ吹雪 水色 Wind.wav 相手ユニットＩＤ
散り蓮華(命中), 点乱打 水色 Glass(2).wav
霧氷・睡蓮菩薩(準備), 光大噴出 水色
霧氷・睡蓮菩薩(攻撃), 振り下ろし
霧氷・睡蓮菩薩(命中), 氷塊落下;煙 水色 Mist.wav
氷扇(準備), 振る武器 DGoods\EFFECT_IronFan01.bmp 32
氷扇(攻撃), 白兵武器
氷扇(命中), 斬撃
破壊殺・脚式(準備), -
破壊殺・脚式(攻撃), バックキック
破壊殺・脚式(命中), 乱打
破壊殺・空式, 連気弾 桃
破壊殺・乱式(準備), 陰陽太極図 Charge.wav 対象ユニットＩＤ 背面
破壊殺・乱式(攻撃), 連打
破壊殺・乱式(命中), 点乱打 桃;大爆発 桃
破壊殺・砕式(準備), 陰陽太極図 Charge.wav 対象ユニットＩＤ 背面
破壊殺・砕式(攻撃), 白兵武器
破壊殺・砕式(命中), 地面衝撃
破壊殺・滅式(準備), 光大噴出 桃 Fire.wav
破壊殺・滅式(攻撃), スーパーパンチ 桃
破壊殺・滅式(命中), スーパーパンチ 桃
破壊殺・滅式(とどめ), 貫通穴 Slash.wav
終式青銀乱残光(準備), 陰陽太極図 Charge.wav 対象ユニットＩＤ 背面
終式青銀乱残光(攻撃), ＭＡＰビーム 桃 Whiz.wav 対象ユニットＩＤ チャージなし
終式青銀乱残光(命中), 乱打;超爆発
握り潰し(準備), -
握り潰し(攻撃), 格闘
握り潰し(命中), 立ち固め
石竜子(準備), -
石竜子(攻撃), 竜炎 桃 Whiz.wav 相手ユニットＩＤ
石竜子(命中), 噛み付き
風圧(準備), 光球集中 緑
風圧(攻撃), 打突
風圧(命中), 旋風
狂鳴雷殺(準備), -
狂鳴雷殺(攻撃), 音波;落雷 黄
狂鳴雷殺(命中), 放電;大爆発
無間業樹(準備), 光球集中 緑
無間業樹(攻撃), 竜炎 桃 Charge.wav 対象ユニットＩＤ
無間業樹(命中), 包囲ビーム 橙 Swing.wav;連続爆発
狂圧鳴波(準備), -
狂圧鳴波(攻撃), 音波
狂圧鳴波(命中), 超打
錫杖, 錫杖
雷, 落雷 黄
串刺し(準備), 錫杖
串刺し(攻撃), 刺突
串刺し(命中), 大放電
矛, 十字槍
激涙刺突(準備), 十字槍
激涙刺突(攻撃), 連突
激涙刺突(命中), ショックビーム Slash.wav
羽団扇(準備), 振る武器 DGoods\EFFECT_Fan01.bmp
羽団扇(攻撃), 白兵武器
羽団扇(命中), 旋風
超音波(準備), -
超音波(攻撃), 音波
超音波(命中), ダメージ Charge.wav
緊急テレポート(壺移動), 防御テレポート２ 壺移動 水色 Bubble.wav
水獄鉢(準備), 薬品 水色
水獄鉢(攻撃), 泡球
水獄鉢(命中), 泡球
魚面鬼, 蛇召喚
千本針魚殺(準備), ニードル連射
千本針魚殺(攻撃), ニードル連射
千本針魚殺(命中), 連突
蛸壺地獄, 触手乱舞 桃
一万滑空粘魚(準備), ピラニア召喚
一万滑空粘魚(攻撃), ピラニア
一万滑空粘魚(命中), 液体噴射 水色 - Splash.wav
神の手(準備), 発光 水色 Charge(High).wav
神の手(命中), 白兵武器
神の手(命中), @戦闘アニメ_ピラニア攻撃 Whip.wav;泡 水色
陣殺魚鱗(準備), 発光 水色 Charge(High).wav
陣殺魚鱗(攻撃), 透明化;ディレイ 2 Whiz.wav
陣殺魚鱗(命中), ホーミングレーザー 水色 水色 Whiz.wav;液体噴射 水色 - Bubble.wav
毒液, タックル
飛び血鎌(準備), 鎌
飛び血鎌(攻撃), 白兵武器;髑髏弾 赤 Whiz.wav
飛び血鎌(命中), 電撃ランチャー 赤 Slash.wav
毒鎌(準備), 鎌
毒鎌(攻撃), 斬撃
毒鎌(命中), 斬り上げ
円斬旋回・飛び血鎌(準備), -
円斬旋回・飛び血鎌(攻撃), 旋風 赤 Wind.wav 対象ユニットＩＤ
円斬旋回・飛び血鎌(命中), 旋風 赤 Slash(4).wav
帯に取り込む(準備), -
帯に取り込む(攻撃), 触手 黄
帯に取り込む(命中), -
帯(準備), -
帯(攻撃), 多触手 黄
帯(命中), 円弧斬撃 黄 Slash.wav
八重帯斬り(準備), -
八重帯斬り(攻撃), 多触手 黄
八重帯斬り(命中), 包囲ビーム 黄 Slash.wav
取り込む(準備), -
取り込む(攻撃), 格闘
取り込む(命中), -
斬りつけ(準備), -
斬りつけ(攻撃), 多触手 黄
斬りつけ(命中), 斬撃
追放(準備), ギター
追放(攻撃), Whip.wav;大気吸収 相手ユニットＩＤ
追放(命中), -
壁操作(準備), ギター
壁操作(攻撃), ディレイ Whip.wav 1
壁操作(命中), 岩柱
遠雷(準備), 日本刀
遠雷(攻撃), 落雷 黒
遠雷(命中), 大斬撃 黒
稲魂(準備), 日本刀
稲魂(攻撃), 連斬撃
稲魂(命中), 連斬撃
熱界雷(準備), 日本刀
熱界雷(攻撃), 振り上げ
熱界雷(命中), ショックビーム 黒 Thunder.wav
電轟雷轟(準備), 日本刀
電轟雷轟(攻撃), 斬撃乱舞
電轟雷轟(命中), メガショックビーム 黒 Thunder.wav
強制昏倒催眠の囁き(準備), 炎 青 Charge.wav
強制昏倒催眠の囁き(攻撃), 音符 青
強制昏倒催眠の囁き(命中), -
強制昏倒催眠・眼(準備), 炎 青 Charge.wav
強制昏倒催眠・眼(攻撃), 双邪眼解放
強制昏倒催眠・眼(命中), 飛沫 青
触手(厭), 触手乱舞 桃
厭夢の錐(準備), 振る武器 DGoods\EFFECT_TableKnife01.bmp
厭夢の錐(攻撃), 白兵武器
厭夢の錐(命中), 刺突
精神核への攻撃(準備), 振る武器 DGoods\EFFECT_TableKnife01.bmp
精神核への攻撃(攻撃), 白兵武器
精神核への攻撃(命中), 刺突
精神核への攻撃(とどめ), 亀裂発生
鋼糸(準備), -
鋼糸(攻撃), 白兵武器
鋼糸(命中), 包囲ビーム 白 Slash.wav
刻糸牢(準備), -
刻糸牢(攻撃), 魔法陣 白 Charge(High).wav 対象ユニットＩＤ
刻糸牢(命中), 斬撃
殺目篭(準備), -
殺目篭(攻撃), 白兵武器
殺目篭(命中), 球体圧縮 白;斬撃
刻糸輪転(準備), 光球集中 白
刻糸輪転(攻撃), 白兵連撃
刻糸輪転(命中), 包囲ビーム 白 Slash.wav;球体圧縮 白
怪力(準備), -
怪力(攻撃), 格闘
怪力(命中), 強打
操り糸(準備), -
操り糸(攻撃), 白兵武器;光弾 白 Whiz.wav
操り糸(命中), 光弾 白 Whip.wav
操り人形(準備), 人形
操り人形(攻撃), 人形
操り人形(命中), 斬撃
溶解の繭(準備), 光球集中 桃
溶解の繭(攻撃), 白兵武器
溶解の繭(命中), 球体圧縮 桃
毒蜘蛛(準備), 蜘蛛
毒蜘蛛(攻撃), 蜘蛛
毒蜘蛛(命中), 刺突
斑毒痰(準備), -
斑毒痰(攻撃), 格闘
斑毒痰(命中), 液体噴射 青 - Mist.wav
回転鼓(準備), -
回転鼓(攻撃), Drum.wav
回転鼓(命中), 回転 Whiz.wav
爪鼓(準備), -
爪鼓(攻撃), Drum.wav
爪鼓(命中), 爪撃
尚速鼓打ち(準備), 光球集中 黄
尚速鼓打ち(攻撃), Drum.wav
尚速鼓打ち(命中), ハイパービームサーベル 赤 二刀流;強打
毬, 投擲武器 DGoods\EFFECT_Daruma01.bmp
紅潔の矢, スラッシュビーム 赤
無数の矢(準備), -
無数の矢(攻撃), 邪眼閉塞 対象ユニットＩＤ;２連スラッシュビーム 赤
無数の矢(命中), 包囲ビーム 赤 Stab.wav
シールド防御(無数の腕), 翅防御 白 - 無数の腕
無数の腕, 触手乱舞 白
貫手, 打突
溶解液(準備), -
溶解液(攻撃), 格闘
溶解液(命中), 液体噴射 緑 - Splash.wav



汎用
投擲(日輪刀)(準備), 日本刀
投擲(日輪刀)(攻撃), 白兵武器 Whiz.wav
投擲(日輪刀)(命中), 刺突
