
リグル＝ナイトバグ
キック(命中),                             スーパーキック
ダイアモンドブリザード(攻撃),             吹雪 storm.wav
ダイアモンドブリザード(命中),             粒子噴射 白 storm.wav;凍結 glass.wav
アイシクルアタック(攻撃),                 強風  対象ユニットＩＤ;氷弾 Whiz.wav;氷弾 Whiz.wav
アイシクルアタック(命中),                 氷弾 Glass.wav;氷弾 Glass.wav
マイナスＫ(攻撃),                         気弾 遅 Whiz.wav
マイナスＫ(命中),                         ベアリング Whiz.wav;凍結 Glass.wav
コールドディヴィニティー(攻撃),           ベアリング Storm.wav;氷弾 Whiz.wav;ベアリング Storm.wav
コールドディヴィニティー(命中),           吹雪;氷弾;吹雪
#
### 紅美鈴
#
中国武術(攻撃),                           打撃突撃
中国武術(命中),                           打撃;打撃;強打 Crash.wav
芳華絢爛(攻撃),                           拡散ビーム 黄 Cannon.wav
芳華絢爛(命中),                           拡散ビーム 黄 Beamvalcan.wav;拡散ビーム 赤 Beamvalcan.wav
彩虹の風鈴(攻撃),                         拡散ビーム 赤 Beamvalcan.wav;拡散ビーム 緑 Beamvalcan.wav
彩虹の風鈴(命中),                         拡散ビーム 黄 Beamvalcan.wav;拡散ビーム 青 Beamvalcan.wav
彩雨(攻撃),                               拡散ビーム 赤 storm.wav
彩雨(命中),                               ベアリング gunpod.wav;連続爆発
華想夢葛(攻撃),                           光球 青 Storm.wav;2;光球 青 Storm.wav;2;ベアリング GunPod.wav
華想夢葛(命中),                           光球 青 Glass.wav;ベアリング GunPod.wav;連続爆発
彩光乱舞(攻撃),                           拡散ビーム 黄 Beamvalcan.wav;拡散ビーム 緑 Beamvalcan.wav
彩光乱舞(命中),                           拡散ビーム 白 ランダム方向 Beamvalcan.wav;拡散ビーム 緑 ランダム方向 Beamvalcan.wav
極彩颱風(攻撃),                           旋風 緑 MicroMissile.wav
極彩颱風(命中),                           光球 赤 Glass.wav;光球 青 Glass.wav;光球 緑 Glass.wav
飛び蹴り(準備),                           瞬間変形 EPS_HongMeiring(Kick1)U.bmp -.wav;瞬間変形 EPS_HongMeiring(Kick2)U.bmp -.wav
飛び蹴り(攻撃),                           瞬間変形 EPS_HongMeiring(Kick3)U.bmp -.wav;スーパーパンチ 赤 AntiAirMissile.wav
飛び蹴り(命中),                           強打 FightHit(1).wav;ベアリング
飛花落葉(攻撃),                           Slap.wav;桜吹雪 Chaff.wav 対象ユニットＩＤ;_
                                          バラ吹雪 Chaff.wav 対象ユニットＩＤ;木の葉乱舞 Chaff.wav 対象ユニットＩＤ
飛花落葉(命中),                           桜吹雪 Chaff.wav;バラ吹雪 Chaff.wav;木の葉乱舞 Chaff.wav
飛花落葉(クリティカル),                   @戦闘アニメ_瞬間変形 EPS_HongMeiring(Kick3)U.bmp -.wav;_
                                          @戦闘アニメ_スーパーパンチ攻撃 白 AntiAirMissile.wav;@戦闘アニメ_スーパーパンチ命中 白 Crash.wav
彩光蓮華掌(攻撃),                         全拡散ビーム 赤 Cannon.wav;全拡散ビーム 緑 Cannon.wav;全拡散ビーム 黄 Cannon.wav
彩光蓮華掌(命中),                         光球 桃 BeamCoat.wav;光球 黄 BeamCoat.wav;光球 白 BeamCoat.wav;光球 橙 BeamCoat.wav
彩光蓮華掌(クリティカル),                 @戦闘アニメ_スーパーパンチ攻撃 白 AntiAirMissile.wav;@戦闘アニメ_スーパーパンチ命中 白 Crash.wav
虹色太極拳(攻撃),                         拡散ビーム 赤 Beamvalcan.wav;拡散ビーム 桃 Beamvalcan.wav;拡散ビーム 青 Beamvalcan.wav
虹色太極拳(命中),                         小ビーム 黄 ランダム方向 Beamvalcan.wav;小ビーム 橙 ランダム方向 Beamvalcan.wav;_
                                          小ビーム 白 ランダム方向 Beamvalcan.wav;小ビーム 緑 ランダム方向 Beamvalcan.wav
虹色太極拳(クリティカル),                 @戦闘アニメ_スーパーパンチ攻撃 白 AntiAirMissile.wav;@戦闘アニメ_スーパーパンチ命中 白 Crash.wav
#
### 小悪魔
#
クナイ弾(攻撃),                           実弾発射 Anime\EFFECT_EPS_Kunai.bmp 32 発光 速 Whiz.wav;実弾発射 Anime\EFFECT_EPS_Kunai.bmp 32 発光 速 Whiz.wav
クナイ弾(命中),                           連突
輪弾(攻撃),                               光球 青 Cannon.wav;光球 青 Cannon.wav
輪弾(命中),                               光球 青
#
### パチュリー＝ノーレッジ
#
マーキュリポイズン(攻撃),                 光球 青 Beam2.wav;光球 黄 Beam2.wav;光球 青 Beam2.wav
マーキュリポイズン(命中),                 重力弾
レイジィトリリトン(攻撃),                 地表衝撃波 黄 残像 Whiz.wav
レイジィトリリトン(命中),                 ダメージ Warship.wav
アグニシャイン(攻撃),                     火炎弾 赤 Missile.wav;火炎弾 赤 Missile.wav;火炎弾 赤 Missile.wav
アグニシャイン(命中),                     連続爆発
プリンセスウンディネ(攻撃),               拡散ビーム 青 Missile.wav;ニードルレーザー連射 青 Laser.wav
プリンセスウンディネ(命中),               拡散ビーム 青 MicroMissile.wav;;ニードルレーザー連射 青 Laser.wav
シルフィホルン(攻撃),                     Chaff.wav;1;木の葉乱舞 Chaff.wav 対象ユニットＩＤ;1;木の葉乱舞 Chaff.wav 対象ユニットＩＤ
シルフィホルン(命中),                     木の葉乱舞 Chaff.wav
メタルファティーグ(攻撃),                 球電 Missile.wav;球電 Missile.wav;球電 Missile.wav
メタルファティーグ(命中),                 光球 黄 Crash.wav;連続爆発
エメラルドメガリス(攻撃),                 ＭＡＰ地表衝撃波 緑;ＭＡＰ光球 緑 AntiShipMissile.wav
エメラルドメガリス(命中),                 光球 緑  Shock(Low).wav
ウォーターエルフ(攻撃),                   全拡散ビーム 緑 Whiz.wav 発光 対象ユニットＩＤ 3;魔法放射 黄 BeamCoat.wav
ウォーターエルフ(命中),                   光球 緑 Glass.wav
フォレストブレイズ(攻撃),                 火炎弾 赤 Missile.wav;火炎弾 赤 Missile.wav;バラ吹雪 Chaff.wav
フォレストブレイズ(命中),                 バラ吹雪 Chaff.wav;連続爆発
ラーヴァクロムレク(攻撃),                 周囲回転 Fire\EFFECT_FlameThrowerHit(Red)06.bmp 32 AntiShipMissile.wav 発光 対象ユニットＩＤ 3;_
                                          火炎弾 赤 Missile.wav;火炎弾 赤 Missile.wav
ラーヴァクロムレク(命中),                 連続爆発
ベリーインレイク(攻撃),                   @東方円月殺法エフェクト 青 MicroMissile.wav;拡散ビーム 青 MicroMissile.wav
ベリーインレイク(命中),                   拡散ビーム 青 GunPod.wav
トリリトンシェイク(攻撃),                 地表衝撃波 黄 残像 Whiz.wav;光球 黄 Beam2.wav
トリリトンシェイク(命中),                 光球 黄 Glass.wav
アグニレイディアンス(攻撃),               周囲回転 Fire\EFFECT_FlameThrowerHit(Red)06.bmp 32 AntiShipMissile.wav 発光 対象ユニットＩＤ 3;_
                                          火炎弾 赤 Missile.wav;光球 赤 AntiShipMissile.wav
アグニレイディアンス(命中),               爆発;爆発
グリーンストーム(攻撃),                   周囲回転 Anime\Common\EFFECT_Leaf01.bmp 32 Storm.wav 発光 対象ユニットＩＤ 3;_
                                          木の葉乱舞 Chaff.wav 対象ユニットＩＤ
グリーンストーム(命中),                   木の葉乱舞 Chaff.wav;木の葉乱舞 Chaff.wav
ロイヤルフレア(攻撃),                     @ロイヤルフレア
ロイヤルフレア(命中),                     超爆発 Explode(Nuclear).wav
シルバードラゴン(攻撃),                   ベアリング Beamvalcan.wav
シルバードラゴン(命中),                   ベアリング gunpod.wav;連続爆発
サイレントセレナ(攻撃),                   六芒星 青 Interference.wav 対象ユニットＩＤ;7;拡散ビーム 青 Beamvalcan.wav
サイレントセレナ(命中),                   拡散ビーム 青 MultipleRocketLauncher.wav
賢者の石(準備),                           周囲回転 Anime\Magic\EFFECT_Hexagram(white)05.bmp 32 Interference.wav 発光 3
賢者の石(攻撃),                           六芒星 白 大 Ice.wav 対象ユニットＩＤ;@東方ホワイトイン 50 MicroMissile.wav
賢者の石(命中),                           拡散ビーム 青 ランダム方向 GunPod.wav
賢者の石(命中),                           拡散ビーム 赤 ランダム方向 GunPod.wav
賢者の石(命中),                           拡散ビーム 桃 ランダム方向 GunPod.wav
賢者の石(命中),                           拡散ビーム 橙 ランダム方向 GunPod.wav
賢者の石(命中),                           拡散ビーム 緑 ランダム方向 GunPod.wav
賢者の石(命中),                           拡散ビーム 黄 ランダム方向 GunPod.wav
賢者の石(命中),                           拡散ビーム 白 ランダム方向 GunPod.wav
ＨＧ・プロミネンス(解説),                 $(ユニット)はハイドロジェナスプロミネンスの呪文を唱えた。
ＨＧ・プロミネンス(攻撃),                 オーラ 赤 Breath.wav;拡散ビーム 青 Laser.wav
ＨＧ・プロミネンス(命中),                 大放電 赤 BeamCoat.wav;拡散ビーム 青 Laser.wav
サテライトヒマワリ(攻撃),                 ＭＡＰビーム 黄 Cannon.wav;ＭＡＰビーム 緑 Cannon.wav
サテライトヒマワリ(命中),                 ホーミングレーザー 黄 Beamvalcan.wav;ホーミングレーザー 緑 Beamvalcan.wav
フロギスティックレイン(攻撃),             球電;球電;ホーミングレーザー 青 Laser.wav
フロギスティックレイン(命中),             ホーミングレーザー 青 Laser.wav;;球電
Ｒダイヤモンドリング(解説),               $(ユニット)はロイヤルダイヤモンドリングの呪文を唱えた。
Ｒダイヤモンドリング(攻撃),               球電;球電;全拡散ビーム 黄 LaserGun.wav
Ｒダイヤモンドリング(命中),               拡散ビーム 黄 LaserGun.wav;球電
#
### 十六夜咲夜 ###
#
阻止(プライベートスクウェア),             分身 Charge(Slow).wav プライベートスクウェア
パーフェクトスクウェア(攻撃),             時間逆行 hide.wav;ＭＡＰフラッシュ Glass.wav
ジャック・ザ・ルドビレ(準備),             ナイフ 二刀流 Reload(4).wav
ジャック・ザ・ルドビレ(攻撃),             @東方投げナイフ 3 Swing.wav 速 Blue;@東方投げナイフ 3 Swing.wav 速 Red;@東方投げナイフ 3 Swing.wav 速 Red
ジャック・ザ・ルドビレ(命中),             連突 Slash.wav
ジャック・ザ・リッパー(準備),             ナイフ 二刀流 Reload(2).wav
ジャック・ザ・リッパー(攻撃),             @東方投げナイフ 3 Swing.wav 速 Blue;@東方投げナイフ 3 Swing.wav 速 Red;@東方投げナイフ 3 Swing.wav 速 Red
ジャック・ザ・リッパー(命中),             連突 Slash.wav
パワーディレクション(準備),               ナイフ 二刀流 Reload(5).wav
パワーディレクション(攻撃),               @東方投げナイフ 4 Swing.wav 速 Blue;@東方投げナイフ Red 4 Swing.wav 速 Red
パワーディレクション(命中),               乱突 Slash.wav
ミスディレクション(準備),                 ナイフ 二刀流 Reload(5).wav
ミスディレクション(攻撃),                 @東方投げナイフ 4 Swing.wav 速 Blue;@東方投げナイフ 4 Swing.wav 速 Red
ミスディレクション(命中),                 乱突 Slash.wav
殺人ドール(攻撃),                         @殺人ドール N
殺人ドール(命中),                         連突 Slash.wav
夜霧の幻影殺人鬼(攻撃),                   ８ＷＡＹ射出;８ＷＡＹ射出
夜霧の幻影殺人鬼(命中),                   @夜霧の幻影殺人鬼
エターナルミーク(攻撃),                   ＭＡＰ連気弾 MicroMissile.wav
エターナルミーク(命中),                   ダメージ 青
#
### レミリア＝スカーレット
#
サーヴァントフライヤー(攻撃),             蝙蝠 Chaff.wav
サーヴァントフライヤー(命中),             @東方投げナイフ命中 Red
ナイトダンス(攻撃),                       ニードルレーザー連射 赤 bow.wav
ナイトダンス(命中),                       ニードル連射
ブラド・ツェペシュの呪い(攻撃),           魔法放射 赤 -.wav;８ＷＡＹ射出 Whiz.wav
ブラド・ツェペシュの呪い(命中),           @東方投げナイフ命中 Blue;重機関砲 Beamvalcan.wav
スターオブダビデ(攻撃),                   全拡散ビーム 赤 Drill(2).wav
スターオブダビデ(命中),                   小ビーム 赤 ランダム方向 Laser.wav;ベアリング GunPod.wav
紅色の冥界(攻撃),                         @千本の針の山
紅色の冥界(命中),                         オールレンジ
スカーレットシュート(攻撃),               光球 赤 Beam.wav;拡散ビーム 赤 Beamvalcan.wav
スカーレットシュート(命中),               拡散ビーム 赤 Beamvalcan.wav
不夜城レッド(攻撃),                       @不夜城レッド 紅符
不夜城レッド(命中),                       旋風 赤
レッドマジック(攻撃),                     オーラ 桃 BeamCoat.wav;拡散ビーム 赤 Beamvalcan.wav
レッドマジック(命中),                     大放電 桃 BeamSaber.wav;拡散ビーム 赤 Beamvalcan.wav
スカーレットデビル(攻撃),                 @不夜城レッド 紅魔
スカーレットデビル(命中),                 旋風 赤;旋風 赤
スカーレットデスティニー(準備),           オーラ上昇 赤 Boot.wav
スカーレットデスティニー(解説),           $(ユニット)はスカーレットディスティニーで攻撃をかけた。
スカーレットデスティニー(攻撃),           @スカーレットディスティニー
スカーレットデスティニー(命中),           小ビーム 赤 stab.wav;stab.wav;1;２連小ビーム 赤 stab.wav;拡散ビーム 赤 stab.wav;大ビーム 赤 inori.wav
#
### フランドール＝スカーレット
#
クランベリートラップ(攻撃),               ４ＷＡＹ射出;６ＷＡＹ射出
クランベリートラップ(命中),               小ビーム 赤 ランダム方向 stab.wav;小ビーム 青 ランダム方向 stab.wav;連続爆発
恋の迷路(攻撃),                           @東方円月殺法エフェクト 白 MicroMissile.wav;全拡散ビーム 青 MicroMissile.wav
恋の迷路(命中),                           ホーミングレーザー 青 Breath.wav
スターボウブレイク(攻撃),                 @スターボウブレイク
スターボウブレイク(命中),                 飛沫 赤;飛沫 青;飛沫 黄;飛沫 緑;飛沫 桃;飛沫 橙;飛沫
レーヴァテイン(準備),                     振る武器 Anime\EFFECT_EPS_Laevatain.bmp 32 発光
レーヴァテイン(攻撃),                     @戦闘アニメ_振る武器準備 Laser\EFFECT_EnergyBlade(Red)03.bmp 128 Charge.wav;_
                                          斬撃 AntiShipMissile.wav;振り上げ AntiShipMissile.wav
レーヴァテイン(命中),                     @レーヴァテイン命中
そして誰もいなくなるか？(命中),           透明化 対象ユニットＩＤ;飛沫 対象ユニットＩＤ;10;@そして誰もいなくなるか？;透明化 対象ユニットＩＤ 解除;飛沫 対象ユニットＩＤ
カタディオプトリック(攻撃),               光球 青 Warship.wav;2;光球 青 Warship.wav;2;光球 青 Explode.wav
カタディオプトリック(命中),               光球 青 Missile.wav;超爆発 Explode(Nuclear).wav
４９５年の波紋(準備),                     オーラ上昇 赤 Boot.wav
４９５年の波紋(攻撃),                     文字ビーム ○ 青 Missile.wav - - 2;８ＷＡＹ射出;@東方ホワイトイン 50 MicroMissile.wav
４９５年の波紋(命中),                     ホーミングレーザー 青 MultipleRocketLauncher.wav
禁じられた遊び(攻撃),                     回転発射 Common\EFFECT_Shine(Red)04.bmp 64 BeamSaber.wav 発光 遅;_
                                          回転発射 Common\EFFECT_Shine(Red)04.bmp 64 BeamSaber.wav 発光 遅
禁じられた遊び(命中),                     ビームサーベル 赤 BeamSaber.wav;2;ビームサーベル 赤 BeamSaber.wav
フォービドゥンフルーツ(攻撃),             文字ビーム ○ 赤 Missile.wav - - 2;ホーミングレーザー 赤 MicroMissile.wav
フォービドゥンフルーツ(命中),             ホーミングレーザー 赤 MultipleRocketLauncher.wav
#
### レティ＝ホワイトロック
#
サークルレーザー(攻撃),                   文字ビーム ○ 白 Beam.wav - 1
サークルレーザー(命中),                   ベアリング Beamvalcan.wav
リンガリングコールド(攻撃),               光球 青 AntiShipMissile.wav;ベアリング Breath.wav 対象ユニットＩＤ
リンガリングコールド(命中),               光球 青 Glass.wav;氷弾
フラワーウィザラウェイ(攻撃),             @フラワーウィザラウェイ
フラワーウィザラウェイ(命中),             小ビーム 白 Laser.wav;ベアリング Storm.wav
アンデュレイションレイ(攻撃),             ベアリング Storm.wav;ニードルレーザー 白 Laser.wav
アンデュレイションレイ(命中),             ベアリング Storm.wav;ニードルレーザー 白 ランダム方向 Laser.wav
テーブルターニング(攻撃),                 ８ＷＡＹ射出;小ビーム 白 Laser.wav;小ビーム 白 Laser.wav
テーブルターニング(命中),                 小ビーム 白 Laser.wav;拡散ビーム 黒 Beamvalcan.wav;拡散ビーム 青 Beamvalcan.wav
コールドスナップ(攻撃),                   煙 白 Snap(E).wav 対象ユニットＩＤ
コールドスナップ(命中),                   ベアリング Storm.wav;ベアリング Storm.wav
ノーザンウィナー(攻撃),                   ベアリング Storm.wav;光球 青
ノーザンウィナー(命中),                   ベアリング Storm.wav;光球 青 Glass.wav
#
### 橙
#
鳳凰卵(攻撃),                             火炎弾 緑 Beam2.wav;火炎弾 赤 Beam2.wav
鳳凰卵(命中),                             光球 緑 Glass.wav;光球 赤 Glass.wav
鳳凰展翅(攻撃),                           火炎弾 緑 Beam2.wav;火炎弾 赤 Beam2.wav
鳳凰展翅(命中),                           光球 緑 Glass.wav;光球 赤 Glass.wav
天仙鳴動,                                 飛びかかり
晴明大紋(攻撃),                           五芒星 緑 MultipleRocketLauncher(Light).wav 対象ユニットＩＤ;粒子噴射 青 Gunpod.wav
晴明大紋(命中),                           光球 緑 Glass.wav;光球 青 Glass.wav
飛翔韋駄天(攻撃),                         ８ＷＡＹ射出;@戦闘アニメ_ＭＡＰ地震攻撃
飛翔韋駄天(命中),                         ベアリング GunPod.wav;ベアリング GunPod.wav
護法天童乱舞(攻撃),                       ＭＡＰ移動タックル 青 FlyBy(High).wav
護法天童乱舞(命中),                       ニードルレーザー 青 ランダム方向 Beam2.wav;ニードルレーザー 紫 ランダム方向 Beam2.wav;小ビーム 黄
護法天童乱舞(命中),                       ニードルレーザー 紫 ランダム方向 Beam2.wav;ニードルレーザー 緑 ランダム方向 Beam2.wav;小ビーム 赤
護法天童乱舞(命中),                       ニードルレーザー 緑 ランダム方向 Beam2.wav;ニードルレーザー 赤 ランダム方向 Beam2.wav;小ビーム 白
護法天童乱舞(命中),                       ニードルレーザー 黄 ランダム方向 Beam2.wav;ニードルレーザー 白 ランダム方向 Beam2.wav;小ビーム 緑
奇門遁甲(攻撃),                           拡散ビーム 緑 MultipleRocketLauncher.wav
奇門遁甲(命中),                           小ビーム 青 ランダム方向;小ビーム 緑 ランダム方向
青鬼赤鬼(攻撃),                           @戦闘アニメ_左右別武器準備 Map\EFFECT_MapHole(Blue)01.bmp 64 発光 Map\EFFECT_MapHole(Red)01.bmp 64 発光 BeamSaber.wav;_
                                          光球 赤;光球 青
青鬼赤鬼(命中),                           光球 赤;光球 青;連続爆発
飛翔毘沙門天(攻撃),                       透明化 対象ユニットＩＤ;スーパータックル 青 Storm.wav
飛翔毘沙門天(命中),                       透明化 対象ユニットＩＤ;大ビーム 青 FlyBy(High).wav;4;ベアリング gunpod.wav;連続爆発
飛び重ね鱗(攻撃),                         スーパーパンチ 黄 Beamvalcan.wav
飛び重ね鱗(命中),                         スーパーパンチ 黄 Whiz.wav;拡散ビーム 黄 Beamvalcan.wav
鳴動持国天(攻撃),                         ベアリング GunPod.wav;ベアリング GunPod.wav
鳴動持国天(命中),                         ベアリング GunPod.wav;ベアリング GunPod.wav
化猫『橙』(攻撃),                         スーパーパンチ乱舞 青 Whiz.wav
化猫『橙』(命中),                         スーパーパンチ乱舞 青 Bazooka.wav
#
### アリス＝マーガトロイド
#
霧の倫敦人形(攻撃),                       周囲回転 EPS_Alice'sDollU.bmp -.wav 3 対象ユニットＩＤ;８ＷＡＹ射出
霧の倫敦人形(命中),                       小ビーム 緑 ランダム方向 Beam2.wav;小ビーム 黄 ランダム方向 Beam2.wav
博愛の仏蘭西人形(攻撃),                   ４ＷＡＹ射出;6;魔法放射 赤 中 Glass.wav;魔法放射 赤 大 Glass.wav
博愛の仏蘭西人形(命中),                   拡散ビーム 赤 gunpod.wav;連続爆発
紅毛の和蘭人形(攻撃),                     周囲回転 EPS_Alice'sDollU.bmp -.wav 3 対象ユニットＩＤ;４ＷＡＹ射出
紅毛の和蘭人形(命中),                     小ビーム 桃;小ビーム 桃
白亜の露西亜人形(攻撃),                   周囲回転 EPS_Alice'sDollU.bmp -.wav 2 対象ユニットＩＤ;６ＷＡＹ射出
白亜の露西亜人形(命中),                   ベアリング Beamvalcan.wav;ベアリング Beamvalcan.wav
博愛の仏蘭西人形(攻撃),                   拡散ビーム 青 Beamvalcan.wav
博愛の仏蘭西人形(命中),                   拡散ビーム 青 ランダム方向 Beamvalcan.wav
博愛のオルレアン人形(攻撃),               拡散ビーム 青 Beamvalcan.wav
博愛のオルレアン人形(命中),               拡散ビーム 白 ランダム方向 Beamvalcan.wav;拡散ビーム 赤 ランダム方向 Beamvalcan.wav;_
                                          拡散ビーム 緑 ランダム方向 Beamvalcan.wav
魔彩光の上海人形(攻撃),                   周囲回転 EPS_ShanghaiDollU.bmp -.wav 1 対象ユニットＩＤ;_
                                          ４ＷＡＹ射出;拡散ビーム 黄 Whiz.wav;光球 青;光球 青;拡散ビーム 橙 Whiz.wav
魔彩光の上海人形(命中),                   拡散ビーム 橙 ランダム方向 Beamvalcan.wav;拡散ビーム 黄 ランダム方向 Beamvalcan.wav
輪廻の西蔵人形(攻撃),                     周囲回転 EPS_Alice'sDollU.bmp -.wav 3 対象ユニットＩＤ;_
                                          ８ＷＡＹ射出;拡散ビーム 緑 Whiz.wav
輪廻の西蔵人形(命中),                     小ビーム 緑 ランダム方向 Beam2.wav;小ビーム 青 ランダム方向 Beam2.wav;_
                                          小ビーム 黄 ランダム方向 Beam2.wav;小ビーム 緑 ランダム方向 Beam2.wav
春の京人形(攻撃),                         周囲回転 EPS_Alice'sDollU.bmp -.wav 3 対象ユニットＩＤ;_
                                          ８ＷＡＹ射出;拡散ビーム 黄 Whiz.wav
春の京人形(命中),                         小ビーム 黄 ランダム方向 Beam2.wav;小ビーム 青 ランダム方向 Beam2.wav;_
                                          小ビーム 緑 ランダム方向 Beam2.wav;小ビーム 黄 ランダム方向 Beam2.wav
首吊り蓬莱人形(攻撃),                     周囲回転 EPS_HouraiDollU.bmp -.wav 1 対象ユニットＩＤ;_
                                          ８ＷＡＹ射出;オーラ 青;全拡散ビーム 黄 Whiz.wav
首吊り蓬莱人形(命中),                     拡散ビーム 黄 ランダム方向 Beamvalcan.wav;拡散ビーム 赤 ランダム方向 Beamvalcan.wav;光球 青 BeamCoat.wav
Ａ・サクリファイス(解説),                 $(ユニット)はアーティフルサクリファイスで攻撃をかけた。
Ａ・サクリファイス(攻撃),                 五芒星 赤 -.wav 相手ユニットＩＤ;回転投擲武器 EPS_Alice'sDollU.bmp 32 発光 遅 Whiz.wav;_
                                          @戦闘アニメ_ＭＡＰオーラ攻撃 赤
Ａ・サクリファイス(命中),                 光球 赤 BeamCoat.wav
リターンイナニメトネス(攻撃),             五芒星 赤 -.wav 対象ユニットＩＤ;回転投擲武器 EPS_Alice'sDollU.bmp 32 発光 遅 Whiz.wav;_
                                          @戦闘アニメ_ＭＡＰオーラ攻撃 赤
