
ロマサガ３
ブロードソード, 青銅剣
アクセルターン(命中), 横大斬撃
ブレードロール(準備), -
ブレードロール(攻撃), 中心回転武器 Weapon\EFFECT_DoubleAx01.bmp;両刃斧突撃 Swing.wav
ブレードロール(命中), 回転斬撃
スカイドライブ(攻撃), トマホーク投擲 AntiAirMissile.wav
スカイドライブ(命中), 魔法放射 橙 中 Slash.wav
次元断(攻撃), 斬撃 BeamSaber.wav
次元断(命中), ダメージ EvilEye.wav
マキ割ダイナミック(攻撃), スーパーダイブ
マキ割ダイナミック(命中), 唐竹割り Crash.wav
デッドリースピン(攻撃), 分身斬撃
デッドリースピン(命中), 斬撃乱舞
ジンギスカン(攻撃), タックル
ジンギスカン(命中), 連斬撃
ファイナルストライク(攻撃), 光球放出 紫 Glass.wav
ファイナルストライク(命中), 魔法放射 紫 大 Explode(Far).wav
オービットボーラ(攻撃), 透明化;音再生 Swing.wav;音再生 Swing.wav;音再生 Swing.wav;音再生 Swing.wav
オービットボーラ(命中), 連斬撃
### 棍棒技
脳天割り(攻撃), 斬撃
脳天割り(命中), 打突
エアロビート(攻撃), 斬撃 AntiAirMissile.wav
エアロビート(命中), 強打 Explode.wav
回転撃(攻撃), 中心回転武器 Weapon\EFFECT_Hammer01.bmp
回転撃(命中), 連打
ハードヒット(攻撃), タックル
ハードヒット(命中), 強打
ジャストミート(攻撃), なぎ払い
ジャストミート(命中), 強打
骨砕き(攻撃), 斬撃
骨砕き(命中), 強打;放電
活殺重力破(攻撃), 斬撃
活殺重力破(命中), 発光 赤 Shock(Low).wav
大震撃(攻撃), 振動 相手ユニットＩＤ
大震撃(命中), アッパー
削岩撃(攻撃), 振り下ろし
削岩撃(命中), 連打 Crash.wav
かめごうら割り(攻撃), 急降下
かめごうら割り(命中), 発光 緑 Crash.wav
グランドスラム, ＭＡＰ地震
パワーヒール, 回復魔法
ブレス, 回復魔法
居合い抜き, なぎ払い
抜刀ツバメ返し(攻撃), 音再生 Whiz.wav
抜刀ツバメ返し(命中), 超斬撃 Sword.wav
### 小剣技
フェイント(攻撃), 刺突
フェイント(命中), -
インプリズン(攻撃), 連突 Sword.wav
インプリズン(命中), 発光 黒 Reload.wav
マインドステア(攻撃), 刺突
マインドステア(命中), 発光 青 Inori.wav
アクセルスナイパー(準備), 音再生 Flair.wav
アクセルスナイパー, 刺突
スネークショット(攻撃), 光投射 黒 AntiAirMissile.wav
スネークショット(命中), ダメージ Stab.wav
ライトニングピアス(攻撃), 刺突
ライトニングピアス(命中), 刺突;放電
ファイアクラッカー(攻撃), 分身刺突
ファイアクラッカー(命中), 分身刺突
サザンクロス(攻撃), 刺突
サザンクロス(命中), 発光 青 Slash.wav;音再生 Slash.wav;音再生 Slash.wav;音再生 Slash.wav;音再生 Slash.wav
ファイナルレター(攻撃), 振る武器突撃 -.bmp
ファイナルレター(命中), 決め文字 Ｚ 赤 Slash.wav
スクリュードライバー(攻撃), 刺突 Drill.wav
スクリュードライバー(命中), 大刺突 Slash.wav
ウェアバスター(攻撃), 刺突
ウェアバスター(命中), ダメージ 赤 Stab.wav
蛇剣(攻撃), 光投射 黒 AntiAirMissile.wav
蛇剣(命中), ダメージ Stab.wav
### 槍技
足払い(攻撃), なぎ払い
足払い(命中), アッパー
ミヅチ(攻撃), 光投射 黒 AntiAirMissile.wav
ミヅチ(命中), ダメージ Stab.wav
石突き(準備), -
石突き(攻撃), 中心回転武器 Weapon\EFFECT_Spear01.bmp
石突き(命中), 連打
二段突き, 刺突;刺突
脳削り(攻撃), 刺突
脳削り(命中), 刺突;放電
風車(攻撃), 中心回転武器 Weapon\EFFECT_Spear01.bmp
風車(命中), 回転斬撃
エイミング(準備), -
エイミング(攻撃), ロックオン;中心回転武器 Weapon\EFFECT_Spear01.bmp;刺突
エイミング(命中), 刺突
大車輪(準備), -
大車輪(攻撃), 中心回転武器 Weapon\EFFECT_Spear01.bmp;スピア突撃 Swing.wav
大車輪(命中), 回転斬撃
双龍破(攻撃), 竜炎 色=赤=青 AntiAirMissile.wav
双龍破(命中), 竜炎 色=赤=青 なし
流星衝(攻撃), 急降下;音再生 Beam.wav
流星衝(命中), 中ビーム 黄
チャージ(攻撃), 振る武器突撃 -.bmp
チャージ(命中), 超打 Explode.wav
スパイラルチャージ(攻撃), スーパータックル 青 Drill.wav
スパイラルチャージ(命中), スーパータックル 青 Stab.wav
活殺獣神衝(攻撃), 急降下
活殺獣神衝(命中), オーラ上昇 黄 Shock(Low).wav
無双三段(攻撃), 振る武器突撃
無双三段(命中), 強打;大刺突;@戦闘アニメ_振り上げ攻撃;投げ飛ばし
ラウンドスライサー, 分身刺突
勝利の詩, ＭＡＰ音符
### 弓技
影ぬい(準備), 弓矢
影ぬい(攻撃), 弓矢
影ぬい(命中), 音再生 Stab.wav
でたらめ矢(攻撃), 弓矢連射
フラッシュアロー(攻撃), 発光 白;弓矢連射
フラッシュアロー(命中), 矢
瞬速の矢(準備), 弓矢 Flair.wav
瞬速の矢(攻撃), 弓矢
瞬速の矢(命中), 矢
ビーストチェイサー(準備), 弓矢
ビーストチェイサー(攻撃), 弓矢 Reload(5).wav
ビーストチェイサー(命中), 矢
イド・ブレイク(準備), 弓矢
イド・ブレイク(攻撃), 弓矢
イド・ブレイク(命中), 爪撃 Stab.wav
サイドワインダー(準備), 弓矢
サイドワインダー(攻撃), 弓矢 AntiShipMissile.wav
サイドワインダー(命中), 矢
ショットウェイヴ(準備), 弓矢
ショットウェイヴ(攻撃), 弓矢
ショットウェイヴ(命中), ダメージ Breath.wav
プラズマショット(準備), 弓矢
プラズマショット(攻撃), 弓矢
プラズマショット(命中), 矢;放電
影殺し(準備), 弓矢
影殺し(攻撃), 弓矢
影殺し(命中), 重力圧縮 Whiz.wav
ミリオンダラー(準備), 弓矢
ミリオンダラー(攻撃), ＭＡＰビーム 白
ミリオンダラー(命中), 中ビーム 白
連射(準備), 弓矢
連射(攻撃), 弓矢;矢連射;矢連射
連射(命中), 乱突 Stab.wav;矢
妖精の矢(準備), 妖精 Sharara.wav
妖精の矢, 弓矢
### 体術
サミング(攻撃), 打突
サミング(命中), 点打 白 Stab.wav
空気投げ(命中), 投げ飛ばし
稲妻キック(攻撃), キック
超次元ペルソナ(攻撃), 打突
超次元ペルソナ(命中), 飛沫 青 Glass.wav
短剄(攻撃), 打突
短剄(命中), 発光 黄 Charge.wav
逆一本, 投げ飛ばし
練気拳(攻撃), オーラ 紫 BeamSaber.wav
練気拳(命中), 打突
ジャイアントスイング, ジャイアントスイング
活殺破邪法(準備), 粒子集中 橙
活殺破邪法(攻撃), 打突
活殺破邪法(命中), 発光 青 BeamGun.wav
流星蹴り(命中), 投げ飛ばし;スーパーキック
ナイアガラバスター, ブレーンバスター
龍神烈火拳(攻撃), 乱打
龍神烈火拳(命中), 乱打;超打 Crash.wav
タイガーブレイク, スーパータックル 黄
集気法, 粒子集中 黄
### 蒼龍術
ナップ, 粒子噴射 黄 Wind.wav
ソーンバインド(命中), ダメージ Whip.wav
ウィンドダート, 地表衝撃波 緑
サクション, 吸収 青
トルネード(準備), 龍召喚 緑 Flair.wav
トルネード(攻撃), 龍 緑 Breath.wav
トルネード(命中), 竜巻 Storm.wav 緑
分身(ダンシングリーフ), 木の葉乱舞
### 朱鳥術
バードソング(攻撃), ＭＡＰ音符
エアスラッシュ(攻撃), シュートカッター 赤 Bow.wav
エアスラッシュ(命中), 旋風 赤 Slash.wav
セルフバーニング(命中), 炎 赤
攻撃無効化(セルフバーニング), 炎 赤
ファイアウォール(攻撃), 実弾発射 Action\EFFECT_Burn06.bmp 64 Fire.wav 遅 残像
ファイアウォール(命中), 炎 赤
攻撃無効化(ファイアウォール), 炎 赤
### 白虎術
ストーンバレット(攻撃), 実弾発射 Weapon\EFFECT_Rock01.bmp
クラック(攻撃), ＭＡＰ地震
クラック(命中), ダメージ
超重力(攻撃), 発光 黒 相手ユニットＩＤ Shock(Low).wav;発光 黒 相手ユニットＩＤ Shock(Low).wav;発光 黒 相手ユニットＩＤ Shock(Low).wav
超重力(命中), 重力圧縮
アースヒール, 回復魔法
### 玄武術
スパークリングミスト, ＭＡＰ煙 白 BeamSaber.wav
スコール(命中), 粒子集中 青 Applause.wav
サンダークラップ(攻撃), ＭＡＰ光球 青 Thunder.wav
サンダークラップ(命中), 球電
生命の水, 回復魔法
神秘の水, 回復魔法
分身(ウォーターポール), 飛沫 青 Splash.wav
### 太陽術
サンシャイン(攻撃), 発光 黄
スターフィクサー(命中), 光柱 Beam.wav
ヒートウェイヴ(命中), 粒子噴射 白 Inori.wav
太陽風(攻撃), ＭＡＰブラックホール Breath.wav 橙
デイブレーク(攻撃), 魔法放射 大 橙 Charge(High).wav
デイブレーク(命中), ダメージ EvilEye.wav
再生光, 回復魔法
分身(幻日), 分身
### 月術
月読の鏡(命中), 発光 黄 BeamSaber.wav
シャドウボルト(攻撃), 光投射 黒 BeamSaber.wav
シャドウボルト(命中), 爆発 黒
ソウルフリーズ(攻撃), 吹雪
ソウルフリーズ(命中), 吹雪 Glass.wav
ムーンシャイン, 回復魔法
### 四魔貴族他
凝視(命中), 発光 桃 Fold.wav
サイレン(攻撃), ＭＡＰ音符
サンダーボール, 球電
超音波, 音波
アースライザー(攻撃), ＭＡＰブラックホール SHock(Low).wav 水色
三連撃(命中), 噛み付き;炎 赤;噛み付き
三連撃(命中), 炎 赤;噛み付き;炎 赤
超高速ナブラ(攻撃), 分身斬撃
超高速ナブラ(命中), 決め文字 ▽ 赤 Sword.wav
トリニティブラスター, 火炎放射;刺突;噛み付き
グライダースパイク, スーパータックル 緑
テラーボイス, 音波
ブラックジャック, 打突
ファングクラッシュ, 噛み付き
地震(攻撃), ＭＡＰ地震
地震(命中), ダメージ
大回転(攻撃), 白兵回転;ＭＡＰシュートカッター 黄 Swing.wav
大回転(命中), 斬撃
ぶちかまし, タックル
やきごて, 炎斬撃
最強打, 超打
舞千鳥, 連斬撃
大震撃(攻撃), 振動 相手ユニットＩＤ
大震撃(命中), アッパー
明王拳, 乱打
スコール(命中), 粒子集中 青 Applause.wav
尾撃, 強打
角, 刺突
落雷, 落雷
メイルシュトローム(攻撃), ＭＡＰブラックホール Charge(High).wav 青
メイルシュトローム(命中), ダメージ 青 Inori.wav
のみこむ(攻撃), タックル
のみこむ(命中), 噛み付き Fold.wav
トライデント, 刺突
二段突き, 刺突;刺突
マッドサンダー(準備), -
マッドサンダー(攻撃), 落雷;落雷;落雷
マッドサンダー(命中), 落雷
マイティサイクロン, ジャイアントスイング
大鎌, 斬撃
ヒートウェイヴ(命中), 粒子噴射 白 Inori.wav
セルフバーニング(攻撃), 炎 赤
烈風剣(準備), -
烈風剣(攻撃), 旋風
烈風剣(命中), 旋風 Slash.wav
三段斬り, 斬撃;斬撃;斬撃
火炎, 炎投射 赤
死神のカマ(準備), -
死神のカマ(攻撃), 決め画像 Anime\Action\EFFECT_Bloodcurdling03.bmp Search.wav 背面
死神のカマ(命中), ビームサーベル 赤 Slash.wav
エアスラッシュ(攻撃), シュートカッター 赤 Bow.wav
エアスラッシュ(命中), 旋風 赤 Slash.wav
ブレードネット(準備), -
ブレードネット(攻撃), シュートカッター 白 AntiAirMissile.wav
ブレードネット(命中), 斬撃
クラック(攻撃), ＭＡＰ地震
クラック(命中), ダメージ
メガサクション, 吸収 青
グランドクロウズ(攻撃), 地表衝撃波 緑
グランドクロウズ(命中), オーラ上昇 黒 MultipleRocketLauncher.wav
ノッキング, 連突
カオスディザスター(攻撃), 火炎放射 青 Interference.wav;火炎放射 赤 AntiAirMissile.wav
カオスディザスター(命中), 火炎放射 青 Glass.wav;火炎放射 赤 Fire.wav
破壊の槍, 刺突
アビスの風, 旋風 黒
電撃(攻撃), 怪光線 Thunder.wav
電撃(命中), 怪光線
冷気(攻撃), 吹雪
冷気(命中), 吹雪 Glass.wav
ツインスパイク(攻撃), 急降下;スーパータックル 緑 partner(1)
ツインスパイク(命中), スーパータックル 緑 partner(1);急降下;オーラ上昇 白 -.wav
