
### 剣技 ##########

抜刀ツバメ返し,         1700, 1, 1,  +0,  1,  30, 120, AAAA, +30, 武共L10

### 槍技 ##########

足払い,                    0, 1, 1, +10,  -,   -,   -, -AAA, +15, 突止
ミヅチ,	                1200, 1, 3, -10,  -,  10,   -, AAAA, +10, 格毒
石突き,                 1300, 1, 1, -15,  -,   5,   -, AAAA,  +0, 突
二段突き,               1300, 1, 1, +15,  -,  10,   -, AAAA,  +5, 武
脳削り,                 1300, 1, 1, +10,  -,  10,   -, AAAA,  +5, 武不L1
風車,                   1400, 1, 1,  +0,  -,  10,   -, AAAA, +15, 武反
エイミング,             1500, 1, 1, +20,  -,  15,   -, AAAA, +20, 武攻後
大車輪,                 1600, 1, 2, -15,  -,  30,   -, AAAA, -10, 武格Ｐ
双龍破,                 1600, 1, 3, -10,  -,  30, 110, AABA,  +0, 格
流星衝,	                1600, 1, 4, -10,  1,  20, 110, AABA, +20, 格実止L3
チャージ,               1700, 1, 1, -15,  -,  30, 110, AAAA, +10, 武
スパイラルチャージ,     1800, 1, 1, +10,  -,  35, 110, AAAA, +10, 武
活殺獣神衝,             1800, 1, 1,  +5,  -,  40, 110, AAAA, +20, 武低攻
無双三段,               2300, 1, 1,  +0,  -,  70, 130, AAAA, +20, 武

ラウンドスライサー,     2000, 1, 1, -15,  -,  60, 120, AAAA, +20, 武

### 弓技 ##########

影ぬい,                    0, 1, 3, -10,  3,   -,   -, AABA, +15, 実格縛
でたらめ矢,             1000, 1, 3, -30,  -,  25,   -, AABA, -10, 実格Ｍ扇L2
フラッシュアロー,       1100, 1, 3, -20,  -,  25,   -, AABA, -10, 実格Ｍ扇L2盲
瞬速の矢,               1300, 1, 4, +30,  -,  10,   -, AABA, +10, 実格
ビーストチェイサー,     1300, 1, 2, +10,  -,  10,   -, AABA,  +5, 実格獣Ｐ
イド・ブレイク,         1300, 1, 3,  -5,  -,  10,   -, AABA, +15, 実格乱
サイドワインダー,       1500, 1, 3, +15,  -,  10,   -, AAAA,  +0, 実格
ショットウェイヴ,       1500, 1, 4,  +5,  -,  15, 105, AABA,  +0, 実格
プラズマショット,       1500, 1, 4,  +5,  -,  20, 110, AA-A, +10, 実格雷痺L1
影殺し,                 1700, 1, 3, -20,  -,  30, 130, AAAA, +20, 実格精衰L1
ミリオンダラー,         1800, 1, 5, +10,  -,  60, 120, AAAA,  +0, Ｍ拡格
連射,                   2000, 1, 3, -25,  -,  40, 120, AABA,  +0, 実格連L10

妖精の矢,               1400, 1, 4, +20,  -,  20,   -, AAAA, +10, 魔実格

### 体術 ##########

パンチ,                 1000, 1, 1, +30,  -,   -,   -, AAAA,  +0, 突
キック,                 1100, 1, 1, +20,  -,   -,   -, AAAA,  +0, 突
サミング,               1100, 1, 1,  +0,  -,   5,   -, AAAA, +10, 突盲
空気投げ,               1300, 1, 1,  +5,  -,  10,   -, AAAA,  +5, 接
稲妻キック,             1400, 1, 1, +15,  -,  10,   -, AAAA, +10, 突雷
超次元ペルソナ,         1400, 1, 1, +25,  -,  15,   -, AAAA,  +0, 接痛L2
短剄,                   1500, 1, 1,  +0,  -,  15, 110, AAAA, +15, 突
逆一本,                 1600, 1, 1, -10,  -,  30, 110, AAAA,  +0, 突
練気拳,                 1600, 1, 3, -15,  -,  30, 110, AAAA, +20, 格引
ジャイアントスイング,   1700, 1, 1, -25,  -,  25, 120, AAAA, +20, 突ＫL1
活殺破邪法,             1700, 1, 1, +15,  -,  35, 115, AAAA, +20, 突聖
流星蹴り,               1800, 1, 1, -20,  -,  40, 100, AAAA, +10, 突
ナイアガラバスター,     1800, 1, 1, -15,  -,  40, 110, AAAA,  +0, 突
タイガーブレイク,       2100, 1, 1,  +0,  -,  50, 125, AAAA,  +5, 接
龍神烈火拳,             2300, 1, 1, +15,  -,  75, 120, AAAA, +10, 突

集気法,                      回復Lv2, 0,  -,  10,   -, -

### 蒼龍術 ########

ナップ,                    0, 1, 2, +30,  -,  10,   -, AA-A,  +5, 魔術眠
ソーンバインド,          800, 1, 3, +10,  -,  20,   -, -ABA,  +5, 魔術縛
ウィンドダート,         1200, 1, 4, +15,  -,   5,   -, AABA, +10, 魔術風
サクション,             1500, 1, 3, -10,  -,  25,   -, AAAA,  -5, 魔術吸
トルネード,             1800, 1, 4, +10,  -,  35,   -, AABA, +10, 魔術風

### 朱鳥術 ########

バードソング,            200, 1, 3, +20,  -,  20,   -, AA-A, +15, 魔術Ｍ全音Ｓ
エアスラッシュ,         1200, 1, 4,  -5,  -,   5,   -, AACA,  +5, 魔術火
セルフバーニング,       1400, 1, 1, +30,  -,  10,   -, AA-A,  +0, 魔術火射(自動反撃)
ファイアウォール,       1700, 2, 4, -10,  -,  25,   -, AACA,  -5, 魔術火

### 白虎術 ########

ストーンバレット,       1000, 1, 3, +10,  -,   5,   -, AACA,  +0, 魔術地
クラック,               1500, 1, 3, -10,  -,  15,   -, -AC-,  +0, 魔術地
超重力,                 2000, 1, 3, +10,  -,  45, 110, AABA,  +0, 魔術重低運低移

アースヒール,                回復Lv2, 1,  -,  10,   -, 魔術

### 玄武術 ########

スパークリングミスト,      0, 1, 3, +10,  -,  20,   -, AA-A, +15, 魔術撹Ｍ投L1
スコール,                900, 1, 3, +20,  -,   5,   -, AA-A, -10, 魔術水
サンダークラップ,       1600, 1, 3,  +5,  -,  60, 110, AAAA,  +5, 魔術雷Ｍ投L1

生命の水,                    回復Lv2, 1,  -,  10,   -, 魔術
神秘の水,                       治癒, 1,  -,  10,   -, 魔術

### 太陽術 ########

サンシャイン,           1000, 1, 3,  +5,  -,   5,   -, AAAA, -10, 魔術聖
スターフィクサー,       1300, 1, 4,  -5,  -,  10,   -, AACA,  +0, 魔術Ｂ
ヒートウェイヴ,         1400, 1, 3, +20,  -,  10,   -, AA-A, -10, 魔術火風
太陽風,                 1600, 1, 3, -10,  -,  60, 110, AA-A,  +0, 魔術Ｍ全火冷雷風
デイブレーク,           1700, 1, 4,  +5,  -,  35, 100, AAAA, -40, 魔術殺

再生光,                 回復Lv4 治癒, 3,  -,  35,   -, 魔術

### 月術 ##########

月読の鏡,                  0, 2, 5,  +0,  -,  35, 100, AAAA, +20, 魔術死衰L2
シャドウボルト,         1100, 2, 4, -10,  -,   5,   -, AAAA,  +0, 魔術
ソウルフリーズ,         1600, 1, 3, -10,  -,  30,   -, AAAA, +10, 魔術冷痺

ムーンシャイン,    回復Lv3 治癒=盲目, 3,  -,  30,   -, 魔術

