ロマサガ３
なぎ払い(命中), Saber.wav
流星衝(命中), BreakOff.wav
勝利の詩, Charge(long).wav
ミリオンダラー, Whiz.wav;1;Bow.wav
でたらめ矢, 1;Bow.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav
ショットウェイヴ(命中), Hide.wav
連射, 1;Bow.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav
連射(命中), 1;Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav
フラッシュアロー, Hittyuu.wav
瞬速の矢(準備), Flair.wav
瞬速の矢, -.wav
プラズマショット, Thunder.wav
影殺し(命中), -.wav
妖精の矢, 1;Sharara.wav;4;Bow.wav;1;Bow.wav
超次元ペルソナ(命中), Glass.wav
短剄(命中), Charge.wav
活殺破邪法(命中), Charge(long).wav
稲妻キック(命中), Thunder.wav
龍神烈火拳(命中), 2;Punch(2).wav;2;Combo.wav;2;Clash.wav
練気拳, BeamSaber.wav
集気法, 1;Charge.wav;2;Sharara.wav
逆一本(命中), Shock(Low).wav
タイガーブレイク, Charge.wav
タイガーブレイク(命中), Explode.wav
ジャイアントスイング(命中), 5;Swing.wav;4;Swing.wav;3;Swing.wav;2;Swing.wav;1;Swing.wav;4;Bomb.wav;4;Shock(Low).wav
ソーンバインド(準備), Whiz.wav
ソーンバインド, 1;Stab.wav;Stab.wav;Stab.wav
ナップ(準備), Whiz.wav
ナップ, Wind.wav
分身(ダンシングリーフ), Wind.wav
ウインドダート(準備), Whiz.wav
ウインドダート, 2;Missile.wav;2;Missile.wav;2;Missile.wav
サクション(準備), Whiz.wav
サクション, BeamShot.wav
トルネード(準備), Whiz.wav
トルネード, Storm.wav
エアスラッシュ(準備), Whiz.wav
エアスラッシュ, Bow.wav
セルフバーニング(準備), Whiz.wav
セルフバーニング, Explode(Small).wav
バードソング(準備), Whiz.wav
バードソング, Bird.wav
ファイアウォール(準備), Whiz.wav
ファイアウォール, Fire.wav
ハードファイアー(準備), Whiz.wav
ハードファイアー, AntiAirMissile.wav
フェザーシール(準備), Whiz.wav
フェザーシール, Hide.wav
ストーンバレット(準備), Whiz.wav
ストーンバレット, Punch.wav
クラック(準備), Whiz.wav
クラック, GunPod.wav
超重力(準備), Whiz.wav
超重力, Explode(Far).wav
アースヒール(準備), Whiz.wav
アースヒール, Sharara.wav
スコール(準備), Whiz.wav
スコール, Shower.wav
生命の水(準備), Whiz.wav
生命の水, Sharara.wav
神秘の水(準備), Whiz.wav
神秘の水, Sharara.wav
分身(ウォーターポール), Bubble.wav
スパークリングミスト(準備), Whiz.wav
スパークリングミスト, Search.wav
サンダークラップ(準備), Whiz.wav
サンダークラップ, 2;Thunder.wav;2;Thunder.wav;2;Thunder.wav
スターフィクサー(準備), Whiz.wav
スターフィクサー, BeamShot.wav
デイブレーク(準備), Whiz.wav
デイブレーク, Beam.wav
サンシャイン(準備), Whiz.wav
サンシャイン, BeamSaber.wav
ヒートウェイヴ(準備), Whiz.wav
ヒートウェイヴ, Storm.wav
太陽風(準備), Whiz.wav
太陽風, 2;BeamShot.wav;2;BeamShot.wav;2;BeamShot.wav;2;BeamShot.wav
再生光(準備), Whiz.wav
再生光, Sharara.wav
シャドウボルト(準備), Whiz.wav
シャドウボルト, Bow.wav
月読の鏡(準備), Whiz.wav
月読の鏡, BeamCoat.wav
ムーンシャイン(準備), Whiz.wav
ムーンシャイン, Sharara.wav
ソウルフリーズ(準備), Whiz.wav
ソウルフリーズ, 1;Storm.wav;3;Glass.wav
シャドウサーバント(準備), Whiz.wav
凝視, Search.wav
グライダースパイク(準備), 2;Whiz.wav;2;Whiz.wav;2;Whiz.wav;2;Whiz.wav
グライダースパイク, Jet.wav
グライダースパイク(命中), Clash.wav
冷気, Breath.wav
電撃, Thunder.wav
火炎, Breath.wav
凝視, Search.wav
サイレン, PatrolCar.wav
サンダーボール, 1;Thunder.wav;1;Cannon.wav
超音波, BeamShot.wav
アースライザー(準備), Whiz.wav
アースライザー, Charge.wav
三連撃(命中), Punch(3).wav
三連撃(命中), 2;Stab.wav;2;Slash.wav;2;Punch.wav
三連撃(命中), 2;Slash.wav;2;Punch.wav;2;Stab.wav
三連撃(命中), 2;Punch.wav;2;Stab.wav;2;Slash.wav
超高速ナブラ, Hittyuu.wav
トリニティブラスター, 2;Fire.wav;2;PatrolCar.wav;2;Fold.wav
トリニティブラスター, 2;Stab.wav;2;Thunder.wav;2;Fire.wav
トリニティブラスター, 2;Fold.wav;2;Fire.wav;2;Slash.wav
テラーボイス, Alarm.wav
地震, GunPod.wav
大回転, 1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav
大回転(命中), Saber.wav
ぶちかまし(命中), Clash.wav
やきごて, Fire.wav
最強打(命中), 2;Punch(2).wav;2;Clash.wav
グランドクロウズ, MultipleRocketLauncher(Light).wav
スクリュードライバー(命中), Shock(Low).wav
明王拳(命中), 4;Combo.wav;2;Shock(Low).wav
角(命中), Slash.wav
落雷, Thunder.wav
飲みこみ(命中), Fold.wav
メイルシュトローム, Charge(high).wav
マッドサンダー, 3;Thunder.wav;3;Thunder.wav;3;Thunder.wav
マイティサイクロン(命中), 5;Swing.wav;4;Swing.wav;3;Swing.wav;2;Swing.wav;1;Swing.wav;4;Bomb.wav;4;Shock(Low).wa
烈風剣, MultipleRocketLauncher.wav
三段斬り(命中), 2;Slash.wav;2;Slash.wav;2;Slash.wav
メガサクション, BeamShot.wav
ブレードネット(命中), Slash.wav
ノッキング(命中), Combo.wav
カオスディザスター, Breath.wav
カオスディザスター(命中), 4;Fire.wav;Glass.wav
アビスの風, Storm.wav
フェイタルミラー, BeamSaber.wav
