紅拳
発進(レッドバロン), うぉぉぉーーーっ！;レッドバロン！: ファイヤァー！！！
ダメージ大, ぬぉっ！？ ま、まだ戦えるぜ・・・
ダメージ大, オ、オレはこんな所で負けねぇ！！！
ダメージ大, どぁ～！？ このままじゃヤベえぜっ！！
ダメージ大, バロン頼むぜ、もう少しがんばってくれよ！！
ダメージ大, まだだっ！ この命尽きるまで戦ってやるっ！！
ダメージ大, な、なんて奴だ！！ バロンが押されてるぜ！？
ダメージ大, くそぉ～！？ このまま負けるわけにはいかねぇ！！
ダメージ大, そ、そんな！？ オレとバロンと押されている！？
ダメージ大, な、なんてこった！？ オレが押されてるだとっ！？
破壊, そ、そんなバカなぁっ！？
破壊, オレが負けるなんて、バカな……
破壊, ち、ちきしょうぉぉぉーーっ！！！
破壊, くそぉ・・・翔子すまねぇ……
脱出, すまねぇみんな！ 後は頼む！
射程外, てめえ卑怯だぜっ！！
射程外, やろぉ～卑怯なマネしやがって！
射程外, くそぉ～汚ねぇぞっ！！
射程外, ちっ！ どうすりゃ良いんだ！？
射程外, 正々堂々勝負しやがれ！！
攻撃, そらっ！！
攻撃, そこだぁ！
攻撃, 行くぜっ！！
攻撃, 食らえっ！！
攻撃, はぁぁーっ！！
攻撃, そこかぁっ！！
攻撃, もらったぁ～！！
攻撃, そりゃーーっ！！
攻撃, これでもくらえ～！
攻撃, てやぁぁーーっ！！
攻撃, どりゃぁぁーーっ！！
攻撃, あたたたたぁ～っ！！！
攻撃, これでどうだぁーーっ！！
攻撃, オレが世界最強だぁっ！！
攻撃(反撃), このぉ～！！
攻撃(反撃), こっちから行くぜ！
攻撃(反撃), 絶対、許るせねぇ！！！
攻撃(反撃), やられてばかりいられるかよっ！
攻撃(反撃), てめえの勝手にはさせねぇぜっ！！
攻撃(反撃), やられてばかりじゃいられないぜ！！
攻撃(反撃), うぉぉお！！ チャンピオンをなめるなよっ！！
かけ声, 行くぜ！
かけ声, 必殺っ！！
かけ声, 食らえ！！
かけ声, うぉぉぉーーっ！！
かけ声, 行くぜ！;行くぜ！ 必殺っ！！
エレクトリッガー, エレクト！ リッガァァーー！！
エレクトリッガー, エレクト！: リッガァァーー！！
エレクトリッガー(レッドバロン(サイコパワー)), エレクト！ リッガァァーー！！
エレクトリッガー(レッドバロン(サイコパワー)), エレクト！: リッガァァーー！！
エレクトリッガー(レッドバロン(サイコパワー)), フライングエレクトリッガァァァーー！！
エレクトリッガー(レッドバロン(サイコパワー)), フライング！: エレクト！; リッガァァーー！！
ローリングサンダー, ロォォーーリング！ サンダァァァァーーッ！！！
ローリングサンダー, ローリング！: サンダァァーーーっ！！！！
ローリングサンダー(レッドバロン(サイコパワー)), ロォォーーリング！ サンダァァァァーーッ！！！
ローリングサンダー(レッドバロン(サイコパワー)), ローリング！: サンダァァーーーっ！！！！
ローリングサンダー(レッドバロン(サイコパワー)), フライング！ ロォォーーリング！ サンダァァァァーーッ！！！
ローリングサンダー(レッドバロン(サイコパワー)), フライング！: ローリング！: サンダァァーーーっ！！！！
Ａブレードエレクトリッガー, アームブレード！ エレクト！ リッガァァーー！！
Ａブレードエレクトリッガー, アームブレード！: エレクト！: リッガァァーー！！
サイコパワーエレクトリッガー, サイコパワー全快っ！！;エレクト！: リッガァァーー！！
サイコパワーエレクトリッガー, オレの心は燃えている！！:.サイコパワー！！: エレクトリッガァァーー！！
熱血, うぉぉ～！ 熱く燃えるぜっ！！！
熱血, うおぉぉ～！！ 燃えてきたぜ！！
熱血, オレは燃えてるぜぇ～！！
復活, オレの心の炎はまだ消えてないぜ……
復活, へへ、バロンとオレはまだ戦えるぜ……


柳孔明
発進, はぁぁぁーーっ！！;$(機体)、見参っ！！
回避, ふふふ
回避, 食らいませんよ！
回避, 私はここです
回避, 危ない危ない
回避, 間合いが甘い！
回避, はは、ここですよ！
回避, 危ない所でしたね
回避, 料理も戦いも見た目が大事です
回避, あなたも中国料理を学んではいかがです？
回避, ふ、素材が悪いと料理もどうしようがありませんね
回避, あなたの攻撃はまるで弱火で黒コゲなった餃子のようだ
ダメージ小, ふっ、素材の味が死んでいますね
ダメージ小, あなたの技はその程度ですか？
ダメージ小, まだまだ素材を生かし切っていないようですね
ダメージ小, ふっ、あなたの攻撃はまるで伸びきったラーメンのようだ
ダメージ小, 所詮あなたは私の手のひらの餃子の皮に立っているだけのようですね
ダメージ小, 料理は「火」が命といいますが、あなたはそれを理解していないようだ
ダメージ中, 流石、やりますね！
ダメージ中, くそ、なんて事だ！
ダメージ中, うっ、油断は禁物ですね……
ダメージ中, ほぉ～なかなかの腕だ！！
ダメージ中, なんと！？ あなどれん！！
ダメージ中, ほぉ～なかなかの素材をお持ちですね
ダメージ中, いかん、私としたところが間合いを読み違えてしまいました
ダメージ大, うぉ、何だと！？
ダメージ大, どぁぁーーーっ！？
ダメージ大, そ、そんな馬鹿な！？
ダメージ大, 今のままではヤバイですね……
ダメージ大, くっ、集中力が落ちているのか！？
ダメージ大, なんと！？ 私がここまで押されるとは……
ダメージ大, 拙い！ このままではやられていまいます！！
破壊, 私がやられるとはそんな馬鹿な事が！？
破壊, 修行がまだ足りませんでしたか……
脱出, 皆さんすみません、後は頼みます！
射程外, 無理か・・・
射程外, ぬっ、姑息な！
射程外, 飛び道具とは無粋な、正々堂々と戦いなさい！
攻撃, せやっ！！
攻撃, 行くぞ！！
攻撃, 行きますよ！
攻撃, とぉーーっ！！
攻撃, はぁーーっ！！
攻撃, あちょーーっ！！
攻撃, これでどうです！！
攻撃, てやぁーーーっ！！
攻撃, ゆるしてください、これも勝負ですので！
攻撃, 戦いとは非情なものです……
攻撃, さぁ、中国四千年の技を見せてあげましょう！
攻撃, 料理が冷めてしまわないうちに、あなたを倒して差し上げますよ！
攻撃, 本当に素晴らしいコックとは枝豆をゆでるのにも全力を傾ける、中国のことわざです！
龍覇旋風脚, 行きます！;龍覇！:龍覇 旋風脚！！！;てやぁぁぁーーー！！！！
龍覇旋風脚, 必殺！ 龍覇旋風脚！！！
天昇龍神拳, この攻撃見切れますか？; 行きます！: 天昇龍神拳！！！
天昇龍神拳, 食らえ！ 天昇龍神拳！！！
究極超絶龍, 神龍よ！ 今こそ全ての力を解き放て！！ そして神の龍となれ！！！;究極！:超！:絶！:龍っーー！！！


李仲達
発進, あたたたたぁ～！！！;李仲達、$(機体)推参！！！
回避, 甘いな！！
回避, ふん！ 甘いぜ！！
回避, へっ、見えるぜ！！
回避, へっ、当たるか！！
回避, やはり俺は天才だっ！！
回避, ふぅ～危機一髪だぜ！！
回避, へへん！ こっちだぜ！！
ダメージ小, 全然甘すぎるぜ！
ダメージ小, うっとしい奴め！！
ダメージ小, ふ、出直してきな！！
ダメージ小, へっ、芸がねぇな！！
ダメージ小, へっ、効いてないぜ！！
ダメージ小, たいしたことねぇ～なぁ！
ダメージ小, おい！それで全力か？ 歯ごたえ無さすぎるぜ！！
ダメージ中, な、何だとっ！？
ダメージ中, ちっ、なんて攻撃だ！！
ダメージ中, くっ、意外とやるなっ！！
ダメージ中, このぉ～なにしやがるっ！！
ダメージ中, てめえ、やりやがったなぁっ！！
ダメージ中, この俺が押されるなんて・・・やるなっ！！
ダメージ中, お！？ やるな！！ こうじゃなくちゃ張り合いがねぇってもんだ！！
ダメージ大, ちっ、なんてこったい！！
ダメージ大, ど、どうなってるんだよっ！？
ダメージ大, 強ぇ・・・どうりゃ良いんだ！？
ダメージ大, くそっ、負けるかぁぁーーっ！！
ダメージ大, くそぉ～俺はあきらめねぇぞ！！
ダメージ大, 拙いぞ、このままじゃやられちまうぜ！！
ダメージ大, やばいぜ…… だが最後に勝つのは俺だ！！！
破壊, そんな馬鹿な……
破壊, ちきしょぉぉーーっ！！！
破壊, そんな！？ この俺が負けるなんて！？
脱出, 次は見てやがれ！！
脱出, ちくしょう、出直しだ！！
射程外, 何か方法ねぇのよ！！
射程外, このぉ～汚ねぇ奴め！！
攻撃, とどめだ！！
攻撃, 死ねぇっ！！
攻撃, 隙ありっ！！
攻撃, てやーっ！！
攻撃, うりゃっ！！
攻撃, 行くぞっ！！
攻撃, はぁぁーーっ！！
攻撃, たぁーーっ！！
攻撃, あたぁーっ！！
攻撃, おまえを倒すっ！！
攻撃, うあたぁ～～っ！！
攻撃, うぉぉぉあぁ～っ！！
攻撃, あたたたたぁ～～！！！
白虎殺人拳, 必殺！:.白虎！！:殺人拳ぇぇぇんっ！！！
攻撃(反撃), 許さん！！
攻撃(反撃), これはお返しだ！！
攻撃(反撃), 受けた分はしっかり返すぜ！！
攻撃(反撃), 誰にケンカ売ったか後悔させてやるぜ！！


シャドウ(レッドバロン)
回避, 俺はここだ！
回避, 無駄な事だ
回避, 見え透いた手だ
回避, 結果は同じだ！！
回避, ふっ、読み切ったっ！
回避, 甘い！ 甘過ぎるぞ！！
回避, 貴様の攻撃はお見通しだ！
回避, 俺の動きについてこれるかな
回避, お前の技は全て読み切っている！
回避, ふん、お前の攻撃は見切っている！
ダメージ小, ふっ、愚か者め！
ダメージ小, ・・・その程度か？
ダメージ小, 本気でかかってこい！！
ダメージ小, それで本気か？ 情けない！
ダメージ小, 自らの力量を知らんとは愚かな……
ダメージ小, その程度では俺を倒すことはできない！
ダメージ小, ははは、その程度で俺に刃向かうとは笑わせてくれるわ！！
ダメージ中, ちっ！ 予測を誤ったか！？
ダメージ中, ほぉ、少しはやるようだなっ！
ダメージ中, ちっ！ この俺に油断があったか！
ダメージ中, 何！？ これほどダメージを受けるとは！？
ダメージ中, ゴールドバロンの予測を越えた攻撃とは！？
ダメージ中, ほぉ？ 貴様を少し甘く見ていたかもしれんな
ダメージ中, ふむ、なかなかの攻撃だ！ だがまだまだっ！！
ダメージ中, やるな！ それでこそ俺と戦う資格があるというものだ！！
ダメージ中, ぬ？ この俺にダメージを与えるとは……気にいらねぇな！
ダメージ大, くそっ！ なんて奴だっ！？
ダメージ大, なんと！？ 信じられんっ！！！
ダメージ大, ぐぉぉぉ！？ だが俺は負けん！！
ダメージ大, ぬっ！？ 俺は諦めないぞ……
ダメージ大, まだだっ！ まだ俺はやれるっ！！
ダメージ大, くそ、ダメージを受けすぎたようだ！
ダメージ大, 馬鹿な！？ これほどの力があるとは！？
ダメージ大, くっ、こんな所で破れるわけにはいかん！！
ダメージ大, まだだ！ まだ俺とゴールドバロンは倒れんっ！！
破壊, こ、ここまでなのか！？
脱出, 次はこうはいかんぞ、覚えていろっ！！
射程外, 怖じ気づいたか！
射程外, ふっ、姑息なまねを！
射程外, 貴様には戦士の誇りはないのか？
攻撃, ふんっ！！
攻撃, 行くぞ！
攻撃, とどめだ！
攻撃, 死ねぇっ！！
攻撃, でやぁぁーっ！！
攻撃, とりゃぁぁーーっ！！
攻撃, うぉぉぉーーっ！！
攻撃, 貴様は俺が倒す！！
攻撃, 行くぞ！ ゴッドバロン！！
攻撃, 俺とゴールドバロンの力を身をもって知るが良い！！
攻撃, 勝負は既に決まっている！！
超エレクトリッガー, 行くぞ！:.超！:エレクトリッガァァァーーッ！！
ライジングハリケーン, 光よ！:もっと光よ！！;ライジィィーングッ！！:ハリケェェェーーンッ！！！


マリリン博士
発進, $(機体)！ 美しく戦いましてよ！！
回避, 甘いわよ！
回避, あ～ん怖い！
回避, ふん、醜いですわよ
回避, ほぉ～ほっほっほっ！！
回避, 近寄るんじゃないわよ！！
回避, 戦いは美しくなくてはね！
回避, 私、醜いの嫌いなのよねぇ～
回避, よろしいわよ！ よろしくってよぉ～！！
ダメージ小, 美しくないわぁ～
ダメージ小, ふん美しくないわ！
ダメージ小, 美しさのかけらもないですわね！
ダメージ小, 自分の実力もわからないなんて、愚かねぇ～
ダメージ小, その程度で私の美しさにかなうと思って？
ダメージ中, なかなかやるわね！！
ダメージ中, あ～気色悪いわね！！
ダメージ中, ふん、美しくなくてよ！！
ダメージ中, いや～ん、美しくないわぁ！
ダメージ中, 私に傷をつけるなんて許さないわよ！！
ダメージ中, 私の美しいビーナスを傷つけたわね！！
ダメージ中, 私のビーナスを汚したわね！ 許さないんだから！！
ダメージ中, きゃぁ！ 私の美がわからないなんて、バカんじゃないの！？
ダメージ大, きゃぁぁぁ～～！？
ダメージ大, な、何てパワーなの！？
ダメージ大, そっそんなぁ～！？
ダメージ大, おのれぇ～許さないっ！！
ダメージ大, いや～！？ 信じられないっ！！
ダメージ大, きゃぁ！？ なんてことなの！？ 
ダメージ大, このままじゃ負けちゃうぅ～！？
ダメージ大, 私、あきらめは悪いんですわよっ！！
ダメージ大, 何故！？ 何故美しい私がこんな目に！？
ダメージ大, 私のビーナスがここまで傷つけられるなんて・・・
ダメージ大, このままじゃこの美しいビーナスの体が台無しよぉ～！
破壊, ひぃ～、くやしいっ！！
脱出, きぃぃ～！覚えてらっしゃい！
射程外, ふん、卑怯ね！
射程外, こそこそと汚いわねぇ～！
射程外, そんな戦い方、美しくないわよ！！
攻撃, はっ！！
攻撃, 行きますわよ！
攻撃, これで終わりよ！
攻撃, 美しく散りなさい！
攻撃, 邪魔よ！バイバイ！！
攻撃, ほぉ～ほっほっほっ！！
攻撃, 手加減はしなくてよ！
攻撃, 近寄るんじゃないわよ！！
攻撃, 私は美のために戦うのよ！！
攻撃, ふん、消え去るがいいわ！！
攻撃, 私の足下に跪かせてあげるわ！！
攻撃, 美しくて強い私に跪きなさぁ～い！！
攻撃, この世では美しいものが全てなのよ！
攻撃, この美しい私が醜いお前を葬ってあげるわ！
攻撃, 悪く思わないでね、あなたが醜いのがいけないのよ！


アシモフ博士
回避, よし！
回避, 甘いわい！
回避, やったぁ～！
回避, へっへっへっ～
回避, これがワシの実力だ！
回避, 能あるタコはツメ隠すというしの
回避, ワシもバカにしたものではないぞい！
ダメージ小, ふん！ うるさいぞ！
ダメージ小, へへへ、出直してこい！
ダメージ小, ふん、全然大丈夫だわい！
ダメージ小, その程度！ 効いてないわい！！
ダメージ小, ひひひ、口ほどにもないわい！
ダメージ小, へっ、おまえなど恐るるに足りんわい！
ダメージ中, ひゃぁ～、なんとぉ！？
ダメージ中, おのれぇ～油断したわい！！
ダメージ中, しまった！？ ぬかったわ！
ダメージ中, くそぉ～意外とやりおるわい！
ダメージ中, このワシをバカにするとは許せん！！
ダメージ中, このぉ～ザコの分際でたてつきおって！
ダメージ大, く、くそぅ～！！
ダメージ大, な、なんじゃとぉ～！？
ダメージ大, 非常に～キビシイぃ～！！
ダメージ大, ま、まだまだじゃ～っ！！
ダメージ大, くぅ、許さん！許さんぞぉ！！
ダメージ大, 信じられん、何てパワーだ！？
ダメージ大, おのれ～このままでは拙いぞ・・・
破壊, そ、そんなバカなぁ～！？
脱出, 覚えておれよ！！
射程外, 汚いぞぉ～！
射程外, こざかしいマネをしおって！
射程外, おまえそれでも恥ずかしくないのか？
攻撃, 最後だ！！
攻撃, 死ねぇ～！！
攻撃, 行くぞっ！！
攻撃, うぉぉぉーー！！
攻撃, これでも食らえ！
攻撃, 隙ありじゃ！
攻撃, 叩きつぶしてやるわい！！
攻撃, 勝つのはワシじゃ～！！
攻撃, ワシはタコじゃないっ！！
攻撃, ここがおまえの死に場所だ！


ハシミコフ
回避, ふん！
回避, 甘い！
回避, あたらん！！
回避, その程度の攻撃にはあたらん！
回避, 貴様の攻撃は見えている！
ダメージ小, ふん！
ダメージ小, その程度か！
ダメージ小, なめるなぁっ！！
ダメージ小, わからずやめ！！
ダメージ小, パワーなら誰にも負けぬわっ！！
ダメージ中, ぬぅぅ、ぬかったわ！
ダメージ中, ほぉ、なかなかやるな！
ダメージ中, くぅ、油断したか！？
ダメージ中, ふん！ まだ大丈夫だっ！！
ダメージ中, 少しはやるな！ だがまだまだっ！！
ダメージ大, くそぉ、まだまだぁーーっ！！
ダメージ大, ぬぉ！？ このままでは拙い！？
ダメージ大, な、何っ！？ だが俺は決して諦めぬっ！！
ダメージ大, 信じられぬ、この俺が押されているだと！？
破壊, な、なんとぉ！？
脱出, みんなすまない、後は頼む・・・
射程外, ぬぅ、姑息な！
射程外, 卑怯な手を！
攻撃, たぁーっ！！
攻撃, うぉぉーーっ！！
攻撃, ぬぁぁぁーーっ！！
攻撃, どけぇぇぇーーっ！！
攻撃, これでどうだ！！
攻撃, 行くぞ、ビッグベア！！
攻撃, 俺の力を見るが良い！
攻撃, 勝負はこれで終わりだっ！！
ビッグベアパワーボム, うぉぉぉーーっ！！;くらえ！！:.ビッグベアパワーボォームッ！！！！


ノーマン＝キング
回避, 当たるかよ！！
回避, 甘いぜ！！
回避, なめるなよっ！
回避, 見え見えだぜ！！
回避, へへ、俺はこっちだぜ！！
回避, おい！ しっかりかかってこいや！
ダメージ小, おい！ それで本気か？
ダメージ小, ふっ、相手にならねぇな！
ダメージ小, 威勢だけじゃ勝てねぇぜ！
ダメージ小, どうやら死にたいらしいな！！
ダメージ小, 俺達バイキング兄弟をなめるなよっ！！
ダメージ小, へっ相手を見てケンカ売りな！ 俺達はバイキング兄弟だぜ！！
ダメージ中, なっ、何だと！？
ダメージ中, くそ、油断したぜ！！
ダメージ中, ちっ！ 何しやがるっ！！
ダメージ中, うぉ！？ なんのこれしきっ！！
ダメージ中, ぐぉーっ！？なんてパワーだ！？
ダメージ中, へっ、これしき！ まだまだ行けるぜ！！
ダメージ中, うぉ！？ このままじゃ済まさんぞっ！！
ダメージ中, ほぉ、なかなかやるじゃねぇか！！
ダメージ大, おのれぇ～許せねぇっ！！
ダメージ大, なろぉ～なめたマネしやがって！！
ダメージ大, ぐぉぉ～！？ やりやがって、後で覚悟しろ！！
ダメージ大, ま、まだだ！ 俺達は敵に後ろは見せねぇっ！！
ダメージ大, な、なんだと！？ 俺が押されるなんて信じられねぇぜ！？
ダメージ大, くそっ！？ だがまだだ！！ バイキング魂見せてやる！！
ダメージ大, ちくしょう！！ このままだと拙いぜ、何とかしないとっ！！
ダメージ大, ち、ちくしょう！！ だがバイキング兄弟はどんな勝負も逃げるわけにはいかねぇ！！
破壊, お兄ちゃん、すまねぇっ！！
脱出, ちくしょう！ 次は覚えてやがれ！！！
射程外, このぉ～卑怯だぞ！！
射程外, せこいマネしやがって！！
攻撃, 行くぜ！！
攻撃, 覚悟しろ！！
攻撃, 隙ありっ！！
攻撃, てやぁーーっ！！
攻撃, うぉぉぉーーーっ！！！
攻撃, これで終わりだっ！！
攻撃, すっこんでろっ！！
攻撃, 捻りつぶしてやるぜ！！
攻撃, バイキング魂みせてやるぜっ！！
攻撃, バイキング兄弟の恐ろしさ教えてやるぜっ！！
攻撃, 地球改造ロボの名はは伊達じゃねぇぜ！！
鉄球, どうだ動けまい！

オージン＝キング
回避, ふ、当たるかぁ！！
回避, 甘いな！！
回避, なめるなよっ！
回避, 見え見えだ！！
回避, ふん、俺はこっちだっ！！
回避, おい！ しっかりかかってこいっ！
ダメージ小, おい！ それで本気というわけでは無いだろう！！
ダメージ小, ふっ、相手にならんな！
ダメージ小, 威勢だけじゃ勝てないぜ！
ダメージ小, どうやら死にたいらしいな！！
ダメージ小, 俺達バイキング兄弟をなめるなよっ！！
ダメージ小, ふん、相手を見てケンカ売りな！ 俺達はバイキング兄弟だっ！！
ダメージ中, なっ、何だと！？
ダメージ中, くそ、油断したか！！
ダメージ中, ちっ！ 何しやがるっ！！
ダメージ中, うぉ！？ なんのこれしきっ！！
ダメージ中, ぐぉーっ！？なんてパワーだ！？
ダメージ中, へっ、これしき！ まだまだ行けるわっ！！
ダメージ中, うぉ！？ このままじゃ済まさんぞっ！！
ダメージ中, ほぉ、なかなかやるじゃねぇか！！
ダメージ大, おのれぇ～許せねぇっ！！
ダメージ大, なろぉ～なめたマネしやがって！！
ダメージ大, ぐぉぉ～！？ やりやがって、後で覚悟しやがれ！！
ダメージ大, ま、まだだ！ 俺達は敵に後ろは見せねぇっ！！
ダメージ大, な、なんだと！？ 俺が押されるなんて信じられねぇ！？
ダメージ大, くそっ！？ だがまだだ！！ バイキング魂見せてやるぞ！！
ダメージ大, ちくしょう！！ このままだと拙いな、何とかしないとっ！！
ダメージ大, ち、ちくしょう！！ だがバイキング兄弟はどんな勝負も逃げるわけにはいかねぇ！！
破壊, 弟よ、すまない・・・
脱出, くそぉ～！ 次は覚えてやがれ！！！
射程外, おのれぇ～卑怯だぞ！！
射程外, せこいマネしやがって！！
攻撃, 行くぞ！！
攻撃, 覚悟しろ！！
攻撃, 隙ありっ！！
攻撃, 切り刻んでやる！！
攻撃, どりゃぁぁーーっ！！
攻撃, うぉぉぉーーーっ！！！
攻撃, これで終わりだっ！！
攻撃, すっこんでろっ！！
攻撃, 捻りつぶしてやるぞ！！
攻撃, バイキング魂みせてやるぞっ！！
攻撃, バイキング兄弟の恐ろしさ教えてやるぞっ！！
攻撃, 地球改造ロボの名はは伊達じゃねぇっ！！


偽ケン
回避, ひゃぁ～はっはっはっ！！
回避, なぁ～はっはっはっ！！
回避, にぃ～ひひひっ！！
回避, おめぇ、大甘だぜ！！
回避, へん！ おめぇの攻撃なんてお見通しだぜ！
回避, オレはこっちだぜぇ～
回避, けけけ、笑わせるぜ！！
回避, へっ！ そんなヘナちょこ食らうかよ！！
ダメージ小, へん、かゆいぜ！
ダメージ小, ふふふ、その程度かぁ～？
ダメージ小, 全然効いちゃいねぇぜ！！
ダメージ小, へ、こりねぇ奴だっ！
ダメージ小, けけ、馬鹿な野郎だぜ！
ダメージ小, けけ、おめぇ弱えなぁ～！
ダメージ小, へっ！ どうしたどうしたぁ～！！
ダメージ小, けけ、弱ぇ～弱過ぎるぜぇ～！
ダメージ小, へへ、おめぇの力はその程度か！
ダメージ小, その程度か？ 笑わせてくれるっ！！
ダメージ小, そんなんじゃ、いくら来ようがいっしょだぜっ！
ダメージ小, オレ様に逆らうなんて、てめぇら大バカもんだぜっ！
ダメージ小, その程度の実力でオレに刃向かうたぁ～大笑いだぜっ！！
ダメージ小, へっへっへっそんなもんでオレ様を倒せると思っているのかよっ！
ダメージ中, へへ、面白れぇじゃねぇか！！
ダメージ中, なかなかやるじゃねぇか！！
ダメージ中, このデスバロンにここまでダメージを与えるとはな！！
ダメージ中, ちっ！ ザコだと思って油断しちまったぜ！！
ダメージ中, なろぉ～許せねぇなぁっ！！！
ダメージ中, ちっ、意外とやるじゃねぇか！！
ダメージ中, へん、これぐらいでないと張り合いがねぇってもんだぜ！
ダメージ中, オレ様はまだまだいけるぜぇ～っ！！
ダメージ大, な、何だと！？ 計算外だぞ！！
ダメージ大, オレ様は最強じゃなかったのかよ！？ どうなってやがんだっ！？
ダメージ大, まだだ、まだ負けた訳じゃねぇぞぉっ！！
ダメージ大, 調子にのりやがってっ！ この借りは返してやるぞ！！！
ダメージ大, じょ、冗談じゃねぇぞっ！？
ダメージ大, 何故だ！？何故だ！？何故だぁぁぁぁーーっ！？
ダメージ大, 畜生！！なぜオレがこんなに押される！？
ダメージ大, ちっ、力が出ねぇ・・・
ダメージ大, くそぉ～、お、オレは負けねぇぜ！！！
破壊, ちきしょぉぉぉ～～っ！！！
脱出, この次はこうはいかねぇからなっ！！
脱出, 今日はこのぐれぇで勘弁してやらぁっ！！
射程外, へっ、汚ねぇマネしやがりやがって！！
射程外, 届かないか？ まぁ良い
射程外, なんだと？ 届かないだと！！
射程外, けっ、力の無い奴ほど姑息な手を使いやがる！
攻撃, 行くぜっ！！
攻撃, 消え失せろ！！
攻撃, オレは最強だぁ！！
攻撃, おめぇの最後だ！！
攻撃, てめぇに用はねぇっ！！
攻撃, 燃え尽きさせてやるぜっ！！
攻撃, 邪魔する奴はぶっ潰すっ！！
攻撃, けけ、叩きつぶしてやるぜっ！！
攻撃, けけ、破壊は気持ち良いぜぇ～！
攻撃, 逃げても無駄だぜ、けけけっ！！
攻撃, ひゃ～ははは、息の根止めてやるぜ！！
攻撃, おめぇら相手に遊んでる暇はねぇんだよっ！
攻撃, 壊せぇ～！ 壊し尽くしてやるぜ～っ！！！
攻撃, おらぁ～！ 地獄の底まで直行しやがれっ！！

シグマ
回避, ふふふ・・・
回避, ほぉ～ほほほっ！
回避, その程度か・・・
回避, 所詮我が計算の範囲……
ダメージ小, 貴方の力はその程度ですか？
ダメージ小, きゅるるぅぅ～その程度では我が糧ともならぬ
ダメージ小, 効かぬわ
ダメージ小, 効きません
ダメージ中, 何故ワレに刃向かうか！
ダメージ中, ぐるるぅ……
ダメージ中, シュシュシュ……
ダメージ中, スバラシイ……スバラシイ……その力我がいただく！！
ダメージ大, 許さん！ 許さんぞぉ！！！
ダメージ大, やめろぉ～やめるのだ！！
ダメージ大, うごぉぉぉ～！！！！
ダメージ大, ぐぎゃああ～おっ！！！
破壊, うぎゃあああーーっ！！！
破壊, わ、我が敗れるとは……
射程外, クッシュシュシュ……
