ＴＯＨ
剣のソーマ, ソード
魔神連斬, 地表衝撃波 紫;地表衝撃波 紫
真空裂斬, 回転斬撃
空破穿命弾, スーパータックル 黄
ブラックホール, 重力弾
修羅閻獄殺(準備), -
修羅閻獄殺(攻撃), -
修羅閻獄殺(命中), ｢我が前に立ち塞がる者は…全て破壊するッ！｣;斬撃乱舞;｢修羅閻獄殺！｣;超斬撃
裂翔翼(準備), ソード
裂翔翼(攻撃), 刺突突撃
裂翔翼(命中), 刺突
蒼破刃, 気斬 青
双牙斬(準備), ソード
双牙斬(攻撃), 振り上げ;振り下ろし 
双牙斬(命中), 振り上げ;振り下ろし
討魔烈蒼翼(準備), ソード
討魔烈蒼翼(攻撃), 斬撃突撃
討魔烈蒼翼(命中), 斬撃突撃
連刃襲墜斬(準備), ソード
連刃襲墜斬(攻撃), 振り上げ;唐竹割り
連刃襲墜斬(命中), 振り上げ;唐竹割り
遥翔天凰斬(準備), -
遥翔天凰斬(攻撃), - 
遥翔天凰斬(命中), ｢想いの翼よ舞い上がれ！｣ ;斬撃乱舞;｢奥義！ 遥翔天凰斬！｣;超斬撃
スラッシュジャガー, 回転投擲武器 Weapon\EFFECT_SilverAx01.bmp 32
斧のソーマ, 回転投擲武器 Weapon\EFFECT_SilverAx01.bmp 32
クリムゾンライノ, 火炎弾
アブソーブレイブン, 風
スパイラルホーク, 回転投擲武器 Weapon\EFFECT_SilverAx01.bmp 32
砕牙ノ型(準備), 銀の斧
砕牙ノ型(攻撃), 斬撃乱舞
砕牙ノ型(命中), 斬撃乱舞
旋嵐火爪ノ型(準備), -
旋嵐火爪ノ型(攻撃), -
旋嵐火爪ノ型(命中), ｢俺のとっておきだ！ これでも食らいな！｣;大気吸収 緑;｢旋嵐火爪！！｣;炎の壁 赤
ディアブスシスリーチ, 触手 紫
レーザー, 中ビーム 紫
エリミネイトレーザー, 拡散ビーム 紫
サクリファイス・コア, 重力弾
ヘルバースト, 気斬 紫
緋王楼砕刃, スーパータックル 紫
アトラクティブダーク, 触手乱舞 紫
デットスター, 大水流 紫
カタルスフェラ, ２連光弾 紫
アーム, 連突
ネガティブゲイト, 重力弾
デモンズランス, 気斬 紫
ローゼ・シュタッヘル, 超ビーム 紫
イル・レーザー, 超ビーム 紫
トゥワイン・エンデ, 斬撃乱舞
両刃のソーマ, 連斬撃
瞬刃裂破, 斬撃突撃
風塵旋舞, 斬撃乱舞
槍, 蛇矛
ケイオスチャージ, スーパータックル 紫
ファイナルプレイヤー, 打ち下ろし超ビーム 紫
岩石, 岩
ドリルのソーマ, ドリル突撃
チャージ, ドリル突撃
愛しのスピルーン, 光噴出 紫
小官のコレクション, スーパータックル 紫
棍棒, 棍棒
巨砲のソーマ, 大筒
レンジファイア(準備), -
レンジファイア(攻撃), 振り下ろし 
レンジファイア(命中), 爆発
バーストショット, 火炎弾
アクアスパイラル, 気弾 青
小刃のソーマ, 連斬撃
ファイアボール, 火炎弾
ブリッツシュラーク, スピンキック
ローザンサルト, サマーソルト
バーンストライク, 火炎弾
シャルフクレセント, 乱打
斧, 片刃斧
グランドインパクト, 唐竹割り
グランドブレイク, 斬撃乱舞
