ファントム・キングダム
## 固有技 ###########################################################
ゼタソード, ソード
パイロンターン(命中), スーパータックル乱舞 Explode.wav
スーパースタント(攻撃), スーパータックル Engine.wav
スーパースタント(命中), スーパータックル;超打 Explode.wav
エアクラッシュ, 旋風
ヴェルトヴィント, ＭＡＰ強風
エアガンドレッド, 竜巻
プチレーザー, 小ビーム 青
レトロビーム(攻撃), 音波
レトロビーム(命中), 爆発
ギャラクティカ砲, 大ビーム 青
イビルファング, 噛み付き
デモンディナー, スーパータックル乱舞
ヘルズクライ(攻撃), 火炎放射 黒 Breath.wav
ヘルズクライ(命中), 火炎放射 黒 Breath.wav;粒子噴射 黒
フロートサンダー(攻撃), 実弾投下 Common\EFFECT_Thunder05.bmp Thunder.wav
フロートサンダー(命中), 放電
触手サイクロン(攻撃), スピンアタック
触手サイクロン(命中), 吸収
トーテンブラスト, 吸収
デストラクション(攻撃), タックル
デストラクション(命中), 超爆発;吸収
種バルカン, 小型ミサイル 3
メルヘンブルーム, 踏み潰し
シードプローナ(発動), オーラ上昇
エターナルシード(発動), エネルギーフィールド展開
ボムフラッシュ, 重機関砲
ヴェノムブラスト, 重機関砲;重機関砲
フレイムワークス, 重機関砲;重機関砲;重機関砲
ふみつけ, 踏み潰し
オーバーヘッド, ヘッドバット;アッパー
ドリルキック, スピンジャンプアタック
インドラキック(攻撃), スーパーキック 黄 Thunder.wav
インドラキック(命中), 大爆発
スカイバルカン, バルカン
エアレイド, 投下爆弾
デスアクロバット, スーパータックル 青
ロボパンチ, ロケットパンチ
オメガレーザー(攻撃), 文字ビーム Ｖ
オメガレーザー(命中), 飛沫 Explode.wav
超宇宙消滅爆撃波(攻撃), ＭＡＰ大爆発
超宇宙消滅爆撃波(命中), 超爆発
超時空銀河波動砲, 大ビーム 青
