プリズムアーク
#
ブレイカーズ, 斬撃;飛沫
封魔幻神(命中), センタリング -.wav 1;大斬撃;1;粒子集中 黒 whiz.wav;「魔を封ず！」;ディレイ 3;1;「があぁぁぁぁぁっ！」;@戦闘アニメ_タックル攻撃 Swing.wav;大刺突 Slash.wav;1;「神、幻の如く！」;飛沫 黒 Explode(nuclear).wav;煙 黒 -.wav;煙 黒 -.wav
封魔幻神(命中), センタリング -.wav 1;大斬撃;1;粒子集中 黒 whiz.wav;「一撃目で悪の気を押さえ込み！」;ディレイ 3;@戦闘アニメ_タックル攻撃 Swing.wav;大刺突 Slash.wav;1;「二撃目で悪の気を押し出し散らす！」;飛沫 黒 Explode(nuclear).wav;煙 黒 -.wav;煙 黒 -.wav
#
ファスキナティオ, 飛沫
クルクスグラディウス(攻撃), 浴びせ蹴り Swing(2).wav
クルクスグラディウス(命中), 横大斬撃 Explode.wav
フォルティス・アピス(攻撃), スピンジャンプアタック Whiz.wav
フォルティス・アピス(命中), 風 Drill.wav;風 -.wav;風 -.wav;風 -.wav;風 -.wav;超斬撃 白
インクルシオ, 斬撃
ウェヌストゥム・レオ, 連斬撃
#
プリズムボンバー(攻撃), 実弾発射 Anime\Weapon\EFFECT_IronBall01.bmp;実弾発射 Anime\Weapon\EFFECT_IronBall01.bmp
プリズムボンバー(命中), ダメージ;ダメージ
#
ノーア・シャローム, 乱突
リリトー・イフターハ(攻撃), 投げ槍
リリトー・イフターハ(命中), 超爆発
ウーリー・ゼカルヤー(攻撃), スピア急降下
ウーリー・ゼカルヤー(命中), 竜巻; スピアー急降下
カリス・ロンギアス(準備), 1;「はぁぁぁぁぁぁっ……カリス・ロンギアス！！」;フラッシュ glass.wav;羽 -.wav;ディレイ 1;『<I>我、主の命を受けし時、其の輝きを以って有翼の民を治む</I>』;スピア Reload.wav
カリス・ロンギアス(攻撃), ディレイ 5;1;「その尊き想いこそが審判の剣！」;ディレイ 1 Charge(high).wav;粒子集中 緑 対象ユニットＩＤ -.wav;ディレイ 2;1;「真なる裁きその身に刻め！」;スーパータックル 緑 whiz.wav;ディレイ 2
カリス・ロンギアス(命中), @戦闘アニメ_スーパータックル攻撃 緑 Storm.wav;「ヤァァァァァッ！！」;大刺突 緑
カリス・ロンギアス(解説), $(パイロット)はカリス・ロンギアスの真なる姿で攻撃した。
#
フォースブレード(攻撃), 斬撃
フォースブレード(命中), 斬撃; 飛沫 緑
クリティカルブレイク(攻撃), 斬撃突撃
クリティカルブレイク(命中), 斬撃突撃
クリティカルブレイク(クリティカル), クリティカル斬撃 Sword.wav
ガイツハルス, 巨大剣
修羅の雄叫び(準備), オーラ上昇 赤
修羅の雄叫び(攻撃), 斬撃突撃
修羅の雄叫び(命中), なぎ払い
#
グロウラッシュ(キザーロフ), 乱突
サザンクロス(キザーロフ)(準備), 光噴出 白;レイピア
サザンクロス(キザーロフ)(攻撃), ジャンプ;なぎ払い;気斬 白 速
サザンクロス(キザーロフ)(命中), 光振り下ろし 白 中;光なぎ払い 白 中;放電
ローゼストルネード(準備), 光噴出 白; レイピア
ローゼストルネード(攻撃), 乱突; 旋風 赤
ローゼストルネード(命中), バラ吹雪; 旋風 赤
ローゼストルネード(解説), $(パイロット)は薔薇の花びら状の衝撃波を放った。
#
###ジュダス####
神の裁き(準備), オーラ上昇 黒 対象ユニットＩＤ;3;振る武器 Anime\Wing\EFFECT_BirdWing(Black)01.bmp 60 Walk(Robot).wav 二刀流
神の裁き(攻撃), 白兵武器 Mist.wav 二刀流;羽 -.wav 対象ユニットＩＤ;ＭＡＰダークネス -.wav
神の裁き(命中), 煙 黒 Inori.wav
神の歌声, 音波
漆黒の翼(攻撃), 魔法集中 黒 Whiz.wav
漆黒の翼(命中), 魔法集中 黒 -.wav;飛沫 黒 Explode.wav
叫喚の翼(準備), 振る武器 Anime\Wing\EFFECT_BirdWing(Black)01.bmp 60 Walk(Robot).wav 二刀流
叫喚の翼(攻撃), 白兵武器 Swing(2).wav 二刀流
叫喚の翼(命中), 音再生 Fastgun.wav;乱打 -.wav
求絶の翼(準備), 振る武器 Anime\Wing\EFFECT_BirdWing(Black)01.bmp 60 Walk(Robot).wav 二刀流
求絶の翼(攻撃), 白兵武器 Mist.wav 二刀流;羽 -.wav 対象ユニットＩＤ
求絶の翼(命中), 煙 黒 Inori.wav;羽 -.wav
光神砲(準備), 魔法陣 黒 BeamCoat.wav
光神砲(攻撃), 粒子集中 黒 Charge(long).wav 対象ユニットＩＤ;粒子集中 黒 -.wav 対象ユニットＩＤ;粒子集中 黒 -.wav 対象ユニットＩＤ;魔法集中 黒 -.wav 大 対象ユニットＩＤ;重力弾 AntiAirMissile.wav;3;ＭＡＰオーラ 黒
#
####血桜####
忍刀, クリティカル斬撃
紅蜘蛛(攻撃), 魔法陣 BeamCoat.wav
紅蜘蛛(命中), 大爆発
イヅナオトシ, ジャンプバスター
虚空(攻撃), @戦闘アニメ_転移 Hide.wav
虚空(命中), 刺突;放電
#
####暗黒騎士####
ハルザブシュナイダー, 大斬撃
魔刻轟雷陣(攻撃), 斬撃
魔刻轟雷陣(命中), 雷斬撃
魔刻絶烈炎(攻撃), 斬撃
魔刻絶烈炎(命中), 炎斬撃
魔刻冥斬剣(攻撃), 斬撃;重力弾
魔刻冥斬剣(命中), 吸収 黒
魔刻邪乱閃(攻撃), 斬撃突撃
魔刻邪乱閃(命中), 大刺突;飛沫 黒
魔刻羅斬殺(攻撃), 斬撃突撃
魔刻羅斬殺(命中), 横大斬撃;1;大刺突;@戦闘アニメ_粒子集中 黒 対象ユニットＩＤ;1;超斬撃 黒
#
####三賢者＆融合体####
#
ダウナーズ, ダメージ;飛沫
処罰, 強打
処断, 強打
処刑, 強打
取りこむ, 吸収
腐った羽(準備), 振る武器 Anime\Wing\EFFECT_BirdWing(Black)01.bmp 60 Walk(Robot).wav
腐った羽(攻撃), 白兵武器 Swing(2).wav
ヒステリックパレード(攻撃), Whiz.wav
ヒステリックパレード(命中), 大落雷
プロヴィデンス(攻撃), Whiz.wav
プロヴィデンス(命中), オーラ 黒
#
###天使群####
アンゲルスハーケン(準備), 魔法陣 緑 BeamCoat.wav
アンゲルスハーケン(攻撃), 粒子集中 緑 Charge(high).wav 対象ユニットＩＤ;魔法集中 緑 -.wav 大 対象ユニットＩＤ;強風 Storm.wav 対象ユニットＩＤ
アンゲルスハーケン(命中), 旋風
殴る, 打突突撃
激しく殴る(攻撃), 打撃突撃
激しく殴る(命中), 強打;強打
アンゲルスジャベリン(準備), -
アンゲルスジャベリン(攻撃), 打撃突撃
アンゲルスジャベリン(命中), 大刺突
ビークスクラブル(攻撃), 打撃突撃
ビークスクラブル(命中), 大刺突;大刺突
ファーストサーブ(準備), 魔法陣 白 Charge.wav
ファーストサーブ(攻撃), スーパーダイブ 白 -.wav
ファーストサーブ(命中), スーパーダイブ 白 Crash.wav
ファーストサーブ(ルビエル)(準備), 魔法陣 白 Charge.wav
ファーストサーブ(ルビエル)(攻撃), スーパーダイブ 白 -.wav
ファーストサーブ(ルビエル)(命中), スーパーダイブ 白 Crash.wav
格闘(攻撃), 白兵武器
格闘(命中), 爪撃 Crash.wav
光の矢(準備), バスタービームランチャー; 魔法陣 白 Whiz.wav
光の矢(攻撃), 粒子集中 白 Charge(high).wav 対象ユニットＩＤ;粒子集中 白 Charge(high).wav 対象ユニットＩＤ;粒子集中 白 Charge(high).wav 対象ユニットＩＤ;ＭＡＰバスタービームライフル 白 Weapon\EFFECT_BusterBeamLauncher01.bmp 64
光の矢(命中), 大ビーム 白
殴る(究極天使)(攻撃), 白兵連撃
殴る(究極天使)(命中), 爪撃 二刀流 Crash.wav
なぎはらい(攻撃), 粒子集中 黒 Charge.wav 対象ユニットＩＤ;1;なぎ払い Saber.wav
なぎはらい(命中), ダメージ Crash.wav
カニバサミ(攻撃), オーラ上昇 黒 対象ユニットＩＤ;1;打撃突撃;白兵武器 二刀流
カニバサミ(命中), 大斬撃 二刀流;2;投げ飛ばし Crash.wav
フレア＝ディザスター(準備), 魔法陣 黒 BeamCoat.wav
フレア＝ディザスター(攻撃), 粒子集中 橙 Charge(high).wav 対象ユニットＩＤ;粒子集中 橙 -.wav 対象ユニットＩＤ;粒子集中 橙 -.wav 対象ユニットＩＤ;魔法集中 橙 -.wav 大 対象ユニットＩＤ;巨大ビーム 橙 電撃 対象ユニットＩＤ MicroMissile.wav
フレア＝ディザスター(命中), 巨大ビーム 橙 電撃 対象ユニットＩＤ MicroMissile.wav
#
#####サブルム兵とニンジャ#####
#
毒爪, 爪撃
手裏剣, 手裏剣
連撃, 連斬撃
ファルカタ, ククリ
大振り(攻撃), ククリ
大振り(命中), 大斬撃
#
#####木人#####
#
モクジンパンチ, 格闘
モクジンスパーク, スーパーパンチ
テツジンパンチ, 格闘
テツジンスパーク, スーパーパンチ
#
#####Love2Maximum#####
#
パルティ・ビーム(準備), 魔法陣 黒 BeamCoat.wav
パルティ・ビーム(攻撃), 粒子集中 橙 Charge(high).wav 対象ユニットＩＤ;粒子集中 橙 -.wav 対象ユニットＩＤ;粒子集中 橙 -.wav 対象ユニットＩＤ;魔法集中 橙 -.wav 大 対象ユニットＩＤ;巨大ビーム 橙 電撃 対象ユニットＩＤ MicroMissile.wav
パルティ・ビーム(命中), 巨大ビーム 橙 電撃 対象ユニットＩＤ MicroMissile.wav
#
巨乳でぼよん(攻撃), ＭＡＰ音符
巨乳でぼよん(命中), 音符
エティル・ビーム(準備), 魔法陣 白 Whiz.wav
エティル・ビーム(攻撃), 粒子集中 白 Charge(high).wav 対象ユニットＩＤ;粒子集中 白 Charge(high).wav 対象ユニットＩＤ;粒子集中 白 Charge(high).wav 対象ユニットＩＤ;ＭＡＰビーム 白
エティル・ビーム(命中), 大ビーム 白
エティル・拡散メガ粒子砲(準備), 魔法陣 白 Whiz.wav
エティル・拡散メガ粒子砲(攻撃), ＭＡＰビーム 白
エティル・拡散メガ粒子砲(命中), 全拡散ビーム 白
#
#####魔法類####
ファイヤーヴォルト(準備), 魔法陣 BeamCoat.wav
ファイヤーヴォルト(攻撃), キャノン砲
ファイヤーヴォルト(命中), 炎
フレイムトルネード(準備), 魔法陣 BeamCoat.wav
フレイムトルネード(攻撃), 竜巻 赤 Storm.wav
フレイムトルネード(命中), 竜巻 赤 Storm.wav
フレイムランス(準備), 魔法陣 BeamCoat.wav
フレイムランス(攻撃), 粒子集中 赤 対象ユニットＩＤ;実弾発射 "Anime\Weapon\EFFECT_Houtengeki_thrust01.bmp" 40 速 AntiAirMissile.wav
フレイムランス(命中), 超爆発
バーニングインパルス(準備), 魔法陣 BeamCoat.wav
バーニングインパルス(攻撃), 発光 赤
バーニングインパルス(命中), 連続爆発
エクスプロード(準備), 魔法陣 BeamCoat.wav
エクスプロード(攻撃), ＭＡＰ大爆発
エクスプロード(命中), 超爆発
フェニックス(準備), 魔法陣 BeamCoat.wav
フェニックス(攻撃), 怪鳥
フェニックス(命中), 超爆発
#
アクアストリーム(準備), 魔法陣 青 BeamCoat.wav
アクアストリーム(攻撃), 津波
アクアストリーム(命中), 津波
アクアスマッシュ(準備), 魔法陣 青 BeamCoat.wav
アクアスマッシュ(攻撃), 津波
アクアスマッシュ(命中), 津波
フロストバスター(準備), 魔法陣 青 BeamCoat.wav
フロストバスター(攻撃), 吹雪
フロストバスター(命中), 吹雪
アイスジャベリン(準備), 魔法陣 青 BeamCoat.wav
アイスジャベリン(攻撃), 打ち下ろし "Anime\Common\EFFECT_Iceburg01.bmp" 32 AntiAirMissile.wav
アイスジャベリン(命中), 氷柱
#
ウィンドカッター(準備), 魔法陣 緑 BeamCoat.wav
ウィンドカッター(攻撃), 風
ウィンドカッター(命中), 風
ハリケーンストライク(準備), 魔法陣 緑 BeamCoat.wav
ハリケーンストライク(攻撃), 強風
ハリケーンストライク(命中), 強風
ソニックブーム(準備), 魔法陣 緑 BeamCoat.wav
ソニックブーム(攻撃), 風
ソニックブーム(命中), 風
エアーズエッジ(準備), 魔法陣 緑 BeamCoat.wav
エアーズエッジ(攻撃), 風
エアーズエッジ(命中), 風
リッピングストリーム(準備), 魔法陣 緑 BeamCoat.wav
リッピングストリーム(攻撃), ＭＡＰ強風
リッピングストリーム(命中), 強風
ライジングトルネード(準備), 魔法陣 緑 BeamCoat.wav
ライジングトルネード(攻撃), 旋風
ライジングトルネード(命中), 旋風
#
ロックプレス(準備), 魔法陣 BeamCoat.wav
ロックプレス(攻撃), 打ち下ろし Anime\Weapon\EFFECT_Rock01.bmp 24 Bomb.wav
ロックプレス(命中), ダメージ Crash.wav
ローリングストーンズ(準備), 魔法陣 BeamCoat.wav
ローリングストーンズ(攻撃), 打ち下ろし Anime\Weapon\EFFECT_Rock01.bmp 24 Bomb.wav;打ち下ろし Anime\Weapon\EFFECT_Rock01.bmp 24 Bomb.wav;打ち下ろし Anime\Weapon\EFFECT_Rock01.bmp 24 Bomb.wav
ローリングストーンズ(命中), ダメージ Punch.wav;ダメージ Punch.wav;ダメージ Punch.wav;@戦闘アニメ_打ち下ろし攻撃 Anime\Weapon\EFFECT_Rock01.bmp 40 Bomb.wav;ダメージ Crash.wav
グランドエッジ(準備), 魔法陣 BeamCoat.wav
グランドエッジ(攻撃), 石柱 Bazooka.wav
グランドエッジ(命中), アッパー
ストーンウォール(準備), 魔法陣 BeamCoat.wav
ストーンウォール(攻撃), @戦闘アニメ_召喚準備 Anime\Rock\EFFECT_StonePiller(Orange)04.bmp 40 BeamSaber.wav 相手ユニットＩＤ
ストーンウォール(命中), 超アッパー Crash.wav Crash.wav
ガイアバースト(準備), 魔法陣 BeamCoat.wav
ガイアバースト(命中), 光噴出 赤 Inori.wav;超爆発
#
ライトニングヴォルト(準備), 魔法陣 黄 BeamCoat.wav
ライトニングヴォルト(攻撃), Whiz.wav
ライトニングヴォルト(命中), 電撃
ライトニングブラスト(準備), 魔法陣 黄 BeamCoat.wav;
ライトニングブラスト(攻撃), Whiz.wav
ライトニングブラスト(命中), 大電撃
サンダーボール(準備), 魔法陣 黄 BeamCoat.wav
サンダーボール(攻撃), ＭＡＰ球電
サンダーボール(命中), 放電
スパーキングレイド(準備), 魔法陣 黄 BeamCoat.wav
スパーキングレイド(攻撃), Whiz.wav
スパーキングレイド(命中), 大落雷
プラズマドライブ(準備), 魔法陣 黄 BeamCoat.wav
プラズマドライブ(攻撃), Whiz.wav
プラズマドライブ(命中), 大落雷
#
ブラックホール(準備), 魔法陣 黒 BeamCoat.wav
ブラックホール(攻撃), 魔法放射 黒 中
ブラックホール(命中), 重力圧縮;透明化 相手ユニットＩＤ 反映;3;オーラ 黒;透明化 相手ユニットＩＤ 解除 反映
ルナ・ライト(準備), 魔法陣 白 BeamCoat.wav
ルナ・ライト(攻撃), 粒子集中 白 対象ユニットＩＤ;ＭＡＰフラッシュ
ルナ・ライト(命中), スピン拡散


#####ＴＡ(合体技)#####
プリーシア(プリズムアーク)
滅殺(準備), 投擲武器 Bullet\EFFECT_Arrow04.bmp Reload(3).wav; 和弓 partner(1)
滅殺(攻撃), 和弓連射 AntiAirMissile.wav partner(1); 和弓連射 AntiAirMissile.wav partner(1); 和弓連射 AntiAirMissile.wav partner(1)
滅殺(命中), 拡散ビーム 白; 拡散ビーム 白; 連続爆発

神楽(プリズムアーク)
滅殺(準備), 投擲武器 Bullet\EFFECT_Arrow04.bmp Reload(3).wav partner(1); 和弓
滅殺(攻撃), 和弓連射 AntiAirMissile.wav; 和弓連射 AntiAirMissile.wav; 和弓連射 AntiAirMissile.wav
滅殺(命中), 拡散ビーム 白; 拡散ビーム 白; 連続爆発

フェル(プリズムアーク)
サイクロン(準備), 魔法陣 青 BeamCoat.wav; 魔法陣 緑 BeamCoat.wav partner(1)
サイクロン(攻撃), ＭＡＰ吹雪; ＭＡＰつらら
サイクロン(命中), 吹雪 ;つらら
ぽかぽかアタック(攻撃), ＭＡＰ煙; ＭＡＰ爆発
ぽかぽかアタック(命中), 乱打

壬生華鈴(プリズムアーク)
戦乙女たちの抱擁(攻撃), 同時白兵乱撃; 斬撃 二刀流; 浴びせ蹴り Swing(2).wav partner(1); 同時スーパータックル
戦乙女たちの抱擁(命中), 同時斬撃乱舞; 斬撃 二刀流; 横大斬撃 Explode.wav; 同時スーパータックル

シスターヘル(プリズムアーク)
戦乙女たちの抱擁(攻撃), 同時白兵乱撃; 斬撃 二刀流 partner(1); 浴びせ蹴り Swing(2).wav; 同時スーパータックル
戦乙女たちの抱擁(命中), 同時斬撃乱舞; 斬撃 二刀流; 横大斬撃 Explode.wav; 同時スーパータックル

リッテ＝ラートゥス(プリズムアーク)
サイクロン(準備), 魔法陣 青 BeamCoat.wav partner(1); 魔法陣 緑 BeamCoat.wav
サイクロン(攻撃), ＭＡＰ吹雪; ＭＡＰつらら
サイクロン(命中), 吹雪 ;つらら

フィーリア(プリズムアーク)(後期)
ぽかぽかアタック(攻撃), ＭＡＰ煙; ＭＡＰ爆発
ぽかぽかアタック(命中), 乱打
