月光のカルネヴァーレ
ハイパーモード, 粒子集中 黒 Roar.wav
獣の鉤爪(命中), なぎ払い大炎斬撃 黒 Crash.wav
喉笛(準備), オーラ上昇 黒 Roar.wav
喉笛(攻撃), スーパータックル 黒 FastGun.wav
喉笛(命中), フォール Slash.wav;噛み付き Roar.wav;飛沫 赤 Inori.wav
銀杭(準備), 鋼剣 二刀流 Reload(4).wav
銀杭(攻撃), 鋼剣 二刀流
銀杭(命中), 鋼剣 二刀流
蒔く<セミナーレ>(準備), 光の翼 白 二刀流 Transform.wav
蒔く<セミナーレ>(攻撃), 画像前面発射 \Anime\Weapon\EFFECT_MulchThrowingSword01.bmp FastGun.wav
蒔く<セミナーレ>(命中), 連投剣
穿つ<フォデレ>(準備), 光の翼 白 二刀流 Transform.wav
穿つ<フォデレ>(攻撃), 連投剣
穿つ<フォデレ>(命中), 連投剣
断つ<セクティオ>(準備), 鋼剣 Reload(4).wav
断つ<セクティオ>(攻撃), 鋼剣突撃
断つ<セクティオ>(命中), @戦闘アニメ_急降下攻撃;センタリング;唐竹割り Crash.wav
断つ<セクティオ>(命中), @戦闘アニメ_急降下攻撃;センタリング;振り下ろし Slash(4).wav
断つ<セクティオ>(命中), @戦闘アニメ_急降下攻撃;センタリング;凍斬撃 Sword.wav
奔る<ルケーレ>(準備), 光の翼 白 二刀流 Transform.wav
奔る<ルケーレ>(攻撃), 連投剣;連投剣;連投剣;連投剣
奔る<ルケーレ>(命中), 連投剣;連投剣;連投剣;連投剣
銀の弾丸(準備), ピストル
銀の弾丸(攻撃), ピストル
銀の弾丸(命中), ピストル;飛沫 白 Inori.wav
ベスク(準備), 黒剣 Reload(4).wav
ベスク(攻撃), 黒剣突撃;斬撃
ベスク(命中), 黒斬撃
銀の牙(準備), オーラ上昇 黒 Roar.wav
銀の牙(攻撃), スーパータックル 黒
銀の牙(命中), フォール Slash.wav;噛み付き Roar.wav;飛沫 白 Inori.wav
大鉈(準備), 大鉈 二刀流 Reload(4).wav
大鉈(攻撃), 大鉈突撃 二刀流;連斬撃
大鉈(命中), 斬撃乱舞
チェーンソー(準備), 大型チェーンソー
チェーンソー(攻撃), 大型チェーンソー
チェーンソー(命中), 大型チェーンソー;ダメージ 赤 Crash.wav
銀の十字架(準備), 十字架投擲
銀の十字架(攻撃), 十字架投擲
銀の十字架(命中), 大刺突 白;飛沫 白 Inori.wav
銀杭の秘儀(準備), 粒子集中 白 Whiz.wav
銀杭の秘儀(攻撃), @戦闘アニメ_オーラ上昇準備 白;振り上げ Snap(E).wav;連投剣;連投剣
銀杭の秘儀(命中), 連投剣;連投剣
解き放つ(準備), 粒子集中 黒
解き放つ(攻撃), 狼 Roar.wav;狼 Roar.wav;狼 Roar.wav
解き放つ(命中), 連打 FastGun.wav;噛み付き Crash.wav
生まれる(準備), オーラ上昇 黒 Roar.wav
生まれる(攻撃), スーパータックル 黒
生まれる(命中), フォール Slash.wav;噛み付き Roar.wav
人形解体(準備), 粒子集中 白
人形解体(攻撃), 振り上げ Swing(2).wav;多触手 白
人形解体(命中), 多触手 白 Bow.wav;投げ飛ばし;点打 Sword.wav;点打 Sword.wav;飛沫 白 Inori.wav
銀糸(準備), 粒子集中 白
銀糸(攻撃), 振り上げ Swing(2).wav;多触手 白
銀糸(命中), 多触手 白;連続なぎ払い
逆さ蹴り(準備), 粒子集中 青
逆さ蹴り(攻撃), スーパータックル 青
逆さ蹴り(命中), @戦闘アニメ_スピンキック攻撃;ダメージ 青 Warship.wav
逆さ蹴り(命中), @戦闘アニメ_スピンキック攻撃;超打 Warship.wav
銀の鎖(準備), 粒子集中 白 Reload(4).wav
銀の鎖(攻撃), なぎ払い Swing(2).wav;触手 白 Whiz.wav
銀の鎖(命中), 凍斬撃 Whip.wav
銀の鎖(命中), 連打 Whip.wav
懐中時計(準備), ソーサー Reload(4).wav
懐中時計(攻撃), なぎ払い Swing(2).wav;触手 白 Drill.wav
懐中時計(命中), 回転斬撃 Slash.wav
懐中時計(命中), 凍斬撃 Sword.wav
クリオくん(準備), 人形
クリオくん(攻撃), 音波 Noise.wav
クリオくん(命中), ダメージ 紫 Scream(Man).wav
銀の円盤(準備), 粒子集中 白
銀の円盤(攻撃), ＣＤ Swing(2).wav
銀の円盤(命中), 回転斬撃 Slash.wav
銀の円盤(命中), 斬撃乱舞 Slash.wav
虹の円盤(準備), 粒子集中 桃
虹の円盤(攻撃), 投擲武器 \Anime\DGoods\EFFECT_CompactDisk01.bmp 発光 Sharara.wav
虹の円盤(命中), 回転斬撃 Slash(4).wav
虹の円盤(命中), 斬撃乱舞 Slash(4).wav
銀扇(準備), 振る武器 \Anime\DGoods\EFFECT_IronFan01.bmp Reload(4).wav
銀扇(準備), 振る武器 \Anime\DGoods\EFFECT_IronFan02.bmp Reload(4).wav
銀扇(攻撃), タックル Whiz.wav;斬撃 Saber.wav
銀扇(命中), 斬撃 Slash.wav
銀扇(命中), 刺突 Slash.wav
銀扇(命中), 打撃 Whip.wav
銀の駒(準備), 粒子集中 白
銀の駒(攻撃), 人形 FastGun.wav;人形 FastGun.wav;人形 FastGun.wav
銀の駒(命中), 連突
人形使役(攻撃), 振る武器突撃 -.bmp
人形使役(命中), 強打 BreakOff.wav;放電 Noise.wav
セーリエ【ナイフ】(準備), 人形
セーリエ【ナイフ】(攻撃), 投げナイフ;投げナイフ;投げナイフ
セーリエ【ナイフ】(命中), 連突 Stab.wav
セーリエ【鞭】(準備), 人形
セーリエ【鞭】(攻撃), 鞭突撃;なぎ払い Swing(2).wav
セーリエ【鞭】(命中), 強打 Whip.wav
セーリエ【剣】(準備), 人形
セーリエ【剣】(攻撃), 剣突撃;斬撃
セーリエ【剣】(命中), 斬撃 Slash.wav
#ストリートオルガン(準備), 竪琴
ストリートオルガン(使用), 音符;音符;音符










