ユニコーン機関
弾光幕(攻撃),                     光打ち上げ ホワイト Cannon.wav
噛みつき(攻撃),              タックル FlyBy.wav
噛みつき(命中),              噛み付き Crash.wav
#
冷凍ガス,                    煙噴射 Storm.wav
冷凍ガス(クリティカル),      凍結
#
カッターロケット(攻撃),      実弾発射 Common\EFFECT_Moon01.bmp
カッターロケット(命中),      横大斬撃
ＧＲアクション(攻撃),        格闘
ＧＲアクション(攻撃),        振り下ろし
ＧＲアクション(攻撃),        なぎ払い
ＧＲアクション(命中),        ダメージ
ヘッドカッター(攻撃),        ヘッドバット;ヘッドバット
ヘッドカッター(命中),        連斬撃
レーザー光線,                ２連小ビーム ホワイト Hittyuu.wav;２連小ビーム ホワイ Hittyuu.wav;２連小ビーム ホワイ Hittyuu.wav
強力プレス手,        　      ロケットパンチ ブラック
ヘッドギロチン(攻撃),        １ＷＡＹ射出
ヘッドギロチン(命中),        ダメージ;亀裂発生
ＧＲアクション(解説),        $(ユニット)は格闘戦をしかけた
#
小型ミサイル(攻撃),          ニードルレーザー連射 レッド MachineGun.wav;ニードルレーザー連射 レッド MachineGun.wav
小型ミサイル(命中),          連続爆発;連続爆発
#
侵蝕攻撃(攻撃),              タックル Fold.wav
侵蝕攻撃(命中),              液体噴射 Fold.wav
侵蝕攻撃(クリティカル),      煙 Fold.wav
侵蝕攻撃<MAP>(攻撃),         Fold.wav
侵蝕攻撃<MAP>(命中),         液体噴射 Fold.wav
侵蝕攻撃<MAP>(クリティカル), 煙 Fold.wav
#
剣,                          剣突撃
剣<投擲>,                    投剣
シールド防御,                炎盾
#
ステッキ(準備),              振る武器 Weapon\EFFECT_JewelRod(White)01.bmp
ステッキ(攻撃),              振り下ろし
ステッキ(攻撃),              刺突
ステッキ(命中),              ダメージ
光線,                        ビームショットキャノン ホワイト
爪(準備), 　　　　　         振る武器 Bullet\EFFECT_Bullet(White)02.bmp UnitOn.wav
爪(攻撃), 　　　　　         振り下ろし
爪(命中), 　　　　　         超爆発
