
月華の剣士
一刀・嵐討(命中), 3;Punch.wav;3;Slash.wav;3;Slash.wav;Slash.wav
白虎・猛虎ノ狂爪(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav
一刀・連刃斬(命中), _.wav
晨明・連刃斬(命中), _.wav
逸刀・双月(命中), _.wav
活殺・乱れ雪月花(命中), _.wav
金剛砕(命中), _.wav
因果応報(命中), _.wav
不具戴天(命中), _.wav
翡翠砕(命中), _.wav
愚者の嘆き(命中), _.wav
不知火(命中), _.wav
焔咆吼(命中), _.wav
式紙・六合(命中), _.wav
劾鬼・百鬼夜行(命中), _.wav
富嶽(命中), _.wav
大胆不敵<略>驚愕火山弾(命中), _.wav
超激烈呆然<略>仰天大噴火(命中), _.wav
刮目・超激慟(命中), _.wav
狼牙(命中), _.wav
真・狼牙(命中), _.wav
最終・狼牙(命中), _.wav
天地(命中), _.wav
龍尾閃(命中), _.wav
無明剣・贄(命中), _.wav
狼牙・零(命中), _.wav
無慈悲刺し(命中), _.wav
迷兇死衰・凶飢(命中), _.wav
龍槌旋(命中), _.wav
烈旋風(命中), _.wav
秘奥義・蒼天無影脚(命中), _.wav
居飛車穴熊(命中), _.wav
将棋倒し(命中), _.wav
盤上此の一手！"飛車"(命中), _.wav
盤上此の一手！"角行"(命中), _.wav
闇狩り(命中), _.wav
死を恐れぬ心也(命中), _.wav
無銘（極）(命中), _.wav
五輪連ね(命中), _.wav
二天無双剣(命中), _.wav
四神ノ力(命中), _.wav
