
アークザラッド３
サイレント, Whiz.wav
ジュエリーボックス, Bubble.wav
ブレイクスライド, 3;Swing.wav;Whiz.wav
ブレイクスライド(命中), Explode.wav
モール(命中), 3;Swing.wav;Stab.wav
モールスクレイプ, 3;Swing.wav;3;Swing.wav;3;Swing.wav;3;Swing.wav
モールスクレイプ(命中), 3;Slash.wav;3;Slash.wav;3;Slash.wav;3;Slash.wav
ワイルドシャウト, Whiz.wav
トリロジーブロウ, Whiz.wav
ディバイドブレード, 5;Sword.wav;5;Beam.wav
ディバイドブレード(命中), Explode.wav
白影双刃, Swing.wav
白影双刃(命中), 8;Slash.wav;5;Swing.wav;Slash.wav
嵐舞・散華縫弁, 1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav
嵐舞・散華縫弁(命中), Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav;7;Swing.wav;Slash.wav
高軌道大型炸裂弾, MicroMissile.wav
高軌道大型炸裂弾(命中), Explode.wav
リアクターフレア, Whiz.wav
リアクターフレア(命中), Fire.wav
グラビティブレス, Whiz.wav
グラビティブレス(命中), 8;Warship.wav;Crash.wav
ボルテクス・ストーム(命中), 3;Saber.wav;3;Saber.wav;Saber.wav
翼連斬,	Shock(Low).wav
封雷斬(準備), Thunder.wav
フィルシィミスト, Breath.wav
レイジングブレイズ, Whiz.wav
レイジングブレイズ(命中), Fire.wav
サイクロンファング, 3;Saber.wav;3;Saber.wav;Saber.wav
サイクロンファング(命中), Explode.wav
キリングミスト, Breath.wav
アイシクルケイジ, Whiz.wav
アイシクルケイジ(クリティカル), Glass.wav
アイスマッシャー, Whiz.wav
アイスマッシャー(命中), 3;Glass.wav;Crash.wav
審判の雫,  9;Splash.wav;Interference.wav
禍根の渦, Whiz.wav
禍根の渦(命中), 3;Glass.wav;3;Glass.wav;Glass.wav
モラル崩壊, 2;Whiz.wav;2;Whiz.wav;2;Whiz.wav;2;Whiz.wav;Whiz.wav
モラル崩壊(命中), 2;Explode.wav;2;Explode.wav;2;Explode.wav;2;Explode.wav;Explode.wav
暗黒の閃光, Beam.wav
暗黒の閃光(命中), Explode.wav
混沌の衝動, AntiShipMissile.wav
罪悪の萌芽, 2;Bow.wav;2;Bow.wav;2;Bow.wav;2;Bow.wav;Bow.wav
罪悪の萌芽(命中), 5;Fire.wav;5;Fire.wav;5;Fire.wav;5;Fire.wav;Fire.wav
終烽降臨, Whiz.wav
終烽降臨(命中), 8;Glass.wav;EvilEye.wav

トッシュ＝ヴァイア＝モンジ(ＡＲＣ３)
紅蓮(命中), Slash.wav
呪縛剣(命中), Slash.wav
呪縛剣(クリティカル), Glass.wav
真空斬, Whiz.wav
真空斬(命中), Slash.wav
紋次斬り(命中), Slash.wav
紋次斬り(クリティカル), Glass.wav
桜花雷爆斬(命中), 3;Saber.wav;3;Saber.wav;3;Saber.wav;5;Slash.wav

シュウ(ＡＲＣ３)
テンダリーショック, Whiz.wav
テンダリーショック(クリティカル), Glass.wav
ディメイションガン, MachineGun.wav
乱れ撃ち, 10;MachineGun.wav;5;Rifle.wav;5;Rifle.wav;10;MachineGun.wav;5;Rifle.wav;5;Rifle.wav

エルクコワラピュール(ＡＲＣ３)
ファイアーストーム, Whiz.wav
ファイアーストーム(命中), Fire.wav
エクスプロージョン, Explode(Far).wav
ファイアーウォール, AntiShipMissile.wav
ストライクパワー, Whiz.wav
マジックシールド, Whiz.wav
