世界英雄
龍掌(命中), Punch.wav
ハリケーンアーム(命中), Storm.wav
Ｇエクスプロージョン(命中), Explode(Long).wav
ブリザードブレス, Whiz.wav
ブリザードブレス(クリティカル), Transform.wav
エーギルヘブリング, Whiz.wav
エーギルヘブリング(命中), Splash.wav
ロングホーン, Bow.wav
ロングホーン(命中), 1;Stab.wav;Stab.wav
トールハンマー(準備), Thunder.wav
トールハンマー, Swing.wav
トールハンマー(命中), Crash.wav
ホエールヘブリング(命中), Splash.wav
タイガーパンチ(命中), Punch.wav
ムエタイキック(命中), Saber.wav
ダブルニーキック(命中), Punch(2).wav
タイガーファング(命中), Saber.wav
タイガークロー(命中), Explode(Small).wav
ルンピニーダンス(命中), Combo.wav
脱臼パンチ(命中), FightHit(4).wav
マッドマンアタック, Fold.wav
マッドマンアタック(命中), Bubble.wav
マッドカッター(命中), 2;Saber.wav;Saber.wav
マッドジャイロ(命中), 2;Saber.wav;2;Saber.wav;Saber.wav
ヘブンズブロス(命中), Charge(2).wav
スライディングキック(命中), Punch.wav
アーモンドショット, Bow.wav
アーモンドショット(命中), Punch.wav
ショルダーチャージＣ(命中), Bazooka.wav
ライトニングタックル(命中), Bazooka.wav
ヘッドクラッシュ(命中), Crash.wav
ジョニースペシャル(命中), 6;Swing.wav;Bazooka.wav
ハイパージョニースペシャル(命中), 10;Combo.wav;Crash.wav
掌底破(命中), Bazooka.wav
裸締め(命中), 4;BreakOff.wav;FightHit(3).wav
必殺真空投げ(命中), Shock(Low).wav
首切り投げ(命中), Shock(Low).wav
居合蹴り(命中), FightHit(1).wav
出雲流受け流し投げ(命中), 4;BreakOff.wav;Shock(Low).wav
二段背負い投げ(命中), 3;Shock(Low).wav;4;Swing.wav;Shock(Low).wav
空中二段巴投げ(命中), 3;Shock(Low).wav;4;Swing.wav;Shock(Low).wav
戊殺掌(命中), Glass.wav
出雲流鬼ぐるみ(命中), Explode.wav
シャークキック(命中), FightHit(1).wav
パイレーツシップ, Whiz.wav
パイレーツシップ(命中), Splash.wav
シャークナックル, Whiz.wav
シャークナックル(命中), Stab.wav
スパイラルキック(命中), Saber.wav
シャークアッパー(命中), Stab.wav
ハイパーヤクザキック(命中), Bazooka.wav
パニッシュオブパイレーツ(命中), Explode(Nuclear).wav
リッパークロー(命中), Stab.wav
ニースマッシャー(命中), Stab.wav
ミキサークラッシュ(命中), Drill.wav
アイアンクロール(命中), 2;Swing(2).wav;2;Swing(2).wav;Swing(2).wav
ライトニングロッド(命中), Thunder.wav
火炎拳(命中), Explode(Small).wav
方天画戟(命中), Slash.wav
槍撃破(命中), Slash.wav
槍乱舞(命中), FastGun.wav
気功蹴(命中), Bazooka.wav
麒麟猛衝破(命中), Breath.wav
妖瓢酒(クリティカル), PiyoPiyo.wav
旋棍猿舞(命中), Punch(3).wav
飛天踏(命中), Missile.wav
飛閃棍(命中), Slash.wav
猴天昇(命中), Bazooka.wav
降岩砕(命中), Punch(3).wav
聖天武, 4;BeamShot.wav;4;BeamShot.wav;BeamShot.wav
聖天武(命中), Combo.wav
フリージングクロー(命中), Saver.wav
ＤＩＯセイバー(命中), Slash.wav
ブレイクサンダーブロー(命中), Thunder.wav
メテオスマッシュ(命中), Missile.wav
バーニングクロー(命中), GunPod.wav
アルティメットビースト(命中), Explode(Long).wav
ハンマースルー(命中), Bazooka.wav
ダブルストライク(命中), Bazooka.wav
メガトンパンチ(命中), Warship.wav
ギガスマッシャー(命中), Explode.wav
アトミックヒート(命中), Explode.wav


