ＴＯＬ
三連コンボ, 連打
斬首円刃, アフリカ投げナイフ
解体作業その１, 連斬撃;アフリカ投げナイフ
死霊円舞, 連斬撃
解体作業その２, 連斬撃;連斬撃
斬首円刃(解説), $(ユニット)は斬首円刃で攻撃をかけた！
解体作業その１(解説), $(ユニット)は解体作業その１で攻撃をかけた！
死霊円舞(解説), $(ユニット)は死霊円舞で攻撃をかけた！
解体作業その２(解説), $(ユニット)は解体作業その２で攻撃をかけた！
ヴァレンスの剣, ソード
界烈斬, 回転斬撃
轟霊斬, 斬撃突撃
界烈斬(解説), $(ユニット)は界烈斬で攻撃をかけた！
轟霊斬(解説), $(ユニット)は轟霊斬で攻撃をかけた！
水翔獄, 光球 青
滄翔獄, 光球 青
海の顎門, スピンキック
猛りの滄我, オーラ 青
猛海の車輪, 斬撃乱舞
猛海の鞭, ホーミングレーザー 青
猛海の波, 地表衝撃波
猛海の槍, 刺突
猛海の鎚, 踏み潰し
猛海の弓, 小ビーム 青
猛海の大蛇, 刺突
猛海の怒り, 波動放射 青 残像
水翔獄(解説), $(ユニット)は水翔獄で攻撃をかけた！
滄翔獄(解説), $(ユニット)は滄翔獄で攻撃をかけた！
海の顎門(解説), $(ユニット)は海の顎門で攻撃をかけた！
猛りの滄我(解説), $(ユニット)は猛りの滄我で攻撃をかけた！
猛海の車輪(解説), $(ユニット)は猛海の車輪で攻撃をかけた！
猛海の鞭(解説), $(ユニット)は猛海の鞭で攻撃をかけた！
猛海の波(解説), $(ユニット)は猛海の波で攻撃をかけた！
猛海の槍(解説), $(ユニット)は猛海の槍で攻撃をかけた！
猛海の鎚(解説), $(ユニット)は猛海の鎚で攻撃をかけた！
猛海の弓(解説), $(ユニット)は猛海の弓で攻撃をかけた！
猛海の大蛇(解説), $(ユニット)は猛海の大蛇で攻撃をかけた！
猛海の怒り(解説), $(ユニット)は猛海の怒りで攻撃をかけた！
殺戮の翼, 気斬
水神咆吼, 光噴出
水鳥の飛翔, バックキック
滄翼天翔, 乱打
殺戮の翼(解説), $(ユニット)は殺戮の翼で攻撃をかけた！
水神咆吼(解説), $(ユニット)は水神咆吼で攻撃をかけた！
水鳥の飛翔(解説), $(ユニット)は水鳥の飛翔で攻撃をかけた！
滄翼天翔(解説), $(ユニット)は滄翼天翔で攻撃をかけた！
虚時の独奏曲, 大ビーム 黄
命の戦慄, 回転斬撃
命の螺旋(攻撃), 振り下ろし
命の螺旋(命中), 唐竹割り
虚時の独奏曲(解説), $(ユニット)は虚時の独奏曲で攻撃をかけた！
命の戦慄(解説), $(ユニット)は命の戦慄で攻撃をかけた
命の螺旋(解説), $(ユニット)は命の螺旋で攻撃をかけた
闇蛍, 小ビーム
焔獄, 炎投射
鐘音, 乱打
強力闇蛍, 中ビーム
闇蛍(解説), $(ユニット)は闇蛍で攻撃をかけた
焔獄(解説), $(ユニット)は焔獄で攻撃をかけた
鐘音(解説), $(ユニット)は鐘音で攻撃をかけた
強力闇蛍(解説), $(ユニット)は強力闇蛍で攻撃をかけた



