
# 以下、レギュラーキャラや秘密道具用の汎用アニメ。

汎用
阻止(秘密道具), バリア Flair.wav 秘密道具
一万馬力(ドラえもん)(攻撃), 連打
一万馬力(ドラえもん)(命中), 立ち固め
#
喧嘩(攻撃), 打突
喧嘩(攻撃), 打突
喧嘩(攻撃), 連打
喧嘩(攻撃), タックル
喧嘩(命中), 打撃
喧嘩(命中), 打撃
喧嘩(命中), 連打
喧嘩(命中), 打撃突撃
大暴れ(攻撃), 連打
大暴れ(攻撃), 連打
大暴れ(攻撃), 乱打
大暴れ(攻撃), 乱打
大暴れ(攻撃), 打撃突撃
大暴れ(攻撃), アッパー
大暴れ(命中), 乱打
大暴れ(命中), 乱打
大暴れ(命中), 強打
大暴れ(命中), アッパー
熱唱(攻撃), ＭＡＰ音符 パープル Storm.wav
熱唱(命中), 音符 パープル Breath.wav
#
ビームピストル(ドラえもん), ショックビームガン
#
火柱の術(ドラえもん), 火柱
水柱の術(ドラえもん), 津波
念動力(ドラえもん), 波動放射 ホワイト Whiz.wav
#
## 鉄人兵団 ##
フィンガーミサイル(ドラえもん), バルカン Punch(3).wav
キック(ドラえもん), キック
反射(万能こだま), 反射 BeamCoat.wav 万能こだま
#
#
##  竜の騎士  ##
天地逆転オイル(攻撃), 大水流 ホワイト
天地逆転オイル(命中), 発光 ホワイト Splash.wav
見せかけミサイル(攻撃), ミサイル
見せかけミサイル(命中), 爆発 ホワイト
ハッタリバズーカ(攻撃), バズーカ
ハッタリバズーカ(命中), 連続爆発 3 ホワイト
#
## パラレル西遊記 ##
阻止(72通りの術), 桜吹雪
シールド防御(如意棒), @戦闘アニメ_中心回転武器攻撃 Weapon\EFFECT_Rod01.bmp 相手ユニットＩＤ
72通りの術(攻撃), 粒子集中
72通りの術(命中), 交差ビーム ブルー
72通りの術(命中), 旋風
72通りの術(命中), 火柱
72通りの術(命中), 落雷
72通りの術(命中), 桜吹雪
72通りの術(命中), 強風
如意棒(ドラえもん), 回転棍
如意棒(ドラえもん), ロッド
如意棒(ドラえもん), 殴打武器 Weapon\EFFECT_Rod01.bmp
如意棒大きくなれ！(準備), ロッド; 魔法集中
#如意棒大きくなれ！(攻撃), 突く武器突撃 Weapon\EFFECT_Rod01.bmp 164 Bazooka.wav
如意棒大きくなれ！(攻撃), 大ビーム レッド Bazooka.wav
如意棒大きくなれ！(命中), 大ビーム レッド Crash.wav
攻撃無効化(お祈り), エネルギーフィールド展開
九環の錫杖(ドラえもん), 錫杖
お祈り(ドラえもん), 炎 ホワイト
手当て(ドラえもん), 回復魔法
分身(三十六の変化の術), 分身 三十六の変化の術
まぐわ(ドラえもん)(準備), 振る武器 DGoods\EFFECT_Tonbo01.bmp _GetWPBS(DGoods\EFFECT_Tonbo01.bmp)
まぐわ(ドラえもん)(攻撃), 斬撃
まぐわ(ドラえもん)(命中), 斬撃
三十六の変化の術(ドラえもん)(準備), 木の葉乱舞
三十六の変化の術(ドラえもん)(攻撃), 分身打撃
三十六の変化の術(ドラえもん)(攻撃), 分身斬撃
三十六の変化の術(ドラえもん)(攻撃), 分身刺突
三十六の変化の術(ドラえもん)(命中), 回転斬撃
阻止(妖術), 竜巻
降魔杖(ドラえもん), 月牙
妖術(ドラえもん)(攻撃), 煙 グリーン 相手ユニットＩＤ
妖術(ドラえもん)(命中), 津波
妖術(ドラえもん)(命中), 竜巻
妖術(ドラえもん)(命中), 石柱
妖術(ドラえもん)(命中), 泡球
#
## 日本誕生 ##
石ヤリ(日本誕生), 打突武器 Weapon\EFFECT_StoneSpear01.bmp _GetWPBS(Weapon\EFFECT_StoneSpear01.bmp)
大暴れ(日本誕生)(準備), 石槍 
大暴れ(日本誕生)(攻撃), 斬撃乱舞 
大暴れ(日本誕生)(命中), 連打
大暴れ(日本誕生)(命中), 乱打
大暴れ(日本誕生)(命中), アッパー
大暴れ(日本誕生)(命中), 振り下ろし
#
## アニマル惑星 ##
植物操り器【催涙花粉】, ＭＡＰ煙 ピンク
植物操り器【木の実爆弾】(攻撃), 木の葉乱舞
植物操り器【木の実爆弾】(命中), 強打
植物操り器【森の王】(攻撃), 多触手 グリーン
植物操り器【森の王】(命中), 乱打; 強打
#
クマの怪力(攻撃), アッパー
クマの怪力(命中), アッパー
クマの怪力(命中), 強打
クマの怪力(命中), 投げ飛ばし
ゴリラの怪力(攻撃), 打撃突撃 Drum.wav
ゴリラの怪力(命中), 乱打
ゴリラの怪力(命中), 乱打
ゴリラの怪力(命中), 強打
#
空気砲集中砲火【ドの】(準備), 同時射撃武器 EFFECT_DORA_KuukiHou.bmp reload.wav ; _
	フェイスアップ ドラえもん; @DORA_Doraemon(A).bmp; ドラえもん.「$(LIndex("(みんなで いっせいに、ねらいを集中させるんだ！) (よおし、作戦通りだ！) (照準を合わせろ！) (このチャンスを待っていた！) (空気砲１つの力なんて、.たかが知れたものなんだ。.だけど……)", Random(5)))」; _
	フェイスアップ 野比のび太; @DORA_NobiNobita.bmp; のび太.「$(LIndex("(これから何が起こるにしても、.ぼくらはず～っと一緒だよ) (みんなで、力をあわせよう！) (出来なくたって、やるっきゃないだろ！) (今さらあとへは引けないんだ) (とにかく、やれるだけやってみるしかないね)", Random(5)))」; _
	フェイスアップ
空気砲集中砲火【ド静】(準備), 同時射撃武器 EFFECT_DORA_KuukiHou.bmp reload.wav ; _
	フェイスアップ ドラえもん; @DORA_Doraemon(A).bmp; ドラえもん.「$(LIndex("(いっせいに、ねらいを集中させるんだ！) (よおし、作戦通りだ！) (照準を合わせろ！) (このチャンスを待っていた！) (空気砲１つの力なんて、たかが知れたものなんだ。.だけど……)", Random(5)))」; _
	フェイスアップ 源静香;@DORA_MinamotoShizuka.bmp; しずか.「$(LIndex("(あたしたち、お友達じゃないの) (やりましょう！) (できるかしら…) (このまま負けちゃうなんて、あんまり惨めじゃない……！) (みんなで力をあわせれば、できないことなんてないわ！)", Random(5)))」; _
	フェイスアップ
空気砲集中砲火【ドＧ】(準備), 同時射撃武器 EFFECT_DORA_KuukiHou.bmp reload.wav ; _
	フェイスアップ ドラえもん; @DORA_Doraemon(A).bmp; ドラえもん.「$(LIndex("(みんなで いっせいに、ねらいを集中させるんだ！) (よおし、作戦通りだ！) (照準を合わせろ！) (このチャンスを待っていた！) (空気砲１つの力なんて、.たかが知れたものなんだ。.だけど……)", Random(5)))」; _
	フェイスアップ 剛田武; @DORA_GoudaTakeshi.bmp; ジャイアン.「$(LIndex("(ようし！！ いっちょやってみるか！！) (ひとかたまりでゴールを目指せ！) (手を貸すぜ！) (大丈夫、オレがついてるよぉ！) (へっ！ まかせとけっての！)", Random(5)))」; _
	フェイスアップ
空気砲集中砲火【ドス】(準備), 同時射撃武器 EFFECT_DORA_KuukiHou.bmp reload.wav ; _
	フェイスアップ ドラえもん; @DORA_Doraemon(A).bmp; ドラえもん.「$(LIndex("(みんなで いっせいに、ねらいを集中させるんだ！) (よおし、作戦通りだ！) (照準を合わせろ！) (このチャンスを待っていた！) (よーくひきつけて、ねらい撃ちにするんだ！)", Random(5)))」; _
	フェイスアップ 骨川スネ夫; @DORA_HonekawaSuneo.bmp; スネオ.「$(LIndex("(待ってよ～～) (今ならあいつら、きっと油断してるよ！) (ブルブル……) (本当にこんなんで 上手くいくんだろうね！？) (やればいいんだろ、やれば！？)", Random(5)))」; _
	フェイスアップ
空気砲集中砲火【の静】(準備), 同時射撃武器 EFFECT_DORA_KuukiHou.bmp reload.wav ; _
	フェイスアップ 野比のび太; @DORA_NobiNobita.bmp; のび太.「$(LIndex("(これから何が起こるにしても、.ぼくらはず～っと一緒だよ) (しずちゃん、無理するな！) (出来なくたって、やるっきゃないだろ！) (今さらあとへは引けないんだ) (とにかく、やれるだけやってみるしかないね) (ぼくたち……大人になっても、こんな冒険できるかな……？)", Random(6)))」; _
	フェイスアップ 源静香;@DORA_MinamotoShizuka.bmp; しずか.「$(LIndex("(あたしたち、お友達じゃないの) (やりましょう！) (大丈夫よ、自分たちの力を信じましょう) (このまま負けちゃうなんて、あんまり惨めじゃない……！) (みんなで力をあわせれば、できないことなんてないわ)", Random(5)))」; _
	フェイスアップ
空気砲集中砲火【のＧ】(準備), 同時射撃武器 EFFECT_DORA_KuukiHou.bmp reload.wav ; _
	フェイスアップ 野比のび太; @DORA_NobiNobita.bmp; のび太.「$(LIndex("(これから何が起こるにしても、.ぼくらはず～っと一緒だよ) (みんなで、力をあわせよう！) (出来なくたって、やるっきゃないだろ！) (今さらあとへは引けないんだ) (とにかく、やれるだけやってみるしかないね)", Random(5)))」; _
	フェイスアップ 剛田武; @DORA_GoudaTakeshi.bmp; ジャイアン.「$(LIndex("(のび太、もたもたすんな！) (ひとかたまりでゴールを目指せ！) (手を貸すぜ！) (大丈夫、オレがついてるよぉ！) (おれは歩く！ のび太と一緒にな！)", Random(5)))」; _
	フェイスアップ
空気砲集中砲火【のス】(準備), 同時射撃武器 EFFECT_DORA_KuukiHou.bmp reload.wav ; _
	フェイスアップ 野比のび太; @DORA_NobiNobita.bmp; のび太.「$(LIndex("(これから何が起こるにしても、.ぼくらはず～っと一緒だよ) (みんなで、力をあわせよう！) (出来なくたって、やるっきゃないだろ！) (今さらあとへは引けないんだ) (とにかく、やれるだけやってみるしかないね)", Random(5)))」; _
	フェイスアップ 骨川スネ夫; @DORA_HonekawaSuneo.bmp; スネオ.「$(LIndex("(待ってよ～～) (イチかバチかやって見ようよ) (ブルブル……) (本当にこんなんで 上手くいくんだろうね！？) (こんな時だけ張り切っちゃって……)", Random(5)))」; _
	フェイスアップ
空気砲集中砲火【静Ｇ】(準備), 同時射撃武器 EFFECT_DORA_KuukiHou.bmp reload.wav ; _
	フェイスアップ 源静香; @DORA_MinamotoShizuka.bmp; しずか.「$(LIndex("(あたしたち、お友達じゃないの) (今だわ！) (できるかしら…) (このまま負けちゃうなんて、あんまり惨めじゃない……！) (みんなで力をあわせれば、できないことなんてないわ)", Random(5)))」; _
	フェイスアップ 剛田武; @DORA_GoudaTakeshi.bmp; ジャイアン.「$(LIndex("(ようし！！ いっちょやってみるか！！) (ひとかたまりでゴールを目指せ！) (手を貸すぜ！) (大丈夫、オレがついてるよぉ！) (１，２の３で飛び出せ！)", Random(5)))」; _
	フェイスアップ
空気砲集中砲火【静ス】(準備), 同時射撃武器 EFFECT_DORA_KuukiHou.bmp reload.wav ; _
	フェイスアップ 源静香; @DORA_MinamotoShizuka.bmp; しずか.「$(LIndex("(あたしたち、お友達じゃないの) (スネオさん！) (できるかしら…) (このまま負けちゃうなんて、あんまり惨めじゃない……！) (みんなで力をあわせれば、できないことなんてないわ)", Random(5)))」; _
	フェイスアップ 骨川スネ夫; @DORA_HonekawaSuneo.bmp; スネオ.「$(LIndex("(待ってよ～～) (イチかバチかやって見ようよ) (ブルブル……) (本当にこんなんで 上手くいくんだろうね！？) (女の子一人で危険な目に合わせられないし……)", Random(5)))」; _
	フェイスアップ
空気砲集中砲火【Ｇス】(準備), 同時射撃武器 EFFECT_DORA_KuukiHou.bmp reload.wav ; _
	フェイスアップ 剛田武; @DORA_GoudaTakeshi.bmp; ジャイアン「油断するな！」; _
	フェイスアップ 骨川スネ夫; @DORA_HonekawaSuneo.bmp; スネオ「そっちこそ！」; _
	フェイスアップ
空気砲集中砲火【Ｇス】(準備), 同時射撃武器 EFFECT_DORA_KuukiHou.bmp reload.wav ; _
	フェイスアップ 剛田武; @DORA_GoudaTakeshi.bmp; ジャイアン「１，２の３で飛び出せ！」; _
	フェイスアップ 骨川スネ夫; @DORA_HonekawaSuneo.bmp; スネオ「ＯＫ！」; _
	フェイスアップ
空気砲集中砲火【Ｇス】(準備), 同時射撃武器 EFFECT_DORA_KuukiHou.bmp reload.wav ; _
	フェイスアップ 剛田武; @DORA_GoudaTakeshi.bmp; ジャイアン「おれたちが引き受けた！」; _
	フェイスアップ 骨川スネ夫; @DORA_HonekawaSuneo.bmp; スネオ「そ、そんな無茶な……」; _
	フェイスアップ
空気砲集中砲火【Ｇス】(準備), 同時射撃武器 EFFECT_DORA_KuukiHou.bmp reload.wav ; _
	フェイスアップ 剛田武; @DORA_GoudaTakeshi.bmp; ジャイアン.「だまって待ってたって、どっちみちおしまいだぜ」; _
	フェイスアップ 骨川スネ夫; @DORA_HonekawaSuneo.bmp; スネオ「だったらいっそ、こっちから……」; _
	フェイスアップ
空気砲集中砲火【ドの】(攻撃), 同時手持ち発射 EFFECT_DORA_KuukiHou.bmp; 同時実弾発射 Bullet\EFFECT_AuraBall01.bmp Cannon.wav 
空気砲集中砲火【ド静】(攻撃), 同時手持ち発射 EFFECT_DORA_KuukiHou.bmp; 同時実弾発射 Bullet\EFFECT_AuraBall01.bmp Cannon.wav 
空気砲集中砲火【ドＧ】(攻撃), 同時手持ち発射 EFFECT_DORA_KuukiHou.bmp; 同時実弾発射 Bullet\EFFECT_AuraBall01.bmp Cannon.wav 
空気砲集中砲火【ドス】(攻撃), 同時手持ち発射 EFFECT_DORA_KuukiHou.bmp; 同時実弾発射 Bullet\EFFECT_AuraBall01.bmp Cannon.wav 
空気砲集中砲火【の静】(攻撃), 同時手持ち発射 EFFECT_DORA_KuukiHou.bmp; 同時実弾発射 Bullet\EFFECT_AuraBall01.bmp Cannon.wav 
空気砲集中砲火【のＧ】(攻撃), 同時手持ち発射 EFFECT_DORA_KuukiHou.bmp; 同時実弾発射 Bullet\EFFECT_AuraBall01.bmp Cannon.wav  
空気砲集中砲火【のス】(攻撃), 同時手持ち発射 EFFECT_DORA_KuukiHou.bmp; 同時実弾発射 Bullet\EFFECT_AuraBall01.bmp Cannon.wav 
空気砲集中砲火【静Ｇ】(攻撃), 同時手持ち発射 EFFECT_DORA_KuukiHou.bmp; 同時実弾発射 Bullet\EFFECT_AuraBall01.bmp Cannon.wav 
空気砲集中砲火【静ス】(攻撃), 同時手持ち発射 EFFECT_DORA_KuukiHou.bmp; 同時実弾発射 Bullet\EFFECT_AuraBall01.bmp Cannon.wav 
空気砲集中砲火【Ｇス】(攻撃), 同時手持ち発射 EFFECT_DORA_KuukiHou.bmp; 同時実弾発射 Bullet\EFFECT_AuraBall01.bmp Cannon.wav 
空気砲集中砲火【ドの】(命中), 超打
空気砲集中砲火【ド静】(命中), 超打
空気砲集中砲火【ドＧ】(命中), 超打
空気砲集中砲火【ドス】(命中), 超打 
空気砲集中砲火【の静】(命中), 超打
空気砲集中砲火【のＧ】(命中), 超打
空気砲集中砲火【のス】(命中), 超打
空気砲集中砲火【静Ｇ】(命中), 超打
空気砲集中砲火【静ス】(命中), 超打 
空気砲集中砲火【Ｇス】(命中), 超打

ネコ型ロボット
一万馬力(ドラえもん)(攻撃), 連打
一万馬力(ドラえもん)(命中), 立ち固め


# 以下、ロボット基準用アニメ
ザンダクロス
頭部バルカン, バルカン
肩部ミサイルランチャー, ホーミングミサイル
レーザー光線砲, ２連中ビーム オレンジ
格闘(攻撃), 打突
格闘(攻撃), 打突
格闘(攻撃), キック
格闘(攻撃), アッパー
格闘(攻撃), 浴びせ蹴り
格闘(命中), 強打
格闘(命中), 強打
格闘(命中), アッパー

巨大鉄人兵(ドラえもん)
格闘(攻撃), 打突
格闘(攻撃), 打突
格闘(攻撃), 連打
格闘(命中), 打撃
格闘(命中), 連打
格闘(命中), 立ち固め
熱光線, 小ビーム オレンジ
ビームガン, ビームランチャー オレンジ
ビームガン(集団), 拡散ビーム オレンジ

鉄人兵団(ドラえもん)(ロボット基準)
格闘(集団)(攻撃), 連打
格闘(集団)(攻撃), 連突
格闘(集団)(攻撃), 連突
格闘(集団)(命中), 点連打 ブラック
格闘(集団)(命中), 点連打 ブラック
格闘(集団)(命中), 打撃突撃
格闘(集団)(命中), 足固め
熱光線(集団), ニードルレーザー連射 オレンジ
ビームガン(集団), 拡散ビーム オレンジ

バウワンコの神像(ロボット基準)
稲妻, 落雷
格闘(攻撃), 打突
格闘(攻撃), 打突
格闘(攻撃), なぎ払い
格闘(攻撃), アッパー
格闘(攻撃), 浴びせ蹴り
格闘(命中), 強打
格闘(命中), 強打
格闘(命中), アッパー
格闘(命中), なぎ払い

バウワンコの神像(ロボット基準)(2014)
湧き立つ雲(準備), 大気吸収
湧き立つ雲(攻撃), ＭＡＰ竜巻
いなづま, 落雷
格闘(攻撃), 打撃突撃
格闘(攻撃), 打撃突撃
格闘(攻撃), アッパー
格闘(攻撃), タックル
格闘(攻撃), 浴びせ蹴り
格闘(命中), 強打
格闘(命中), 強打
格闘(命中), 超打
格闘(命中), 打撃突撃
格闘(命中), 打撃突撃
格闘(命中), 超アッパー
粉砕(準備), 大気吸収
粉砕(準備), 落雷, 大放電
粉砕(準備), -
粉砕(準備), -
粉砕(攻撃), スーパータックル 白
粉砕(命中), スーパータックル 白, 装甲破壊

空飛ぶ船・母艦(ドラえもん)(ロボット基準)(2014)
遠吠え砲, 大ビーム ホワイト

ドラえもん(巨大)
格闘(攻撃), 打突
格闘(攻撃), 打突
格闘(攻撃), 打撃突撃
格闘(攻撃), 浴びせ蹴り
格闘(命中), 強打
格闘(命中), 強打
格闘(命中), 投げ飛ばし
レーザー光線砲, ２連中ビーム オレンジ
#
体当たり, タックル
砲撃, キャノン砲
#

# 以下、等身大基準用アニメ。
# ただし一部アニメは、ロボット基準側にも流用しています。

恐竜
首(攻撃), 打突
首(攻撃), 打突
首(攻撃), タックル
首(攻撃), アッパー
首(命中), 打撃
首(命中), アッパー
体当たり, スーパータックル オレンジ

恐竜ハンター
機銃, ２連小ビーム オレンジ
ギミックアーム(攻撃), 触手 ブラック
ギミックアーム(命中), 連斬撃
粘着弾, ２連スラッシュビーム ホワイト

宇宙開拓史
ショックガン(コーヤコーヤ), レーザーガン 水色 Weapon\EFFECT_Dellinger01.bmp _GetEFBS(Weapon\EFFECT_Dellinger01.bmp)
#チャミー(準備), しもべ ..\Unit\DORA02_ChammyU.bmp _GetEFBS(..\Unit\DORA02_ChammyU.bmp) UnitOn(2).wav
#チャミー(準備), -
#チャミー(準備), -
#チャミー(攻撃), しもべ ..\Unit\DORA02_ChammyU.bmp _GetEFBS(..\Unit\DORA02_ChammyU.bmp) Swing.wav
# ※ユニットアイコンないので、↓光球で代用。
チャミー(攻撃), 光球 ピンク
チャミー(命中), 爪撃 ピンク
格闘(チャミー), 爪撃 ピンク
ハンマー(準備), 振る武器 DGoods\EFFECT_PicopicoHammer01.bmp _GetEFBS(DGoods\EFFECT_PicopicoHammer01.bmp) Bazooka.wav
ハンマー(攻撃), 振る武器突撃 DGoods\EFFECT_PicopicoHammer01.bmp _GetEFBS(DGoods\EFFECT_PicopicoHammer01.bmp) Cannon(4Shot).wav
ハンマー(命中), 振る武器突撃 DGoods\EFFECT_PicopicoHammer01.bmp _GetEFBS(DGoods\EFFECT_PicopicoHammer01.bmp) HyperBazooka.wav
#
ピストル, リボルバー
銃(準備), リボルバー
銃(攻撃), リボルバー
銃(命中), 小ビーム オレンジ
クイックドロー(準備), リボルバー
クイックドロー(攻撃), リボルバー
クイックドロー(命中), 大刺突
爆撃(攻撃), 拡散ビーム レッド
爆撃(命中), 連続爆発
熱光線, 怪光線 Beam.wav
ウルトラスーパー砲, ２連ショックビーム
投げ縄, ネット
キック, キック
突進, スーパータックル ブラック
ビームガン, ２連小ビーム オレンジ
熱光線, ２連小ビーム
体当たり, タックル
機銃, 機関砲
体当たり(ＢＴ), スーパーダイブ ブラック 前転


ガルタイト鉱業の刺客ギラーミン
格闘, キック

大魔境
拳, アッパー
大暴れ(攻撃), ジャイアントスイング
大暴れ(攻撃), スーパータックル
大暴れ(攻撃), スピンアタック
大暴れ(攻撃), バックキック
大暴れ(命中), 強打
大暴れ(命中), 強打
大暴れ(命中), 投げ飛ばし
大暴れ(命中), 超アッパー
剣, 剣
#
体当たり, タックル
神像の幻影(攻撃), 浮上アップ ..\Unit\DORA03_GodDogU.bmp; @DORA03_KyosinZou.bmp; 巨神像「<B><Big>バオオオーーン</B></Big>」
