ブシドーブレード
#
#基本武器
#
体術,格闘
猪鹿蝶(攻撃),振り上げ;斬撃;振り上げ
猪鹿蝶(命中),振り上げ;斬撃;振り上げ
二刀流(打刀)(準備),左右別武器 EFFECT_JapaneseBlade01.bmp 32 - EFFECT_Wakizashi01.bmp 32
二刀流(打刀)(攻撃),-
二刀流(打刀)(命中),@戦闘アニメ_刺突攻撃;@戦闘アニメ_刺突攻撃;@戦闘アニメ_斬撃攻撃;刺突;刺突;斬撃
二刀流(打刀)(命中),@戦闘アニメ_斬撃攻撃;@戦闘アニメ_振り上げ攻撃;3;@戦闘アニメ_横大斬撃攻撃;斬撃;刺突;横大斬撃
二刀流(打刀)(命中),@戦闘アニメ_刺突攻撃;@戦闘アニメ_斬撃攻撃;@戦闘アニメ_振り上げ攻撃;刺突;斬撃;振り上げ
落ち葉(LS)(準備),-
落ち葉(LS)(攻撃),ショートソード突撃;なぎ払い
落ち葉(LS)(命中),なぎ払い
二兎(LS)(準備),-
二兎(LS)(攻撃),ショートソード突撃 Stairs(Run).wav
二兎(LS)(命中),ショートソード突撃
蛇目(LS)(準備),ショートソード
蛇目(LS)(攻撃),ショートソード突撃;振り上げ
蛇目(LS)(命中),超アッパー Slash.wav
中段天冥捨て身突き,ショートソード突撃
柄合わせ面打ち(準備),ナギナタ
柄合わせ面打ち(攻撃),刺突;斬撃
柄合わせ面打ち(命中),刺突 FightHit(1).wav;斬撃
振り下ろし面打ち三段(準備),ナギナタ
振り下ろし面打ち三段(攻撃),振り下ろし;振り下ろし;ナギナタ突撃;大斬撃
振り下ろし面打ち三段(命中),振り下ろし;振り下ろし;3;大斬撃
踏み込み穿ち突き(準備),ナギナタ
踏み込み穿ち突き(攻撃),ナギナタ突撃;横大斬撃
踏み込み穿ち突き(命中),横大斬撃
二兎(打刀)(準備),-
二兎(打刀)(攻撃),日本刀突撃 Stairs(Run).wav
二兎(打刀)(命中),日本刀突撃
先払い,日本刀突撃
真直叩き斬り(LS)(準備),ショートソード
真直叩き斬り(LS)(攻撃),ショートソード突撃;斬撃
真直叩き斬り(LS)(命中),斬撃
滑り足払い,日本刀突撃
真直斬り(準備),日本刀
真直斬り(攻撃),振り下ろし
真直斬り(命中),大斬撃
鎧通し(準備),日本刀
鎧通し(攻撃),日本刀突撃;刺突
鎧通し(命中),横大斬撃
走り込み突き(準備),日本刀
走り込み突き(攻撃),日本刀突撃 Stairs(Run).wav
走り込み突き(命中),横大斬撃
居合い(準備),-
居合い(攻撃),Swing(2).wav
居合い(命中),日本刀突撃
変位抜刀十文字(準備),日本刀
変位抜刀十文字(攻撃),日本刀突撃;大斬撃;横大斬撃
変位抜刀十文字(命中),大斬撃;横大斬撃
唐竹割り(準備),日本刀
唐竹割り(攻撃),超アッパー
唐竹割り(命中),超アッパー Slash.wav;2;@戦闘アニメ_斬撃乱舞攻撃;斬撃乱舞
畳返し(準備),スピア
畳返し(攻撃),刺突;振り上げ
畳返し(命中),刺突;アッパー Slash.wav
爪牙裂空(準備),スピア
爪牙裂空(攻撃),なぎ払い;なぎ払い;斬撃
爪牙裂空(命中),なぎ払い;なぎ払い;斬撃
四拍子(準備),スピア
四拍子(攻撃),刺突;刺突;刺突;1;刺突
四拍子(命中),刺突;刺突;刺突;1;刺突
猛進五段(準備),スピア
猛進五段(攻撃),スピア突撃;刺突;刺突;刺突;刺突;刺突
猛進五段(命中),刺突;刺突;刺突;刺突;刺突
蜻蛉斬り(準備),ショートソード
蜻蛉斬り(攻撃),ショートソード突撃;振り上げ
蜻蛉斬り(命中),振り上げ
裏三連(準備),ショートソード
裏三連(攻撃),なぎ払い;振り上げ;なぎ払い
裏三連(命中),なぎ払い;振り上げ;なぎ払い
裏太刀(準備),左右別武器 EFFECT_Jutte01.bmp 32 - EFFECT_ShortSword01.bmp 32
裏太刀(攻撃),なぎ払い Slash(4).wav;刺突
裏太刀(命中),なぎ払い Reload.wav;刺突
二刀村時雨(準備),左右別武器 EFFECT_ShortSword01.bmp - EFFECT_Wakizashi01.bmp 32
二刀村時雨(攻撃),連突;連突;2;刺突
二刀村時雨(命中),連突;連突;2;刺突
二刀流(LS)(準備),左右別武器 EFFECT_ShortSword01.bmp 32 - EFFECT_Rapier01.bmp
二刀流(LS)(攻撃),-
二刀流(LS)(命中),@戦闘アニメ_刺突攻撃;@戦闘アニメ_刺突攻撃;@戦闘アニメ_斬撃攻撃;刺突;刺突;斬撃
二刀流(LS)(命中),@戦闘アニメ_斬撃攻撃;@戦闘アニメ_振り上げ攻撃;3;@戦闘アニメ_横大斬撃攻撃;斬撃;刺突;横大斬撃
二刀流(LS)(命中),@戦闘アニメ_刺突攻撃;@戦闘アニメ_斬撃攻撃;@戦闘アニメ_振り上げ攻撃;刺突;斬撃;振り上げ
居合い(LS)(準備),-
居合い(LS)(攻撃),Swing(2).wav
居合い(LS)(命中),ショートソード突撃
竜尾(準備),日本刀
竜尾(攻撃),斬撃;なぎ払い
竜尾(命中),@戦闘アニメ_回避発動;なぎ払い
稲妻返し(準備),日本刀
稲妻返し(攻撃),斬撃;なぎ払い
稲妻返し(命中),斬撃;なぎ払い
真空霞斬り(準備),野太刀
真空霞斬り(攻撃),野太刀突撃 Stairs(Run).wav
真空霞斬り(命中),なぎ払い
マッドマンティス(準備),野太刀
マッドマンティス(攻撃),ジャンプ
マッドマンティス(命中),振り下ろし
胴返し回り片手突き(準備),大剣
胴返し回り片手突き(攻撃),なぎ払い;なぎ払い;@戦闘アニメ_中心回転武器準備 Weapon\EFFECT_GreatSword01.bmp Swing.wav;2;刺突
胴返し回り片手突き(命中),なぎ払い;なぎ払い;Swing.wav;2;Swing.wav;2;刺突
逆胴逆真直(準備),大剣
逆胴逆真直(攻撃),なぎ払い;斬撃
逆胴逆真直(命中),なぎ払い;斬撃
#
#以下サブウェポン
#
鉄扇,回転投擲武器 anime\Bullet\EFFECT_ShootingCutter(White)01.bmp
小柄,小柄
ショートソード,投剣
匕首,小柄
手裏剣,手裏剣
脇差,投剣
小太刀,投剣
セイヨーツルギ(投),投剣
長針,ニードル
ドス(投),投剣
かんしゃく玉(準備),爆弾
かんしゃく玉(攻撃),爆弾
かんしゃく玉(命中),連続爆発
独鈷,クナイ
十手(投),小柄
レイピア(投),投剣
花札,タロット
渇！(準備),-
渇！(攻撃),文字ビーム "渇！" 黒 Glass.wav
渇！(命中),ダメージ Glass.wav
ブーメラン,ブーメラン
蛙,投擲武器 Animal\EFFECT_Tiger(Green)01.bmp
斧,トマホーク投擲
#
#その他
#
M16-A2,ライフル EFFECT_RW_COLT_M16A2.bmp
連射,マシンガン EFFECT_RW_COLT_M16A2.bmp
リロード,@戦闘アニメ_ライフル準備 EFFECT_RW_COLT_M16A2.bmp;reload.wav;3;@戦闘アニメ_中心回転武器準備 EFFECT_RW_COLT_M16A2.bmp
#
#ザコ忍者
#
吹き矢,吹き矢
拳銃,ピストル
連続技(準備),日本刀
連続技(攻撃),日本刀突撃
連続技(命中),@戦闘アニメ_斬撃乱舞攻撃;斬撃乱舞
連続技(命中),@戦闘アニメ_回転斬撃攻撃;@戦闘アニメ_なぎ払い攻撃;@戦闘アニメ_刺突攻撃;回転斬撃;なぎ払い;刺突
連続技(命中),@戦闘アニメ_連斬撃攻撃;@戦闘アニメ_なぎ払い攻撃 Sword.wav;連斬撃;なぎ払い


暗殺者
走り撃ち(準備),Stairs(Run).wav
走り撃ち(攻撃),ピストル EFFECT_RW_MAUSER_C96.bmp
走り撃ち(命中),ピストル
マウザー,ピストル EFFECT_RW_MAUSER_C96.bmp
連射(準備),ピストル EFFECT_RW_MAUSER_C96.bmp
連射(攻撃),ピストル EFFECT_RW_MAUSER_C96.bmp;ピストル EFFECT_RW_MAUSER_C96.bmp
連射(命中),ピストル;ピストル
リロード(使用),@戦闘アニメ_ピストル準備;reload.wav;3;@戦闘アニメ_中心回転武器準備 EFFECT_RW_MAUSER_C96.bmp
走り撃ち(パイソン)(準備),Stairs(Run).wav
走り撃ち(パイソン)(攻撃),ピストル EFFECT_RW_COLT_PYTHON.bmp
走り撃ち(パイソン)(命中),ピストル
コルトパイソン,ピストル EFFECT_RW_COLT_PYTHON.bmp
連射(パイソン)(準備),ピストル EFFECT_RW_COLT_PYTHON.bmp
連射(パイソン)(攻撃),ピストル EFFECT_RW_COLT_PYTHON.bmp;ピストル EFFECT_RW_COLT_PYTHON.bmp
連射(パイソン)(命中),ピストル;ピストル
リロード(パイソン)(使用),@戦闘アニメ_ピストル準備 EFFECT_RW_COLT_PYTHON.bmp;reload.wav;3;@戦闘アニメ_中心回転武器準備 EFFECT_RW_COLT_PYTHON.bmp
