
ＳｅｅＤ
フェイテッドサークル, Whiz.wav
針ン千本, 0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;2;Stab.wav
ほうちょう, 4;Swing.wav;2;Stab.wav
エターナル・ブレス(準備), Search.wav
エターナル・ブレス, 2;Charge(high).wav;3;Charge(high).wav;3;Charge(high).wav;8;Charge(high).wav;6;Interference.wav
エターナル・ブレス(命中), Explode(NuClear).wav
斬鉄剣(命中), 2;Slash.wav;3;Sword.wav
エクスカリパー(命中), Slash.wav
まさむね(命中), Slash.wav
斬鉄剣(命中), Slash.wav
エクスカリバー(命中), Slash.wav

ＦＦ８
ガンブレード(クリティカル), Explode.wav
鬼斬り, 8;Swing.wav;6;Swing.wav;4;Swing.wav;3;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;6;Storm.wav
鬼斬り(命中), 2;Slash.wav;2;Slash.wav;1;Punch.wav;2;Sword.wav;2;Slash.wav;2;Slash.wav;1;Punch.wav;2;Sword.wav;2;Slash.wav;2;Slash.wav;1;Punch.wav;4;Sword.wav
滅(命中), Slash.wav
雷神飛竜昇, 2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav
雷神飛竜昇(命中), 2;Punch.wav;8;Sword.wav;4;Swing.wav;3;Swing.wav;3;Swing.wav;4;Punch.wav
アストラルパンチ, Swing.wav
アストラルパンチ(命中), 2;Punch.wav;3;Sword.wav
エナジーボマー, Beam.wav
エナジーボマー(命中), Explode(Far).wav
デスペラード, 2;Swing.wav;2;Reload.wav;6;MachineGun.wav;2;Reload.wav;1;Reload.wav;6;Explode(Far).wav;6;Explode.wav;6;MachineGun.wav;2;Reload.wav
ブラッドペイン(命中), 2;Slash.wav;2;2;Slash.wav;2;2;Slash.wav;2;2;Slash.wav;2;Slash.wav
マッシヴアンカー(命中), 4;Slash.wav;8;Explode(Far).wav
ダイアモンドダスト(命中), Glass.wav
地獄の火炎, Interference.wav
地獄の火炎(命中), Crash.wav
兄弟仁義(命中), Crash.wav
暴風圏突入, 3;Storm.wav;3;Storm.wav
聖なる審判, 3;Beam.wav;3;Beam.wav;3;Beam.wav
果てしなき暴走, AntiShipMissile.wav
メガフレア, Interference.wav
メガフレア(命中), Explode(Far).wav
針ン千本, 0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;0.2;Type.wav;2;Stab.wav
ほうちょう, 4;Swing.wav;2;Stab.wav
エターナル・ブレス(準備), Search.wav
エターナル・ブレス, 2;Charge(high).wav;3;Charge(high).wav;3;Charge(high).wav;8;Charge(high).wav;6;Interference.wav
エターナル・ブレス(命中), Explode(NuClear).wav
斬鉄剣(命中), 2;Slash.wav;3;Sword.wav
エクスカリパー(命中), Slash.wav
まさむね(命中), Slash.wav
斬鉄剣(命中), Slash.wav
エクスカリバー(命中), Slash.wav
