

侍魂
蹴撃, キック
エレルシカムイリムセ(命中), 大刺突;@戦闘アニメ_瞬間変形攻撃;強打 Punch.wav;強打 Punch.wav;強打 Punch.wav;強打 Punch.wav;強打 Punch.wav;強打 Punch.wav;発光 赤 対象ユニットＩＤ Sharara.wav;「お願い、ママハハ！！」;@戦闘アニメ_実弾発射攻撃 SS_MamahahaU.bmp Bird.wav 残像;大爆発

ナコルル(ママハハ)
ヤトロポック(攻撃), 斬撃;斬撃;斬撃
ヤトロポック(命中), 斬撃;斬撃;斬撃
カムイムツベ(攻撃), スーパータックル 青
カムイムツベ(命中), 大刺突
エレルシカムイリムセ(準備), 発光 青
エレルシカムイリムセ(攻撃), スーパータックル 青
エレルシカムイリムセ(命中), 大刺突;@戦闘アニメ_瞬間変形攻撃 SS_NakoruruU.bmp;強打 Punch.wav;強打 Punch.wav;強打 Punch.wav;強打 Punch.wav;強打 Punch.wav;強打 Punch.wav;発光 赤 対象ユニットＩＤ Sharara.wav;「お願い、ママハハ！！」;@戦闘アニメ_実弾発射攻撃 SS_MamahahaU.bmp Bird.wav 残像;大爆発

羅刹ナコルル
宝刀チチウシ, 斬撃
カムイリムセ(攻撃), 斬撃
カムイリムセ(命中), 強打 Punch.wav
レラムツベ(攻撃), 格闘 -.wav;振り上げ Saber.wav
レラムツベ(命中), 振り上げ
アンヌムツベ(攻撃), 格闘 -.wav;なぎ払い Saber.wav
アンヌムツベ(命中), なぎ払い
円舞剛脚(攻撃), キック;キック;キック
円舞剛脚(命中), 打撃;打撃;打撃 Crash.wav
カムイシキテ(攻撃), 瞬間変形 SS_NakoruruR(S)U.bmp;実弾発射 SS_ShikuluU.bmp Dog.wav 残像
カムイシキテ(命中), 強打 Punch.wav
疾走流転胸撃刃(攻撃), 打突
疾走流転胸撃刃(命中), 打撃;投げ飛ばし;刺突
イルスカカムイシキテ(攻撃), 瞬間変形 SS_NakoruruR(S)U.bmp;実弾発射 SS_ShikuluU.bmp Dog.wav 残像
イルスカカムイシキテ(命中), 爆発;@戦闘アニメ_火炎弾攻撃 青;@戦闘アニメ_火炎弾攻撃 青;@戦闘アニメ_火炎弾攻撃 青;爆発;爆発;大爆発
ヌベキカムイシキテ(準備), 発光 青
ヌベキカムイシキテ(攻撃), 瞬間変形 SS_NakoruruR(R)U.bmp;格闘 Dog.wav
ヌベキカムイシキテ(命中), 強打 Crash.wav;@戦闘アニメ_瞬間変形攻撃 SS_NakoruruRU.bmp;@戦闘アニメ_アッパー攻撃;振り上げ;「トゥカーン！！」;斬撃;落下 Crash.wav

羅刹ナコルル(シクルゥ)
イメルシキテ(攻撃), 格闘 Dog.wav;斬撃 Saber.wav
イメルシキテ(命中), 強打 Punch.wav
メルシキテ(攻撃), 格闘 Dog.wav;なぎ払い Saber.wav
メルシキテ(命中), 強打 Punch.wav
カントシキテ(攻撃), 格闘 Dog.wav;振り上げ Saber.wav
カントシキテ(命中), アッパー Punch.wav
ヌベキカムイシキテ(準備), 発光 青
ヌベキカムイシキテ(攻撃), 格闘 Dog.wav
ヌベキカムイシキテ(命中), 強打 Crash.wav;@戦闘アニメ_瞬間変形攻撃 SS_NakoruruRU.bmp;@戦闘アニメ_アッパー攻撃;振り上げ;「トゥカーン！！」;斬撃;落下 Crash.wav

レラ(侍魂)
宝刀チチウシ, 斬撃
ヌベキカムイシキテ(準備), 発光 青
ヌベキカムイシキテ(攻撃), 瞬間変形 SS_Rera(R)U.bmp;格闘 Dog.wav
ヌベキカムイシキテ(命中), 強打 Crash.wav;@戦闘アニメ_瞬間変形攻撃 SS_Rera(S)U.bmp;「トゥカ――ン！！」;@戦闘アニメ_アッパー攻撃;振り上げ;斬撃;「自然の痛みを知りなさい！！」;落下 Crash.wav

レラ(シクルゥ)
宝刀チチウシ, 斬撃
イメルシキテ(攻撃), 格闘 Dog.wav;斬撃 Saber.wav
イメルシキテ(命中), 強打 Punch.wav
メルシキテ(攻撃), 格闘 Dog.wav;なぎ払い Saber.wav
メルシキテ(命中), 強打 Punch.wav
カントシキテ(攻撃), 格闘 Dog.wav;振り上げ Saber.wav
カントシキテ(命中), アッパー Punch.wav
ヌベキカムイシキテ(準備), 発光 青
ヌベキカムイシキテ(攻撃), 格闘 Dog.wav
ヌベキカムイシキテ(命中), 強打 Crash.wav;@戦闘アニメ_瞬間変形攻撃 SS_Rera(S)U.bmp;「トゥカ――ン！！」;@戦闘アニメ_アッパー攻撃;振り上げ;斬撃;「自然の痛みを知りなさい！！」;落下 Crash.wav


千両狂死郎
大津波(攻撃), 斬撃;津波 Splash.wav
大津波(命中), 津波 Splash.wav
風裂扇(攻撃), 回転投擲武器 Weapon\EFFECT_Fan01.bmp
風裂扇(命中), ダメージ Punch.wav
世話女房, 和槍
血煙曲輪(攻撃), 風 対象ユニットＩＤ Saber.wav;なぎ払い
血煙曲輪(命中), なぎ払い
火炎曲舞, 火炎放射
回転曲舞(攻撃), 風 対象ユニットＩＤ Saber.wav;なぎ払い
回転曲舞(命中), 連続なぎ払い
跳尾獅子(攻撃), キック Whiz.wav
跳尾獅子(命中), ダメージ Punch.wav;ダメージ Punch.wav;ダメージ Punch.wav;炎
蝦蟇地獄(攻撃), 刺突
蝦蟇地獄(命中), 強打 Bazooka.wav;爆発
血肉の舞(攻撃), 強風 対象ユニットＩＤ Saber.wav;なぎ払い
血肉の舞(命中), 斬撃乱舞;大爆発

柳生十兵衛(侍魂)
虎鉄・助広(攻撃), 斬撃 二刀流
虎鉄・助広(命中), 斬撃 二刀流
喝咄・水月刀(攻撃), 斬撃;実弾発射 Bullet\EFFECT_GroundCutter(Blue)01.bmp Saber.wav
喝咄・水月刀(命中), 飛沫 青 Splash.wav
八相発破, 乱突
柳生双月陣(攻撃), なぎ払い
柳生双月陣(命中), なぎ払い;3;「まだまだ……」;振り上げ;5;「まだまだ……修行が足りん！」;大斬撃 二刀流
二ッ角羅刀(攻撃), 格闘 Stairs(Run).wav
二ッ角羅刀(命中), @戦闘アニメ_斬撃攻撃;斬撃 Stab.wav;@戦闘アニメ_アッパー攻撃;振り上げ;落下 Crash.wav
柳生心眼刀(準備), 発光 白 対象ユニットＩＤ
柳生心眼刀(攻撃), 振り上げ
柳生心眼刀(命中), 振り上げ
絶・水月刀(準備), 発光 青
絶・水月刀(攻撃), 斬撃 Shock(Low).wav;光噴出 青 Explode(Far).wav
絶・水月刀(命中), 飛沫 青 Splash.wav;落下 Crash.wav
激・双嵐陣(準備), 発光 青
激・双嵐陣(攻撃), 乱突
激・双嵐陣(命中), 拡散ビーム 青 MultipleRocketLauncher(Light).wav;@戦闘アニメ_格闘攻撃 Stairs(Run).wav;3;「ヌン！」;斬撃 Stab.wav;5;「ヌン！ たわけが！！」;@戦闘アニメ_アッパー攻撃;振り上げ;落下 Crash.wav

服部半蔵(侍魂)
烈風手裏剣(攻撃), 回転発射 Weapon\EFFECT_Shuriken01.bmp 速;回転発射 Weapon\EFFECT_Shuriken01.bmp 速;回転発射 Weapon\EFFECT_Shuriken01.bmp 速
烈風手裏剣(命中), 連突
忍者刀(準備), 忍者刀
忍者刀(攻撃), 斬撃
忍者刀(命中), 斬撃
忍法・うつせみ天舞(攻撃), 透明化;10;煙 対象ユニットＩＤ Hide.wav;回転振り下ろし
忍法・うつせみ天舞(命中), 振り下ろし
忍法・うつせみ地斬(攻撃), 透明化;10;煙 対象ユニットＩＤ Hide.wav;なぎ払い
忍法・うつせみ地斬(命中), なぎ払い
忍法・爆炎龍(攻撃), 火炎弾
忍法・爆炎龍(命中), 炎
忍法・もず落とし(攻撃), 打突
忍法・もず落とし(命中), バックドライバー Crash.wav;大爆発
封じ手・微塵隠れ(準備), 発光 青
封じ手・微塵隠れ(攻撃), 超自爆
封じ手・微塵隠れ(命中), 落下 Crash.wav
封じ手・毒龍(準備), 発光 青
封じ手・毒龍(攻撃), 打突
封じ手・毒龍(命中), @戦闘アニメ_実弾投下攻撃 -.bmp 16 Saver.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav;連続爆発
忍法・真もず落とし(準備), 発光 青
忍法・真もず落とし(攻撃), 打突
忍法・真もず落とし(命中), 立ち固め Breakoff.wav;「滅殺天昇！！」;Jet.wav;バックドライバー Crash.wav;大爆発

ガルフォード＝Ｄ＝ウェラー
分身(シャドーコピー), 分身 シャドーコピー
ジャスティスブレード(準備), 忍者刀
ジャスティスブレード(攻撃), 斬撃
ジャスティスブレード(命中), 斬撃
レプリカアタック(攻撃), 透明化;10;煙 対象ユニットＩＤ Hide.wav;回転振り下ろし
レプリカアタック(命中), 振り下ろし
マシンガンドッグ(準備), -
マシンガンドッグ(攻撃), 瞬間変形 SS_GalfordDWeller(S)U.bmp;実弾発射 SS_PuppyU.bmp Dog.wav 残像
マシンガンドッグ(命中), 連突;噛み付き
レプリカドッグ(攻撃), 瞬間変形 SS_GalfordDWeller(S)U.bmp;煙 対象ユニットＩＤ Hide.wav;@戦闘アニメ_画像前面発射攻撃 -.bmp SS_PuppyU.bmp Dog.wav 1 相手ユニットＩＤ
レプリカドッグ(命中), 爆発
ラッシュドッグ(攻撃), 瞬間変形 SS_GalfordDWeller(S)U.bmp;実弾発射 SS_PuppyU.bmp Dog.wav 残像
ラッシュドッグ(命中), 強打 Punch.wav
プラズマブレード(準備), -
プラズマブレード(攻撃), シュートカッター 青 Thunder.wav
プラズマブレード(命中), 放電 Thunder.wav
ストライクヘッズ(攻撃), 打突
ストライクヘッズ(命中), バックドライバー Crash.wav;落雷
オーバーヘッドクラッシュ(攻撃), 瞬間変形 SS_GalfordDWeller(S)U.bmp;回転振り下ろし;実弾発射 SS_PuppyU.bmp Dog.wav 残像
オーバーヘッドクラッシュ(命中), 爆発
メガストライクドッグ(準備), 発光 青
メガストライクドッグ(攻撃), 瞬間変形 SS_GalfordDWeller(S)U.bmp;実弾発射 SS_PuppyU.bmp Dog.wav 残像
メガストライクドッグ(命中), 連突;噛み付き;強打 Bazooka.wav;落下 Crash.wav
ダブルメガストライクヘッズ(準備), 発光 青
ダブルメガストライクヘッズ(攻撃), 透明化;煙 対象ユニットＩＤ Hide.wav
ダブルメガストライクヘッズ(命中), @戦闘アニメ_瞬間変形攻撃 SS_GalfordDWeller(S)U.bmp;2;「ダブルストライクヘッズ！！」;分身打撃;2;「ゲッツ！ セット！！」;分身斬撃;2;「ヤッ！ フィニッシュ！！」;分身叩きつけ Crash.wav;落雷;大爆発
プラズマファクター(攻撃), 斬撃
プラズマファクター(命中), 雷斬撃
ライトニングスラッシュ(攻撃), 格闘
ライトニングスラッシュ(命中), 強打 Bazooka.wav;2;「Ｓｌａｓｈ！！」;雷斬撃
プラズマブレイク(攻撃), 大電撃 対象ユニットＩＤ
プラズマブレイク(命中), 爆発
ライトニングＳＴ(準備), 発光 青
ライトニングＳＴ(攻撃), 格闘
ライトニングＳＴ(命中), 2;「ＯＮＥ！」;強打 Bazooka.wav;2;「ＯＮＥ！: ＴＷＯ！」;アッパー Bazooka.wav;2;「ＯＮＥ！ ＴＷＯ！ ＴＨＲＥＥ！」;2;「ＦＩＮＩＳＨ！！」;バックドライバー Crash.wav;落雷;大爆発

忍犬パピィ
ボディアタック, タックル Dog.wav
レプリカドッグ(攻撃), 透明化;煙 対象ユニットＩＤ Hide.wav
レプリカドッグ(命中), @戦闘アニメ_回転振り下ろし攻撃;振り下ろし
マシンガンドッグ(攻撃), 格闘 Dog.wav
マシンガンドッグ(命中), 連突;噛み付き
ラッシュドッグ(攻撃), 格闘 Dog.wav
ラッシュドッグ(命中), 強打 Punch.wav
ストライクドッグ(攻撃), 格闘 Dog.wav
ストライクドッグ(命中), バックドライバー Crash.wav
プラズマストライクドッグ(準備), 発光 青
プラズマストライクドッグ(攻撃), 格闘 Dog.wav
プラズマストライクドッグ(命中), バックドライバー Crash.wav;落雷;大爆発

シャルロット＝クリスティーヌ＝コルデ
アメティスト, キック
ラロッシュ, 刺突
スプラッシュファーント, 連突
トライスラッシュ(攻撃), 文字発射 △ 黄 Saber.wav
トライスラッシュ(命中), 斬撃;爆発
パワーグラデーション(攻撃), アッパー
パワーグラデーション(命中), 振り上げ;落下 Crash.wav
バイオネットラージュ(準備), -
バイオネットラージュ(攻撃), 刺突
バイオネットラージュ(命中), 大刺突
スプラッシュグラデーション(準備), 発光 青
スプラッシュグラデーション(攻撃), 五芒星 黄 Sword.wav
スプラッシュグラデーション(命中), 大爆発
クリスタルローズ(準備), 発光 青
クリスタルローズ(攻撃), 振り上げ
クリスタルローズ(命中), 五芒星 黄 Sword.wav;@戦闘アニメ_アッパー攻撃;振り上げ;落下 Crash.wav

タムタム(侍魂)
デオス, キック
ムーラ・ガブル(攻撃), 石
ムーラ・ガブル(命中), ダメージ Punch.wav
ヘンゲハンゲザンゲ, 斬撃
パグナ・デオス(攻撃), 風 対象ユニットＩＤ Saber.wav;キック
パグナ・デオス(命中), 強打 Punch.wav
パグナ・パグナ, 回転斬撃
ガブル・ガブル(攻撃), 打突
ガブル・ガブル(命中), 噛み付き;噛み付き;噛み付き;噛み付き
アハウ・ガブル(攻撃), 火炎弾 Whiz.wav;@戦闘アニメ_爆発命中
アハウ・ガブル(命中), 大爆発
マグナス・ディオス・ザール(準備), 発光 青
マグナス・ディオス・ザール(攻撃), @戦闘アニメ_爆発命中
マグナス・ディオス・ザール(命中), 落下 Crash.wav
アハウ・ティウワカン(準備), 発光 青
アハウ・ティウワカン(攻撃), 火炎弾 Whiz.wav;@戦闘アニメ_大爆発命中
アハウ・ティウワカン(命中), 超爆発

王虎(侍魂)
大回転尻(攻撃), 回転振り下ろし
大回転尻(命中), ダメージ Punch.wav
撲肉大石柱(攻撃), 斬撃
撲肉大石柱(命中), 叩き潰し
気功旋風撃(攻撃), アッパー
気功旋風撃(命中), 振り上げ Crash.wav;落下 Crash.wav
気功大撲殺(攻撃), 振り上げ;振り上げ;振り上げ
気功大撲殺(命中), 強打 Crash.wav;強打 Crash.wav;強打 Crash.wav
気功爆天法(攻撃), 回転振り下ろし;火炎弾 Bazooka.wav
気功爆天法(命中), 大爆発
気功大爆天(準備), 発光 青
気功大爆天(攻撃), 回転振り下ろし
気功大爆天(命中), 超爆発

王虎(大包丁)
大回転尻(攻撃), 回転振り下ろし
大回転尻(命中), ダメージ Punch.wav
斬肉大包丁(攻撃), 斬撃
斬肉大包丁(命中), 大斬撃
気功旋風撃(攻撃), アッパー
気功旋風撃(命中), 振り上げ Shock(Low).wav;落下 Crash.wav
気功爆天法(攻撃), 回転振り下ろし;火炎弾 Bazooka.wav
気功爆天法(命中), 大爆発
気功大爆天(準備), 発光 青
気功大爆天(攻撃), 回転振り下ろし
気功大爆天(命中), 超爆発

アースクェイク(侍魂)
分身(ファットコピー), 分身 ファットコピー
ファットバースト(攻撃), 煙噴射 黄
ファットバースト(命中), 煙 黄
ファットレプリカアタック(攻撃), 透明化;10;煙 対象ユニットＩＤ Hide.wav;回転振り下ろし
ファットレプリカアタック(命中), 叩き潰し
ＦＵＪＩＹＡＭＡ(攻撃), 刺突
ＦＵＪＩＹＡＭＡ(命中), 斬撃
ファットバウンド(攻撃), 回転振り下ろし
ファットバウンド(命中), 叩き潰し;叩き潰し;叩き潰し
ファットチェーンソー(準備), -
ファットチェーンソー(攻撃), 回転振り下ろし 3 Drill.wav
ファットチェーンソー(命中), 振り下ろし
ファットブレス, 火炎放射
ファットギルティー(準備), 発光 青
ファットギルティー(攻撃), 振り上げ
ファットギルティー(命中), 鎖吊り上げ;大爆発
アースガッデム(準備), 発光 青
アースガッデム(攻撃), 打突
アースガッデム(命中), 斬撃乱舞;大爆発

不知火幻庵
毒吹雪(攻撃), 煙噴射 緑
毒吹雪(命中), 煙 緑
あざみ, 刺突
爪つまみ, 刺突
肉転突き(攻撃), 回転振り下ろし 3
肉転突き(命中), 振り下ろし
幻庵うつせみ脱皮(攻撃), 回転振り下ろし
幻庵うつせみ脱皮(命中), 振り下ろし
Ｍ．Ｄ．Ｃ．(準備), 発光 青
Ｍ．Ｄ．Ｃ．(攻撃), 格闘 Stairs(Run).wav
Ｍ．Ｄ．Ｃ．(命中), 大刺突 Drill.wav;大刺突 Drill.wav;大爆発

天草四郎時貞(侍魂)
ガダマーの宝珠(攻撃), 光球発射
ガダマーの宝珠(命中), 強打 Crash.wav
戒烈掌(攻撃), 打突
戒烈掌(命中), 連打 Slap.wav
死霊刃(攻撃), 火炎弾 Whiz.wav
死霊刃(命中), 炎
瘴氣断(攻撃), 斬撃乱舞 Whiz.wav
瘴氣断(命中), 強打 Crash.wav
天照風魔掌(攻撃), 五芒星 Hide.wav
天照風魔掌(命中), 落下 Crash.wav;大爆発
汝、暗転入滅せよ(攻撃), 瞬間変形 Anime\Fire\EFFECT_Fire(Red)04.bmp;スーパーキック 赤;瞬間変形
汝、暗転入滅せよ(命中), 大爆発
凶冥十殺陣(準備), 発光 青
凶冥十殺陣(攻撃), 格闘
凶冥十殺陣(命中), 大電撃;大爆発

牙神幻十郎
桜華斬(攻撃), 振り上げ;回転発射 Weapon\EFFECT_MandaraCard01.bmp
桜華斬(命中), 斬撃
銘刀梅桜毒, 日本刀
桐覇光翼刃(攻撃), アッパー
桐覇光翼刃(命中), 振り上げ;落下 Crash.wav
裏桜華・菖蒲(攻撃), 振り上げ;回転発射 Weapon\EFFECT_MandaraCard01.bmp
裏桜華・菖蒲(命中), 4;Sword.wav;振り下ろし
百鬼殺(攻撃), 連続なぎ払い
百鬼殺(命中), 刺突;強打 Crash.wav
雫刃(攻撃), 打突
雫刃(命中), 振り上げ;振り下ろし;落下 Crash.wav
牙神突(攻撃), 格闘 -.wav;刺突
牙神突(命中), 大刺突
三連殺(攻撃), なぎ払い
三連殺(命中), 4;「<BIG>一つ！</BIG>」;なぎ払い;4;「<BIG>一つ！ 二つ！</BIG>」;振り上げ;4;「<BIG>一つ！ 二つ！ 三つ！！</BIG>」;大斬撃;「<BIG>猪鹿蝶！！</BIG>」
三空殺(攻撃), アッパー
三空殺(命中), 4;「<BIG>一つ！</BIG>」;振り上げ;4;「<BIG>一つ！ 二つ！</BIG>」;振り上げ;4;「<BIG>一つ！ 二つ！ 三つ！！</BIG>」;振り上げ;「<BIG>三空殺！！</BIG>」;落下 Crash.wav
五光斬(準備), 発光 青
五光斬(攻撃), 振り上げ
五光斬(命中), 2;「<BIG>一つ！</BIG>」;なぎ払い;2;「<BIG>一つ！ 二つ！</BIG>」;振り上げ;2;「<BIG>一つ！ 二つ！ 三つ！！</BIG>」;振り下ろし;2;「<BIG>一つ！ 二つ！ 三つ！ 四つ！</BIG>」;振り上げ;2;「<BIG>一つ！ 二つ！ 三つ！ 四つ！ 五つ！！</BIG>」;唐竹割り Crash.wav;「<BIG>五光！！</BIG>」
裏五光(準備), 発光 青
裏五光(攻撃), 振り上げ
裏五光(命中), 2;「<BIG>一つ！</BIG>」;なぎ払い;2;「<BIG>一つ！ 二つ！</BIG>」;振り上げ;2;「<BIG>一つ！ 二つ！ 三つ！！</BIG>」;振り下ろし;2;「<BIG>一つ！ 二つ！ 三つ！ 四つ！</BIG>」;振り上げ;2;「<BIG>一つ！ 二つ！ 三つ！ 四つ！ 五つ！！</BIG>」;唐竹割り Crash.wav;「<BIG>死にさらせぇい！！</BIG>」

花諷院和狆
心乱呪符(攻撃), 打突
心乱呪符(命中), 放電
錫杖(攻撃), 斬撃
錫杖(命中), ダメージ Punch.wav
縛鎖杖撃, 刺突
支杖螺旋脚, キック;キック;キック
式神霊符・雷(攻撃), 光子魚雷 青 Bird.wav
式神霊符・雷(命中), 電撃
式神霊符・炎(攻撃), 火炎弾
式神霊符・炎(命中), 爆発
仁王符霊殺(準備), 発光 青
仁王符霊殺(攻撃), @戦闘アニメ_大爆発命中
仁王符霊殺(命中), 落下 Crash.wav

ナインハルト＝ズィーガー
バイン, キック
ズァリガーニ(攻撃), 斬撃
ズァリガーニ(命中), 強打 Crash.wav
ブリッツ・イェーガー(攻撃), 格闘
ブリッツ・イェーガー(命中), 叩き潰し
ヴォルフ・ファンゲン(攻撃), 打突
ヴォルフ・ファンゲン(命中), 連打;強打 Crash.wav
ヴァルカーン(攻撃), 火炎放射 Explode.wav
ヴァルカーン(命中), 大爆発
ティーガー・コップ(攻撃), キック
ティーガー・コップ(命中), 強打 Crash.wav;2;「<BIG>フン！！</BIG>」;@戦闘アニメ_振り上げ攻撃;アッパー Crash.wav;2;「<BIG>フン！！ ダアアッ！！！</BIG>」;バックブリーカー;大爆発
オペラツィオン・ティーガー(準備), 発光 青
オペラツィオン・ティーガー(攻撃), 急降下
オペラツィオン・ティーガー(命中), 急降下;大爆発

チャムチャム(侍魂)
ムーラ・パクパク(攻撃), 石
ムーラ・パクパク(命中), ダメージ Punch.wav
ヨックモックムック, ブーメラン
パクパク・デオス(攻撃), 格闘
パクパク・デオス(命中), ダメージ Punch.wav;ダメージ Punch.wav;ダメージ Punch.wav
とびひっかき(攻撃), 回転振り下ろし
とびひっかき(命中), 振り下ろし;なぎ払い;爪撃
パクパク・ガブル(攻撃), 火炎弾 Whiz.wav;@戦闘アニメ_爆発命中
パクパク・ガブル(命中), 大爆発
メタモアニマルアタック(準備), 発光 青
メタモアニマルアタック(攻撃), スーパータックル 赤
メタモアニマルアタック(命中), スーパータックル 赤 Crash.wav;大爆発

羅将神ミヅキ
我神変裂魂, 光球
ミ・ゴウの玉串, 斬撃
邪心共鳴(攻撃), 魔法放射 黒 相手ユニットＩＤ
邪心共鳴(命中), 連突;落下 Crash.wav
呪歌爪弾(攻撃), なぎ払い;なぎ払い;なぎ払い
呪歌爪弾(命中), 爪撃;爪撃;爪撃
我神共鳴魂, 光球
覇気陰滅陣(攻撃), 五芒星 Hide.wav
覇気陰滅陣(命中), 落下 Crash.wav;大爆発
神魔隠滅陣(攻撃), 打突
神魔隠滅陣(命中), 落下 Crash.wav
我神飢爆魂, 光球
天地魔境陣(準備), 発光 青
天地魔境陣(攻撃), 重力弾
天地魔境陣(命中), 強打 Crash.wav;落下 Crash.wav;叩き潰し Crash.wav;超打 Crash.wav;大爆発;「オーッホッホッホッ！！」

黒子(侍魂)
烈千脚(攻撃), キック
烈千脚(命中), 連続なぎ払い
黒子赤旗陣, 斬撃
黒子絡鎖撃, 刺突
黒子爆舞腕(攻撃), 大自爆
黒子爆舞腕(命中), 炎
黒子撃放(攻撃), 魔法放射 黄 Charge.wav
黒子撃放(命中), 強打
黒子八極弾(攻撃), 気弾
黒子八極弾(攻撃), 光玉
黒子八極弾(攻撃), 火炎弾
黒子八極弾(攻撃), 波動放射 白
黒子八極弾(攻撃), 気斬 赤
黒子八極弾(命中), 大爆発
黒子乱舞(攻撃), 格闘
黒子乱舞(命中), 連打;@戦闘アニメ_アッパー攻撃;アッパー Crash.wav
黒子大乱舞(攻撃), 格闘
黒子大乱舞(命中), 連打;乱打 Punch.wav;@戦闘アニメ_アッパー攻撃;アッパー Crash.wav

緋雨閑丸
大祓禍神閑丸, 日本刀
霧雨刃(攻撃), 斬撃
霧雨刃(命中), なぎ払い
雷雨(攻撃), 回転振り下ろし
雷雨(命中), 振り下ろし
梅雨円殺陣(攻撃), 振り上げ;アッパー
梅雨円殺陣(命中), 振り上げ;振り上げ;落下 Crash.wav
五月雨斬り(攻撃), 斬撃乱舞
五月雨斬り(命中), 斬撃乱舞
雨流れ狂落斬(攻撃), 格闘 Stairs(Run).wav
雨流れ狂落斬(命中), 刺突;振り下ろし
真・雨流れ狂落斬(攻撃), 格闘 Stairs(Run).wav
真・雨流れ狂落斬(命中), 大刺突;急降下
禁じ手・暴雨狂風斬(準備), 発光 青
禁じ手・暴雨狂風斬(攻撃), 斬撃乱舞
禁じ手・暴雨狂風斬(命中), 斬撃乱舞;斬撃乱舞;斬撃乱舞

リムルル(侍魂)
コンルメム(攻撃), 魔法放射 青 相手ユニットＩＤ Saber.wav
コンルメム(命中), 凍結 Glass.wav
ハハクル, 斬撃
ルプシクアレ(攻撃), 光子魚雷 青 Sharara.wav
ルプシクアレ(命中), 凍結 Glass.wav
ウプンオプ, 連突
コンルシラル(攻撃), つらら
コンルシラル(命中), 振り下ろし
コンルノンノ(攻撃), 氷柱
