スピたん
永遠神剣『紡ぎ』, ライトセイバー
月輪の太刀(命中), 斬撃乱舞
星火燎原の太刀, 日本刀突撃
星火燎原の太刀(命中), 斬撃乱舞
鏡花水月の太刀, 日本刀突撃
鏡花水月の太刀(命中), 斬撃乱舞
光風斎月の太刀, 日本刀突撃
光風斎月の太刀(命中), 光球
奥義・一撃必殺, 日本刀突撃
奥義・一撃必殺, 斬撃
ブラッドラスト, 煙 黒
ロウアーレジスト(準備), 炎 黒 Charge.wav
ロウアーレジスト, 中ビーム 黒 Beam.wav
希望の太刀, 日本刀突撃
希望の太刀(命中), 斬撃乱舞
四象剣・水象(準備), ライトセイバー
四象剣・水象(攻撃), 斬撃
四象剣・地象(準備), ライトセイバー
四象剣・地象(攻撃), 斬撃
四象剣・火象(準備), ライトセイバー
四象剣・火象(攻撃), 斬撃
四象剣・風象(準備), ライトセイバー
四象剣・風象(攻撃), 斬撃
円舞曲, 弓矢
狂奏曲, 白兵連撃
葬送曲, 弓矢
刺, 津波
断, 津波
追撃戦, 光噴出
殲滅戦, 光噴出
空中戦, 白兵連撃
地上戦, 光噴出
光より創られしもの, 光弾
闇より創られしもの, 重力弾
黒き翼のもの, 重力弾
白き翼のもの, 光弾
ヘビーアタック, 斬撃
リボルビングスマッシャー, 斬撃乱舞
スウォールミスト, 地表衝撃波
無影脚, 白兵連撃
永遠神剣『因果』, 大剣
一ヶ条・回剣, 連斬撃
二ヶ条・輪剣, 斬撃乱舞
三ヶ条・廻剣(準備), 大剣
三ヶ条・廻剣(攻撃), 斬撃乱舞
四ヶ条・転剣(準備), 大剣
四ヶ条・転剣(攻撃), 斬撃乱舞
ゲイル改, 光柱
奥義・一撃入魂(準備), 大剣突撃
奥義・一撃入魂(攻撃), 斬撃
光の円盤, 光弾
ヴォルテクス, 斬撃
リヴォルブ, 斬撃
銀河斬り, 斬撃乱舞
タイフォーン, 斬撃乱舞
虚無の氾濫, 中ビーム 黒 Beam.wav
虚無の刃(準備), 魔法集中 黒
虚無の刃(攻撃), 大ビーム 黒 Beam.wav
虚無の世界,  ＭＡＰ重力弾
虚無の奔流,  ＭＡＰ重力弾
虚無の侵食, 中ビーム 黒 Beam.wav
単撃, 白兵武器
連撃, 白兵連撃
一貫, 白兵乱撃
ソリッドスラッシュ, 斬撃
ソウルクラッシュ, 斬撃乱舞
