
#　　このアニメでは、ＳＲＣＨＰ汎用コーナーで戦闘アニメとして配布されているもの以外
#　に、以下のアイコンを使用しています。
#　　なお、もしも無くても、見た目がおかしい程度でエラーは出ないようです。
#
#　EFFECT_Coin.bmp
#　EFFECT_TatolShell.bmp
#　EFFECT_Momonga.bmp
#　EFFECT_Skunk.bmp
#　EFFECT_Squirrel.bmp
#　EFFECT_WildBoar.bmp
#　EFFECT_Nightingale.bmp
#　EFFECT_Unicorn.bmp
#　EFFECT_AuraDragon,bmp
#　FF05_RemoraU.bmp
#　FF05_ChocoboU.bmp
#　FF05_CatoblepasU.bmp
#　FF05_TitanU.bmp
#　FF05_SivaU.bmp
#　FF05_RamuhU.bmp
#　FF05_EfreetU.bmp
#　FF05_SildraU.bmp
#　FF05_LeviathanU.bmp
#　FF05_OdeinU.bmp
#　FF05_BahamutU.bmp
#　FF05_GoremU.bmp
#　FF05_CarbuncleU.bmp
#　FF05_PhoenixU.bmp


ＦＦ５
マインゴーシュ, ナイフ
スロウ(準備), 魔法放射 白
スロウガ(準備), 魔法放射 白
オールド(準備), 魔法放射 白
グラビデ(準備), 魔法放射 白
グラビガ(準備), 魔法放射 白
デジョン(準備), 魔法放射 白
コメット(準備), 魔法放射 白
メテオ(準備), 魔法放射 白
ヘイスト(準備), 魔法放射 白
ヘイスガ(準備), 魔法放射 白
リジェネ(準備), 魔法放射 白
テレポ(準備), 魔法放射 白
クイック(準備), 魔法放射 白
ミュート(攻撃), ＭＡＰ発光
ストップ(命中), 時間
スロウ(命中), 時間逆行
スロウガ(命中), 時間逆行
オールド(命中), 煙 橙
グラビデ(攻撃), 重力弾
グラビデ(命中), 魔法集中 黒
グラビガ(攻撃), 重力弾
グラビガ(命中), 魔法集中 黒
デジョン(攻撃), ＭＡＰブラックホール
デジョン(命中), 重力圧縮
コメット(攻撃), 隕石
コメット(命中), 小爆発
メテオ(攻撃), 隕石
メテオ(命中), 小爆発
ヘイスト(発動), 魔力集中 白
ヘイスガ(発動), 魔力集中 白
リジェネ(発動), 粒子集中 緑
テレポ(発動), 魔法集中
クイック(発動), 粒子集中 白
まとわりつき(準備), 魔法放射 赤
悪魔の瞳(準備), 魔法放射 赤
風のささやき(準備), 魔法放射 赤
チョコボキック(準備), 魔法放射 赤
大地の怒り(準備), 魔法放射 赤
ダイヤモンドダスト(準備), 魔法放射 赤
裁きの雷(準備), 魔法放射 赤
地獄の火炎(準備), 魔法放射 赤
サンダーストーム(準備), 魔法放射 赤
大海嘯(準備), 魔法放射 赤
斬鉄剣(準備), 魔法放射 赤
メガフレア(準備), 魔法放射 赤
アースウォール(準備), 魔法放射 赤
ルビーの光(準備), 魔法放射 赤
転生の炎(準備), 魔法放射 赤
悪魔の瞳(命中), 魔法集中 黒
まとわりつき(攻撃), 実弾発射 FF05_RemoraU.bmp
悪魔の瞳(攻撃), 飛来アップ FF05_CatoblepasU.bmp 背景なし;飛来アップ終了 FF05_CatoblepasU.bmp
風のささやき(攻撃), 妖精
チョコボキック(攻撃), 実弾発射 FF05_ChocoboU.bmp
大地の怒り(攻撃), 降下アップ FF05_TitanU.bmp 背景なし;降下アップ終了 FF05_TitanU.bmp;ＭＡＰ地震
ダイヤモンドダスト(攻撃), 飛来アップ FF05_SivaU.bmp;飛来アップ終了 FF05_SivaU.bmp;吹雪
裁きの雷(攻撃), 飛来アップ FF05_RamuhU.bmp グリーン;飛来アップ終了 FF05_RamuhU.bmp;大電撃
地獄の火炎(攻撃), 浮上アップ FF05_EfreetU.bmp レッド;浮上アップ終了 FF05_EfreetU.bmp;炎打ち上げ
サンダーストーム(攻撃), 飛来アップ FF05_SildraU.bmp 背景なし;飛来アップ終了 FF05_SildraU.bmp;ＭＡＰ放電
大海嘯(攻撃), 浮上アップ FF05_LeviathanU.bmp ブルー:浮上アップ終了 FF05_LeviathanU.bmp;ＭＡＰ津波
斬鉄剣(攻撃), 飛来アップ FF05_OdeinU.bmp 背景なし;飛来アップ終了 FF05_OdeinU.bmp;ＭＡＰ気斬
メガフレア(攻撃), 飛来アップ FF05_BahamutU.bmp ホワイト:飛来アップ終了 FF05_BahamutU.bmp;ＭＡＰ連気弾
アースウォール(使用), 浮上アップ FF05_GoremU.bmp 背景なし;浮上アップ終了 FF05_GoremU.bmp
ルビーの光(使用), 飛来アップ FF05_CarbuncleU.bmp 背景なし;飛来アップ終了 FF05_CarbuncleU.bmp;ＭＡＰフラッシュ
転生の炎(使用), 飛来アップ FF05_PhoenixU.bmp 背景なし;飛来アップ終了 FF05_PhoenixU.bmp
まとわりつき(命中), 決め画像 FF05_RemoraU.bmp 相手ユニットＩＤ
風のささやき(命中), 光噴出 緑
チョコボキック(命中), 乱打
大地の怒り(命中), ダメージ
ダイヤモンドダスト(命中), 凍結
裁きの雷(命中), 電撃
地獄の火炎(命中), 炎
サンダーストーム(命中), 電撃
大海嘯(命中), 津波
斬鉄剣(命中), 横大斬撃
メガフレア(命中), 大爆発
ルビーの光(発動), エネルギーフィールド展開
転生の炎(発動), 炎;回復魔法
二刀流, 斬撃武器 Weapon\EFFECT_NinjaBlade01.bmp 二刀流
火遁の術, 炎
水遁の術, 津波
雷迅の術, 電撃
煤, 煙 黒
手裏剣, 手裏剣
風魔手裏剣, 手裏剣
なだめる, タックル
操る, 鞭
メガフレア(はなつ), ＭＡＰ連気弾 ホワイト
ギガフレア(はなつ), ＭＡＰ重力弾
アースシェイカー(はなつ), ＭＡＰ地震
タイダルウェイブ(はなつ), ＭＡＰ津波
ミールストーム(はなつ), 竜巻
虹色の風(はなつ), 発光 赤;発光 緑;発光 青;発光 赤
ブレスウイング(はなつ), 強風
稲妻(はなつ), 落雷
吹雪(はなつ), 吹雪
炎(はなつ), 炎
ブレイズ(はなつ), 炎 青
アトミックレイ(はなつ), 中ビーム レッド
モンスター突撃(はなつ)(準備), 振る武器 DGoods\EFFECT_Gourd01.bmp
モンスター突撃(はなつ)(攻撃), デフォルト
モンスター突撃(はなつ)(命中), ダメージ
ドラゴンの一撃(はなつ)(準備), 振る武器 DGoods\EFFECT_Gourd01.bmp
ドラゴンの一撃(はなつ)(攻撃), デフォルト
ドラゴンの一撃(はなつ)(命中), ダメージ
木の葉乱舞, 木の葉乱舞
蔦地獄, 旋風 緑
ポイズンミスト, 煙 緑
突風, 強風
砂塵, 地表衝撃波 黄
鬼火, 炎 青
地震, ＭＡＰ地震
フェーンファントム, 波動放射 グリーン
津波, 津波
ブランチアロー, ニードル
熱砂, 波動放射 レッド
流砂, 地表衝撃波 イエロー
鍾乳石, つらら
ウォーターフォール(準備), -
ウォーターフォール(攻撃), 炎打ち下ろし 青
ウォーターフォール(命中), ダメージ
底なし沼, 光噴出 黒
渦潮, 光噴出 青
ブランチスピア, ニードル
ソニックブーム, 波動放射 ブルー
かまいたち, 波動放射 ブルー
大津波, ＭＡＰ津波
竜巻, 竜巻
デザートストーム, 竜巻
狙い撃ち, 弓
乱れ撃ち(剣)(準備), 剣
乱れ撃ち(剣)(攻撃), 斬撃乱舞
乱れ撃ち(剣)(命中), 斬撃乱舞
乱れ撃ち(準備), 弓
乱れ撃ち(攻撃), 弓矢;矢連射
乱れ撃ち(命中), 矢;矢;矢;矢
モモンガ(準備), しもべ EFFECT_Momonga01.bmp
モモンガ(攻撃), 実弾発射 EFFECT_Momonga01.bmp
モモンガ(命中), ダメージ
スカンク(準備), しもべ EFFECT_Skunk01.bmp
スカンク(攻撃), 実弾発射 EFFECT_Skunk01.bmp
スカンク(命中), 煙
蜂の群, 蜂
りす(準備), しもべ EFFECT_Squirrel01.bmp
りす(攻撃), 実弾発射 EFFECT_Squirrel01.bmp
りす(命中), ダメージ
ワイルドボー(準備), しもべ EFFECT_WildBoar01.bmp
ワイルドボー(攻撃), 実弾発射 EFFECT_WildBoar01.bmp
ワイルドボー(命中), ダメージ
ナイチンゲール(使用), @戦闘アニメ_しもべ準備 EFFECT_Nightingale01.bmp
ナイチンゲール(発動), 決め画像 EFFECT_Nightingale01.bmp;回復魔法
ユニコーン(使用), @戦闘アニメ_しもべ準備 EFFECT_Unicorn01.bmp
ユニコーン(発動), 決め画像 EFFECT_Unicorn01.bmp;回復魔法泡
愛の歌(準備), 竪琴
誘惑の歌(準備), 竪琴
レクイエム(準備), 竪琴
体力の歌(準備), 竪琴
力の歌(準備), 竪琴
素早さの歌(準備), 竪琴
魔力の歌(準備), 竪琴
英雄の歌(準備), 竪琴
愛の歌(攻撃), ＭＡＰ音符
誘惑の歌(攻撃), ＭＡＰ音符
レクイエム(攻撃), ＭＡＰ音符
体力の歌(使用), 音符
力の歌(使用), 音符
素早さの歌(使用), 音符
魔力の歌(使用), 音符
英雄の歌(使用), 音符
レクイエム(命中), ダメージ
竜剣(攻撃), 実弾発射 Creature\EFFECT_ChineseDragon01.bmp 残像 発光 速
竜剣(命中), 吸収
ジャンプ, スピア急降下
峰打ち, 刀
銭投げ, 投擲武器 EFFECT_Coin.bmp
居合い抜き(準備), 日本刀
居合い抜き(攻撃), 日本刀突撃
居合い抜き(命中), 横大斬撃
ダークエーテル(準備), フラスコ
ダークポーション(準備), フラスコ
ダークブレス(準備), フラスコ
ダークエリクサー(準備), フラスコ
シャドウフレア(準備), フラスコ
万能薬(準備), フラスコ
エーテルドライ(準備), フラスコ
エレメンタルパワー(準備), フラスコ
ダークエーテル(命中), 魔法放射 黒
ダークポーション(命中), 飛沫 黒
ダークブレス(命中), 炎 黒
ダークエリクサー(命中), 周囲回転 Point.bmp 32 Inori.wav 相手ユニットＩＤ 2
シャドウフレア(攻撃), 粒子集中 黒
シャドウフレア(命中), 発光 黒;粒子噴射 黒
万能薬(発動), 光噴出 緑
エーテルドライ(発動), 回復魔法
エレメンタルパワー(発動), 魔法集中 緑
ポーション, 回復魔法
ハイポーション, 回復魔法
巨人の薬, 魔法集中 橙
プロテスドリンク, 発光 白
スピードドリンク, 魔法集中 緑
力の薬, 魔法集中 白
魅惑のタンゴ(準備), 回転
二人のジルバ(準備), 回転
ミステリーワルツ(準備), 回転
剣の舞(準備), 回転
魅惑のタンゴ(命中), 特殊光線
二人のジルバ(命中), 吸収 橙
ミステリーワルツ(命中), 吸収 橙
剣の舞(攻撃), ダブル斬撃
剣の舞(命中), ダブル斬撃
全斬り, 斬撃
後列斬り, 斬撃
必殺(攻撃), 斬撃
必殺(命中), クリティカル斬撃
エレメントアタック(攻撃), 斬撃突撃
エレメントアタック(命中), 超斬撃
砲撃, 大砲
カオスキャノン, 大砲
ガードキャノン(攻撃), 大砲
ガードキャノン(命中), 爆発;@戦闘アニメ_ハンマー準備 相手ユニットＩＤ;ダメージ
ドラゴンキャノン(攻撃), 大砲
ドラゴンキャノン(命中), 爆発;噛み付き
セイントキャノン(攻撃), 大砲
セイントキャノン(命中), 爆発;光柱
ニードルキャノン(攻撃), 大砲
ニードルキャノン(命中), ニードル連射
停止の宣告, 時計
大地震, ＭＡＰ地震
大噴火, ＭＡＰ爆発
隕石, 隕石;隕石;隕石;隕石;隕石
大洪水, ＭＡＰ津波
ハリケーン, ＭＡＰ竜巻
聖なる審判, ＭＡＰフラッシュ
天地崩壊, ＭＡＰ発光;ＭＡＰ落盤
癒しの宣告, 光球
癒しの風, ＭＡＰ風
天の恵み, ＭＡＰ発光
カーズ, 怨霊 召喚
ドレインタッチ, 光球
ヘルウィンド, 波動放射 ブラック
イービルミスト, 煙 グリーン
カオスドライブ, 放電
メルトダウン, 火柱
ディープフリーズ, 氷弾
ダークフレア, 発光 黒;粒子噴射 黒
バニッシュレイ, 光柱
グランドクロス, ＭＡＰダークネス;ＭＡＰオーラ 赤;ＭＡＰオーラ 青;ＭＡＰオーラ 緑
アルマゲスト, ＭＡＰダークネス;ＭＡＰ波動放射 ホワイト
ホワイトホール, ＭＡＰフラッシュ
波動砲, ＭＡＰビーム ホワイト
メガフレア, ＭＡＰ連気弾 ホワイト
ギガフレア, ＭＡＰ重力弾
アースシェイカー, ＭＡＰ地震
タイダルウェイブ, ＭＡＰ津波
ミールストーム, 竜巻
ハリケーン, 竜巻
真空波, 強風
虹色の風, 発光 赤;発光 緑;発光 青;発光 赤
ブレスウイング, 強風
怪音波, 音波
稲妻, 落雷
吹雪, 吹雪
炎, 炎
ブレイズ, 炎 青
ブラスター, 小ビーム ブラック
デルタアタック(攻撃), 回転発射 Barrier\EFFECT_MagicShield(White)01.bmp
サークル(攻撃), 実弾発射 Magic\EFFECT_MagicCircle(Yellow)04.bmp
サークル(クリティカル), 強制転移
ロケットパンチ, ロケットパンチ
アトミックレイ, 中ビーム レッド
マスタードボム(命中), 大爆発
老化ミサイル, ミサイル
ゾンビブレス, 煙噴射 白
ポイズンブレス, 煙噴射 緑
サンダーストーム, ＭＡＰ放電
亀の甲羅, 実弾発射 EFFECT_TatolShell.bmp
ゾンビパウダー, 煙 白
白髪の花粉, 煙 白
猛毒の花粉, 煙 白
暗闇の花粉, 煙 白
呪縛の花粉, 煙 白
錯乱の花粉, 煙 白
妖しい踊り, 回転;ＭＡＰフラッシュ
糸, ネット
悪魔の瞳, 魔法集中 黒
指先, ＭＡＰフラッシュ
磁場転換(攻撃), 決め画像 CT\EFFECT_Shock01.bmp 相手ユニットＩＤ
ワームホール, 透明化;吸収;透明化 解除
パワーを集中, 魔法集中 白
リフレク反射ブリザガ(準備), 発光 緑
リフレク反射サンダガ(準備), 発光 緑
リフレク反射ホーリー(準備), 発光 緑
リフレク反射フレア(準備), 発光 緑
リフレク反射ブリザガ(命中), つらら
リフレク反射サンダガ(命中), 大落雷
リフレク反射ホーリー(命中), 光投射;発光
リフレク反射フレア(攻撃), 粒子集中 赤 相手ユニットＩＤ
リフレク反射フレア(命中), 発光 赤;粒子噴射 赤
長刀, ナギナタ
トマホーク, トマホーク
モーニングスター, モーニングスター
大剣, 大剣
連続攻撃(準備), トマホーク;モーニングスター;大剣;手裏剣;ナギナタ
連続攻撃(攻撃), 斬撃乱舞
連続攻撃(命中), 斬撃乱舞
包丁, 出刃包丁
杖, 杖
突撃, タックル
突進, タックル
タックル, タックル
巻き付き(攻撃), 触手
巻き付き(命中), 触手
ハードヒット, 打突
くちばし(攻撃), デフォルト
くちばし(命中), 刺突
牙, 噛み付き
角(攻撃), デフォルト
角(命中), 大刺突
チョコボキック, キック
尻尾(攻撃), デフォルト
尻尾(命中), なぎ払い
テールスクリュー(攻撃), タックル
テールスクリュー(命中), ドリル
爪, 爪撃
反撃の爪, 爪撃
触手(攻撃), 触手
触手(命中), 触手
蔦(攻撃), 多触手
蔦(命中), 触手
攻撃(攻撃), デフォルト
攻撃(命中), ダメージ
ディメンションゼロ(攻撃), デフォルト
ディメンションゼロ(命中), ダメージ
くちばし(はなつ)(解説), コカトリスの嘴が$(相手ユニット)を突いた！
虹色の風(はなつ)(解説), エーギルは虹色の風を吹かせた！
巻き付き(はなつ)(解説), ウェアスネークが$(相手ユニット)に巻き付いた！
フラッシュ(はなつ)(解説), クルーダストはフラッシュを放った！
黒の衝撃(はなつ)(解説), ブラックフレイムは黒の衝撃を使った！
誘惑(はなつ)(解説), ブランドラミアは$(相手ユニット)を誘惑した！
タイムスリップ(はなつ)(解説), ミュカレはタイムスリップを使った！
死神の剣(はなつ)(解説), スローニンは死神の剣で斬りつけた！
死の宣告(はなつ)(解説), デスディーラーは死の宣告を使った！
アースシェイカー(はなつ)(解説), ハイドラのアースシェイカーが地を揺らす！
アクアブレス(はなつ)(解説), ドルムキマイラはアクアブレスを吐き出した！
稲妻(はなつ)(解説), イエロードラゴンは稲妻を呼んだ！
ブレスウイング(はなつ)(解説), ズーがブレスウイングを使った！
アルマゲスト(はなつ)(解説), シールドドラゴンはアルマゲストを使った！
炎(はなつ)(解説), マジックドラゴンは炎を放った！
ブレイズ(はなつ)(解説), ミスリルドラゴンはブレイズを使った！
吹雪(はなつ)(解説), ブルードラゴンは吹雪を放った！
アトミックレイ(はなつ)(解説), レッドドラゴンはアトミックレイを撃ちだした！
デジョン(はなつ)(解説), ホワイトフレイムはデジョンを唱えた！
タイダルウェイブ(はなつ)(解説), スティングレイはタイダルウェイブを呼び寄せた！
メガフレア(はなつ)(解説), プロトタイプはメガフレアを使った！
モンスター突撃(はなつ)(解説), 海さそりは針で突き刺した！
モンスター突撃(はなつ)(解説), アイアンドレスは鋼鉄の身体で突撃した！
モンスター突撃(はなつ)(解説), サンドベアは右腕を繰り出した！
エアロガ(はなつ)(解説), バルダンデルスはエアロガを唱えた！
ファイガ(はなつ)(解説), ミニマジシャンはファイガを唱えた！
デスクロー(はなつ)(解説), ロックブレインはデスクローで攻撃した！
ミールストーム(はなつ)(解説), ランドクローラーはミールストームを使った！
ギガフレア(はなつ)(解説), キングベヒーモスはギガフレアを使った！
フレア(はなつ)(解説), ゴブリンはフレアを唱えた！
ドラゴンの一撃(はなつ)(解説), ドラゴングレイトは牙と爪を振りかざした！


