
地球防衛軍4
#
### レンジャー系
#
AF14アサルトライフル, マシンガン Weapon\EFFECT_Rifle02.bmp
要請:榴弾砲(準備), @戦闘アニメ_斬撃攻撃;EDF4_ＭＡＰ煙描画 赤
要請:榴弾砲(攻撃), EDF4_ＭＡＰ画面外砲弾;ＭＡＰ爆発
要請:榴弾砲(命中), 爆発
要請:榴弾砲(解説), $(ユニット)の要請を受けた砲兵隊は榴弾砲で攻撃した。
要請:巨大榴弾砲(準備), @戦闘アニメ_斬撃攻撃;EDF4_ＭＡＰ煙描画 赤
要請:巨大榴弾砲(攻撃), EDF4_ＭＡＰ画面外砲弾;ＭＡＰ爆発
要請:巨大榴弾砲(命中), 大爆発
要請:巨大榴弾砲(解説), $(ユニット)の要請を受けた砲兵隊は巨大榴弾砲で攻撃した。
要請:カノン砲(準備), @戦闘アニメ_斬撃攻撃;煙 相手ユニットＩＤ 青
要請:カノン砲(攻撃), EDF4_画面外砲弾
要請:カノン砲(命中), 連続爆発 白 4
要請:カノン砲(解説), $(ユニット)の要請を受けた砲兵隊はカノン砲で攻撃した。
要請:爆撃プラン(準備), @戦闘アニメ_斬撃攻撃;EDF4_ＭＡＰ煙描画 青
要請:爆撃プラン(攻撃), EDF4_ＭＡＰ爆撃機通過 Bomb.wav;ＭＡＰ爆発
要請:爆撃プラン(命中), 連続爆発
要請:爆撃プラン(解説), $(ユニット)の要請を受けたボマー隊は爆撃で攻撃した。
要請:機銃掃射プラン(準備), @戦闘アニメ_斬撃攻撃;EDF4_ＭＡＰ煙描画 青
要請:機銃掃射プラン(攻撃), EDF4_ＭＡＰ爆撃機通過 MachineGun.wav
要請:機銃掃射プラン(命中), EDF4_上空チェーンガン 黄
要請:機銃掃射プラン(解説), $(ユニット)の要請を受けたボマー隊は機銃掃射で攻撃した。
要請:機関砲(準備), @戦闘アニメ_グレネードランチャー攻撃 Weapon\EFFECT_NewAssaultRifle02.bmp;煙 相手ユニットＩＤ 青
要請:機関砲(攻撃), ディレイ FlyBy.wav 10;音再生 MachineGun.wav
要請:機関砲(命中), EDF4_上空チェーンガン 黄
要請:機関砲(解説), $(ユニット)の要請を受けたホエールは機関砲で攻撃した。
要請:120mm砲(準備), @戦闘アニメ_グレネードランチャー攻撃 Weapon\EFFECT_NewAssaultRifle02.bmp;煙 相手ユニットＩＤ 青
要請:120mm砲(攻撃), ディレイ FlyBy.wav 10;音再生 MachineGun.wav
要請:120mm砲(命中), EDF4_上空チェーンガン 白
要請:120mm砲(解説), $(ユニット)の要請を受けたホエールは120mm砲で攻撃した。
要請:150mm砲(準備), @戦闘アニメ_グレネードランチャー攻撃 Weapon\EFFECT_NewAssaultRifle02.bmp;煙 相手ユニットＩＤ 青
要請:150mm砲(攻撃), ディレイ FlyBy.wav 10;音再生 Cannon.wav
要請:150mm砲(命中), EDF4_上空レールガン 白
要請:150mm砲(解説), $(ユニット)の要請を受けたホエールは150mm砲で攻撃した。
要請:サテライトブラスター(準備), @戦闘アニメ_EDF4_ＭＡＰレーザー誘導装置攻撃
要請:サテライトブラスター(攻撃), EDF4_ＭＡＰ光線降り注ぎ
要請:サテライトブラスター(命中), 爆発 青
要請:サテライトブラスター(解説), $(ユニット)の要請を受けた衛星軌道兵器ノートゥングはサテライトブラスターで攻撃した。
要請:テンペストS1A(準備), @戦闘アニメ_EDF4_レーザー誘導装置攻撃
要請:テンペストS1A(攻撃), EDF4_ＩＣＢＭ２落下
要請:テンペストS1A(命中), 超爆発
要請:テンペストS1A(解説), $(ユニット)の要請を受けたホエールとデスピナはテンペストS1Aで攻撃した。
要請:ギガンテス(使用), @戦闘アニメ_斬撃攻撃 UnitID(ストームエアレイダー(EDF4));煙 赤;EDF4_輸送機
要請:ギガンテス(解説), $(ユニット)の要請を受けたポーターズはギガンテスを輸送した。
要請:イプシロン(使用), @戦闘アニメ_斬撃攻撃 UnitID(ストームエアレイダー(EDF4));煙 赤;EDF4_輸送機
要請:イプシロン(解説), $(ユニット)の要請を受けたポーターズはイプシロンを輸送した。
要請:タイタン(使用), @戦闘アニメ_斬撃攻撃 UnitID(ストームエアレイダー(EDF4));煙 赤;EDF4_輸送機
要請:タイタン(解説), $(ユニット)の要請を受けたポーターズはタイタンを輸送した。
要請:戦闘バイク(使用), @戦闘アニメ_斬撃攻撃 UnitID(ストームエアレイダー(EDF4));煙 赤;EDF4_輸送機
要請:戦闘バイク(解説), $(ユニット)の要請を受けたポーターズは戦闘バイクを輸送した。
要請:グレイプ(使用), @戦闘アニメ_斬撃攻撃 UnitID(ストームエアレイダー(EDF4));煙 赤;EDF4_輸送機
要請:グレイプ(解説), $(ユニット)の要請を受けたポーターズはグレイプを輸送した。
要請:ネグリング(使用), @戦闘アニメ_斬撃攻撃 UnitID(ストームエアレイダー(EDF4));煙 赤;EDF4_輸送機
要請:ネグリング(解説), $(ユニット)の要請を受けたポーターズはネグリングを輸送した。
要請:キャリバン(使用), @戦闘アニメ_斬撃攻撃 UnitID(ストームエアレイダー(EDF4));煙 赤;EDF4_輸送機
要請:キャリバン(解説), $(ユニット)の要請を受けたポーターズはキャリバンを輸送した。
要請:バゼラート(使用), @戦闘アニメ_斬撃攻撃 UnitID(ストームエアレイダー(EDF4));煙 赤;EDF4_輸送機
要請:バゼラート(解説), $(ユニット)の要請を受けたポーターズはバゼラートを輸送した。
要請:ネレイド(使用), @戦闘アニメ_斬撃攻撃 UnitID(ストームエアレイダー(EDF4));煙 赤;EDF4_輸送機
要請:ネレイド(解説), $(ユニット)の要請を受けたポーターズはネレイドを輸送した。
要請:ブルート(使用), @戦闘アニメ_斬撃攻撃 UnitID(ストームエアレイダー(EDF4));煙 赤;EDF4_輸送機
要請:ブルート(解説), $(ユニット)の要請を受けたポーターズはブルートを輸送した。
要請:ベガルタ(使用), @戦闘アニメ_斬撃攻撃 UnitID(ストームエアレイダー(EDF4));煙 赤;EDF4_輸送機
要請:ベガルタ(解説), $(ユニット)の要請を受けたポーターズはベガルタを輸送した。
要請:ベガルタF(使用), @戦闘アニメ_斬撃攻撃 UnitID(ストームエアレイダー(EDF4));煙 赤;EDF4_輸送機
要請:ベガルタF(解説), $(ユニット)の要請を受けたポーターズはベガルタを輸送した。
要請:ベガルタB(使用), @戦闘アニメ_斬撃攻撃 UnitID(ストームエアレイダー(EDF4));煙 赤;EDF4_輸送機
要請:ベガルタB(解説), $(ユニット)の要請を受けたポーターズはベガルタを輸送した。
要請:プロテウス(使用), @戦闘アニメ_斬撃攻撃 UnitID(ストームエアレイダー(EDF4));煙 赤;EDF4_輸送機
要請:プロテウス(解説), $(ユニット)の要請を受けたポーターズはプロテウスを輸送した。
要請:デプスクロウラー(使用), @戦闘アニメ_斬撃攻撃 UnitID(ストームエアレイダー(EDF4));煙 赤;EDF4_デプスクロウラー輸送機
要請:デプスクロウラー(解説), $(ユニット)の要請を受けた輸送チームはデプスクロウラーを輸送した。
要請:歩行要塞バラム(使用), @戦闘アニメ_斬撃攻撃 UnitID(ストームエアレイダー(EDF4));煙 赤;EDF4_バラム輸送機
要請:歩行要塞バラム(解説), $(ユニット)の要請を受けた輸送チームは歩行要塞バラムを輸送した。
パワーアシストガン(使用), @戦闘アニメ_グレネードランチャー攻撃 Weapon\EFFECT_ShockBeamGun01.bmp
パワーアシストガン(発動), エネルギーフィールド展開 赤
パワーアシストガンMG(使用), @戦闘アニメ_グレネードランチャー攻撃 Weapon\EFFECT_ShockBeamGun01.bmp
パワーアシストガンMG(発動), エネルギーフィールド展開 赤
ガードアシストガン(使用), @戦闘アニメ_グレネードランチャー攻撃 Weapon\EFFECT_ShockBeamGun01.bmp
ガードアシストガン(発動), エネルギーフィールド展開 黄
ガードアシストガンG(使用), @戦闘アニメ_グレネードランチャー攻撃 Weapon\EFFECT_ShockBeamGun01.bmp
ガードアシストガンG(発動), エネルギーフィールド展開 黄
#
### フェンサー系
#
ジャベリン・カタパルト, 岩弾
ヴィブロ・ハンマー(準備), 振る武器 EFFECT_EDF4_VibroHammer.bmp
ヴィブロ・ハンマー(攻撃), 振り下ろし;地表衝撃波 白
ヴィブロ・ハンマー(命中), 飛沫 白 Explode(Small).wav
ファイネスト・ハンマー(準備), 振る武器 EFFECT_EDF4_VibroHammer.bmp
ファイネスト・ハンマー(攻撃), 振り下ろし;地表衝撃波 白
ファイネスト・ハンマー(命中), 飛沫 白 Explode(Small).wav
ダイナモ・ブレード(準備), 振る武器 Weapon\EFFECT_GiantSword02.bmp
ダイナモ・ブレード(攻撃), 回転斬撃;気斬 赤
ダイナモ・ブレード(命中), ダメージ 赤
ダイナ・フォースブレード(準備), 振る武器 Weapon\EFFECT_GiantSword02.bmp
ダイナ・フォースブレード(攻撃), 回転斬撃;気斬 赤
ダイナ・フォースブレード(命中), ダメージ 赤
ブラストホール・スピア(準備), 射撃武器 EFFECT_EDF4_BlastHoleSpear.bmp
ブラストホール・スピア(攻撃), 銃撃武器 EFFECT_EDF4_BlastHoleSpear.bmp 32 ShootAnime\EFFECT_ChainGunShot(White)01.bmp 64 Cannon.wav
ブラストホール・スピア(命中), 小ビーム 白 Slash(4).wav
ブラストホール・スピアMS(準備), 射撃武器 EFFECT_EDF4_BlastHoleSpear.bmp
ブラストホール・スピアMS(攻撃), 銃撃武器 EFFECT_EDF4_BlastHoleSpear.bmp 32 ShootAnime\EFFECT_ChainGunShot(White)01.bmp 64 Cannon.wav
ブラストホール・スピアMS(命中), 小ビーム 白 Slash(4).wav
ジャックハンマー(準備), ロケットパンチ
ジャックハンマー(攻撃), 乱打
ジャックハンマー(命中), 点乱打
ジャックハンマーMA(準備), ロケットパンチ Hand\EFFECT_Punch(Black)09.bmp
ジャックハンマーMA(攻撃), 乱打
ジャックハンマーMA(命中), 点乱打
ボルケーン・ハンマー(準備), 振る武器 EFFECT_EDF4_VolucanHammer.bmp
ボルケーン・ハンマー(攻撃), 回転斬撃
ボルケーン・ハンマー(命中), 大爆発
ボルケーン・ハンマーZD(準備), 振る武器 EFFECT_EDF4_VolucanHammer.bmp
ボルケーン・ハンマーZD(攻撃), 回転斬撃
ボルケーン・ハンマーZD(命中), 大爆発
FG01高高度強襲ミサイル, ミサイル 2
FGX高高度強襲ミサイル, ミサイル 2
FG7ハンドガトリング, ガトリング
FGZハンドガトリング, ガトリング
30mmガリア重キャノン砲, 対戦車ライフル Weapon\EFFECT_RailGun01.bmp
35mmバトルキャノン砲, 対戦車ライフル Weapon\EFFECT_RailGun01.bmp
リバイアサン(準備), @戦闘アニメ_EDF4_レーザー誘導装置攻撃 Partner(1)
リバイアサン(攻撃), スーパーミサイル長距離
リバイアサン(命中), 超爆発
ワイルド・リバイアサン(準備), @戦闘アニメ_EDF4_レーザー誘導装置攻撃 Partner(1)
ワイルド・リバイアサン(攻撃), スーパーミサイル長距離
ワイルド・リバイアサン(命中), 超爆発
ガリオン軽量機関砲, ガトリング
NC101ハンドキャノン, 対戦車ライフル Weapon\EFFECT_RailGun01.bmp
#
### 乗り物
#
140mm榴弾砲(攻撃), キャノン砲
140mm榴弾砲(命中), 爆発
副座機関砲, 機関砲
メナス電磁投射砲, レールキャノン
前部固定機関銃, バルカン
グレネード射出器(攻撃), 音再生 AntiAirMissile.wav;ＭＡＰ爆発
グレネード射出器(命中), 爆発
連装滑空砲, キャノン砲
レクイエム砲(攻撃), 大キャノン砲
レクイエム砲(命中), 大爆発
サイドカー機銃, バルカン
軽速射砲, 機関砲
収束誘導ロケット砲, ＭＡＰミサイル
医療装置(使用), ディレイ WindowOpen(2).wav 10;透明化 相手ユニットＩＤ 反映
医療装置(発動), ディレイ Charge(Silent).wav 10;透明化 解除;音再生 WindowOpen(3).wav
ミサイル, ミサイル
30mmUT機関砲, 機関砲
自動捕捉オートキャノン, 機関砲
ロケット砲, ミサイル
ドーントレス重機関砲, 重機関砲
リボルバーカノン, 機関砲
コンバットバーナー, 火炎放射
散弾砲, ベアリング
リボルバーロケットカノン, 小型ミサイル 6
拡散榴弾砲(攻撃), 小型ミサイル 12 遅
拡散榴弾砲(命中), 連続爆発
ミサイルポッド, ミサイル
ショルダーハウィツァー(攻撃), キャノン砲
ショルダーハウィツァー(命中), 爆発
マルチロックミサイル, ＭＡＰ小型ミサイル
バスターカノン(攻撃), キャノン砲 2
バスターカノン(命中), 連続爆発 2
一斉砲撃(攻撃), 小型ミサイル 8;小型ミサイル 8;キャノン砲 4
一斉砲撃(命中), 連続爆発 8
FK200ガトリング砲, バルカン
ラピッドバズーカ砲(攻撃), キャノン砲 2
ラピッドバズーカ砲(命中), 連続爆発 2
立体機動射撃(攻撃), バルカン;打ち下ろし実弾連射 Bullet\EFFECT_SmallCannon01.bmp Cannon.wav 速
立体機動射撃(命中), バルカン;連続爆発 2
踏みつけ(攻撃), 地面衝撃 Warship.wav
踏みつけ(命中), ダメージ
バラムパンチ(攻撃), 斬撃
バラムパンチ(命中), 強打 Crash.wav
バラムアッパーコンボ(攻撃), 連斬撃;ディレイ 3;振り下ろし;ディレイ 3;振り上げ
バラムアッパーコンボ(命中), 強打 Crash.wav;強打 Crash.wav;ディレイ 3;地面衝撃 Warship.wav;ディレイ 3;超打 Shock(Low).wav
#
### フォーリナー(生物)
#
拘束噛み付き, 噛み付き
強食噛み付き, 噛み付き
強酸(攻撃), 実弾発射 ShootAnime\EFFECT_ChainGunShot(Yellow)01.bmp 64 Acid.wav
強酸(命中), 飛沫 黄 Acid.wav
超強酸(攻撃), 実弾発射 ShootAnime\EFFECT_ChainGunShot(Yellow)01.bmp 64 Acid.wav
超強酸(命中), 飛沫 黄 Acid.wav
直撃酸(攻撃), 実弾発射 ShootAnime\EFFECT_ChainGunShot(Yellow)01.bmp 64 Acid.wav
直撃酸(命中), 飛沫 黄 Acid.wav
挟撃直撃酸(攻撃), 同時実弾発射 ShootAnime\EFFECT_ChainGunShot(Yellow)01.bmp 64 Acid.wav
挟撃直撃酸(命中), 飛沫 黄 Acid.wav
包囲直撃酸(攻撃), 同時実弾発射 ShootAnime\EFFECT_ChainGunShot(Yellow)01.bmp 64 Acid.wav
包囲直撃酸(命中), 飛沫 黄 Acid.wav
完全包囲直撃酸(攻撃), 同時実弾発射 ShootAnime\EFFECT_ChainGunShot(Yellow)01.bmp 64 Acid.wav
完全包囲直撃酸(命中), 飛沫 黄 Acid.wav
粘糸(攻撃), 大拡散ビーム 白 チャージなし Whiz.wav
粘糸(命中), ビームショットガン 白 FightHit(3).wav
巨大針, ニードル連射
引き寄せ粘糸(攻撃), 小ビーム 白 Bow.wav
引き寄せ粘糸(命中), 小ビーム 白 FightHit(3).wav
高速引き寄せ粘糸(攻撃), 小ビーム 白 Bow.wav
高速引き寄せ粘糸(命中), 小ビーム 白 FightHit(3).wav
火炎弾ブレス, 火炎弾
急降下火炎弾ブレス(攻撃), 打ち下ろし実弾連射 Fire\EFFECT_FlameThrowerHit(Red)07.bmp Fire.wav
急降下火炎弾ブレス(命中), 火炎弾
噛み付き, 噛み付き
突進噛み付き(攻撃), タックル
突進噛み付き(命中), 噛み付き
連続火炎弾ブレス(攻撃), 実弾連射 Fire\EFFECT_FlameThrowerHit(Red)07.bmp Fire.wav
連続火炎弾ブレス(命中), 火炎弾
放射強酸(攻撃), 大水流 黄
放射強酸(命中), 飛沫 黄 Acid.wav
広域放射強酸(攻撃), 大水流 黄
広域放射強酸(命中), 飛沫 黄 Acid.wav
巨大粘糸(攻撃), 連続描画 Light\EFFECT_ShowUpLight(White)[01-01].bmp 長方形サイズ=256=160 1 1 背面 Whiz.wav; _
                連続描画 Light\EFFECT_ShowUpLight(White)[01-01].bmp 長方形サイズ=256=160 1 1 背面 左右反転; _
                連続描画 Light\EFFECT_ShowUpLight(White)[01-01].bmp 長方形サイズ=256=160 1 1 背面 上下反転; _
                連続描画 Light\EFFECT_ShowUpLight(White)[01-01].bmp 長方形サイズ=256=160 1 1 背面 左右反転 上下反転; _
                連続描画 Light\EFFECT_ShowUpLight(White)[01-01].bmp 長方形サイズ=256=160 1 1 背面 ; _
                連続描画 Light\EFFECT_ShowUpLight(White)[01-01].bmp 長方形サイズ=256=160 1 1 背面 左右反転; _
                連続描画 Light\EFFECT_ShowUpLight(White)[01-01].bmp 長方形サイズ=256=160 1 1 背面 上下反転; _
                連続描画 Light\EFFECT_ShowUpLight(White)[01-01].bmp 長方形サイズ=256=160 1 1 背面 左右反転 上下反転
巨大粘糸(命中), 包囲ビーム 白 FightHit(3).wav
超巨大針(攻撃), ３連スラッシュビーム 白 MachineGun(2).wav
超巨大針(命中), ３連スラッシュビーム 白 MachineGun(2).wav
跳びかかり, 飛びかかり
広域放射火炎ブレス, 超火炎放射
放射火炎ブレス, 超火炎放射
尾振り回し(攻撃), 連斬撃
尾振り回し(命中), ダメージ
かぎづめ, 爪撃
電撃怪光線, 超ビーム 青
#
### フォーリナー(メカ)
#
レーザー機銃, 拡散ビーム 赤
連装レーザーキャノン, ２連中ビーム 赤
パルスレーザー砲, ニードルレーザー連射
スパークランチャー, 光弾 赤 遅
粒子ガトリング砲, 内蔵チェーンガン 青
ソリッド粒子ガトリング砲, 内蔵チェーンガン 青
曲射プラズマキャノン(攻撃), 実弾発射 Impact\EFFECT_ImpactBallHit(LightBlue)02.gif 256 BeamShot.wav 発光
曲射プラズマキャノン(命中), 爆発 水色
粒子ストリーム砲, 大ビーム 青
高光量レーザー砲, 全拡散ビーム 青
脚部刺突機構(攻撃), 振り下ろし;刺突
脚部刺突機構(命中), 刺突
各部レーザー砲, 小ビーム 緑
後部粒子ガトリング砲, 内蔵チェーンガン 黄
移動機構(攻撃), 地面衝撃 Warship.wav
移動機構(命中), ダメージ
２連装対空プラズマ主砲, ＭＡＰビーム 青
レーザー機関砲, ニードルレーザー連射 緑
プラズマ機関砲(攻撃), 連気弾 青 Beam.wav
プラズマ機関砲(命中), 爆発 青
砲身(攻撃), 振り下ろし;地面衝撃 Warship.wav
砲身(命中), ダメージ
腰部レーザー機関砲, ニードルレーザー連射 緑
腕部プラズマ機関砲, 連気弾 青 Beam.wav
腕部プラズマ機関砲, 爆発 青
２連装プラズマ主砲, ＭＡＰビーム 青
飛行ドローン部隊(攻撃), 実弾乱射 EDF4_FlyingDroneU.bmp Whiz.wav 残像;音再生 Beam(4Shot).wav
飛行ドローン部隊(命中), 拡散ビーム 赤 ランダム方向;拡散ビーム 赤 ランダム方向
ジェノサイド砲(攻撃), ＭＡＰビーム 白;ＭＡＰ爆発
ジェノサイド砲(命中), 大爆発
レーザー砲, 小ビーム 赤
プラズマ砲(攻撃), 連気弾 紫 Beam.wav
プラズマ砲(命中), 爆発 紫
粒子機関砲, 内蔵チェーンガン 緑
小型ジェノサイド砲(攻撃), 実弾発射 X(目標地点) Y(目標地点) Impact\EFFECT_ImpactBallHit(Pink)02.gif 256 Bazooka.wav 発光 遅;ＭＡＰ大爆発
小型ジェノサイド砲(命中), 大爆発
超巨大高圧レーザー砲(攻撃), 連続描画 Light\EFFECT_LightGeyser(Green)[01-02].bmp 136 1 10 前面 Charge.wav 下辺
超巨大高圧レーザー砲(命中), 大爆発 緑
高圧レーザー砲, 特殊光線
巨大電撃, 大電撃 水色
ジェノサイド・ボム(攻撃), 実弾発射 X(目標地点) Y(目標地点) Impact\EFFECT_ImpactBallHit(Pink)02.gif 256 Bazooka.wav 発光 遅;ＭＡＰ大爆発
ジェノサイド・ボム(命中), 大爆発

汎用
EDFコール, 「EDF！ EDF！」
EDF讃歌(使用), EDF4_讃歌
