
ドラゴンクエスト６
#------攻撃呪文------
メラ(攻撃), キャノン砲
火炎の息, 火炎放射 赤 Fire.wav
激しい炎(攻撃), 火炎放射 赤 AntiShipMissile.wav
激しい炎(命中), 火炎放射 赤 Fire.wav
灼熱(攻撃), 火炎放射 赤 AntiShipMissile.wav
灼熱(命中), 火炎放射 赤 Fire.wav
灼熱(ＭＡＰ)(攻撃), AntiShipMissile.wav;ＭＡＰ炎 -.wav
灼熱(ＭＡＰ)(命中), Crash.wav
冷たい息, 吹雪
氷の息(攻撃), 火炎放射 青 Interference.wav
氷の息(命中), 火炎放射 青 Glass.wav
凍える吹雪(攻撃), 旋風 白 Storm.wav
凍える吹雪(命中), 旋風 白 Glass.wav
輝く息(攻撃), 火炎放射 白 Interference.wav
輝く息(命中), 火炎放射 白 -.wav
ハッスルダンス(使用), 回転 Drum.wav 1 速
ハッスルダンス(発動), オーラ上昇 黄 -.wav
変身, センタリング;粒子集中 白;決め画像 DQM_MonstolerU.bmp Bazooka.wav 前面
身かわし脚, @戦闘アニメ_回避発動;@戦闘アニメ_回避発動
反射(受け流し), @戦闘アニメ_ダメージ命中 BeamCoat.wav
反射(まねまね), 魔法放射
反射(まねまね)(解説), $(ユニット)はまねまねで$(相手武器)をやり返した。
反射(追い風), 強風
#------メインキャラクター------
銅の剣, 銅剣
ブーメラン, ブーメラン
鋼鉄の剣, 鋼剣
刃のブーメラン, スーパーブーメラン 黒
刃のブーメラン(命中), 斬撃
炎の剣, 炎剣
炎の剣(クリティカル), 炎;デフォルト
ラミアスの剣(準備), 振る武器 EFFECT_DQ_SwordOfRamias.bmp Sword.wav
ラミアスの剣(命中), 雷斬撃
ラミアスの剣(クリティカル), @戦闘アニメ_爆発命中;デフォルト
竹の槍, 打突武器 LightWeapon\EFFECT_LightRod(Green)01.bmp
鉄の爪, クロー
炎の爪, クロー
炎の爪(クリティカル), 炎 黄;デフォルト
ブロンズナイフ, ナイフ
月の扇, 回転投擲武器 DGoods\EFFECT_IronFan01.bmp
月の扇(命中), 鞭
太陽の扇, 回転投擲武器 DGoods\EFFECT_IronFan01.bmp
太陽の扇(命中), 鞭
ゲントの杖, 杖
奇跡の剣, 斬撃武器 EFFECT_DQ_MiracleSword.bmp
プラチナソード, 銀剣
#雷鳴の剣, 斬撃武器 EFFECT_DQ_ThunderSword.bmp
#雷鳴の剣・雷(準備), Thunder.wav;振る武器 EFFECT_DQ_ThunderSword.bmp
雷鳴の剣・雷, 剣
雷鳴の剣・雷(準備), Thunder.wav;剣
雷鳴の剣・雷(攻撃), 落雷 Whip.wav
雷鳴の剣・雷(命中), 飛沫 黄 Inori.wav
#------サブキャラクター------
破邪の剣, 斬撃武器 EFFECT_DQS_CurseBreakingSword.bmp
噛み付き, 噛み付き
バトルアックス, 大斬撃武器 Weapon\EFFECT_LongAx01.bmp
氷の刃, 凍斬撃武器 Weapon\EFFECT_IceSword(T)01.bmp
氷の刃(クリティカル), 凍結;デフォルト
#------仲間モンスター------
隼の剣, 斬撃武器 EFFECT_DQ_FalconSword.bmp
ビッグボウガン, クロスボウ
悪魔の爪, クロー
炎のブーメラン, 回転投擲武器 EFFECT_DQ_FlameBoomerang.bmp
炎のブーメラン(命中), 炎
魔獣の牙, 噛み付き
鋼鉄の牙, 噛み付き
とがった骨, 刺突
ゾンビキラー, 斬撃武器 EFFECT_DQS_ZombieKiller.bmp
まどろみの剣, 斬撃武器 EFFECT_DQS_SlumberSword01.bmp
ウォーハンマー, ウォーハンマー
鋼鉄の鞭, 鞭
毒針, 刺突武器 EFFECT_DQS_PinsonNeedle.bmp
魔封じの杖, 杖
のこぎり刀, 斬撃武器 EFFECT_DQS_SawBlade.bmp
棍棒, 棍棒
メタルキングの剣, 斬撃武器 EFFECT_DQS_SwordofMetalKing01.bmp
デーモンスピア(準備), 突く武器 EFFECT_DQS_DemonSpear.bmp
デーモンスピア(攻撃), 刺突
デーモンスピア(命中), ダメージ Stab.wav
#------その他------
精霊の一撃, 打突
斧, 鉄の斧
激しい斬りつけ, 連斬撃
突進, タックル
押しつぶし(攻撃), ジャンプ;地面衝撃 対象ユニットＩＤ
押しつぶし(命中), ダメージ
殴りつけ(攻撃), 斬撃
殴りつけ(命中), 強打
鉤爪, 爪撃
妖しい瞳(攻撃), 邪眼瞬き 黒 黄
炎の爪・メラミ(攻撃), 火炎弾 Cannon.wav
炎の爪・メラミ(命中), 大爆発
鷲掴み, 立ち固め 1
薙ぎ払い, 横大斬撃
グラコスの槍, 月牙(突)
諸刃の剣(準備), 中心回転武器 Weapon\EFFECT_TwinSword01.bmp 64
諸刃の剣(攻撃), 透明化 解除 反映;大斬撃
諸刃の剣(命中), 大斬撃
目にも止まらぬ早業, 連斬撃;斬撃
凍てつく波動, 波動放射 残像
飛びかかり, 飛びかかり
凍てつく冷気, 氷弾
燃えさかる炎, 炎投射
念じボール, ２ＷＡＹ射出 黄
とげ当たり, スーパータックル 桃
叩きつけ(攻撃), 打突
叩きつけ(命中), 背負い固め 1 遅;アッパー Crash.wav
おぞましい雄叫び, 波動放射 黒 残像
マダンテ(敵)(攻撃), 魔法陣
マダンテ(敵)(命中), 超爆発
ザオリク, 回復魔法
悪夢の剣(準備), 中心回転武器 Weapon\EFFECT_TwinSword01.bmp 64
悪夢の剣(攻撃), 透明化 解除 反映;大斬撃
悪夢の剣(命中), 大斬撃

