カードオブデスティニー
魔法剣フレイム, Fire.wav
ズェー(解説), $(ユニット)はフラワシの力を解放した。裁きの刻が訪れる。
ズルワン(解説), $(ユニット)はフラワシの力を解放した。$(ユニット)の時間が倍速化する
地獄の業火, $(ユニット)は、無限に連なる炎を呼び出した。
影縫い(解説), $(ユニット)は、無数の短刀を放った。
神速突き(解説), $(ユニット)は、$(相手パイロット)の隙をついて神速の突きを繰り出した。
冥界の虚水(解説), $(ユニット)は、冥界の虚水を呼び出した。冷たく蒼い水が$(相手パイロット)に襲いかかる。
青い刃(解説), $(ユニット)は、水球が青い刃となって$(相手パイロット)に襲いかかる。
風の刃(解説), $(ユニット)は、風の刃を放った。
地裂(解説), $(ユニット)は、雄叫びをあげた。無数の亀裂が大地に走る。
天空への祈り(解説), $(ユニット)は、両手を広げ天空に祈りを捧げた。
ダードガー(解説), $(ユニット)は、ダードガーを召喚した。
アーダラン(解説), $(ユニット)は、アーダランを召喚した。
バフラーム(解説), $(ユニット)は、バフラームを召喚した。
水神の双剣(解説), $(ユニット)は、水神の双剣を召喚した。
煉獄の爆炎(解説), $(ユニット)は、煉獄の爆炎を召喚した。
地獄の業火(解説), $(ユニット)は、地獄の業火を召喚した。
神速突き(解説), $(ユニット)は、神速の突きを繰り出した。
炎の矢(解説), $(ユニット)は、炎の矢を呼び出した。
アイシクル・スピア(解説), $(ユニット)は、数多の氷槍を$(相手パイロット)に降り注ぐ。
虚空の餓牙(解説), $(ユニット)は、虚空の餓牙を召喚した。世界を喰らう餓えた風が$(相手パイロット)を襲う。
