
有里湊(前期)
グラディウス, 剣
ガルーラ(攻撃), 瞬間変形 DDS-P3_IoU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;魔法放射 緑 Wind.wav
ディアラマ(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
ディアラマ(使用), 瞬間変形 DDS-P3_IoU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ
メディラマ(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
メディラマ(使用), 瞬間変形 DDS-P3_IoU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ
メパトラ(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
メパトラ(使用), 瞬間変形 DDS-P3_IoU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ

岳羽ゆかり
グレイトボウ, 弓矢
疾風ガードキル(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
疾風ガードキル(攻撃), 瞬間変形 DDS-P3_IsisU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;粒子集中 緑
マハガル(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
マハガル(攻撃), 瞬間変形 DDS-P3_IsisU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;魔法放射 緑 Wind.wav
ガルーラ(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
ガルーラ(攻撃), 瞬間変形 DDS-P3_IsisU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;魔法放射 緑 Wind.wav
ガルダイン(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
ガルダイン(攻撃), 瞬間変形 DDS-P3_IsisU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;魔法放射 緑 Wind.wav
ディアラマ(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
ディアラマ(使用), 瞬間変形 DDS-P3_IsisU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ
ディアラハン(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
ディアラハン(使用), 瞬間変形 DDS-P3_IsisU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ
メディラマ(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
メディラマ(使用), 瞬間変形 DDS-P3_IsisU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ
メパトラ(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
メパトラ(使用), 瞬間変形 DDS-P3_IsisU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ


伊織順平(前期)
トゥハンドソード, 大剣
アギ(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
アギ(攻撃), 瞬間変形 DDS-P3_HermesU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;魔法放射 赤 BeamShot.wav
アサルトダイブ(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
アサルトダイブ(攻撃), 瞬間変形 DDS-P3_HermesU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;タックル Flyby.wav
ミリオンシュート(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
ミリオンシュート(攻撃), 瞬間変形 DDS-P3_HermesU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;連突
利剣乱舞(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
利剣乱舞(攻撃), 瞬間変形 DDS-P3_HermesU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;斬撃乱舞
ギガンフィスト(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
ギガンフィスト(攻撃), 瞬間変形 DDS-P3_HermesU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;打突

伊織順平
ツヴァイハンダー, 大剣
アギ(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
アギ(攻撃), 瞬間変形 DDS-P3_TrismegistosU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;魔法放射 赤 BeamShot.wav
アサルトダイブ(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
アサルトダイブ(攻撃), 瞬間変形 DDS-P3_TrismegistosU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;タックル Flyby.wav
ミリオンシュート(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
ミリオンシュート(攻撃), 瞬間変形 DDS-P3_TrismegistosU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;連突
利剣乱舞(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
利剣乱舞(攻撃), 瞬間変形 DDS-P3_TrismegistosU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;斬撃乱舞
ギガンフィスト(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
ギガンフィスト(攻撃), 瞬間変形 DDS-P3_TrismegistosU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;打突
空間殺法(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
空間殺法(攻撃), 瞬間変形 DDS-P3_TrismegistosU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;白兵連撃


桐条美鶴(前期)
スマートフルーレ, エストック
テンタラフー(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
テンタラフー(攻撃), 瞬間変形 DDS-P3_PenthesileaU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;２連光弾 黄 BeamSaber.wav
マハブフ(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
マハブフ(攻撃), 瞬間変形 DDS-P3_PenthesileaU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;吹雪 Wind.wav
ブフーラ(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
ブフーラ(攻撃), 瞬間変形 DDS-P3_PenthesileaU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;吹雪 Wind.wav
マハブフーラ(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
マハブフーラ(攻撃), 瞬間変形 DDS-P3_PenthesileaU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;吹雪 Wind.wav

桐条美鶴
マン・ゴーシュ, エストック
テンタラフー(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
テンタラフー(攻撃), 瞬間変形 DDS-P3_ArtemisiaU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;２連光弾 黄 BeamSaber.wav
氷結ガードキル(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
氷結ガードキル(攻撃), 瞬間変形 DDS-P3_ArtemisiaU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;粒子集中 青
マハブフ(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
マハブフ(攻撃), 瞬間変形 DDS-P3_ArtemisiaU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;吹雪 Wind.wav
ブフーラ(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
ブフーラ(攻撃), 瞬間変形 DDS-P3_ArtemisiaU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;吹雪 Wind.wav
マハブフーラ(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
マハブフーラ(攻撃), 瞬間変形 DDS-P3_ArtemisiaU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;吹雪 Wind.wav
ブフダイン(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
ブフダイン(攻撃), 瞬間変形 DDS-P3_ArtemisiaU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;吹雪 Wind.wav
コンセントレイト(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
コンセントレイト(発動), 瞬間変形 DDS-P3_ArtemisiaU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;オーラ上昇 青 inori.wav


真田明彦(前期)
カイザーナックル, 連打
タルンダ(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
タルンダ(攻撃), 瞬間変形 DDS-P3_PolydeukesU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;粒子集中 橙
ラクンダ(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
ラクンダ(攻撃), 瞬間変形 DDS-P3_PolydeukesU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;粒子集中 青
スクンダ(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
スクンダ(攻撃), 瞬間変形 DDS-P3_PolydeukesU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;粒子集中 緑
ソニックパンチ(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
ソニックパンチ(攻撃), 瞬間変形 DDS-P3_PolydeukesU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;打突
ジオ(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
ジオ(攻撃), 瞬間変形 DDS-P3_PolydeukesU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;落雷 Thunderbolt.wav
ジオンガ(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
ジオンガ(攻撃), 瞬間変形 DDS-P3_PolydeukesU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;落雷 Thunderbolt.wav

真田明彦
ギガンナックル, 連打
電撃ガードキル(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
電撃ガードキル(攻撃), 瞬間変形 DDS-P3_CaesarU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;粒子集中 黄
マハタルンダ(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
マハタルンダ(攻撃), 瞬間変形 DDS-P3_CaesarU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;粒子集中 橙
マハラクンダ(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
マハラクンダ(攻撃), 瞬間変形 DDS-P3_CaesarU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;粒子集中 青
マハスクンダ(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
マハスクンダ(攻撃), 瞬間変形 DDS-P3_CaesarU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;粒子集中 緑
ジオ(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
ジオ(攻撃), 瞬間変形 DDS-P3_CaesarU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;落雷 Thunderbolt.wav
ジオンガ(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
ジオンガ(攻撃), 瞬間変形 DDS-P3_CaesarU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;落雷 Thunderbolt.wav
ジオダイン(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
ジオダイン(攻撃), 瞬間変形 DDS-P3_CaesarU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;落雷 Thunderbolt.wav


山岸風花(前期)
ハイ・アナライズ(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
ハイ・アナライズ(攻撃), 瞬間変形 DDS-P3_LuciaU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;ロックオン
サポートスキャン(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
サポートスキャン(使用), 瞬間変形 DDS-P3_LuciaU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ
サポートスキャン(発動), @戦闘アニメ_ロックオン攻撃
癒しの波動(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
癒しの波動(使用), 瞬間変形 DDS-P3_LuciaU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ
攻撃無効化(ルキアの加護), 瞬間変形 DDS-P3_LuciaU.bmp;バリア Beamcoat.wav ルキアの加護

山岸風花
ハイ・アナライズ(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
ハイ・アナライズ(攻撃), 瞬間変形 DDS-P3_JunoU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;ロックオン
サポートスキャン(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
サポートスキャン(使用), 瞬間変形 DDS-P3_JunoU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ
サポートスキャン(発動), @戦闘アニメ_ロックオン攻撃
癒しの波動(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
癒しの波動(使用), 瞬間変形 DDS-P3_JunoU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ
オラクル(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
オラクル(使用), 瞬間変形 DDS-P3_JunoU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ
攻撃無効化(ユノの加護), 瞬間変形 DDS-P3_JunoU.bmp;バリア Beamcoat.wav ユノの加護


天田乾(前期)
十文字槍, 十字槍
ハマ(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
ハマ(攻撃), 瞬間変形 DDS-P3_NemesisU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;魔法集中 白 Whiz.wav 相手ユニットＩＤ
バスタアタック(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
バスタアタック(攻撃), 瞬間変形 DDS-P3_NemesisU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;斬撃
ジオンガ(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
ジオンガ(攻撃), 瞬間変形 DDS-P3_NemesisU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;落雷 Thunderbolt.wav
ディアラマ(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
ディアラマ(使用), 瞬間変形 DDS-P3_NemesisU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ

天田乾
桜花十文字槍, 十字槍
ハマ(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
ハマ(攻撃), 瞬間変形 DDS-P3_KalanemiU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;魔法集中 白 Whiz.wav 相手ユニットＩＤ
バスタアタック(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
バスタアタック(攻撃), 瞬間変形 DDS-P3_KalanemiU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;斬撃
ジオンガ(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
ジオンガ(攻撃), 瞬間変形 DDS-P3_KalanemiU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;落雷 Thunderbolt.wav
ハマオン(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
ハマオン(攻撃), 瞬間変形 DDS-P3_KalanemiU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;魔法陣 白
マッドアサルト(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
マッドアサルト(攻撃), 瞬間変形 DDS-P3_KalanemiU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;斬撃
ディアラマ(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
ディアラマ(使用), 瞬間変形 DDS-P3_KalanemiU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ


虎狼丸(ペルソナ３)
ソニックナイフ, ナイフ突撃
ソードブレイカ－, ナイフ突撃
火炎ガードキル(準備), @戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
火炎ガードキル(攻撃), 瞬間変形 DDS-P3_CerberusU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;粒子集中 赤
マハムド(準備), @戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
マハムド(攻撃), 瞬間変形 DDS-P3_CerberusU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;粒子集中 黒 Storm.wav 相手ユニットＩＤ
アギラオ(準備), @戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
アギラオ(攻撃), 瞬間変形 DDS-P3_CerberusU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;粒子集中 赤 相手ユニットＩＤ
ムドオン(準備), @戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
ムドオン(攻撃), 瞬間変形 DDS-P3_CerberusU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;魔法陣 黒
アギダイン(準備), @戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
アギダイン(攻撃), 瞬間変形 DDS-P3_CerberusU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;粒子集中 赤 相手ユニットＩＤ


荒垣真次郎
ヘビーアクス, 片刃斧
ギロチンアクス, 鉄の斧
デビルスマイル(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
デビルスマイル(攻撃), 瞬間変形 DDS-P3_CastorU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;@戦闘アニメ_粒子噴射命中 黒
ヒートウェイブ(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
ヒートウェイブ(攻撃), 瞬間変形 DDS-P3_CastorU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;なぎ払い
デッドエンド(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
デッドエンド(攻撃), 瞬間変形 DDS-P3_CastorU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;振り下ろし
