
武者頑駄無
武久丸(準備), 日本刀
仕込み刀(攻撃), 斬撃
仕込み刀(命中), 斬撃
金棒, 殴打武器 DGoods\EFFECT_NailButt01.bmp
爆雷地柱撃(準備), 振る武器 DGoods\EFFECT_NailButt01.bmp
爆雷地柱撃(攻撃), 白兵武器;煙
爆雷地柱撃(命中), 大爆発
物干し竿(準備), 野太刀
物干し竿(攻撃), 斬撃
物干し竿(命中), 斬撃
百貴雷威銃, 長筒
かすみ斬り(準備), 野太刀
かすみ斬り(準備), 斬撃
かすみ斬り(準備), 大斬撃
両刃剣(準備), カタール 二刀流
両刃剣(攻撃), 斬撃 二刀流
両刃剣(命中), 斬撃 二刀流
大手裏剣, 手裏剣
百鬼弾, 火縄銃
ダブルバスター, 対物ライフル
疾風丸, 日本刀
疾風丸(攻撃), 斬撃
疾風丸(命中), 斬撃
三牙の槍, トライデント
長身銃, ビームライフル Weapon\EFFECT_MatchlockRifle01.bmp
波走機, スーパータックル ブルー
百鬼剣(準備), 日本刀 二刀流
百鬼剣, ダブル斬撃
破守駄砲, バスタービームライフル ピンク Weapon\EFFECT_RailGun01.bmp
対頭破守駄, ２連中ビーム ピンク
雷王剣, 日本刀
薙刀剣, ナギナタ
鬼破砲, バスタービームライフル Weapon\EFFECT_MatchlockCannon02.bmp
雷神号, jet.wav
稲妻返し(準備), 日本刀
稲妻返し(攻撃), 振り下ろし
稲妻返し(命中), 雷斬撃
乱散破天, 竜弾銃 DGoods\EFFECT_NailButt01.bmp
乱散破天槌矛(準備), 振る武器 DGoods\EFFECT_NailButt01.bmp
乱散破天槌矛(攻撃), 振り下ろし
乱散破天槌矛(命中), 強打
風雲丸(準備), 日本刀
風雲丸(攻撃), 斬撃
風雲丸(命中), 斬撃
月大目牙, 火縄銃
月光斬(準備), 日本刀
月光斬(攻撃), 円月殺法 黄;斬撃
月光斬(命中), 斬撃
百烈丸(準備), 日本刀
百烈丸(攻撃), 斬撃
百烈丸(命中), 斬撃
百烈弾, 火縄銃
熱砂乱風撃(準備), 日本刀
熱砂乱風撃(攻撃), 竜巻
熱砂乱風撃(命中), 竜巻
隠刀(準備), カトラス
隠刀(攻撃), 斬撃
隠刀(命中), 斬撃
赤龍刀(準備), 青龍刀
赤龍刀(攻撃), 斬撃
赤龍刀(命中), 斬撃
貴龍戟, 和槍
鋼龍弩, クロスボウ
龍王剣(準備), 日本刀
龍王剣(攻撃), 斬撃
龍王剣(命中), 斬撃
怒雷銃, 火縄銃
昇龍波, スーパータックル 青
飛翔の剣(準備), 大剣
飛翔の剣(攻撃), 斬撃
飛翔の剣(命中), 斬撃
隼王砲(準備), -
隼王砲(攻撃), 中ビーム
隼王砲(命中), 中ビーム
天空撃(準備), -
天空撃(攻撃), 中ビーム
天空撃(命中), 中ビーム
獅王剣(準備), 日本刀
獅王剣(攻撃), 斬撃
獅王剣(命中), 斬撃
波動撃, スーパータックル レッド
犀王剣(準備), 日本刀
犀王剣(攻撃), 斬撃
犀王剣(命中), 斬撃
爆鋼烈, 火炎弾
玉砕撃, スーパータックル グリーン
巨砲バズーカ, バズーカ
花火銃, ビームライフル
回転機関砲, 内蔵ガトリング
六尺玉, ＭＡＰ火炎弾
殺駆銃, マシンガン Weapon\EFFECT_MatchlockGun01.bmp
古月(準備), 日本刀
古月(攻撃), 斬撃
古月(命中), 斬撃
今月(準備), 日本刀
今月(攻撃), 斬撃
今月(命中), 斬撃
新月(準備), 日本刀
新月(攻撃), 斬撃
新月(命中), 斬撃
殺駆砲, バズーカ
殺駆弾, 火縄銃
細剣(準備), レイピア
細剣(攻撃), 斬撃
細剣(命中), 斬撃
雷光丸(準備), 日本刀
雷光丸(攻撃), 斬撃
雷光丸(命中), 斬撃
雷雲丸(準備), 日本刀
雷雲丸(攻撃), 斬撃
雷雲丸(命中), 斬撃
爆神砲, バズーカ
幻霧斬(準備), 日本刀
幻霧斬(攻撃), 円月殺法 黒
幻霧斬(命中), 大斬撃
真幻霧斬(準備), 日本刀
真幻霧斬(攻撃), 円月殺法 黒
真幻霧斬(命中), 大斬撃
ライオン親子(準備), -
ライオン親子(攻撃), -
ライオン親子(命中), 打撃;噛み付き
紅蓮盾(準備), 振る武器 Shield\EFFECT_SmallShield01.bmp
紅蓮盾(攻撃), 乱打
紅蓮盾(命中), 乱打
鬼爪(準備), クロー
鬼爪(攻撃), 白兵武器
鬼爪(命中), 爪撃
真鬼爪(準備), クロー
真鬼爪(攻撃), 白兵武器
真鬼爪(命中), 爪撃
暗黒剣(準備), 剣
暗黒剣(攻撃), 斬撃
暗黒剣(命中), 斬撃
暗黒砲(準備), 射撃武器 Weapon\EFFECT_MatchlockCannon02.bmp
暗黒砲(攻撃), 重力弾
暗黒砲(命中), 重力圧縮;大爆発
闇の波動(準備), 放電
闇の波動(攻撃), 中ビーム ブラック
闇の波動(命中), 大爆発
鋭爪(準備), クロー
鋭爪(攻撃), 白兵武器
鋭爪(命中), 爪撃
死蝶の舞(準備), -
死蝶の舞(攻撃), 手裏剣;手裏剣;手裏剣
死蝶の舞(命中), 手裏剣;手裏剣;手裏剣
手裏剣乱舞(準備), -
手裏剣乱舞(攻撃), 手裏剣;手裏剣;手裏剣
手裏剣乱舞(命中), 手裏剣;手裏剣;手裏剣
蝶吹雪(準備), -
蝶吹雪(攻撃), 桜吹雪
蝶吹雪(命中), 斬撃乱舞
烈光剣(準備), 野太刀
烈光剣(攻撃), なぎ払い
烈光剣(攻撃), 振り上げ
烈光剣(攻撃), 振り下ろし
火竜の槍(準備), トライデント
火竜の槍(攻撃), 連突
火竜の槍(命中), 連突
斧(準備), 両刃斧
斧(攻撃), 振り下ろし
斧(命中), 大斬撃
砕破雷威銃, 火縄銃
雷撃貫通弾(準備), 火縄銃
雷撃貫通弾(攻撃), 粒子集中;火炎弾
雷撃貫通弾(命中), 電撃
隠し刀(準備), 十手
隠し刀(攻撃), 斬撃
隠し刀(命中), 斬撃
地獄邪悪砲(準備), スーパーキャノン
地獄邪悪砲(攻撃), 中ビーム ブラック
地獄邪悪砲(命中), 中ビーム ブラック
撃砕剣(準備), 日本刀
撃砕剣(攻撃), 斬撃
撃砕剣(命中), 斬撃
暗殺剣(準備), 日本刀
暗殺剣(攻撃), 斬撃
暗殺剣(命中), 斬撃
魔神銃, 火縄銃
呪縛斬(準備), 日本刀
呪縛斬(攻撃), 魔法集中 黒;斬撃
呪縛斬(命中), 黒斬撃
龍炎砲(準備), ビームライフル
龍炎砲(攻撃), ビームライフル レッド
龍炎砲(命中), 爆発
飛双剣, カタール 二刀流
飛炎弾, 波動放射 赤
飛龍砲, バスタービームライフル レッド
双炎弾, ＭＡＰ波動放射 レッド
双刃斬(準備), カタール 二刀流
双刃斬(攻撃), 連斬撃
双刃斬(命中), 連斬撃
拡散砲, 拡散ビーム イエロー
メイズバーン(準備), -
メイズバーン(攻撃), 怪光線
メイズバーン(命中), 吸収
黒星剣(準備),  青龍刀
黒星剣(攻撃),  斬撃
黒星剣(命中),  斬撃
グバンガン, カタール
ガンドリオ, クロー
黒星砲コンバージョン, ２連中ビーム ブラック
黒星砲, ＭＡＰビーム ブラック
冥府暗黒弾, ＭＡＰビーム ブラック
ギャザズ(準備), -
ギャザズ(攻撃), 白兵武器
ギャザズ(命中), 爪撃;爪撃
ズバルガス(準備), -
ズバルガス(攻撃), タックル
ズバルガス(命中), 大刺突
闇の欠片(準備), 大放電
闇の欠片(攻撃), 怪光線
闇の欠片(命中), 大電撃
金字塔閃光破(攻撃), 同時光噴出;ＭＡＰビーム オレンジ
八紘の陣(攻撃),  同時光噴出
八紘の陣(命中), 「武者変化、武者フォートレス！」;突く武器突撃 -.bmp;_
「オメガキャノン！」;中ビーム ピンク;「ヘッドバスター」;超爆発
銀狼剣(準備), 剣
銀狼剣(攻撃), 斬撃
銀狼剣(命中), 斬撃
参叉の槍(準備), トライデント
参叉の槍(攻撃), 刺突
参叉の槍(命中), 刺突
目牙光銃, ビームライフル グリーン
参刃衝(準備), 剣
参刃衝(攻撃), 斬撃
参刃衝(命中), 連斬撃
