
汎用
光の小太刀, Swing.wav
マハザンダイン, 2;AntiAirMissile.wav;2;AntiAirMissile.wav;2;AntiAirMissile.wav;2;AntiAirMissile.wav;AntiAirMissile.wav
マハザンダイン(命中), 2;Bazooka.wav;2;Bazooka.wav;2;Bazooka.wav;2;Bazooka.wav;Bazooka.wav
ジオ, Thunder.wav
ジオンガ, Thunder.wav
マハジオ, 2;Thunder.wav;2;Thunder.wav;Thunder.wav
マハジオンガ, 2;Thunder.wav;2;Thunder.wav;2;Thunder.wav;Thunder.wav
ハンマ, Whiz.wav
マハンマ, 2;Whiz.wav;2;Whiz.wav;Whiz.wav
メギド, Explode(Nuclear).wav
リムドーラ, Storm.wav
ドルミナー, Bubble.wav
シバブー, Glass.wav
プリンパ, PiyoPiyo.wav
マリンカリン, Bubble.wav
マカジャマ, BreakOff.wav
マカラカーン, BeamCoat.wav
テトラジャ, BeamCoat.wav
ディア, Sharara.wav
ディアラマ, Sharara.wav
メディラマ, 2;Sharara.wav;3;Sharara.wav;3;Sharara.wav
パトラ, Sharara.wav
ペンパトラ, 2;Sharara.wav;2;Sharara.wav;2;Sharara.wav
ポズムディ, Sharara.wav
パララディ, Sharara.wav
サマリカーム, Inori.wav
エストマ, Sharara.wav

悪魔
式鬼の腕, Swing.wav
式鬼の腕(命中), Punch.wav
ミョルニル, Swing.wav
ミョルニル(命中), Crash.wav
赤い怪異, BeamCoat.wav
Ｔ９５Ｃ／Ｐ, MachineGun.wav
攻性プログラム, Computer.wav
攻性プログラム(命中), Crash.wav
テール, 2;Swing.wav;Crash.wav
神の優美, Sharara.wav
スダルサナ, 3;Swing.wav;4;Bomb.wav
スダルサナ(命中), Slash.wav
カウモーダキー, Swing.wav
カウモーダキー(命中), Crash.wav
汚れ無き威光, Charge(High).wav
ツェペシュ, Swing.wav
ツェペシュ(命中), Sword.wav
九字の印, Mokugyo.wav
青い怪異, BeamCoat.wav
坤竜丸, 3;Swing.wav;Swing.wav
坤竜丸(命中), 3;Saber.wav;Stab.wav
魔法の手, Search.wav
金剛撃, Swing.wav
金剛撃(命中), Sword.wav
閻魔の杓, Swing.wav
閻魔の杓(命中), Sword.wav
闇の審判, 3;Wind.wav;6;Breath.wav
蛇神の脈動, Bubble.wav
蛇神の脈動(命中), Breath.wav
神風, Jet.wav
神風(命中), Explode(Nuclear).wav
三叉戟, 2;Swing.wav;4;Swing.wav
三叉戟(命中), 3;Saber.wav;Stab.wav
四天の鉾, 2;Swing.wav;4;Swing.wav
四天の鉾(命中), 3;Saber.wav;Stab.wav
20本の腕, Combo.wav
20本の腕(命中), Punch(4).wav
雲の咆哮, Thunder.wav
雲の咆哮(命中), Punch(4).wav
レーヴァティン, Swing.wav
レーヴァティン(命中), 2;Stab.wav;Fire.wav
地獄のドラゴン, FlyBy.wav
地獄のドラゴン(命中), Punch(4).wav
金剛界曼陀羅, Combo.wav
金剛界曼陀羅(命中), 8;Punch(4).wav;8;Punch(4).wav
必殺, Swing.wav
必殺(命中), Stab.wav
必殺(クリティカル), 1;Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav;Stab.wav
会心, Swing.wav
会心(命中), Stab.wav
会心(クリティカル), 1;Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav;Stab.wav
死への道, 2;Whiz.wav;2;Whiz.wav;Whiz.wav
