#アリアンロッド・エフェクトデータ#
#-----------------------------------------------------------------------------
アリアンロッド
格闘, Punch.wav
ファイアウェポン, BeamCoat.wav
アースウェポン, BeamCoat.wav
コンセントレイション, Flair.wav
マジックサークル, Charge(Long).wav
ガーディアン, Charge(Long).wav
ダミー(ガーディアン), Roar.wav
突撃, Swing.wav
突撃(命中), FightHit(1).wav
ライトクロスボウ, Bow.wav
ライトクロスボウ(命中), Stab.wav
雷鳴の弓, Bow.wav
雷鳴の弓(命中), Stab.wav
サプライザル(ク)(準備), Reload(2).wav
サプライザル(ク), Bow.wav
サプライザル(ク)(命中), Stab.wav
サプライザル(弓)(準備), Reload(2).wav
サプライザル(弓), Bow.wav
サプライザル(弓)(命中), Stab.wav
ブルズアイ(ク)(準備), Reload(2).wav
ブルズアイ(ク), 2;Hittyuu.wav;5;Bow.wav
ブルズアイ(ク)(命中), Stab.wav
バーストブレイク(弓)(準備), 2;Reload(2).wav;8;Thunder.wav
バーストブレイク(弓), 1;Bow.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav;8;Explode(Nuclear).wav
バーストブレイク(弓)(命中), Explode.wav
コンシールアタック(弓), Bow.wav
コンシールアタック(弓)(命中), Stab.wav
ブロウアップ(ベネット)(準備), Charge(2).wav
ブロウアップ(ベネット), 2;Growl.wav;6;Jet.wav
ブロウアップ(ベネット)(命中), Explode(Nuclear).wav
ブロウアップ(ベネット)(回避), Explode(Nuclear).wav
阻止(インタラプト), Sharara.wav
分身(バタフライダンス), Swing.wav
分身(バタフライダンス)(解説), $(パイロット)は、ヒラリと攻撃を避けた
ディスアピア, Fold.wav
ブランディッシュスタン(拳), Punch(4).wav
ブランディッシュスタン(拳)(命中), FightHit(1).wav
ブランディッシュフォース, Warship.wav
ブランディッシュフォース(命中), Explode.wav
ブリンク, 風 Whiz.wav
≪連携攻撃≫(の), 2;Bow.wav;3;Swing.wav:3;Breath.wav;5;Rifle.wav;2;「これでラストだっ！」;5;Jet.wav;5;「これでラストだっ！」
≪連携攻撃≫(の)(命中), 2;Stab.wav;2;Crash.wav;2;Explode(Long).wav;5;Explode(Small).wav;3;Sword.wav
≪火の紋章≫, Inori.wav
≪目利き≫, Inori.wav
≪陣形≫, Inori.wav
≪蘇生≫, Inori.wav
≪限界突破≫, Inori.wav
拳, Punch.wav
拳(命中), FightHit(1).wav
爆弾, Swing.wav
爆弾(命中), Explode(Small).wav
ハンドグレネード【MAP】, 2;Missile.wav;5;Explode(Far).wav
ハンドグレネード【MAP】(命中), Explode.wav
ハンドグレネード, Missile.wav
ハンドグレネード(命中), Explode.wav
瘴気, Storm.wav
瘴気(命中), 
アースブレット, Bazooka.wav
アースブレット(命中), Shock(Low).wav
アースブラスト, 2;Bazooka.wav;3;Bazooka.wav;3;Bazooka.wav;3;Bazooka.wav
アースブラスト(命中), 2;Shock(Low).wav
アースフォージ(準備), Charge(High).wav
アースフォージ, GunPod.wav
アースフォージ(命中), Explode(Long).wav
攻撃無効化(大地の魔杖), BeamCoat.wav
真空波, Whiz.wav
真空波(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav
ヴァイオレントブラスト, Storm.wav
ヴァイオレントブラスト(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav
ヴァイオレントウィンド, Storm.wav
ヴァイオレントウィンド(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav
バーストブレイク(風)(準備), Charge(High).wav
バーストブレイク(風), Storm.wav
バーストブレイク(風)(命中), Storm.wav
エンハンスウィンド(準備), Wind.wav
エンハンスウィンド, Jet.wav
エンハンスウィンド(命中), Slash(2).wav
ブレイクディッシュ(準備), Hittyuu.wav
ブレイクディッシュ, AntiAirMissile.wav
ブレイクディッシュ(命中), Crash.wav
光の瘴気, Beam.wav
光の瘴気(命中), Explode(Small).wav
クロススラッシュ, 2;Swing.wav;3;Swing.wav
クロススラッシュ(命中), 2;Slash.wav;3;Slash.wav
ハイボルテージ, Swing.wav
ハイボルテージ(命中), Crash.wav
クロスブレイク, Whiz.wav
クロスブレイク(命中), 2;Slash.wav;1;Slash.wav;6;Shock(Low).wav
カラミティトルネード(準備), Charge.wav
カラミティトルネード, GunPod.wav
カラミティトルネード(命中), Sword.wav
攻撃無効化(インヴァルネラブル), Sword.wav
槍, Swing.wav
槍(命中), Stab.wav
捕食, Swing.wav
捕食(命中), Stab.wav
範囲攻撃, GunPod.wav
範囲攻撃(命中), Crash.wav
ブロンズビーム, Beam.wav
ブロンズビーム(命中), Explode.wav
アイアンビーム, Beam.wav
アイアンビーム(命中), Explode.wav
クリスタルビーム, Beam.wav
クリスタルビーム(命中), Explode.wav
ルビービーム, Beam.wav
ルビービーム(命中), Explode.wav
サファイアビーム, Beam.wav
サファイアビーム(命中), Explode.wav
自爆, Explode(Long).wav
自爆(命中), Explode.wav
取り込み(水), 2;Shore.wav;8;Splash.wav
取り込み(水)(解説), 大量の水が包み込むように襲いかかった！
取り込み(水)(命中), Splash.wav
はさみ, Swing.wav
はさみ(命中), Slash(2).wav
インベナム(はさみ), Swing.wav
インベナム(はさみ)(命中), Slash(2).wav
スタンアタック, Swing.wav
スタンアタック(はさみ), Slash(2).wav
ロングソード(ワ), 2;Swing.wav;2;Swing.wav
ロングソード(ワ)(命中), 2;Slash.wav;2;Slash.wav
体当たり, Swing.wav
体当たり(命中), FightHit(2).wav
スタンアタック(拳), Swing.wav
スタンアタック(拳)(命中), BreakOff.wav
ボクシンググローブ, Swing.wav
ボクシンググローブ(命中), Punch.wav
ジャンプパンチ, Swing.wav
ジャンプパンチ(命中), FightHit(1).wav
マッスルパンチ, Swing.wav
マッスルパンチ(命中), Punch.wav
肉切り包丁, 2;Swing.wav;2;Swing.wav
肉切り包丁(命中), 2;Slash.wav;2;Slash.wav
衝撃波, Storm.wav
衝撃波(命中), Shock(Low).wav
魔光, Beam.wav
魔光(命中), Explode(Small).wav
魔法反射, BeamCoat.wav
魔法反射(解説), 魔法をそっくりそのまま反射した
チャージ, Horses.wav
チャージ(命中), Crash.wav
ブロードソード, Swing.wav
ブロードソード(命中), Slash.wav
夢見がちな瞳, Flair.wav
夢見がちな瞳(命中), PianoHit.wav
夢見がちな瞳(クリティカル), -
王の杖, Swing.wav
王の杖(命中), FightHit(1).wav
王の裁き, Splash.wav
王の裁き(命中), Shock(Low).wav
大津波, Shore.wav
大津波(命中), Crash.wav
