
ＴＯＲ
############## 武器 ##############
グラディウス, ソード
サンダースピア(攻撃), @戦闘アニメ_発光準備 白 EvilEye.wav;小ビーム 黄 Thunder.wav
サンダースピア(命中), 小ビーム 黄 Thunder.wav;放電
ストーンブレイク(攻撃), @戦闘アニメ_発光準備 橙 EvilEye.wav
ストーンブレイク(命中), 石柱 Gunpod.wav;ダメージ Crash.wav
アクアストリーム(攻撃), @戦闘アニメ_発光準備 青 EvilEye.wav
アクアストリーム(命中), 大ビーム 青 Splash.wav
シャイニングレイ(攻撃), @戦闘アニメ_発光準備 白 EvilEye.wav
シャイニングレイ(命中), 魔法陣 白 Whiz.wav;拡散ビーム 白 Beam.wav
############## 陣術 ##############
パワー・クラフト(使用), 魔法陣 赤 Whiz.wav
パワー・クラフト(発動), 発光 赤
ガード・ヴァッサー(使用), 魔法陣 青
ガード・ヴァッサー(発動), 発光 青
マインド・ガイスト(使用), 魔法陣 白
マインド・ガイスト(発動), 発光 白
レジスト・ヴィレ(使用), 魔法陣 黒
レジスト・ヴィレ(発動), 発光 黒
ライフ・マテリア(使用), 魔法陣 橙
ライフ・マテリア(発動), 発光 橙
チャージ・ヴィント(使用), 魔法陣 緑
チャージ・ヴィント(発動), 発光 緑
############## 錬術 ##############
Ｆ・フレイム(攻撃), Explode.wav
Ｆ・フレイム(命中), 爆発
Ｆ・エンチャント(準備), オーラ上昇 赤
Ｆ・エンチャント(攻撃), なぎ払い;振り下ろし
Ｆ・エンチャント(命中), 爆発 Bazooka.wav;爆発 Bazooka.wav
Ｄ・レーベン(攻撃), 魔法陣 赤
Ｄ・レーベン(命中), 吸収 赤
############## 奥義 ##############
凍牙衝裂破(攻撃), 斬撃
凍牙衝裂破(命中), 凍結;飛沫 青 Glass.wav
衝破連牙衝(攻撃), 連斬撃
衝破連牙衝(命中), 連斬撃 Saber.wav;@戦闘アニメ_振る武器突撃攻撃 -.bmp;大刺突
絶空裂氷撃(攻撃), アッパー
絶空裂氷撃(命中), 氷柱 Slash.wav;飛沫 青 Glass.wav
幻魔連牙衝(攻撃), 振る武器突撃 -.bmp
幻魔連牙衝(命中), 乱突;大刺突
幻魔衝裂破(攻撃), @戦闘アニメ_転移
幻魔衝裂破(命中), @戦闘アニメ_斬撃攻撃 二刀流;大斬撃 二刀流 Saber.wav
幻魔斬翔剣(攻撃), 斬撃
幻魔斬翔剣(命中), 大斬撃;振る武器突撃 -.bmp;@戦闘アニメ_転移;@戦闘アニメ_透明化攻撃 対象ユニットＩＤ;斬撃乱舞;斬撃;@戦闘アニメ_透明化攻撃 対象ユニットＩＤ 解除
崩龍無影剣(準備), 粒子集中 青;光噴出 青 -.wav
崩龍無影剣(攻撃), スーパータックル 青
崩龍無影剣(命中), スーパータックル 青;クリティカル斬撃 Glass.wav;超斬撃 Glass.wav
裂風迅槍衝(攻撃), 振る武器突撃 -.bmp Storm.wav
裂風迅槍衝(命中), 刺突突撃
裂風瞬迅殺(攻撃), なぎ払い;振り下ろし
裂風瞬迅殺(命中), なぎ払い;振り下ろし;2;@戦闘アニメ_振る武器突撃攻撃 -.bmp;斬撃
滅殺旋風牙(攻撃), 振り上げ
滅殺旋風牙(命中), 振り上げ;竜巻
迅雷瞬迅殺(攻撃), 振る武器突撃 -.bmp
迅雷瞬迅殺(命中), 連突;大刺突
迅雷天翔撃(攻撃), 振り上げ
迅雷天翔撃(命中), 振り上げ;@戦闘アニメ_落雷攻撃;3;@戦闘アニメ_急降下攻撃;_
@戦闘アニメ_透明化攻撃 対象ユニットＩＤ;@戦闘アニメ_隕石攻撃;超爆発;_
@戦闘アニメ_透明化攻撃 対象ユニットＩＤ 解除
飛連轟衝牙(攻撃), 振る武器突撃 -.bmp
飛連轟衝牙(命中), 打撃;強打 Punch.wav
轟裂連牙弾(攻撃), スーパーパンチ 白
轟裂連牙弾(命中), ダメージ Cannon.wav;ダメージ Cannon.wav;ダメージ Cannon.wav
愚連斬空脚(攻撃), 振る武器突撃 -.bmp
愚連斬空脚(命中), 乱打 FightHit(1).wav;強打 Punch.wav
緋桜轟衝牙(攻撃), スーパーパンチ 白;光球 白
緋桜轟衝牙(命中), ダメージ Cannon.wav;ダメージ Cannon.wav;ダメージ Cannon.wav
空破蒼翔閃(攻撃), 振る武器突撃 -.bmp
空破蒼翔閃(命中), 強打 Punch.wav;@戦闘アニメ_アッパー攻撃;飛沫 青 Splash.wav
蒼破墜蓮閃(準備), Reload(5).wav
蒼破墜蓮閃(攻撃), 拡散ビーム 黄 MicroMissile.wav
蒼破墜蓮閃(命中), 拡散ビーム 黄 Slash.wav
############## 導術奥義 ##############
エイミングヒート(攻撃), @戦闘アニメ_発光準備 赤 EvilEye.wav;ホーミングレーザー 赤 AntiAirMissile.wav
エイミングヒート(命中), ホーミングレーザー 赤 Fire.wav
ゲイルスラッシュ(攻撃), @戦闘アニメ_発光準備 緑 EvilEye.wav
ゲイルスラッシュ(命中), 強風 Storm.wav
ネガティブゲイト(攻撃), @戦闘アニメ_発光準備 黒 EvilEye.wav
ネガティブゲイト(命中), 大放電 黒 BeamSaber.wav
ブレイジングハーツ(準備), オーラ上昇 赤 Charge.wav
ブレイジングハーツ(攻撃), @戦闘アニメ_発光準備 赤 EvilEye.wav;火炎放射 赤 Breath.wav
ブレイジングハーツ(命中), 火炎放射 赤 Breath.wav;光噴出 赤 MicroMissile.wav;超爆発 -.wav
フィアフルストーム(準備), オーラ上昇 緑 Charge.wav
フィアフルストーム(攻撃), @戦闘アニメ_発光準備 緑 EvilEye.wav
フィアフルストーム(命中), 光噴出 緑 Storm.wav;オーラ上昇 緑 Storm.wav
ディザスターロア(準備), オーラ上昇 黒 Charge.wav
ディザスターロア(攻撃), @戦闘アニメ_発光準備 黒 EvilEye.wav;波動放射 黒 Roar.wav 残像
ディザスターロア(命中), 光噴出 黒 Fire.wav
クラスターレイド(攻撃), @戦闘アニメ_発光準備 橙 EvilEye.wav
クラスターレイド(命中), ベアリング Glass.wav
フリーズランサー(攻撃), @戦闘アニメ_発光準備 青 EvilEye.wav;拡散ビーム 青 EvilEye.wav
フリーズランサー(命中), 中ビーム 青 Stab.wav;飛沫 白 Glass.wav
フラッシュティア(攻撃), @戦闘アニメ_発光準備 白 EvilEye.wav
フラッシュティア(命中), 魔法陣 白 背面 Whiz.wav;光噴出 白 Hittyuu.wav
グランドダッシャー(準備), オーラ上昇 橙 Charge.wav
グランドダッシャー(攻撃), @戦闘アニメ_発光準備 橙 EvilEye.wav;ゆらぎ投射 "Anime\Common\EFFECT_StonePiller0" 32 Earthquake.wav 発光 遅
グランドダッシャー(命中), ダメージ Crash.wav;ダメージ Crash.wav;ダメージ Crash.wav;ダメージ Crash.wav
フリジットコフィン(準備), オーラ上昇 青 Charge.wav
フリジットコフィン(攻撃), @戦闘アニメ_発光準備 青 EvilEye.wav
フリジットコフィン(命中), 光噴出 青 FlyBy(High).wav;@戦闘アニメ_斜め落ち共通 Anime\Hit\EFFECT_IceSlashHit01.bmp 32 Jet.wav;大斬撃 Glass.wav
ディバインセイバー(準備), オーラ上昇 白 Charge.wav
ディバインセイバー(攻撃), @戦闘アニメ_発光準備 白 EvilEye.wav
ディバインセイバー(命中), 魔法陣 白 背面;大落雷
############## 固有技 ##############
月輪(攻撃), 振り上げ;実弾発射 Anime\Common\EFFECT_Moon01.bmp 32 Whiz.wav
月輪(命中), 斬撃 Saber.wav
月閃光(攻撃), 斬撃
月閃光(命中), エナジーブレード 黄
Ｓ・レベリオン(準備), エネルギーフィールド展開
Ｓ・レベリオン(攻撃), ＭＡＰダークネス Interference.wav
Ｓ・レベリオン(命中), 光噴出 黒 Breath.wav
命剣技(攻撃), 振る武器突撃 -.bmp
命剣技(命中), 振り下ろし
Ｆ・テスタメント(攻撃), 振る武器突撃 -.bmp
Ｆ・テスタメント(命中), 斬撃乱舞;大斬撃
散沙雨, 乱突
シュタイフェ・ブリーゼ(攻撃), 地表衝撃波 緑 Saber.wav
シュタイフェ・ブリーゼ(命中), クリティカル斬撃 Saber.wav
マグネティックゲイザー(準備), 粒子集中 黒
マグネティックゲイザー(攻撃), ＭＡＰオーラ 黒
マグネティックゲイザー(命中), ダメージ Cannon.wav
リアルスマッシュ(攻撃), 振る武器突撃 -.bmp
リアルスマッシュ(命中), @戦闘アニメ_なぎ払い攻撃;超打 Explode(Far).wav
音波攻撃, 音波
居合抜き(命中), Reload(3).wav
居合抜き, なぎ払い
分身投擲, 分身刺突
スペクトルフィールド(準備), 魔法陣 白 BeamSaber.wav 背面
スペクトルフィールド(攻撃), 発光 白
スペクトルフィールド(命中), 強打 Crash.wav
ショルダータックル, タックル
ファイアブレス, 火炎放射
胸部ビーム, ＭＡＰビーム 黄
Ｓ・オーバーロード(準備), 発光 白
Ｓ・オーバーロード(攻撃), 急降下;浮上アップ TOR_GeyorkiasU.bmp;_
「さらばだ。永遠の真実と共に滅びよ！」;_
浮上アップ終了 TOR_GeyorkiasU.bmp Explode(Nuclear).wav;_
透明化 対象ユニットＩＤ;ＭＡＰフラッシュ -.wav
Ｓ・オーバーロード(攻撃), 急降下;浮上アップ TOR_GeyorkiasU.bmp;_
「セベラティ・オーバーロード！！」;_
浮上アップ終了 TOR_GeyorkiasU.bmp Explode(Nuclear).wav;_
透明化 対象ユニットＩＤ;ＭＡＰフラッシュ -.wav
Ｓ・オーバーロード(命中), -
水のブレス(攻撃), ホーミングレーザー 青 MicroMissile.wav
水のブレス(命中), ホーミングレーザー 青 Splash.wav
宝珠の光(攻撃), 発光 青 EvilEye.wav
宝珠の光(命中), 発光 青
スプレッド・ブルー(命中), 大ビーム 青 Beam.wav
スプレッド・ブルー(命中), 大ビーム 青 Beam.wav
アクエリアス・スフィア(準備), オーラ上昇 青 FlyBy(High).wav
アクエリアス・スフィア(攻撃), ＭＡＰオーラ 青 Interference.wav
アクエリアス・スフィア(命中), 飛沫 青 Splash.wav
パニッシュメント, 重力弾
ビーム(攻撃), 拡散ビーム 桃
ビーム(命中), 中ビーム 桃
拡散ビーム, 拡散ビーム 白
豪腕(攻撃), 斬撃 二刀流
豪腕(命中), 斬撃
豪腕(命中), ダメージ Crash.wav
ポイズンサークル(攻撃), 魔法陣 橙 BeamSaber.wav
ポイズンサークル(命中), -
レデュースサークル(攻撃), 魔法陣 赤 BeamSaber.wav
レデュースサークル(命中), -
エタニティワールド(攻撃), 魔法陣 黒 BeamSaber.wav
エタニティワールド(命中), -
プリズミック・スターズ(攻撃), ＭＡＰ発光 白
プリズミック・スターズ(命中), 魔法放射 赤 Inori.wav;魔法放射 青 Inori.wav
プリズミック・スターズ(命中), 魔法放射 橙 Inori.wav;魔法放射 緑 Inori.wav
プリズミック・スターズ(命中), 魔法放射 桃 Inori.wav;魔法放射 黄 Inori.wav
ブライティスト・ゲート(攻撃), ＭＡＰフラッシュ
ブライティスト・ゲート(命中), 光噴出 白;飛沫 白 Glass.wav
Ｅ・ノヴァ(攻撃), ＭＡＰオーラ 橙
Ｅ・ノヴァ(命中), 超爆発
Ｄ・マテリアル(攻撃), ＭＡＰブラックホール
Ｄ・マテリアル(命中), 大放電 黒
アイビーム, 小ビーム 黄
棘(攻撃), 振る武器突撃 -.bmp
棘(命中), 刺突
衝撃波(攻撃), 魔法放射 桃 BeamCoat.wav
衝撃波(命中), ダメージ


