#ヴァリアブルジオ・アニメーションデータ#

#現時点のアニメーションで再現不能な技は、代用か指定なしになってます。
#(格ゲー系は、特にアニメーションでは限界な部分が多いようです)

#なお、パイロットダイアログにエフェクトが積まれている物は指定なしです。


##一部微修正：８月５日
#１、誤作動アニメーションを修正。一部、追加。

ＶＧ選手
韋駄天足(攻撃), タックル
二段裂尖蹴(攻撃), なぎ払い;連気弾
二段裂尖蹴(命中), 爆発
燕剣斧乱舞, タックル
燕剣斧乱舞(命中), 連打
烈斬慟(攻撃), タックル
烈斬慟(命中), 乱打
ベアハッグ(攻撃), タックル
ベアハッグ(命中), 立ち固め
アースシェイカー(攻撃), -
アースシェイカー(命中), 爆発
久保田ラリアット, タックル
久保田ラリアット(命中), 強打
アースクエイカー(攻撃), -
アースクエイカー(命中), 爆発
久保田バスター, タックル
久保田バスター(命中), ジャンプバスター
久保田シャトル(攻撃), タックル
久保田シャトル(命中), 超打
久保田スペシャル(攻撃), タックル
久保田スペシャル(命中), ブレーンバスター; ブレーンバスター; ブレーンバスター; ブレーンバスター; ブレーンバスター; ジャンプバスター
えりりんマッハパンチ, 連打
えりりんマッハパンチ(命中), 連打
えりりんファイヤー(攻撃), 火炎放射
えりりんファイヤー(命中), 炎
えりりんチョップ(攻撃), 振り下ろし
えりりんチョップ(命中), 強打
えりりん超マッハパンチ(攻撃), 乱打
えりりん超マッハパンチ(命中), 乱打
えりりん脳天パンチ(攻撃), アッパー;急降下
えりりん脳天パンチ(命中), 急降下;唐竹割り
えりりん三連舞(攻撃), タックル
えりりん三連舞(命中), -
えりりん超ファイヤー(攻撃), 火炎放射
えりりん超ファイヤー(命中), 炎
えりりん通天閣落とし(攻撃), アッパー;急降下
えりりん通天閣落とし(命中), 急降下;唐竹割り
えりりんスマッシュ(攻撃), 格闘
えりりんスマッシュ(命中), 乱打;乱打
ねこちょっとらんぶ(攻撃), 格闘
ねこちょっとらんぶ(命中), 格闘
ねころけっとぱんち, ロケットパンチ
ばんざいあたっく(攻撃), タックル
ばんざいあたっく(命中), 強打
ごろごろあたっく(攻撃), タックル
ごろごろあたっく(命中), タックル
ちょーごろごろあたっく(攻撃), タックル
ちょーごろごろあたっく(命中), タックル
うるとらごろごろあたっく(攻撃), タックル
うるとらごろごろあたっく(命中), タックル
ためてうるとらごろごろあたっく(攻撃), タックル
ためてうるとらごろごろあたっく(命中), タックル
ごっついねころけっとぱんち, ロケットパンチ
ごっついねころけっとぱんち(命中), 超打
レイブストーム(攻撃), タックル
レイブストーム(命中), タックル
マッハスピン(攻撃), アッパー
マッハスピン(命中), アッパー
トルネードアタック(攻撃), タックル
トルネードアタック(命中), タックル
レイブストリーム(攻撃), アッパー
レイブストリーム(命中), 連打
マッハスパイラル(攻撃), タックル
マッハスパイラル(命中), スピンアタック
Ｆ・Ｔ・Ｉ・Ｃ(攻撃), タックル
Ｆ・Ｔ・Ｉ・Ｃ(命中), スピンアタック
スパイラルダイブ(攻撃), タックル
スパイラルダイブ(命中), 乱打
女郎花(攻撃), タックル
女郎花(命中), タックル
沈丁花(攻撃), タックル
沈丁花(命中), 投げ飛ばし
山茶花(攻撃), アッパー
山茶花(命中), 投げ飛ばし
山茶花・極(攻撃), アッパー
山茶花・極(命中), 投げ飛ばし
女郎花・極(攻撃), タックル
女郎花・極(命中), タックル
鳳仙花(攻撃), タックル
鳳仙花(命中), 投げ飛ばし;投げ飛ばし;投げ飛ばし;投げ飛ばし;投げ飛ばし;乱打
テツ(攻撃), タックル
テツ(命中), 格闘
レン(攻撃), -
レン(命中), 投げ飛ばし
セン(攻撃), タックル
セン(命中), 連打
リョウ(攻撃), タックル
リョウ(命中), 格闘
ショク(攻撃), アッパー
ショク(命中), 連打
ホムラ(攻撃), 振り下ろし
ホムラ(命中), 爆発
ミヅチ(攻撃), タックル
ミヅチ(命中), 連打; 連打; タックル Crash.wav
蹴撃(攻撃), タックル
蹴撃(命中), 打突
ベニーロケット(攻撃), タックル
ベニーロケット(命中), 2;打突;打突
回転投げ(攻撃), -
回転投げ(命中), 投げ飛ばし
ドラゴンキャノン(攻撃), -
ドラゴンキャノン(命中), 連打
ジャッキーショット(命中), 4;打突;3;ダメージ;強打
神無月乱舞(攻撃), タックル Null.wav
神無月乱舞(命中), 連打;連打;アッパー
阻止(瞬小周天の歩法), 分身 - 瞬小周天の歩法
阻止(瞬小周天の歩法)(解説), $(ユニット)は瞬小周天の歩法で$(相手武器)を回避した
掌打(攻撃), -
掌打(命中), 打突
誘導的氣弾(攻撃), 気弾
誘導的氣弾(命中), 爆発
氣弾(攻撃), 気弾
氣弾(命中), 爆発
雷撃掌(攻撃), -
雷撃掌(命中), 3;打突;強打
発剄(攻撃), @戦闘アニメ_エネルギーフィールド展開準備
発剄(命中), 光球 白
超氣弾(準備), オーラ上昇 白
超氣弾(攻撃), 実弾発射 Barrier\EFFECT_Barrier04.bmp Whiz.wav
超氣弾(命中), 大爆発
轟雷撃掌(攻撃), -
轟雷撃掌(命中), 4;連打;超打
神氣発剄(準備), オーラ上昇 白
神氣発剄(攻撃), @戦闘アニメ_エネルギーフィールド展開準備
神氣発剄(命中), 超打 Crash.wav
シャドウ・スルー(攻撃), -
シャドウ・スルー(命中), 投げ飛ばし
シャドウ・ネイル(攻撃), 竜巻
シャドウ・ネイル(命中), 落下
シャドウ・スクレイパー(攻撃), 格闘
シャドウ・スクレイパー(命中), 連打
シャドウ・ファング(攻撃), 振り上げ
シャドウ・ファング(命中), 竜巻 Null.wav;落下
シャドウ・プリズン(攻撃), タックル Null.wav
シャドウ・プリズン(命中), 分身打撃;分身打撃;落下
シールド防御(ジュラルミンの盾), 機動隊シールド
暗器術(攻撃), -
暗器術(命中), -
蛇腹剣(準備), チェーン
蛇腹剣(攻撃), 振り上げ;振り下ろし
蛇腹剣(命中), 連斬撃
小型爆弾(攻撃), 爆弾
小型爆弾(命中), 爆発
爆弾バラ撒き(攻撃), ＭＡＰ爆発
爆弾バラ撒き(命中), 爆発
雅子ミサイル(攻撃), ミサイル
雅子ミサイル(命中), 大爆発


ハイブリッズ
サンダースピア(攻撃), 小ビーム イエロー
サンダースピア(命中), 電撃
サンダーボルト(攻撃), 落雷
サンダーボルト(命中), 電撃
パルクショット(攻撃), 小ビーム イエロー
パルクショット(命中), 電撃
サンダースパーク(攻撃), -
サンダースパーク(命中), 電撃
ライトニングフォール(攻撃), 落雷
ライトニングフォール(命中), 電撃
サンダーバースト(攻撃), 球電
サンダーバースト(命中), 電撃

謝華グループ真の総帥
ギロチンスロー＋(攻撃), タックル
ギロチンスロー＋(命中), ブレーンバスター
カオスハリケーン(攻撃), アッパー
カオスハリケーン(命中), アッパー
ダークネススタブ(攻撃), -
ダークネススタブ(命中), -
デススティンガー(攻撃), スーパータックル レッド
デススティンガー(命中), スーパータックル レッド
ツインバーン(攻撃), 地表衝撃波
ツインバーン(命中), 連続爆発
ネメシスハイロゥ(攻撃), 発光
ネメシスハイロゥ(命中), -
