
#鉄拳・アニメーションデータ#
#※１：一部共通技(三島一家、デビルとエンジェル、ロウ親子、シャオユウと美晴など)が上です。それ以降は、個別技です。
#※２：吉光の一部アニメーションはソウルキャリバーと共通です。

#３Ｄリアルタイプ型格ゲー(鉄拳、デッドオアアライブ、バーチャファイターなど)は、飛び道具がないのでアニメーシ
#ョンが微妙です。同じような物が多いですが、ご了承ください。
#(指定が似通ってしまうのは、仕様と言う事でお願いします)


鉄拳
魔神拳(攻撃), 打突
雷光中段脚(命中), 連打
鳳凰旋風脚(攻撃), タックル
鳳凰旋風脚(命中), 超打
スマトックブロー(攻撃), 打突
スマトックブロー(命中), 打撃
マッハキック(攻撃), 格闘
マッハキック(命中), 打撃
マッハパンチ(攻撃), 打突
マッハパンチ(命中), 強打
スライサー(攻撃), タックル
スライサー(命中), 強打
グラビトンハンマー, 打突
グラビトンハンマー(命中), 超打
スネークコンビネーション(攻撃), 格闘
スネークコンビネーション(命中), 連打
ガドリングラッシュ(攻撃), 格闘
ガドリングラッシュ(命中), 連打
天砲(攻撃), 格闘
天砲(命中), 格闘
穿弓腿(攻撃), 格闘
穿弓腿(命中), 打撃
箭疾歩(攻撃), タックル
箭疾歩(命中), 強打
マッドアックス, タックル
マッドアックス(命中), 投げ飛ばし
絶招通天砲(攻撃), タックル
絶招通天砲(命中), 超打
ベアヘッドバット, ヘッドバット
ベアヘッドバット(命中), 強打
熊鬼神拳(攻撃), アッパー
熊鬼神拳(命中), 強打
ベアぱちき, タックル
ベアぱちき(命中), ヘッドバット
ブラッドサッカー, タックル
ブラッドサッカー(命中), 投げ飛ばし;投げ飛ばし;投げ飛ばし
ワイルドスイング(攻撃), ヘッドバット
ワイルドスイング(命中), 強打
サーモンハンティング(攻撃), タックル
サーモンハンティング(命中), 超打
ベアタックル(攻撃), タックル
ベアタックル(命中), タックル
ベアヘブンキャノン, タックル
ベアヘブンキャノン(命中), 連打
テリブルクロウ(攻撃), 格闘
テリブルクロウ(命中), 超打
ベアラッシュ, タックル
ベアラッシュ(命中), 連打
イスカラディモオゥン(攻撃), 打突
イスカラディモオゥン(命中), 強打
ベンリン(攻撃), 格闘
ベンリン(命中), 格闘
パラフーゾ, タックル
パラフーゾ(命中), 連打
ベンリン・プラダ, タックル
Ｃ・マカコ・エンベ(攻撃), 格闘
Ｃ・マカコ・エンベ(命中), 連打
フマーサ, タックル
フマーサ(命中), 超打
卍裏拳(攻撃), 打突
卍裏拳(命中), 打撃
天噸(攻撃), 格闘
天噸(命中), 斬撃
忍法草薙, タックル
忍法草薙(命中), 強打
唸り勾玉, タックル
唸り勾玉(命中), 打撃;打撃
忍法卍葛, タックル
忍法卍葛(命中), 連打
三散華(攻撃), 格闘
三散華(命中), 連打
槍連剄(攻撃), 格闘
槍連剄(命中), 強打
釣鐘割り(攻撃), 格闘
釣鐘割り(命中), 投げ飛ばし
翠連紫雲(攻撃), 格闘
翠連紫雲(命中), 連打
流雲墜(攻撃), タックル
流雲墜(命中), 強打;強打
鬼首落とし(攻撃), タックル
鬼首落とし(命中), 超打
泰山白露刈脚(攻撃), タックル
泰山白露刈脚(命中), 連打
塩まき(攻撃), アッパー
塩まき(命中), 強打
突き出し, タックル
ぶちかまし, タックル
四股クエイク(攻撃), -
四股クエイク(命中), 強打
閻魔突っ張り(攻撃), 格闘
閻魔突っ張り(命中), 乱打
極悪かまし(攻撃), タックル
極悪かまし(命中), 超打
ストッピング(攻撃), タックル
ストッピング(命中), 打撃
トリプル・ティー・ソーク(攻撃), 格闘
トリプル・ティー・ソーク(命中), 連打
スナイパースラッシュ(攻撃), タックル
スナイパースラッシュ(命中), 強打
トルネードアッパー, アッパー
サイドワインダー(攻撃), 格闘
サイドワインダー(命中), 強打
スナイパーソバットコンボ(攻撃), 格闘
スナイパーソバットコンボ(命中), 乱打
ヒールランス, タックル
ヒールランス(命中), 強打
ヒールエクスプロージョン, 振り下ろし
ヒールエクスプロージョン(命中), 強打
ボールブレイカー, タックル
ボールブレイカー(命中), 強打
ハンティングホーク(攻撃), タックル
ハンティングホーク(命中), 打撃;打撃;打撃
フラミンゴハリケーン(攻撃), 格闘
フラミンゴハリケーン(命中), 連打
パワーシザース(攻撃), タックル
パワーシザース(命中), 強打
Ａショルダータックル(攻撃), タックル
Ａショルダータックル(命中), タックル
アッパーラッシュ(攻撃), タックル
アッパーラッシュ(命中), 連打
コサックコンボ(攻撃), 格闘
コサックコンボ(命中), 連打
マシンガンナックル(攻撃), 格闘
マシンガンナックル(命中), 連打
ギガトンパンチ(攻撃), 打突
ギガトンパンチ(命中), 超打
ハンマーナックル(攻撃), タックル
ハンマーナックル(命中), 打撃
ヘッドスライディング(攻撃), ヘッドバット
ヘッドスライディング(命中), 強打
メガトンパンチ(攻撃), 打突
メガトンパンチ(命中), 強打
ダイブボマー(攻撃), 急降下
ダイブボマー(命中), 急降下
ダークネスカッター(攻撃), タックル
ダークネスカッター(命中), 大斬撃
ライトニングハンド(攻撃), 打突
ライトニングハンド(命中), 打突
ピポットガン・スナイプ(攻撃), 打突
ピポットガン・スナイプ(命中), 強打
ピポットガン・アサルト(攻撃), 格闘
ピポットガン・アサルト(命中), 強打
ピポットガン(攻撃), 連打
ピポットガン(命中), 連打
メガトンパンチ(攻撃), 打突
メガトンパンチ(命中), 強打
ダイブボマー(攻撃), 急降下
ダイブボマー(命中), 急降下
ダークネスカッター, タックル
ダークネスカッター(命中), 大斬撃
ライトニングハンド(攻撃), 打突
ライトニングハンド(命中), 強打
スマッシュアッパー, アッパー
アリキック(攻撃), 格闘
アリキック(命中), 連打
フランケンシュタイナー, タックル
フランケンシュタイナー(命中), 投げ飛ばし
ＤＤＴ(攻撃), 格闘
ＤＤＴ(命中), 投げ飛ばし
ワンダフルメキシカンコンボ(攻撃), タックル
ワンダフルメキシカンコンボ(命中), 投げ飛ばし;投げ飛ばし;ブレーンバスター
チョークスリーパー(攻撃), 格闘
チョークスリーパー(命中), 立ち固め
延髄斬り(攻撃), キック
延髄斬り(命中), 強打
急所蹴り(攻撃), 格闘
急所蹴り(命中), 強打
ブラックショルダーアタック, タックル
スーパーナックルボム(攻撃), タックル
スーパーナックルボム(命中), 超打
デビルツイスター(攻撃), タックル
デビルツイスター(命中), 強打
デビルフィスト(攻撃), タックル
デビルフィスト(命中), 超打
ヘブンズドア(攻撃), タックル
ヘブンズドア(命中), アッパー;投げ飛ばし
デビルブラスター(攻撃), 小ビーム
デビルブラスター(命中), 小ビーム
リバースデビルブラスター, 小ビーム
インフェルノ, ＭＡＰビーム
ケツアルクアトル(攻撃), 打突
ケツアルクアトル(命中), 強打
レッグバズーカー(攻撃), タックル
レッグバズーカー(命中), 強打
ブレイジングインフェルノ(攻撃), 火炎放射
ブレイジングインフェルノ(命中), 炎
ホロコーストナパーム, 火炎放射
ポイズンブレス(攻撃), -
ポイズンブレス(命中), 煙 緑
ローリングドクターコンボ(攻撃), アッパー
ローリングドクターコンボ(命中), 連打
ロジャーキック(攻撃), 格闘
ロジャーキック(命中), 強打
バイオリアクター(攻撃), タックル
バイオリアクター(命中), 電撃
ＪＡＣＫテイマー(攻撃), 格闘
ＪＡＣＫテイマー(命中), 電撃
賢人拳(攻撃), タックル
賢人拳(命中), 強打
老人拳(攻撃), アッパー
老人拳(命中), 超打
ドクターコサック(攻撃), タックル
ドクターコサック(命中), 連打
Ｂペガサスブースター(攻撃), タックル
Ｂペガサスブースター(命中), 乱打
空斬脚(攻撃), タックル
空斬脚(命中), 強打
左踵落とし(攻撃), 振り下ろし
左踵落とし(命中), 強打
胴抜き(攻撃), タックル
胴抜き(命中), 打突
奈落払い(攻撃), タックル
奈落払い(命中), 連打
羅刹門・改(攻撃), 格闘
羅刹門・改(命中), 連打
サベサダス(攻撃), タックル
サベサダス(命中), 強打
シャバ・ジラトリャ(攻撃), タックル
シャバ・ジラトリャ(命中), 強打
ベンリン・プラダ(攻撃), タックル
ベンリン・プラダ(命中), 強打
ヴィラール(攻撃), タックル
ヴィラール(命中), -
テイルカッター, なぎ払い
テイルカッター(命中), 強打 Whip.wav
クルクルパンチ, 打突
クルクルパンチ(命中), 強打
アニマルキックラッシュ(攻撃), タックル
アニマルキックラッシュ(命中), 連打
アニマルギガトンパンチ(攻撃), 打突
アニマルギガトンパンチ(命中), 打突;超打
エルボースマッシュ(攻撃), 格闘
エルボースマッシュ(命中), 強打
アニマルアッパーカット, アッパー

##技自体を削除したので、ローカルに。
#擺歩砕壁(攻撃), 格闘
#擺歩砕壁(命中), 強打
