
# 一部汎用データに含まれない画像データを使用しています
# TKHM_Chaos(Crow)U.bmp
# TKHM_Chaos(deer)U.bmp
# TKHM_Chaos(wolf)U.bmp

月姫
阻止(死線断ち), 切り払い
槍鍵の弾丸, 粒子集中 ピンク;ピストル
槍鍵の弾丸(攻撃), 大ビーム ピンク
槍鍵の弾丸(命中), 大ビーム ピンク AntiShipMissile.wav
白い霧の爪(攻撃), なぎ払い
白い霧の爪(命中), 斬撃
ぐるぐる翡翠ワールド(攻撃), @ＳＰアニメ_かく乱 相手ユニットＩＤ 相手ユニットＩＤ
ぐるぐる翡翠ワールド(命中), -
ハタキ, 玉串
家具(準備), パイプ椅子
家具(準備), アイロン
家具(準備), 消化器
家具(準備), 長机
家具(準備), ギター
家具(準備), ハリセン
家具(準備), 地球儀
家具(準備), ペットボトル
家具(攻撃), 斬撃
家具(攻撃), 振り下ろし
家具(攻撃), なぎ払い
家具(攻撃), 連斬撃
家具(命中), ダメージ
家具(命中), 打撃
家具(命中), 強打
暗黒翡翠拳(攻撃), 光球 ピンク
暗黒翡翠拳(命中), ダメージ
シールド防御, フライパン
毒物注射(準備), -
毒物注射, 刺突
麻酔注射(準備), -
麻酔注射, 刺突
竹箒(準備), 竹ぼうき
竹箒(攻撃), 斬撃
竹箒(攻撃), 振り下ろし
竹箒(攻撃), なぎ払い
竹箒(命中), ダメージ
仕込み刀(準備), 竹ぼうき;日本刀
仕込み刀(攻撃), 斬撃
仕込み刀(攻撃), 振り下ろし
仕込み刀(攻撃), なぎ払い
仕込み刀(命中), 斬撃 
謎の植物, 多触手 グリーン
謎の植物, 触手 グリーン
八極拳, 打突
八極拳, 格闘
八極拳, タックル
八極拳, アッパー
八極拳, 浴びせ蹴り
八極拳, スピンキック
八極拳(命中), ダメージ
八極拳(命中), 強打
八極拳(命中), 打撃突撃
八極拳(命中), アッパー
究極奥義(攻撃), 格闘 Shock(Low).wav
究極奥義(命中), アッパー
武装６６６, 黒豹
武装６６６, 象
武装６６６, 蝙蝠
武装６６６, 鳥
武装６６６, ワニ
武装６６６, 実弾発射 TKHM_Chaos(Crow)U.bmp
武装６６６, 実弾発射 TKHM_Chaos(deer)U.bmp
武装６６６, 実弾発射 TKHM_Chaos(wolf)U.bmp
武装６６６・幻想種, 重力弾
武装６６６・幻想種(命中), ダメージ
捕食(攻撃), 格闘
捕食(命中), 噛み付き
創世の土(攻撃), -
創世の土(命中), 重力圧縮 Fold.wav
武装９９９(攻撃), スーパータックル ブラック Roar.wav
武装９９９(命中), スーパータックル ブラック
赤き剣(準備), 振る武器 Laser\EFFECT_EnergyBlade(Red)03.bmp
赤き剣, 斬撃
血刀(準備), 振る武器 Laser\EFFECT_EnergyBlade(Red)02.bmp
血刀, 斬撃;Whiz.wav
血刀(命中), 刺突
血のトラップ, 光噴出 赤
血のトラップ(命中), 1;stab.wav;1;stab.wav;1;stab.wav;1;stab.wav;1;stab.wav;stab.wav
硬質化するマント(準備), 振る武器 Shield\EFFECT_Mant(Black)02.bmp
硬質化するマント(攻撃), 斬撃
硬質化するマント(攻撃), 振り上げ
硬質化するマント(攻撃), なぎ払い
硬質化するマント(命中), 斬撃
硬質化するマント(命中), 爪撃
黒い霧の渦, 旋風 黒
黒い霧の爪(攻撃), なぎ払い
黒い霧の爪(命中), 黒斬撃
黒い霧の大渦(攻撃), @戦闘アニメ_旋風命中 黒
黒い霧の大渦(命中), 斬撃乱舞
黒い霧の大渦(クリティカル), @戦闘アニメ_重力圧縮命中
圧壊の腕, 打突
炎獄, 打突
炎獄, ダメージ;炎
コレダー, 格闘
コレダー(命中), 放電
ミサイル, ミサイル
ミサイル, ミサイル
火炎放射, 火炎放射
レーザー, 小ビーム

夢魔レン
回避, 瞬間変形 TKHM_Len(cat)U.bmp -;回避
回避, 回避
回避, 回避
ロンドン・ロンド, 格闘
フルール・フリーズ(攻撃), 氷弾 Ice.wav
フルール・フリーズ(命中), 刺突 Slash.wav
ウタカタ(準備), 粒子集中 黒
ウタカタ(攻撃), 光球 桃
ウタカタ(命中), 光球 桃 Glass.wav


夢魔白レン
回避, 瞬間変形 TKHM_Len(cat)U.bmp -;回避
回避, 回避
回避, 回避
ナーサリー・ライム, 格闘
フルール・フリーズ(攻撃), 氷弾 Ice.wav
フルール・フリーズ(命中), 刺突 Slash.wav


ネロ＝カオス
捕食(攻撃), 格闘
捕食(命中), 噛み付き;吸収 赤

ミハイル＝ロア＝バルダムヨォン
死線裂き, 斬撃
死点突き(準備), ナイフ
死点突き, 刺突
死点突き(命中), 刺突 Shock(low).wav


腑海林アインナッシュ
吸血(攻撃), Swing.wav
吸血(攻撃), Whiz.wav
吸血(命中), 吸収 赤
森の鳴動, 振動

蒼崎青子
格闘(攻撃), 振り下ろし
格闘(攻撃), 打突
格闘(攻撃), 浴びせ蹴り
格闘(攻撃), バックキック
格闘(命中), ダメージ
攻撃魔術(攻撃), 小ビーム ブルー
攻撃魔術(攻撃), 小ビーム イエロー
攻撃魔術(攻撃), 拡散ビーム ブルー
攻撃魔術(攻撃), 拡散ビーム イエロー
攻撃魔術(攻撃), ホーミングレーザー ブルー
攻撃魔術(攻撃), ホーミングレーザー イエロー
攻撃魔術(命中), 拡散ビーム ブルー
攻撃魔術(命中), 拡散ビーム イエロー
攻撃魔術(命中), ホーミングレーザー ブルー
攻撃魔術(命中), ホーミングレーザー イエロー
スヴィア・ブレイク, 大ビーム ホワイト
逆行運河・創世光年(命中), @戦闘アニメ_変形攻撃 相手ユニットＩＤ Anime\Common\EFFECT_BubbleSphere01.bmp Whiz.wav;3;拡散ビーム ピンク ランダム方向;拡散ビーム ピンク ランダム方向;;超爆発
