#狂科学ハンターＲＥＩ・ｆｏｒ・ＳＲＣデータ
#アニメーションデータ
#----------------------------------------------------------------------------

汎用
ナイフ, ナイフ
魔玉操(命中), 「魔玉操・火焔葬輪っ！」;@戦闘アニメ_ホーミングレーザー攻撃 レッド Whiz.wav;@戦闘アニメ_ホーミングレーザー命中 レッド Explode(Small).wav;「魔玉操・火焔葬輪っ！」
魔玉操(命中), 「魔玉操――」;@戦闘アニメ_ホーミングレーザー攻撃 レッド Whiz.wav;@戦闘アニメ_ホーミングレーザー命中 レッド Explode(Small).wav;「魔玉操――火焔葬輪！」
魔玉操(氷雪)(命中), 「<I>魔玉操・火焔葬輪</I>」;@戦闘アニメ_ホーミングレーザー攻撃 レッド Whiz.wav;@戦闘アニメ_ホーミングレーザー命中 レッド Explode(Small).wav;「<I>魔玉操・火焔葬輪</I>」
魔玉操(氷雪)(命中), 「<I>魔玉操――</I>」;@戦闘アニメ_ホーミングレーザー攻撃 レッド Whiz.wav;@戦闘アニメ_ホーミングレーザー命中 レッド Explode(Small).wav;「<I>魔玉操――火焔葬輪</I>」
魔玉操(命中), 「魔玉操――」;@戦闘アニメ_中ビーム攻撃 レッド Beam.wav;@戦闘アニメ_中ビーム命中 レッド Explode.wav;「魔玉操――獄炎衝！」
魔玉操(命中), 「魔玉操・獄炎衝！」;@戦闘アニメ_中ビーム攻撃 レッド Beam.wav;@戦闘アニメ_中ビーム命中 レッド Explode.wav;「魔玉操・獄炎衝！」
魔玉操(氷雪)(命中), 「<I>魔玉操――</I>」;@戦闘アニメ_中ビーム攻撃 レッド Beam.wav;@戦闘アニメ_中ビーム命中 レッド Explode.wav;「<I>魔玉操――獄炎衝</I>」
魔玉操(氷雪)(命中), 「<I>魔玉操・獄炎衝」;@戦闘アニメ_中ビーム攻撃 レッド Beam.wav;@戦闘アニメ_中ビーム命中 レッド Explode.wav;「<I>魔玉操・獄炎衝</I>」
魔玉操(命中), 「魔玉操――」;@戦闘アニメ_魔法集中攻撃 ホワイト Jet.wav;@戦闘アニメ_強風命中 Explode.wav;「魔玉操――爆龍砕っ！」
魔玉操(命中), 「魔玉操・爆龍砕！」;@戦闘アニメ_魔法集中攻撃 ホワイト Jet.wav;@戦闘アニメ_強風命中 Explode.wav;「魔玉操・爆龍砕っ！」
魔玉操(氷雪)(命中), 「<I>魔玉操――</I>」;@戦闘アニメ_魔法集中攻撃 ホワイト Jet.wav;@戦闘アニメ_強風命中 Explode.wav;「<I>魔玉操――爆龍砕</I>」
魔玉操(氷雪)(命中), 「<I>魔玉操・爆龍砕</I>」;@戦闘アニメ_魔法集中攻撃 ホワイト Jet.wav;@戦闘アニメ_強風命中 Explode.wav;「<I>魔玉操・爆龍砕</I>」
魔玉操(命中), 「魔玉操――」;@戦闘アニメ_３ＷＡＹ射出攻撃 Missile.wav;@戦闘アニメ_オールレンジ命中 Crash.wav;「魔玉操――反龍震！！」
魔玉操(命中), 「魔玉操・反龍震！！」;@戦闘アニメ_３ＷＡＹ射出攻撃 Missile.wav;@戦闘アニメ_オールレンジ命中 Crash.wav;「魔玉操・反龍震！！」
魔玉操(氷雪)(命中), 「<I>魔玉操――</I>」;@戦闘アニメ_３ＷＡＹ射出攻撃 Missile.wav;@戦闘アニメ_オールレンジ命中 Crash.wav;「魔玉操――反龍震</I>」
魔玉操(氷雪)(命中), 「<I>魔玉操・反龍震</I>」;@戦闘アニメ_３ＷＡＹ射出攻撃 Missile.wav;@戦闘アニメ_オールレンジ命中 Crash.wav;「<I>魔玉操・反龍震</I>」
魔玉操(命中), 「魔玉操――」;@戦闘アニメ_交差ビーム命中 ブルー ブルー Breath.wav;@戦闘アニメ_交差ビーム命中 ブルー ブルー Explode(Long).wav;「魔玉操――微塵双龍っ！！」
魔玉操(命中), 「魔玉操・微塵双龍っ！！」;@戦闘アニメ_交差ビーム命中 ブルー ブルー Breath.wav;@戦闘アニメ_交差ビーム命中 ブルー ブルー Explode(Long).wav;「魔玉操・微塵双龍っ！！」
魔玉操(氷雪)(命中), 「<I>魔玉操――</I>」;@戦闘アニメ_交差ビーム命中 ブルー ブルー Breath.wav;@戦闘アニメ_交差ビーム命中 ブルー ブルー Explode(Long).wav;「魔玉操――微塵双龍</I>」
魔玉操(氷雪)(命中), 「<I>魔玉操・微塵双龍</I>」;@戦闘アニメ_交差ビーム命中 ブルー ブルー Breath.wav;@戦闘アニメ_交差ビーム命中 ブルー ブルー Explode(Long).wav;「魔玉操・微塵双龍</I>」
魔玉操(命中), 「魔玉操――」;@戦闘アニメ_旋風攻撃 Storm.wav;@戦闘アニメ_旋風命中 Storm.wav;「魔玉操――螺旋砕環っ！！」
魔玉操(命中), 「魔玉操・螺旋砕環っ！！」;@戦闘アニメ_旋風攻撃 Storm.wav;@戦闘アニメ_旋風命中 Storm.wav;「魔玉操・螺旋砕環っ！！」
魔玉操(氷雪)(命中), 「<I>魔玉操――</I>」;@戦闘アニメ_旋風攻撃 Storm.wav;@戦闘アニメ_旋風命中 Storm.wav;「<I>魔玉操――螺旋砕環</I>」
魔玉操(氷雪)(命中), 「<I>魔玉操・螺旋砕環</I>」;@戦闘アニメ_旋風攻撃 Storm.wav;@戦闘アニメ_旋風命中 Storm.wav;「<I>魔玉操・螺旋砕環</I>」
魔玉操(命中), 「魔玉操――」;@戦闘アニメ_火炎弾攻撃 Cannon.wav;@戦闘アニメ_爆発命中 Explode(Far).wav;「魔玉操――天神華っ！」
魔玉操(命中), 「魔玉操・天神華っ！」;@戦闘アニメ_火炎弾攻撃 Cannon.wav;@戦闘アニメ_爆発命中 Explode(Far).wav;「魔玉操・天神華っ！」
魔玉操(氷雪)(命中), 「<I>魔玉操――</I>」;@戦闘アニメ_火炎弾攻撃 Cannon.wav;@戦闘アニメ_爆発命中 Explode(Far).wav;「<I>魔玉操――天神華</I>」
魔玉操(氷雪)(命中), 「<I>魔玉操・天神華</I>」;@戦闘アニメ_火炎弾攻撃 Cannon.wav;@戦闘アニメ_爆発命中 Explode(Far).wav;「<I>魔玉操・天神華</I>」
魔玉操・天龍槌(準備), Reload(4).wav
魔玉操・天龍槌(攻撃), 振り上げ Swing.wav;ＭＡＰ竜巻 Storm.wav
魔玉操・天龍槌(命中), 竜巻 Storm.wav
魔玉操・天龍槌(クリティカル), Shock(Low).wav
魔玉操・龍震波(準備), Reload(4).wav
魔玉操・龍震波(攻撃), 斬撃 二刀流; @戦闘アニメ_オールレンジ命中 GunPod.wav
魔玉操・龍震波(命中), @戦闘アニメ_音波攻撃 相手ユニットＩＤ Shock(Low).wav
絶対零度(攻撃), 地表衝撃波 ブルー 残像 Storm.wav
絶対零度(命中), 凍結
魔玉操・空間断裂(準備), Reload(4).wav
魔玉操・空間断裂(攻撃), なぎ払い Swing.wav;5; 粒子集中 ホワイト ユニットＩＤ Hittyuu.wav
魔玉操・空間断裂(命中), クリティカル斬撃 Slash(4).wav
魔玉操・火龍葬輪(準備), Reload(4).wav
魔玉操・火龍葬輪(攻撃), ダブル斬撃 Swing.wav;拡散ビーム レッド Whiz.wav
魔玉操・火龍葬輪(命中), 拡散ビーム レッド Explode.wav
魔玉操・紅蓮地獄(準備), Reload(4).wav
魔玉操・紅蓮地獄(攻撃), なぎ払い Swing.wav;拡散ビーム ホワイト Jet.wav
魔玉操・紅蓮地獄(命中), @戦闘アニメ_エネルギーフィールド展開発動 相手ユニットＩＤ Charge(High).wav;10;超爆発
魔玉操・菩薩翔(準備), Reload(4).wav
魔玉操・菩薩翔(攻撃), 振り上げ Swing.wav;波動放射 ホワイト 速 Null.wav
魔玉操・菩薩翔(命中), 粒子集中 ホワイト Null.wav;超爆発 Explode(Nuclear).wav
魔玉操・弥勒翔(準備), Reload(4).wav
魔玉操・弥勒翔(攻撃), 振り上げ Swing.wav;波動放射 ホワイト 速 残像 Null.wav
魔玉操・弥勒翔(命中), 粒子集中 ホワイト Charge(2).wav; 超爆発 Explode(Long).wav
阻止(魔玉操・華炎玉), 発光 レッド Fire.wav
阻止(魔玉操・断線刃), @戦闘アニメ_凍斬撃命中 Glass.wav
阻止(魔玉操・次元障壁), ビームコート BeamCoat.wav " "
攻撃無効化(極低温の力場), 吹雪 Wind.wav
攻撃無効化(絶対零度の力場), 吹雪 Wind.wav
攻撃無効化(氷神の領域), 吹雪 Wind.wav

#本気でＳＲＣを立ち上げなくても、戦闘アニメを確認できるツールが欲しい。

人造人間
怪力(攻撃), 格闘
怪力(命中), 強打 FightHit(1).wav
ジャイアントスイング, ジャイアントスイング
ヴィクトルの血, 飛沫 赤 Hittyuu.wav
レールガン(攻撃), 小ビーム イエロー Rifle.wav
レールガン(命中), 小ビーム イエロー Explode.wav
重力子(攻撃), 重力弾 BeamSaber.wav
重力子(命中), 重力圧縮 Charge(High).wav
反物質弾(準備), 放電 BeamSaber.wav
反物質弾(攻撃), 光子魚雷 イエロー Rifle.wav
反物質弾(命中), 超爆発
攻撃無効化(重力子), 暗黒バリア BeamSaber.wav 重力子
反射(ケルブラン・ジェネレーター), 回復魔法 BeamSaber.wav; 反射 BeamCoat.wav CelblancGenerator


戦史研メンバー
穏行霧(準備), 小柄
穏行霧(攻撃), 小柄;ＭＡＰ煙 青
穏行霧(命中), -
穏行霧(クリティカル), 撹乱 Hide.wav
死告剣(準備), 小柄
死告剣(攻撃), 交差ビーム ブラック Swing.wav
死告剣(命中), 交差ビーム ブラック Stab.wav
死告剣(クリティカル), 即死 Interference.wav
飛剣, 小柄
五行相克(準備), 小柄
五行相克(攻撃), 逆五芒星 ホワイト BeamSaber.wav 対象ユニットＩＤ
五行相克(解説), 飛剣に五行を打ち消す相克の力が宿るっ！
五行相克(解説), 桜は五行相克の力を放った！
五行相克(解説), 桜は相克の技を解き放ったっ！
五行相克(命中), 「はっ！！」;@戦闘アニメ_小柄攻撃;オーラ上昇 ホワイト Glass.wav;「はっ！！」
五行相克(命中), 「五行相克っ！」;@戦闘アニメ_小柄攻撃;オーラ上昇 ホワイト Glass.wav;「五行相克っ！」
五行相克(命中), 「疾っ！！」;@戦闘アニメ_小柄攻撃;オーラ上昇 ホワイト Glass.wav;「疾っ！！」
五行相克(命中), 「五行相克――:疾っ！！」;@戦闘アニメ_小柄攻撃;オーラ上昇 ホワイト Glass.wav;「五行相克――疾っ！！」
五行相克(命中), 「飛剣に宿りしは相克の理っ！」;@戦闘アニメ_小柄攻撃;オーラ上昇 ホワイト Glass.wav;「飛剣に宿りしは相克の理っ！」
五行相克(命中), 「桜さんの風水具現法、タップリと味わいなさい！」;@戦闘アニメ_小柄攻撃;オーラ上昇 ホワイト Glass.wav;「桜さんの風水具現法、タップリと味わいなさい！」
五行相克(命中), 「どんな産物も、.自然を織りなす五行の理には逆らえないの」;@戦闘アニメ_小柄攻撃;オーラ上昇 ホワイト Glass.wav;「どんな産物も、.自然を織りなす五行の理には逆らえないの」
五行相克(命中), 「死を司る玄武の土を、.龍穴の西たる白虎の力をかりて、火の性にて援護する！」;「白虎の精気を受けて、五行相克の理を成せ！ :疾っ！｣;@戦闘アニメ_小柄攻撃;オーラ上昇 ホワイト Glass.wav;「白虎の精気を受けて、五行相克の理を成せ！ 疾っ！｣
五行相克(命中), 「東の極み、西の果て。.地に流れる龍脈は、祖に打たれ水の性をもつ」;「よって火の気を重ね合い、水の気による木気を強め、.本貫たる龍穴に呼ぶ！」;@戦闘アニメ_小柄攻撃;オーラ上昇 ホワイト Glass.wav;「よって火の気を重ね合い、水の気による木気を強め、.本貫たる龍穴に呼ぶ！」
五行相克(命中), 「地に渦巻く龍脈を、螺旋に描いて再び流す！」;「祖は龍脈を隆起に導く白虎の雄叫び、.白銀の毛並みが導く五行の道は、.彼の地に沸き立つ鉄の剣！」;「疾っ！」;@戦闘アニメ_小柄攻撃;オーラ上昇 ホワイト Glass.wav;「疾っ！」
五行相克(命中)(対宝部麗奈)(対瀕死), 「麗奈ぁーっ！」;@戦闘アニメ_小柄攻撃;オーラ上昇 ホワイト Glass.wav;「麗奈ぁーっ！」
五行相克(命中)(対弱点=銃), 「木気は火気を孕み、火気は金気を剋す！ :疾っ！」;@戦闘アニメ_小柄攻撃;オーラ上昇 レッド Glass.wav;「木気は火気を孕み、火気は金気を剋す！ 疾っ！」
五行相克(命中)(対弱点=金), 「木気は火気を孕み、火気は金気を剋す！ :疾っ！」;@戦闘アニメ_小柄攻撃;オーラ上昇 レッド Glass.wav;「木気は火気を孕み、火気は金気を剋す！ 疾っ！」
五行相克(命中)(対弱点=水), 「火気は土気を孕み、土気は水気を剋す！ :疾っ！」;@戦闘アニメ_小柄攻撃;オーラ上昇 グリーン Glass.wav;「金気は木気を孕み、木気は土気を剋す！ 疾っ！」
五行相克(命中)(対弱点=冷), 「火気は土気を孕み、土気は水気を剋す！ :疾っ！」;@戦闘アニメ_小柄攻撃;オーラ上昇 グリーン Glass.wav;「金気は木気を孕み、木気は土気を剋す！ 疾っ！」
五行相克(命中)(対弱点=木), 「土気は金気を孕み、金気は木気を剋す！ :疾っ！」;@戦闘アニメ_小柄攻撃;オーラ上昇 イエロー Glass.wav;「金気は木気を孕み、木気は土気を剋す！ 疾っ！」
五行相克(命中)(対弱点=雷), 「土気は金気を孕み、金気は木気を剋す！ :疾っ！」;@戦闘アニメ_小柄攻撃;オーラ上昇 イエロー Glass.wav;「金気は木気を孕み、木気は土気を剋す！ 疾っ！」
五行相克(命中)(対弱点=火), 「金気は水気を孕み、水気は火気を剋す！ :疾っ！」;@戦闘アニメ_小柄攻撃;オーラ上昇 ブルー Glass.wav;「金気は木気を孕み、木気は土気を剋す！ 疾っ！」
五行相克(命中)(対弱点=Ｂ), 「金気は水気を孕み、水気は火気を剋す！ :疾っ！」;@戦闘アニメ_小柄攻撃;オーラ上昇 ブルー Glass.wav;「金気は木気を孕み、木気は土気を剋す！ 疾っ！」
五行相克(命中)(対弱点=地), 「水気は木気を孕み、木気は土気を剋す！ :疾っ！」;@戦闘アニメ_小柄攻撃;オーラ上昇 オレンジ Glass.wav;「金気は木気を孕み、木気は土気を剋す！ 疾っ！」
五行相克(命中)(対弱点=重), 「水気は木気を孕み、木気は土気を剋す！ :疾っ！」;@戦闘アニメ_小柄攻撃;オーラ上昇 オレンジ Glass.wav;「金気は木気を孕み、木気は土気を剋す！ 疾っ！」
五行相克(命中)(対弱点=火), 「地を統べるは東の青龍、.地脈を導く伏流水は、五行を通じて火を剋す」;「疾っ！」;@戦闘アニメ_小柄攻撃;オーラ上昇 ブルー Glass.wav;「疾っ！」
五行相克(命中)(対弱点=Ｂ), 「地を統べるは東の青龍、.地脈を導く伏流水は、五行を通じて火を剋す」;「疾っ！」;@戦闘アニメ_小柄攻撃;オーラ上昇 ブルー Glass.wav;「疾っ！」
五行相克(命中)(対弱点=獣), 「鷲は火のもの、獅子は地のもの！.火は水により、その実体を崩されん！」;「疾っ！」;@戦闘アニメ_小柄攻撃;オーラ上昇 ブルー Glass.wav;「疾っ！」
五行相生(準備), 小柄 Reload(2).wav
五行相生(攻撃), 五芒星 ホワイト BeamSaber.wav 対象ユニットＩＤ
五行相生(解説), 飛剣に五行を生み出す相生の力が宿るっ！
五行相生(解説), 桜は五行相生の力を放った！
五行相生(解説), 桜は相生の技を解き放ったっ！
五行相生(命中), 「疾っ！」;@戦闘アニメ_小柄攻撃;発光 Explode.wav;「疾っ！」
五行相生(命中), 「五行相生っ！」;@戦闘アニメ_小柄攻撃;発光 Explode.wav;「五行相生っ！」
五行相生(命中), 「五行相克――:疾っ！！」;@戦闘アニメ_小柄攻撃;発光 Explode.wav;「五行相克――疾っ！！」
五行相生(命中), 「飛剣に宿りしは相生の理っ！」;@戦闘アニメ_小柄攻撃;発光 Explode.wav;「飛剣に宿りしは相生の理っ！」
五行相生(命中), 「桜さんの風水具現法、タップリと味わいなさい！」;@戦闘アニメ_小柄攻撃;発光 Explode.wav;「桜さんの風水具現法、タップリと味わいなさい！」
五行相生(命中), 「都を統べるは東の四神」;「龍穴を巡る渦動は精気をあつめ、.この台地に北の精を為すっ！」;「疾っ！」;@戦闘アニメ_小柄攻撃;発光 Explode.wav;「疾っ！」
五行相生(命中)(対宝部麗奈)(対瀕死), 「麗奈ぁーっ！」;@戦闘アニメ_小柄攻撃;発光 Explode.wav;「麗奈ぁーっ！」
五行相生(命中), 「炎は金を克し、金は水を生む。.よって五行の理は、龍穴の水に相乗す！」;「疾っ！」;@戦闘アニメ_小柄攻撃;津波 Splash.wav;「疾っ！」
五行相生(命中), 「金は木を克し、木は火を生む。.よって五行の理は、龍穴の火に相乗す！」;「疾っ！」;@戦闘アニメ_小柄攻撃;火柱 Fire.wav;「疾っ！」
五行相生(命中), 「木は土を克し、火は土を生む。.よって五行の理は、龍穴の土に相乗す！」;「疾っ！」;@戦闘アニメ_小柄攻撃;石柱 Crash.wav;「疾っ！」
五行相生(命中), 「炎は金を克し、土は金を生む。.よって五行の理は、龍穴の金に相乗す！」;「疾っ！」;@戦闘アニメ_小柄攻撃;風 Slash(4).wav;「疾っ！」
五行相生(命中), 「金は木を克し、水は木を生む。.よって五行の理は、龍穴の木に相乗す！」;「疾っ！」;@戦闘アニメ_小柄攻撃;放電 Thunder.wav;「疾っ！」
五行相生(命中)(対瀕死), 「地に眠るは武の魂、小なる泰山は青梅の山並み」;「猛る龍脈は魂の流れを下り、.もって大龍脈の西方に、白虎が統べる風の槍と為す！」;大ビーム ホワイト Shock(Low).wav;「猛る龍脈は魂の流れを下り、.もって大龍脈の西方に、白虎が統べる風の槍と為す！」
五行相生(命中)(対瀕死), 「地に眠るは武の魂、小なる泰山は青梅の山並み」;「猛る龍脈は魂の流れを下り、.もって大龍脈の東方に、青龍が統べる雷の槍と為す！」;大ビーム イエロー Shock(Low).wav;「猛る龍脈は魂の流れを下り、.もって大龍脈の東方に、青龍が統べる雷の槍と為す！」
五行相生(命中)(対瀕死), 「地に眠るは武の魂、小なる泰山は青梅の山並み」;「猛る龍脈は魂の流れを下り、.もって大龍脈の南方に、朱雀が統べる炎の槍と為す！」;大ビーム レッド Shock(Low).wav;「猛る龍脈は魂の流れを下り、.もって大龍脈の南方に、朱雀が統べる炎の槍と為す！」
五行相生(命中)(対瀕死), 「地に眠るは武の魂、小なる泰山は青梅の山並み」;「猛る龍脈は魂の流れを下り、.もって大龍脈の中央に、人祖が統べる地の槍と為す！」;大ビーム オレンジ Shock(Low).wav;「猛る龍脈は魂の流れを下り、.もって大龍脈の中央に、人祖が統べる地の槍と為す！」
五行相生(命中)(対瀕死), 「地に眠るは武の魂、小なる泰山は青梅の山並み」;「猛る龍脈は魂の流れを下り、.もって大龍脈の北方に、玄武が統べる水の槍と為す！」;大ビーム ブルー Shock(Low).wav;「猛る龍脈は魂の流れを下り、.もって大龍脈の北方に、玄武が統べる水槍と為す！」
五行相生(命中)(対弱点=水), 「炎は金を克し、金は水を生む。.よって五行の理は、龍穴の水に相乗す！」;「疾っ！」;@戦闘アニメ_小柄攻撃;津波 Splash.wav;「疾っ！」
五行相生(命中)(対弱点=地), 「水は火を克し、火は土を生む。.よって五行の理は、龍穴の地に相乗す！」;「疾っ！」;@戦闘アニメ_小柄攻撃;石柱 Crash.wav;「疾っ！」
五行相生(命中)(対弱点=風), 「木は土を克し、土は金を生む。.よって五行の理は、龍穴の金に相乗す！」;「疾っ！」;@戦闘アニメ_小柄攻撃;風 Slash(4).wav;「疾っ！」
五行相生(命中)(対弱点=雷), 「地は水を克し、水は木を生む。.よって五行の理は、龍穴の木に相乗す！」;「疾っ！」;@戦闘アニメ_小柄攻撃;放電 Thunder.wav;「疾っ！」
五行相生(命中)(対弱点=火), 「金は木を克し、木は火を生む。.よって五行の理は、龍穴の火に相乗す！」;「疾っ！」;@戦闘アニメ_小柄攻撃;放電 Thunder.wav;「疾っ！」
五行相生(命中)(対弱点=風)(対瀕死), 「地に眠るは武の魂、小なる泰山は青梅の山並み」;「猛る龍脈は魂の流れを下り、.もって大龍脈の西方に、白虎が統べる風の槍と為す！」;大ビーム ホワイト Shock(Low).wav;「猛る龍脈は魂の流れを下り、.もって大龍脈の西方に、白虎が統べる風の槍と為す！」
五行相生(命中)(対弱点=雷)(対瀕死), 「地に眠るは武の魂、小なる泰山は青梅の山並み」;「猛る龍脈は魂の流れを下り、.もって大龍脈の東方に、青龍が統べる雷の槍と為す！」;大ビーム イエロー Shock(Low).wav;「猛る龍脈は魂の流れを下り、.もって大龍脈の東方に、青龍が統べる雷の槍と為す！」
五行相生(命中)(対弱点=火)(対瀕死), 「地に眠るは武の魂、小なる泰山は青梅の山並み」;「猛る龍脈は魂の流れを下り、.もって大龍脈の南方に、朱雀が統べる炎の槍と為す！」;大ビーム レッド Shock(Low).wav;「猛る龍脈は魂の流れを下り、.もって大龍脈の南方に、朱雀が統べる炎の槍と為す！」
五行相生(命中)(対弱点=地)(対瀕死), 「地に眠るは武の魂、小なる泰山は青梅の山並み」;「猛る龍脈は魂の流れを下り、.もって大龍脈の中央に、人祖が統べる地の槍と為す！」;大ビーム オレンジ Shock(Low).wav;「猛る龍脈は魂の流れを下り、.もって大龍脈の中央に、人祖が統べる地の槍と為す！」
五行相生(命中)(対弱点=水)(対瀕死), 「地に眠るは武の魂、小なる泰山は青梅の山並み」;「猛る龍脈は魂の流れを下り、.もって大龍脈の北方に、玄武が統べる水の槍と為す！」;大ビーム ブルー Shock(Low).wav;「猛る龍脈は魂の流れを下り、.もって大龍脈の北方に、玄武が統べる水の槍と為す！」
四神混沌(準備), 小柄 二刀流
四神混沌(攻撃), 光球 ブルー Cannon.wav;光球 レッド Cannon.wav;光球 イエロー Cannon.wav;光球 ホワイト Cannon.wav
四神混沌(命中), 大落雷 Warship.wav
攻撃無効化(五行相克), バリア Hittyuu.wav 五行相克
念動拳(攻撃), タックル Jet.wav
念動拳(命中), 超打 Crash.wav
念動剛拳(攻撃), スーパーパンチ グリーン Jet.wav
念動剛拳(命中), スーパーパンチ グリーン Shock(Low).wav
阻止(念動剛拳), @戦闘アニメ_スーパーパンチ命中 グリーン Shock(Low).wav

薔薇十字軍
格闘術, 斬撃
空気爆弾(攻撃), 光子魚雷 イエロー FlyBy.wav
空気爆弾(命中), 爆発
真空牙(攻撃), 気斬 ホワイト Jet.wav
真空牙(命中), 炎斬撃 ホワイト Slash(3).wav
大気の錐(準備), 強風 Drill.wav
大気の錐(攻撃), 旋風 Storm.wav
大気の錐(命中), 大刺突 Stab.wav
真空レンズ(準備), 粒子集中 イエロー Charge.wav
真空レンズ(攻撃), 中ビーム イエロー
真空レンズ(命中), 中ビーム イエロー
キセノン・ドリル(準備), 魔法集中 黄 大 Charge(2).wav
キセノン・ドリル(攻撃), スーパータックル イエロー Drill.wav
キセノン・ドリル(命中), スーパータックル イエロー Explode(Long).wav
ホイールアタック(攻撃), タックル Bike.wav
ホイールアタック(命中), タックル Crash.wav
攻撃無効化(気圧の壁), 強風 Storm.wav
豪刀そぼろ助広, 野太刀
一閃(攻撃), 振り下ろし
一閃(命中), 大斬撃 Slash.wav
グラヴィトン(攻撃), 重力弾 BeamSaber.wav
グラヴィトン(命中), 重力圧縮 Shock(Low).wav


黄金の薔薇
妖飛仙(攻撃), ＭＡＰ移動タックル 黒 AntiShipMissile.wav 大
妖飛仙(命中), 黒斬撃 Stab.wav
掌打, 打突
食肉毒虫(攻撃), 刺突 Missile.wav
食肉毒虫(命中), 噛み付き
漆黒の腕(攻撃), 黒斬撃
漆黒の腕(命中), 煙 黒 Stab.wav
瘴気の渦(攻撃), スーパータックル ブラック Storm.wav
瘴気の渦(命中), 噛み付き;噛み付き;噛み付き;噛み付き;噛み付き
分身(妖飛仙), 煙 黒 Hide.wav
次元槌(攻撃), 波動放射 ホワイト 残像 Shock(Low).wav
次元槌(命中), ダメージ Crash.wav
零距離次元槌(攻撃), 波動放射 ホワイト 残像 Shock(Low).wav
零距離次元槌(命中), ダメージ Crash.wav
攻撃無効化(次元力場), ビームコート Shock(Low).wav 次元力場
火精流入(攻撃), 打突 Swing.wav
火精流入(命中), 打撃 BreakOff.wav;炎
飛翔火精(攻撃), ニードルレーザー レッド Snap.wav
飛翔火精(命中), 火柱
火精狂宴(準備), 粒子集中 赤 Charge(Long).wav
火精狂宴(攻撃), 光球 赤 Breath.wav
火精狂宴(命中), 大爆発 Explode(Long).wav
阻止(飛翔火精), Snap.wav;5;炎
カーンの誘惑(攻撃), Hittyuu.wav
カーンの誘惑(命中), -
カーンの誘惑(クリティカル), 魅了 Sharara.wav
Ｈ・ジェノサイド(攻撃), ＭＡＰ発光 赤 Fold.wav
Ｈ・ジェノサイド(命中), 粒子噴射 赤 Hide.wav
アニマ・アニムス(攻撃), 交差ビーム レッド ブルー Missile.wav
アニマ・アニムス(命中), 交差ビーム レッド ブルー Stab.wav
インコシ・カーン, 両刃斧
スカルクラッシュ(準備), 両刃斧
スカルクラッシュ(攻撃), 振り下ろし
スカルクラッシュ(命中), 唐竹割り
カーン・ジェノサイド(攻撃), 中ビーム ブラック Jet.wav
カーン・ジェノサイド(命中), 中ビーム ブラック Crash.wav;粒子噴射 赤 Hide.wav
異形の魔獣群(攻撃), ホーミングレーザー ブラック MultipleRocketLauncher.wav
異形の魔獣群(命中), ホーミングレーザー ブラック Stab.wav
シールド防御(インコシ・カーン), 暗黒バリア Sword.wav インコシ・カーン
Ｌフィールド(攻撃), 気弾 Hittyuu.wav
Ｌフィールド(命中), 魔法集中 白 中 Interference.wav
