樹海の魔物
# クエストボス類
フラッシュ, 発光 白
サンダーブレス(準備), 粒子集中 黄
サンダーブレス(攻撃), 火炎放射 黄
サンダーブレス(命中), 放電
恐ろしき竜牙, 噛み付き;噛み付き;噛み付き;噛み付き 連続
神竜の聖角(攻撃), タックル
神竜の聖角(命中), 刺突
グランドダイブ, タックル
ウイングラッシュ, タックル;反転上昇
緋凍拳, 吹雪
黒焔翔, 火炎放射 黒
碧雷閃, 大落雷
スーパーノヴァ(準備), 粒子集中 白
スーパーノヴァ(攻撃), 発光 白;火炎放射 白
スーパーノヴァ(命中), 大爆発
プロテクション発動(神竜の守り), 光バリア 白
冥闇の呪縛(準備), 粒子集中 黒
冥闇の呪縛(攻撃), @戦闘アニメ_死神とどめ
冥闇の呪縛(命中), -
デッドクロー, 爪撃 黒
氷礫翔, 吹雪
煉獄翔, 火炎放射 黒
雷旋風, 大落雷
# ＦＯＥ系
幼鹿の蹄, キック
踏みつけ(攻撃), キック
踏みつけ(命中), 踏み潰し
混乱の叫び(攻撃), ＭＡＰ強風 Growl.wav
混乱の叫び(命中), - 
エナメル質の角(攻撃), タックル
エナメル質の角(命中), 刺突
かちあげ(攻撃), タックル
かちあげ(命中), 打撃 Stab.wav
金属質の突角(攻撃), タックル
金属質の突角(命中), 刺突
大暴れ(攻撃), 打撃突撃;乱打
大暴れ(命中), 乱打
猪牙, タックル
突進(攻撃), ＭＡＰ変形移動タックル SQS_IwainoshishiU.bmp 白
突進(命中), スーパータックル 白
死神の鎌, 斬撃
大鎌斬, なぎ払い
狒狒の豪腕, アッパー
打ちおろし(攻撃), タックル;振り下ろし
打ちおろし(命中), ダメージ
バインドハウル, 音波 Beast.wav
牙, 噛み付き
シルバーファング(攻撃), 噛み付き
シルバーファング(命中), 噛み付き;ダメージ 青
デビルクライ(狼)(準備), オーラ上昇 赤
デビルクライ(狼), 噛み付き
猛突進, 打撃突撃
ハンマーヘッド(準備), -
ハンマーヘッド(攻撃), 打撃突撃;ヘッドバット
ハンマーヘッド(命中), ヘッドバット
パワーレイジ(準備), オーラ上昇 黄
パワーレイジ(攻撃), 打撃突撃;ヘッドバット
パワーレイジ(命中), ヘッドバット;打撃 黄
赤鳥のクチバシ(攻撃), タックル
赤鳥のクチバシ(命中), 刺突
インザダーク(攻撃), 急降下
インザダーク(命中), スーパーダイブ 赤
恐怖の咆哮, 音波 Beast.wav
破壊者の鉤爪, 爪撃 黒
ひきさく大爪, なぎ払い
巨駝鳥のしなる足, キック
突撃, スーパータックル 黄
濃紫の尾針, 刺突
麻痺毒針, 刺突
赤象の牙(攻撃), タックル
赤象の牙(命中), 刺突
猪突猛進, スーパータックル 赤
大トカゲの背ビレ, 斬撃
貪欲な毒牙, 噛み付き
貪欲な毒尾, なぎ払い
麻痺針, 刺突
阻止(風の瞬き), オーラ上昇 青;分身 Beamsaber.wav 風の瞬き
血塗れの大刃, 甲殻鋏 赤
死神の爪(準備), オーラ上昇 赤;甲殻鋏 赤 Sword.wav
死神の爪(攻撃), 白兵武器
死神の爪(命中), 大斬撃 赤
死神の爪(クリティカル), @戦闘アニメ_横分割とどめ -.wav
銑鉄の牙, 噛み付き
乱れ咬み, 噛み付き;噛み付き;噛み付き 連続
汚泥吐き(攻撃), 泡球 黒 Bubble.wav
汚泥吐き(命中), 飛沫 黒 Splash.wav
ワームクラック, タックル
毒吐き(攻撃), 泡球 紫 Bubble.wav 
毒吐き(命中), 飛沫 紫 Splash.wav
毒竜の三つ角(攻撃), タックル
毒竜の三つ角(命中), 刺突
猛毒の竜牙, 噛み付き
猛毒の尻尾, なぎ払い
硬化した樹皮, 打突
沈黙の爪, 爪撃 黒
死の眼光(攻撃), 魔法放射 白 EvilEye.wav
死の眼光(命中), 魔法放射 白 EvilEye.wav
森鬼の腕羽, 斬撃
雷の矢(準備), 魔法集中 黄 対象ユニットＩＤ
雷の矢(攻撃), ２連光弾 黄 Thunder.wav
雷の矢(命中), 光矢;放電
炎の渦(準備), 魔法集中 赤 対象ユニットＩＤ
炎の渦(攻撃), 旋風 赤 Fire(2).wav
炎の渦(命中), 炎の壁
森鬼の腕, 打突;打突
激突, タックル
ヘヴィショルダー, スパーダイブ
デビルクライ(鬼)(準備), オーラ上昇 赤
デビルクライ(鬼)(攻撃), 打突;打突;打突
混乱の歌声, ＭＡＰ音符 Roar.wav
呪いの声, ＭＡＰ音符 Roar.wav
呪いの声(命中), -
呪いの声(クリティカル), @戦闘アニメ_死神とどめ
イービルウィップ, 鞭
アームボンテージ, 鞭
クイーンズナイン, 鞭
ヘッドボンテージ, 鞭
玄王の顎, 噛み付き
吹雪の息(準備), 粒子集中 青
吹雪の息(攻撃), 火炎放射 青
吹雪の息(命中), 凍結 Freeze.wav
破壊の顎(攻撃), タックル;噛み付き
破壊の顎(命中), 噛み付き;噛み付き;噛み付き 連続
攻撃無効化(甲羅の守り), 外殻防御 黒
土色のヌメ脚, キック
氷柱の牢獄(攻撃), 氷弾
氷柱の牢獄(命中), 氷柱 Glass.wav
毒の唾液(攻撃), 光球 黒 Whiz.wav
毒の唾液(命中), 飛沫 黒 Inori.wav
陥れる凶罠(攻撃), 魔法放射 白 EvilEye.wav
陥れる凶罠(命中), 魔法放射 白 EvilEye.wav
ブリザード, 吹雪
舌, 舌
アイシクル, 氷弾
コウモリの大牙, 噛み付き
鉤爪乱舞(攻撃), 斬撃;斬撃;斬撃;なぎ払い
鉤爪乱舞(命中), 斬撃;斬撃;斬撃;なぎ払い
王者の牙, 噛み付き
切断咬, 噛み付き;噛み付き;噛み付き 連続
裁断者の剛爪, 爪撃 黒 
荒れ狂う爪牙(攻撃), 斬撃;斬撃;斬撃
荒れ狂う爪牙(命中), 斬撃;爪撃;斬撃
恐怖の咆哮, 音波 Beast.wav
呪いのまだら牙(攻撃), タックル
呪いのまだら牙(命中), 刺突
突き上げ, タックル
呪いの眼光(攻撃), 魔法放射 茶 EvilEye.wav
呪いの眼光(命中), 魔法放射 茶 EvilEye.wav
骨竜の牙, 噛み付き
まるかじり(攻撃), 噛み付き接近
まるかじり(命中), 噛み付き;噛み付き;噛み付き 連続
大車輪(攻撃), 透明化;回転投擲武器 ("Unit\" & Info(ユニット,対象ユニットＩＤ,グラフィック))
大車輪(命中), スーパータックル
大鳥の足, キック
しびれるキック, スーパーキック
緋緋色金の光剣, ライトセイバー 赤
殺戮の光刃(準備), ライトセイバー 赤
殺戮の光刃(攻撃), ライトセイバー突撃 赤 二刀流
殺戮の光刃(命中), 光斬撃乱舞 赤
消耗の結界(命中), @戦闘アニメ_結界 紫 EvilEye.wav
妖狐の脚, キック
神雷(準備), 粒子集中 黄
神雷(攻撃), 大放電
神雷(命中), 大放電
安らぎの燐光, 回復魔法
凍てつく大鎌, 斬撃
凍土の大鎌, 凍斬撃
ブラインブレード, なぎ払い
氷鎌乱舞(準備), -
氷鎌乱舞(攻撃), 斬撃;斬撃;斬撃;円弧斬撃
氷鎌乱舞(命中), 斬撃;斬撃;斬撃;凍斬撃
超音波(攻撃), 音波
超音波(命中), -
ブラッドサック(攻撃), 斬撃 
ブラッドサック(命中), 斬撃;吸収
武王の顎, 噛み付き 
火炎の息(準備), 粒子集中 赤
火炎の息(攻撃), 火炎放射 赤
火炎の息(命中), 火炎放射 赤 Fire.wav
破壊の顎(攻撃), タックル;噛み付き
破壊の顎(命中), 噛み付き;噛み付き;噛み付き 連続
鮮血のクチバシ(攻撃), タックル
鮮血のクチバシ(命中), 刺突 出血
雷走り(攻撃), 地表衝撃波 黄 速
雷走り(命中), 放電
禍鳥の嘴(攻撃), タックル
禍鳥の嘴(命中), 刺突
悪魔のクチバシ(攻撃), 急降下
悪魔のクチバシ(命中), 刺突
デビルクライ(準備), オーラ上昇 赤
デビルクライ(攻撃), 急降下
デビルクライ(命中), スーパータックル 赤 
死滅の眼光(攻撃), 魔法放射 白 EvilEye.wav
死滅の眼光(命中), 魔法放射 白 EvilEye.wav
魔竜の牙,  噛み付き
手枷のツタ, 触手
狂惑ノイズ, 音符 Roar.wav
小さな呪骨, 刺突
キャンドルペイン, 炎
南瓜弦楽三重奏(準備), 光球集中;光球集中 partner(1);光球集中 partner(2);音再生 Reload(4).wav
南瓜弦楽三重奏(攻撃), ＭＡＰ音符 Roar.wav
南瓜弦楽三重奏(命中), -
惑乱の鐘, 音符 Roar.wav
洗脳音頭, 音符 Roar.wav
呪詛の小骨, 刺突
灼熱地獄, 炎の壁
絡め取るツタ, 触手
呪詛の棘骨, 刺突
荒れ狂うツタ, 多触手
地獄の業火, 炎の壁
# ザコ
小さな牙, 噛み付き 
いらつく羽音(攻撃), 音符 EvilEye.wav
いらつく羽音(命中), -
爪, 爪撃
鋭利な爪, 爪撃 白 二刀流
鋏, 甲殻鋏 緑
毒の粉(攻撃), 煙 紫
毒の粉(命中), 泡 紫 Bubble.wav 
森兎の前歯, 噛み付き 
雪化粧, 氷弾
音速のリズム(攻撃), @戦闘アニメ_転移 Storm.wav;タックル
音速のリズム(命中), 乱打
コロシッブオーラ(攻撃), ＭＡＰオーラ 黄 Charge.wav
コロシッブオーラ(命中), -
植物のツル, 触手
硬質の鋏, 甲殻鋏 緑
踏みつぶし, 踏み潰し
投げ飛ばし(攻撃), 透明化 partner(1);回転投擲武器 Unit\SQ_BallAnimalU.bmp
投げ飛ばし(命中), スーパータックル 紫 partner(1)
投げ飛ばし(ビッグ)(攻撃), 透明化 partner(1);回転投擲武器 Unit\SQ4_BigBallU.bmp
投げ飛ばし(ビッグ)(命中), スーパータックル 紫 partner(1)
麻痺睨み(攻撃), 邪眼解放 紫 黄 中 対象ユニットＩＤ;魔法放射 黄 EvilEye.wav
麻痺睨み(命中), 魔法放射 黄 EvilEye.wav
山猫の黒爪, 爪撃 黒
食いちぎり(攻撃), 噛み付き接近
食いちぎり(命中), 頭部噛み付き
とがった歯, 噛み付き
頑丈な歯,  噛み付き;噛み付き
鋭い牙, 噛み付き;噛み付き
南瓜弦楽三重奏(準備), 光球集中;光球集中 partner(1);光球集中 partner(2);音再生 Reload(4).wav
南瓜弦楽三重奏(攻撃), ＭＡＰ音符 Roar.wav
南瓜弦楽三重奏(命中), -
凶魚の宴(準備), @ＳＰアニメ_ひらめき 対象ユニット;@ＳＰアニメ_ひらめき partner(1);音再生 Reload(4).wav
凶魚の宴(攻撃), 同時スーパータックル 赤
凶魚の宴(命中), 同時スーパータックル 赤 Crash.wav
巨鳥の緑羽, 翼 緑
大喰らい(攻撃), 飛びかかり
大喰らい(命中), 頭部噛み付き;吸収
ダイビングプレス(攻撃), 急降下
ダイビングプレス(命中), 踏み潰し
スリープブレス(攻撃), 火炎放射 白 Bubble.wav
スリープブレス(命中), -
毒の息(攻撃), 火炎放射 黒 Bubble.wav
毒の息(命中), 泡 黒 Bubble.wav 
甘美な痺れ(攻撃), 火炎放射 紫 Bubble.wav
甘美な痺れ(命中), 泡 紫 Bubble.wav
吸収(攻撃), 飛びかかり
吸収(命中), 打撃;吸収
鋭い尾針, 刺突
毒針, 刺突 
曲がった大爪, 爪撃 黒
ひきさく豪腕, 大斬撃;黒
麻痺糸(攻撃), ニードルレーザー 白 Whiz.wav
麻痺糸(命中), ニードルレーザー 白 Slash.wav
巻きつく糸(攻撃), ニードルレーザー 白 Whiz.wav
巻きつく糸(命中), 旋風 白 FightHit(3).wav
硬質の顎, 噛み付き
手かせのツタ, 触手
腕蔓, 多触手
耳鳴りのトゲ, ニードル連射
真鉄の鋏, 甲殻鋏 緑
麻痺毒針, 刺突 
眠りの花粉, ＭＡＰ煙 黄
しなやかなツル, 触手 
蹴り, キック
火炎弾, キャノン砲 2 速
来光鳥の光爪, 爪撃 黄
来光鳥の輝嘴(攻撃), タックル
来光鳥の輝嘴(命中), 刺突
デビルクライ(鳥)(準備), オーラ上昇 赤
デビルクライ(鳥)(攻撃), 急降下
デビルクライ(鳥)(命中), スーパータックル 赤 
盲目のトゲ, ニードル連射
虎の鉄牙, 噛み付き
ライザーファング(攻撃), 噛み付き
ライザーファング(命中), 噛み付き;ダメージ 黄
純白の虎牙, 噛み付き
貫く牙(攻撃), 飛びかかり
貫く牙(命中), 噛み付き;噛み付き 
湾曲した爪, 爪撃
必中の刃(攻撃), ロックオン;斬撃
必中の刃(命中), 爪撃 
肉厚の丸葉(攻撃), 花びら 緑;斬撃
肉厚の丸葉(命中), 斬撃
舞い散る花びら(攻撃), 木の葉乱舞
舞い散る花びら(命中), 斬撃;斬撃;斬撃
怪物の大腿(攻撃), タックル
怪物の大腿(命中), 踏み潰し
疾風疾駆(攻撃), ＭＡＰ移動タックル 緑
疾風疾駆(命中), スーパータックル 緑
グレートスパイク, スーパータックル 緑
山椒魚の大口, 噛み付き
顎, 噛み付き接近 青
氷雪の礫, 氷弾;氷弾
からみつき, フォール
癒しの蜜, 粒子集中 黄;回復魔法
コウモリの牙, 噛み付き
ジャンピング, ジャンプ
たたきつけ, フォール
鋼鉄の大爪, 爪撃
惑乱の急襲(攻撃), 急降下
惑乱の急襲(命中), 爪撃;斬撃
強襲(攻撃), 急降下
強襲(命中), 爪撃;斬撃;爪撃;大斬撃
毒の舌, 舌
精魂咬撃(準備), @ＳＰアニメ_ひらめき 対象ユニット;@ＳＰアニメ_ひらめき partner(1);@ＳＰアニメ_ひらめき partner(2);音再生 Reload(4).wav
精魂咬撃(攻撃), ＭＡＰダークネス
精魂咬撃(命中), -
真紅の牙, 噛み付き
大カニの鋏, 甲殻鋏 青
力溜め(準備), オーラ上昇 赤
力溜め(命中), 甲殻鋏 青
剣魚の角(攻撃), タックル
剣魚の角(命中), 刺突
疾風切り(攻撃), 急降下
疾風切り(命中), 斬撃;斬撃
豪血熊の鉤爪, 爪撃 赤
鮮血の大爪(攻撃), 斬撃 赤;斬撃 赤;斬撃 赤
鮮血の大爪(命中), 爪撃 赤;斬撃 赤;爪撃 赤
ヤドカリの鋏, 甲殻鋏 紫
反撃の堅殻, 甲殻鋏 紫;甲殻鋏 紫
体当たり(火)(攻撃), タックル
体当たり(火)(命中), ダメージ 赤
溶岩塊, 火炎弾 赤
体当たり(冷)(攻撃), タックル
体当たり(冷)(命中), ダメージ 青
凍氷岩, 火炎弾 青 
火炎の息吹, 火炎放射
灼熱前歯(攻撃), 噛み付き
灼熱前歯(命中), ダメージ 赤
地獄ネズミ花火(準備), 透明化;@戦闘アニメ_投擲武器準備 Unit\SQ_KaenNezumiU.bmp partner(1)
地獄ネズミ花火(攻撃), 回転投擲武器 Unit\SQ_KaenNezumiU.bmp 32 発光 速 下投げ partner(1);ＭＡＰ大爆発
地獄ネズミ花火(命中), ダメージ 赤
猛火の爪, 爪撃 赤
フレイムクロー(攻撃), 斬撃
フレイムクロー(命中), 爪撃 赤
デビルクライ(猫)(準備), オーラ上昇 赤
デビルクライ(猫), 爪撃 赤
樹液の滴るツル, 触手 茶
黄金の鹿角(攻撃), タックル
黄金の鹿角(命中), 刺突
大鎌斬, なぎ払い
大鎌斬首(準備), -
大鎌斬首(攻撃), 斬撃
大鎌斬首(命中), 斬撃 青 Slash.wav
大鎌斬首(クリティカル), @戦闘アニメ_横分割とどめ -.wav
紫避役の舌, 舌
見えざる舌撃(攻撃), ニードル
見えざる舌撃(命中), ダメージ
フローズンタン(命中), 凍結 Glass.wav
堅石の剣, 鉈 二刀流
パワーレイジ(二)(準備), オーラ上昇 黄
パワーレイジ(二)(攻撃), ショーテル 二刀流
パワーレイジ(二)(命中), 斬撃;大斬撃
ダマスカスの曲刀, ショーテル 二刀流
恐怖の眼光(攻撃), 魔法放射 茶 EvilEye.wav
恐怖の眼光(命中), 魔法放射 茶 EvilEye.wav
煉獄の鎌(準備), ショーテル 二刀流
煉獄の鎌(攻撃), 回転投擲武器 Weapon\EFFECT_Shotel01.bmp
煉獄の鎌(命中), 炎斬撃;炎斬撃
枯森の杖, 杖
森の浸食, ＭＡＰオーラ 緑 Charge.wav
森の結界, ＭＡＰオーラ 緑 Charge.wav
森の結界(クリティカル), @戦闘アニメ_結界発動 緑
腕封の輝き(攻撃), 魔法放射 黄 EvilEye.wav
腕封の輝き(命中), 魔法放射 黄 EvilEye.wav
睡眠の輝き(攻撃), 魔法放射 青 EvilEye.wav
睡眠の輝き(命中), 魔法放射 青 EvilEye.wav
頭封の輝き(攻撃), 魔法放射 白 EvilEye.wav
頭封の輝き(命中), 魔法放射 白 EvilEye.wav
石化の輝き(攻撃), 魔法放射 黒 EvilEye.wav
石化の輝き(命中), 魔法放射 黒 EvilEye.wav
極小の鋭歯, 噛み付き
首刈る風(準備), 強風
首刈る風(攻撃), 振る武器 -.bmp
首刈る風(命中), 斬撃 白 Slash.wav
首刈る風(クリティカル), @戦闘アニメ_横分割とどめ -.wav
呪いの舌(攻撃), ジャンプ;舌
呪いの舌(命中), ダメージ Whip.wav
硬質の顎, 噛み付き
捕縛の糸(攻撃), ニードルレーザー 白 Whiz.wav
捕縛の糸(命中), 旋風 白 FightHit(3).wav
昏睡の花粉, ＭＡＰ煙 黄
炸裂液(準備), 粒子集中 赤 Charge.wav
炸裂液(攻撃), 透明化;ＭＡＰ大爆発
炸裂液(命中), 連続爆発 2
真紅の牙, 噛み付き
フレイムハウル(攻撃), 音波 Beast.wav
フレイムハウル(命中), 爆発
攻撃無効化(鋼の守り), オーラ上昇 紫
解除の光(攻撃), ＭＡＰフラッシュ
解除の光(命中), -
黄金の鋏, 甲殻鋏 黄
天鉄の大爪, 爪撃
仇の刃, 爪撃；斬撃
乱れる荒刃(攻撃), 急降下
乱れる荒刃(命中), 爪撃;斬撃;爪撃;大斬撃
黄金の突牙(攻撃), タックル
黄金の突牙(命中), 刺突
怒涛の牙, スーパータックル 黄
朱色野牛の剛角(攻撃), タックル
朱色野牛の剛角(命中), 刺突
ブルスタンプ, スーパータックル 黒
白銀の銃, 対物ライフル
白銀の狙撃(準備), 対物ライフル
白銀の狙撃(攻撃), ロックオン;対物ライフル
白銀の狙撃(命中), 銃弾
白銀の乱射, 銃撃武器乱射 Weapon\EFFECT_AntiMaterialRifle01.bmp 64 Bullet\EFFECT_Bullet(Black)02.bmp 16
白狐の脚, キック
稲妻呼び, 落雷 黄
天雷(準備), 光球集中;光球集中 partner(1);音再生 Reload(4).wav
天雷(攻撃), ＭＡＰ落雷 黄
天雷(命中), 大落雷
銀狐の脚, キック
拡散する稲妻(攻撃), 破壊光線 Thunder.wav
拡散する稲妻(命中), 落雷 黄 
フリーズ(攻撃), ＭＡＰ凍結
フリーズ(命中), 凍結
スパーク(攻撃), ＭＡＰ放電
スパーク(命中), 放電
切裂魚の螺旋角(攻撃), タックル
切裂魚の螺旋角(命中), 刺突
音速切り(攻撃), 急降下
音速切り(命中), 斬撃;斬撃;大斬撃
うごめく枝葉(攻撃), 触手 茶
うごめく枝葉(命中), -
毒紫の枝, 触手 茶
猛毒の息(攻撃), 火炎放射 紫 Bubble.wav
猛毒の息(命中), 泡 紫 Bubble.wav
大爆炎(準備), 粒子集中 赤 Charge.wav
大爆炎(攻撃), 透明化;ＭＡＰ大爆発
大爆炎(命中), 連続爆発 2
ぶちかまし(攻撃), 透明化;回転投擲武器 ("Unit\" & Info(ユニット,対象ユニットＩＤ,グラフィック))
ぶちかまし(命中), スーパータックル 紫
白いプラズマ(攻撃), 魔法放射 白 EvilEye.wav
白いプラズマ(命中), ダメージ
赤いプラズマ(攻撃), 魔法放射 赤 EvilEye.wav
赤いプラズマ(命中), ダメージ
巨蟻の極爪, 爪撃 黒
地震, ＭＡＰ地震
断末魔の叫び(攻撃), ＭＡＰ強風 Growl.wav
断末魔の叫び(命中), -
断末魔の叫び(クリティカル), @戦闘アニメ_死神とどめ
悪魔の黒根, 触手 黒
戦慄の尾針, 刺突
恐怖の大針, 連突
黒銀の断頭鋏, 甲殻鋏 黒
激怒のはさみ(準備), オーラ上昇 赤 
激怒のはさみ(攻撃), 甲殻鋏 黒;甲殻鋏 黒;甲殻鋏 黒
激怒のはさみ(命中), 甲殻鋏 黒;甲殻鋏 黒;甲殻鋏 黒
キズナメ, @戦闘アニメ_舌攻撃 -.wav 相手ユニットＩＤ;回復魔法
プロテクション発動(古の守り), 網目バリア 古の守り 白 BeamCoat.wav
堕落の煙(攻撃), ＭＡＰ煙 紫
堕落の煙(命中), -
ヤドカリのハサミ, 甲殻鋏 白
チェンジ(近接)(攻撃), 魔法放射 白 EvilEye.wav
チェンジ(近接)(命中), -
チェンジ(遠隔)(攻撃), 魔法放射 白 EvilEye.wav
チェンジ(遠隔)(命中), -
捨て身の治療, 透明化 対象ユニットＩＤ;回復魔法泡 Bubble.wav 相手ユニットＩＤ
異次元の巻き舌, 舌
乱れ大喰らい(攻撃), 飛びかかり
乱れ大喰らい(命中), 噛み付き 連続;頭部噛み付き;吸収
丸飲み, @戦闘アニメ_頭部噛み付き命中 相手ユニットＩＤ;@戦闘アニメ_吸収命中 対象ユニットＩＤ
体当たり(雷), タックル
体当たり(雷)(命中), ダメージ 黄
覚醒, 粒子集中 黄色;変形 SQ4_RaidenJuuU.bmp
大放電(攻撃), @戦闘アニメ_大放電準備 黄;ＭＡＰ放電
大放電(命中), 大放電
# 特殊ザコ
世界樹の小葉, 花びら 緑
世界樹の中葉, 花びら 緑
世界樹の大葉, 花びら 緑
じゃれる(攻撃), タックル
じゃれる(命中), フォール
銑鉄の牙, 噛み付き
甘噛み(攻撃), 噛み付き接近 白
甘噛み(命中), 噛み付き;噛み付き 連続;頭部噛み付き
両手を下げる(攻撃), @戦闘アニメ_変形 SQ3_KeseranPasaranU.bmp
両手を下げる(命中), -
自爆, 自爆
大発火(攻撃), 炎の壁
大発火(命中), 大爆発
大放電(単)(攻撃), @戦闘アニメ_大放電準備 黄;投擲武器 Light\EFFECT_LargeLightning(Yellow)03.bmp 64
大放電(単)(命中), 大放電
逃走, 透明化;煙
#  解説(～の呪文を唱えたの表示防止用)
攻撃(解説), $(ユニット)は$(武器)で攻撃をかけた。
