
前原圭一・転校生のバット
転校生のバット(準備),            振る武器 DGoods\EFFECT_MetalButt01.bmp 32
対鉈女用モップ(攻撃),            振り上げ
対鉈女用モップ(攻撃),            なぎ払い
対鉈女用モップ(命中),            ダメージ
催涙スプレー噴射(準備),          -
催涙スプレー噴射(攻撃),          煙噴射 青
催涙スプレー噴射(命中),          煙 青
ダブル撃退スプレー(準備),        -
ダブル撃退スプレー(攻撃),        ２連中ビーム 青
ダブル撃退スプレー(命中),        ２連中ビーム 青
消毒スプレー(準備),              -
消毒スプレー(攻撃),              火炎放射
消毒スプレー(命中),              火炎放射
消毒スプレー(クリティカル),      炎

古手梨花・祭具殿の鎌
祭具殿の鎌(準備),                巨大鎌
祭具殿の鎌(攻撃),                なぎ払い
祭具殿の鎌(攻撃),                振り上げ
祭具殿の鎌(攻撃),                白兵回転
祭具殿の鎌(命中),                斬撃
カケラ遊び(準備),                -
カケラ遊び(攻撃),                ２ＷＡＹ射出
カケラ遊び(命中),                小ビーム 青 ランダム方向;小ビーム 青 ランダム方向
運命の選択(準備),                巨大鎌
運命の選択(攻撃),                波動放射
運命の選択(命中),                斬撃
カケラ集め(準備),                -
カケラ集め(攻撃),                ８ＷＡＹ射出;ビームショットキャノン 青
カケラ集め(命中),                ビームショットキャノン 青



園崎詩音・コンバットナイフ
コンバットナイフ(準備),          ナイフ 二刀流
コンバットナイフ(攻撃),          なぎ払い
コンバットナイフ(攻撃),          斬撃 二刀流
コンバットナイフ(攻撃),          振り下ろし
コンバットナイフ(攻撃),          白兵回転
コンバットナイフ(命中),          斬撃 二刀流
十字カッター(準備),              ナイフ 二刀流
十字カッター(攻撃),              斬撃 二刀流;気斬
十字カッター(命中),              斬撃
電気ヨーヨー(準備),              ヨーヨー
電気ヨーヨー(攻撃),              ヨーヨー
電気ヨーヨー(命中),              ダメージ;放電
スピニングクロスナイフ(準備),    ナイフ 二刀流
スピニングクロスナイフ(攻撃),    スーパータックル 黄
スピニングクロスナイフ(命中),    スーパータックル 黄;斬撃乱舞

園崎詩音・改造スタンガン
改造スタンガン(準備),            -
改造スタンガン(攻撃),            なぎ払い
改造スタンガン(攻撃),            斬撃 二刀流
改造スタンガン(攻撃),            振り下ろし
改造スタンガン(攻撃),            白兵回転
改造スタンガン(攻撃),            サマーソルト
改造スタンガン(攻撃),            浴びせ蹴り
改造スタンガン(攻撃),            飛びかかり
改造スタンガン(命中),            ダメージ
スタンコレダー(準備),            -
スタンコレダー(攻撃),            大放電 対象ユニットＩＤ
スタンコレダー(命中),            大放電
大電荷スフィア,                  球電
超出力サンダーストーム(準備),    -
超出力サンダーストーム(攻撃),    大電撃
超出力サンダーストーム(攻撃),    「スタンガン出力１２０％！ こいつで立てる奴はいないよ」;大電撃
超出力サンダーストーム(命中),    大電撃

園崎詩音・地下祭具殿の鞭
地下祭具殿の鞭,                  鞭 二刀流
キャプチャーウィップ(準備),      鞭
キャプチャーウィップ(攻撃),      鞭
キャプチャーウィップ(命中),      ダメージ Whip.wav;斬撃
スラッシュアウト(準備),          鞭 二刀流
スラッシュアウト(攻撃),          斬撃 二刀流;気斬
スラッシュアウト(命中),          斬撃
トリプルスラッシュアウト(準備),  鞭 二刀流
トリプルスラッシュアウト(攻撃),  斬撃乱舞;気斬;気斬;気斬
トリプルスラッシュアウト(命中),  斬撃;斬撃;斬撃



羽入・神の世界
反射(因果修正),                  バリア
格闘(準備),                      -
格闘(攻撃),                      タックル
格闘(攻撃),                      スピンキック
格闘(攻撃),                      バックキック
格闘(攻撃),                      ヘッドバット
格闘(攻撃),                      「あぅ～！ そこをどいて～！！」;タックル
格闘(命中),                      ダメージ
時軸干渉(準備),                  -
時軸干渉(攻撃),                  重力弾
時軸干渉(命中),                  魔法集中 黒
時軸干渉(クリティカル),          時間
因果修正(攻)(準備),              -
因果修正(攻)(攻撃),              実弾発射 Action\EFFECT_LightBubble04.bmp 32 Whiz.wav
因果修正(攻)(攻撃),              「オヤシロバリアー！」;実弾発射 Action\EFFECT_LightBubble04.bmp 32 Whiz.wav
因果修正(攻)(命中),              ダメージ 水色
神域展開(準備),                  -
神域展開(攻撃),                  フラッシュ 黒 対象ユニットＩＤ;光圧縮 黒 対象ユニットＩＤ
神域展開(命中),                  乱打
突進(準備),                      -
突進(攻撃),                      「ハリケーンミキサーです！」;スーパータックル 青
突進(攻撃),                      「ロングホーントレインです！」;スーパータックル 青
突進(攻撃),                      「グレートホーンです！」;スーパータックル 青
突進(命中),                      超打

羽入・鬼狩柳桜
格闘(準備),                      -
格闘(攻撃),                      タックル
格闘(攻撃),                      スピンキック
格闘(攻撃),                      バックキック
格闘(攻撃),                      ヘッドバット
格闘(攻撃),                      「あぅ～！！ そこをどいて～！！」;タックル
格闘(命中),                      ダメージ
羽入タッチ,                      気弾 白
カミナリスパーク(準備),          -
カミナリスパーク(攻撃),          気弾 白
カミナリスパーク(命中),          落雷
カミナリスパーク(命中),          落雷
カミナリスパーク(命中),          「カミナリなのです！」;落雷
オヤシロビーム,                  中ビーム 白
オヤシロビーム,                  中ビーム 白
オヤシロビーム,                  中ビーム 白
鬼狩柳桜(準備),                  振る武器 Weapon\EFFECT_Sichisitou02.bmp 32
鬼狩柳桜(攻撃),                  白兵武器
鬼狩柳桜(攻撃),                  なぎ払い
鬼狩柳桜(攻撃),                  振り上げ
鬼狩柳桜(攻撃),                  刺突
鬼狩柳桜(攻撃),                  回転斬撃
鬼狩柳桜(命中),                  大斬撃
神の手,                          気弾 白
雷陣(準備),                      -
雷陣(攻撃),                      気弾 白
雷陣(命中),                      大落雷
柳桜閃哮,                        超ビーム 白
抜刀,                            光噴出 白



大石蔵人・愛用の拳銃
格闘(準備),                      -
格闘(攻撃),                      打突
格闘(攻撃),                      アッパー
格闘(攻撃),                      キック
格闘(攻撃),                      タックル
格闘(攻撃),                      白兵回転
格闘(命中),                      ダメージ
ジャスティスショット(準備),      ニューナンブ
ジャスティスショット(攻撃),      手持ち発射 Weapon\EFFECT_NewNanbu01.bmp 32 対象ユニットＩＤ Bullet\EFFECT_AuraBall01.bmp 32 Gun.wav
ジャスティスショット(命中),      爆発
閃光弾,                          閃光手榴弾
手錠投げ,                        手錠
蔵ちゃん肉弾プレス(準備),        -
蔵ちゃん肉弾プレス(攻撃),        本体落下
蔵ちゃん肉弾プレス(攻撃),        「くらちゃ～ん、肉弾ぷれぇすっ！」;本体落下
蔵ちゃん肉弾プレス(命中),        本体落下;地面衝撃

大石蔵人・ハイパーアーム
格闘(準備),                      -
格闘(攻撃),                      打突
格闘(攻撃),                      アッパー
格闘(攻撃),                      キック
格闘(攻撃),                      タックル
格闘(攻撃),                      白兵回転
格闘(命中),                      ダメージ
人間砲弾スルー,                  投げ飛ばし
デンジャラススイング,            ジャイアントスイング
豪殺錐揉み投げ(準備),            -
豪殺錐揉み投げ(攻撃),            スクリュードライバー
豪殺錐揉み投げ(攻撃),            「畳じゃないから…痛いですよおおおぉぉ！！」;スクリュードライバー
豪殺錐揉み投げ(命中),            スクリュードライバー;大爆発
早出し豪殺錐揉み投げ(準備),      -
早出し豪殺錐揉み投げ(攻撃),      スクリュードライバー
早出し豪殺錐揉み投げ(攻撃),      「畳じゃないから…痛いですよおおおぉぉ！！」;スクリュードライバー
早出し豪殺錐揉み投げ(命中),      スクリュードライバー;大爆発

大石蔵人・押収品倉庫
格闘(準備),                      -
格闘(攻撃),                      打突
格闘(攻撃),                      アッパー
格闘(攻撃),                      キック
格闘(攻撃),                      タックル
格闘(攻撃),                      白兵回転
格闘(命中),                      ダメージ
取り出す(解説),                  大石は押収品倉庫から押収した武器を取り出した。
取り出す,                        -
アイアン(準備),                  振る武器転送 DGoods\EFFECT_TitanHeadDriver01.bmp 32
アイアン(攻撃),                  回転投擲武器 DGoods\EFFECT_TitanHeadDriver01.bmp 32
アイアン(命中),                  ダメージ
バケツ(準備),                    振る武器転送 DGoods\EFFECT_MetalDrum01.bmp 32
バケツ(攻撃),                    白兵武器
バケツ(命中),                    ダメージ
水鉄砲(準備),                    振る武器転送 Weapon\EFFECT_SuperGun01.bmp 32
水鉄砲(攻撃),                    光弾銃 青 Weapon\EFFECT_SuperGun01.bmp 32;光弾銃 青 Weapon\EFFECT_SuperGun01.bmp 32
水鉄砲(命中),                    飛沫 青 Acid.wav;飛沫 青 Acid.wav
スタンガン(準備),                -
スタンガン(攻撃),                白兵武器;球電
スタンガン(命中),                球電
催涙スプレー(準備),              -
催涙スプレー(攻撃),              煙噴射 青
催涙スプレー(命中),              煙 青
オイル缶(準備),                  振る武器転送 DGoods\EFFECT_TinCan01.bmp 32
オイル缶(攻撃),                  投擲武器 DGoods\EFFECT_TinCan01.bmp 32
オイル缶(命中),                  大爆発
取り扱い注意品(解説),            大石は押収品倉庫から押収した危険物を取り出した。
取り扱い注意品,                  -
核兵器(準備),                    振る武器転送 Weapon\EFFECT_Bazooka02.bmp 48
核兵器(攻撃),                    バスタービームランチャー 白 Weapon\EFFECT_Bazooka02.bmp 48
核兵器(命中),                    超爆発
暴徒鎮圧用放水銃(準備),          振る武器転送 Weapon\EFFECT_BeamRifle01.bmp.bmp 32
暴徒鎮圧用放水銃(攻撃),          ビームランチャー 青 Weapon\EFFECT_BeamRifle01.bmp 32
暴徒鎮圧用放水銃(命中),          中ビーム 青
角材(準備),                      -
角材(攻撃),                      スピンキック;中ビーム 橙 Whiz.wav
角材(命中),                      超打 Crash.wav
蔵ちゃん肉弾プレス(準備),        -
蔵ちゃん肉弾プレス(攻撃),        本体落下
蔵ちゃん肉弾プレス(攻撃),        「くらちゃ～ん、肉弾ぷれぇすっ！」;本体落下
蔵ちゃん肉弾プレス(命中),        本体落下



赤坂衛・波動の極意書
格闘(準備),                      -
格闘(攻撃),                      打突
格闘(攻撃),                      スピンキック
格闘(攻撃),                      白兵回転
格闘(命中),                      ダメージ
波動弾,                          気弾 白 遅
練気波動弾,                      気弾 白 速
操気波動弾,                      気弾 白

赤坂衛・空手の極意書
格闘(準備),                      -
格闘(攻撃),                      打突
格闘(攻撃),                      スピンキック
格闘(攻撃),                      白兵回転
格闘(命中),                      ダメージ
疾空拳(準備),                    -
疾空拳(攻撃),                    打突;旋風
疾空拳(命中),                    旋風
竜口拳(準備),                    -
竜口拳(攻撃),                    タックル;打突
竜口拳(命中),                    超打
虚空翔竜拳(準備),                -
虚空翔竜拳(攻撃),                タックル;打突;旋風
虚空翔竜拳(命中),                超打;旋風

赤坂衛・刹那の極意書
格闘(準備),                      -
格闘(攻撃),                      打突
格闘(攻撃),                      スピンキック
格闘(攻撃),                      白兵回転
格闘(命中),                      ダメージ
上段受け踏み込み(準備),          -
上段受け踏み込み(攻撃),          タックル;打突
上段受け踏み込み(命中),          ダメージ
疾空拳・応(準備),                発光 青
疾空拳・応(攻撃),                光球 白
疾空拳・応(命中),                ダメージ
不動拳(準備),                    発光 青
不動拳(攻撃),                    スーパータックル 青
不動拳(攻撃),                    「来たまえ！ 僕は逃げない！」;スーパータックル 青
不動拳(命中),                    超打



富竹ジロウ・サバイバルカメラ
格闘(準備),                      -
格闘(攻撃),                      打突
格闘(攻撃),                      バックキック
格闘(攻撃),                      アッパー
格闘(攻撃),                      スピンキック
格闘(攻撃),                      タックル
格闘(攻撃),                      キック
格闘(命中),                      ダメージ
殺人フラッシュ(準備),            -
殺人フラッシュ(攻撃),            発光 黄 対象ユニットＩＤ
殺人フラッシュ(攻撃),            「富竹フラッシュ！」;発光 黄 対象ユニットＩＤ
殺人フラッシュ(攻撃),            「食らえ、富竹フラッシュ！」;発光 黄 対象ユニットＩＤ
殺人フラッシュ(命中),            発光 黄
飛び込み殺人フラッシュ(準備),    -
飛び込み殺人フラッシュ(攻撃),    タックル;発光 黄 対象ユニットＩＤ
飛び込み殺人フラッシュ(攻撃),    タックル;「富竹フラッシュ！」;発光 黄 対象ユニットＩＤ
飛び込み殺人フラッシュ(攻撃),    タックル;「食らえ、富竹フラッシュ！」;発光 黄 対象ユニットＩＤ
飛び込み殺人フラッシュ(命中),    発光 黄
富竹フラッシュ(準備),            -
富竹フラッシュ(攻撃),            フラッシュ 黄
富竹フラッシュ(命中),            発光 黄
富竹Ｂメモリアル(準備),          -
富竹Ｂメモリアル(攻撃),          フラッシュ 黄
富竹Ｂメモリアル(攻撃),          「君の輝き、いただきさ！」;フラッシュ 黄
富竹Ｂメモリアル(命中),          光圧縮 黄

富竹ジロウ・霊能写真機
格闘(準備),                      -
格闘(攻撃),                      打突
格闘(攻撃),                      バックキック
格闘(攻撃),                      アッパー
格闘(攻撃),                      スピンキック
格闘(攻撃),                      タックル
格闘(攻撃),                      キック
格闘(命中),                      ダメージ
怪奇フレーム(準備),              -
怪奇フレーム(攻撃),              音波 Whiz.wav
怪奇フレーム(命中),              ダメージ 青 Whiz.wav
富竹角材クラッシュ(準備),        -
富竹角材クラッシュ(攻撃),        中ビーム 橙 Whiz.wav
富竹角材クラッシュ(命中),        超打 Bazooka.wav
富竹角材ホームラン(準備),        -
富竹角材ホームラン(攻撃),        スピンキック;中ビーム 橙 Whiz.wav
富竹角材ホームラン(攻撃),        「富竹、角材ホォォォォォォォムラン！！」;スピンキック;中ビーム 橙 Whiz.wav
富竹角材ホームラン(命中),        超打 Crash.wav

富竹ジロウ・サブマシンガン
格闘(準備),                      -
格闘(攻撃),                      打突
格闘(攻撃),                      バックキック
格闘(攻撃),                      アッパー
格闘(攻撃),                      スピンキック
格闘(攻撃),                      タックル
格闘(攻撃),                      キック
格闘(命中),                      ダメージ
流し撃ち,                        マシンガン
望遠富竹フラッシュ(準備),        -
望遠富竹フラッシュ(攻撃),        発光 黄 対象ユニットＩＤ
望遠富竹フラッシュ(命中),        発光 黄
ロコモーションタックル(準備),    -
ロコモーションタックル(攻撃),    ＭＡＰ移動タックル 黄
ロコモーションタックル(命中),    超打



鷹野三四・毒入り注射器
格闘(準備),                      -
格闘(攻撃),                      キック
格闘(攻撃),                      スピンキック
格闘(攻撃),                      アッパー
格闘(攻撃),                      タックル
格闘(攻撃),                      バックキック
格闘(命中),                      ダメージ
体力毒注入(準備),                -
体力毒注入(攻撃),                投擲武器 DGoods\EFFECT_SharpPencil01.bmp 32
体力毒注入(命中),                刺突
体力毒広域散布(準備),            -
体力毒広域散布(攻撃),            投擲武器 DGoods\EFFECT_SharpPencil01.bmp 40
体力毒広域散布(命中),            大爆発 紫
致死毒注入(準備),                -
致死毒注入(攻撃),                火炎放射 紫
致死毒注入(命中),                火炎放射 紫

鷹野三四・毒ガススプレー缶
格闘(準備),                      -
