
封神演義
太極図(準備), 魔法陣 黒 WindowOpen(3).wav
攻撃無効化(紫綬羽衣), マント 白 swing.wav 紫綬羽衣
声, 音波
拳百万連発, スピンアタック
岩石, 岩
押印(準備), ダブルビームランチャー
押印(攻撃), 文字投射 "番天" 赤 Cannon.wav 対象ユニットＩＤ
押印(命中), -
押印(クリティカル), 決め文字 "番天" 赤 Shock(Low).wav 前面 相手ユニットＩＤ
集団押印(準備), ダブルビームランチャー
集団押印(攻撃), 実弾発射 EFFECT_HOUSHIN_Bantenin.bmp Cannon.wav
集団押印(命中), -
集団押印(クリティカル), 決め画像 EFFECT_HOUSHIN_Bantenin.bmp Shock(Low).wav 前面 相手ユニットＩＤ
番天<Ｍ>(準備), -
番天<Ｍ>(攻撃), ホーミングレーザー 赤
番天<Ｍ>(命中), 中ビーム 赤
番天, 中ビーム 赤
陰陽鏡(準備), -
陰陽鏡(攻撃), 周囲回転 Magic\EFFECT_OnmyouTaikyokuzu01.bmp WindowOpen(3).wav 3
陰陽鏡(命中), オールレンジ;超爆発
土砂(準備), オーラ上昇 黒
土砂(攻撃), 火炎放射 MicroMissile.wav
土砂(命中), 火炎放射 Shock(Low).wav
オールレンジ攻撃(準備), -
オールレンジ攻撃(攻撃), ８ＷＡＹ射出 beam.wav
オールレンジ攻撃(命中), 連続大爆発
開天珠(準備), -
開天珠(攻撃), 気弾 beam.wav
開天珠(命中), 大爆発
水の膜(準備), 粒子集中 青
水の膜(攻撃), ＭＡＰオーラ 青 Shower.wav
水の膜(命中), -
津波(命中), ダメージ 青 Splash.wav
水の鎌, 光巨大鎌 青
水の鎌, 光鎌 青 二刀流
混元珠(準備), 粒子集中 青
混元珠(攻撃), 大ビーム 青 Splash.wav
混元珠(命中), 大ビーム 青 Crash.wav
拌黄珠, ニードルレーザー連射 黄
阻止(武器自動回避), 分身 AntiAirMissile.wav 自動回避
劈地珠(準備), -
劈地珠(攻撃), ＭＡＰ石柱 Cannon.wav
劈地珠(命中), 超アッパー Crash.wav
岩石(準備), -
岩石(攻撃), 光噴出 緑 GunPod.wav 対象ユニットＩＤ
岩石(命中), ロケットパンチ Weapon\EFFECT_Rock01.bmp Crash.wav
岩石(命中), 石柱 Crash.wav
大地の力, 回復魔法
攻撃無効化(大地の壁), シールド防御 Common\EFFECT_StonePiller04.bmp 32 Crash.wav 大地の壁
無数の刃(準備), 長ドス
無数の刃(攻撃), 白兵武器;ニードル連射
無数の刃(命中), 乱突
無数の刃(命中), 斬撃乱舞
青雲剣(準備), 長ドス
青雲剣(攻撃), 白兵武器
青雲剣(命中), 斬撃乱舞
青雲剣(命中), 乱突
蓄積エネルギー,  中ビーム オレンジ
黒琵琶<Ｍ>(準備), -
黒琵琶<Ｍ>(攻撃), ＭＡＰ音符
黒琵琶<Ｍ>(命中), -
黒琵琶(準備), -
黒琵琶(攻撃), 音波
黒琵琶(命中), -
捕食消化(攻撃), ＭＡＰ移動タックル 黒
捕食消化(命中), ダメージ Crash.wav
破壊の呪符(準備), お札
破壊の呪符(攻撃), お札
破壊の呪符(命中), 大爆発
落魂の呪符(準備), 周囲回転 Weapon\EFFECT_MandaraCard01.bmp 32 Whiz.wav 3
落魂の呪符(攻撃), ２連中ビーム 黄
落魂の呪符(命中), 拡散ビーム 黄
格闘宝貝(準備), -
格闘宝貝(攻撃), 白兵武器
格闘宝貝(命中), 斬撃
射撃宝貝(準備), -
射撃宝貝(攻撃), 魔法陣 赤 Beam.wav 対象ユニットＩＤ
射撃宝貝(命中), 爆発
援護宝貝(準備), -
援護宝貝(攻撃), 魔法陣 青 BeamSaber.wav 対象ユニットＩＤ;魔法陣 青 -.wav 相手ユニットＩＤ
援護宝貝(命中), -
攻撃無効化(防御宝貝), 魔法陣 緑 BeamCoat.wav
バリア発動, センタリング;Sharara.wav;Anime\HOUSHIN_HakkeJin.bmp 256 256 - - 透過;5
火竜標(準備), スーパーブーメラン Fire.wav 赤
火竜標(攻撃), 波動放射 赤 速 残像 Breath.wav
火竜標(命中), 火柱 Explode(Far).wav
二連火竜標(準備), スーパーブーメラン Fire.wav 赤 二刀流
二連火竜標(攻撃), ２連小ビーム 赤 Breath.wav
二連火竜標(命中), ホーミングレーザー 赤 Explode(Far).wav
九竜神火罩(準備), 振る武器 Anime\Shield\EFFECT_SFShield01.bmp reload.wav 二刀流
九竜神火罩(攻撃), ２ＷＡＹ射出 Beam.wav
九竜神火罩(命中), -
九竜神火罩(クリティカル), 変形 Anime\Shield\EFFECT_SFShield03.bmp Sword.wav;石化
携帯修理装置(使用), @戦闘アニメ_ドリル攻撃 Drill.wav
携帯修理装置(発動), 飛沫 赤 Drill.wav;飛沫 赤 Drill.wav
スポーツ！(準備), -
スポーツ！(攻撃), 連打
スポーツ！(命中), 打撃 BreakOff.wav;打撃 BreakOff.wav;アッパー Crash.wav
莫邪の宝剣２(準備), 光棒 青 BeamSaber.wav
莫邪の宝剣２(攻撃), 白兵武器
莫邪の宝剣２(命中), ビームサーベル 青
莫邪の宝剣二刀流(準備), 光棒 青 二刀流 BeamSaber.wav
莫邪の宝剣二刀流(攻撃), 白兵武器 二刀流
莫邪の宝剣二刀流(命中), ビームサーベル 青 二刀流
斬仙剣, 剣
音速の剣(準備), -
音速の剣(攻撃), なぎ払い Beam.wav
音速の剣(命中), 大斬撃
音速の剣(命中), 超斬撃
万能包丁, 出刃包丁
万能包丁アタック(準備), 出刃包丁 Sword.wav
万能包丁アタック(攻撃), ニードル連射 MultipleRocketLauncher(Light).wav
万能包丁アタック(命中), 斬撃乱舞
カタナ, 日本刀
梱仙縄(準備), -
梱仙縄(攻撃), 触手乱舞 橙 MultipleRocketLauncher(Light).wav
梱仙縄(命中), 触手乱舞 橙 BreakOff.wav
瑠璃瓶(準備), ロケットランチャー
瑠璃瓶(攻撃), ロケットランチャー;ＭＡＰ大爆発
瑠璃瓶(命中), ダメージ Crash.wav
炎の鉄拳, スーパーパンチ 赤
落魂鐘(準備), ベル
落魂鐘(攻撃), 音波
落魂鐘(命中), 連続爆発 紫;大爆発 紫
#変化の術(武装)(攻撃), @戦闘アニメ_分身発動 Hide.wav "変化の術"  対象ユニットＩＤ
太陽針(攻撃), 発光 黄 Glass.wav 対象ユニットＩＤ
太陽針(命中), 乱突
霊獣石化ガス, 煙
縛竜索(準備), 鞭
縛竜索(攻撃), 刺突
縛竜索(攻撃), 乱突
縛竜索(命中), 斬撃
金蛟剪, 竜炎 白 爆発 大
金蛟剪・虹竜, 交差ビーム 白 黒
金蛟剪(三姉妹), 交差ビーム 白 黒
金蛟剪・七色虹竜, 拡散ビーム
合体虹竜, 竜炎 黄 爆発 大
根, 触手乱舞
食虫植物(準備), -
食虫植物(攻撃), 甲殻鋏 緑
食虫植物(命中), 噛み付き
混元金斗, 強風
究極黄河陣, 重力弾
攻撃無効化(究極黄河陣), 暗黒バリア Sharara.wav 究極黄河陣
目から怪光線, ２連小ビーム
愛の泉のあふるる壺, 強風
神の見えざる手(準備), -
神の見えざる手(攻撃), フラッシュ Sharara.wav
神の見えざる手(命中), 連斬撃
瘟皇傘(準備), スーパーガン
瘟皇傘(攻撃), 火炎放射 紫 Breath.wav
瘟皇傘(命中), 火炎放射 紫 Breath.wav
握りつぶし, 踏み潰し
ボンベ爆発, 超自爆
殺人ウイルス(準備), 放水銃
殺人ウイルス(攻撃), ＭＡＰ煙 紫
殺人ウイルス(命中), 煙 紫
殺人ウイルス直撃(準備), 放水銃
殺人ウイルス直撃(攻撃), 火炎放射 紫 Breath.wav
殺人ウイルス直撃(命中), 火炎放射 紫 Breath.wav
万里起雲煙(準備), 弓
万里起雲煙(攻撃), 拡散ビーム 赤
万里起雲煙(命中), ホーミングレーザー 赤 Explode(Small).wav
火鴉壺(準備), 炎 Fire.wav
火鴉壺(攻撃), 怪鳥召喚
火鴉壺(命中), 火柱 Explode.wav
万刃車, 手裏剣
化血神刀(準備), 棘鉄球投擲
化血神刀(攻撃), 回転投擲武器 Weapon\EFFECT_IronBall02.bmp
化血神刀(命中), 回転斬撃
原型(準備), 陰陽太極図
原型(攻撃), 変形 Anime\Weapon\EFFECT_Youtou01.bmp;スーパータックル 黒
原型(命中), 黒斬撃
ブレード, 胡蝶刀
六魂幡, 重力弾
寄生宝貝, 粒子噴射 黒
紅水陣(攻撃), ＭＡＰオーラ 赤
紅水陣(命中), 煙 赤 SHOWER.WAV
高速風化(攻撃), 音再生 Storm.wav;ＭＡＰ煙 黄 -.wav
高速風化(命中), 時間
砂の巨人(攻撃), 煙噴射 黄 storm.wav
砂の巨人(命中), 超アッパー
砂の巨人(命中), 超打
ＬＶ２ゲーム(準備), トランプ
ＬＶ２ゲーム(攻撃), 陰陽太極図
ＬＶ２ゲーム(命中), -
ＬＶ３クイズ(準備), スクロール
ＬＶ３クイズ(攻撃), 陰陽太極図
ＬＶ３クイズ(命中), -
ＬＶ５反則, 陰陽太極図
ぬいぐるみ爆弾(準備), 投擲武器 Anime\Animal\EFFECT_Pig01.bmp
ぬいぐるみ爆弾(攻撃), 回転投擲武器 Anime\Animal\EFFECT_Pig01.bmp;ＭＡＰ大爆発
ぬいぐるみ爆弾(命中), 強打 Crash.wav
引きずり込む風, 旋風
竜巻(董天君)(攻撃), ＭＡＰ強風 storm.wav
竜巻(董天君)(命中), 強風
暴風, 旋風
吹雪(攻撃), 音再生 Storm.wav;ＭＡＰ吹雪 -.wav
吹雪(命中), 吹雪
氷の世界(攻撃), 音再生 Charge(Slow).wav;ＭＡＰ氷柱 -.wav
氷の世界(命中), 氷柱 Glass.wav
巨大雹(攻撃), 泡球
巨大雹(命中), 強打 Glass.wav
地烈陣(攻撃), ＭＡＰ石柱
地烈陣(命中), 強打
光の屈折, ＭＡＰ発光
浮かぶ手(準備), 両手ロケットパンチ
浮かぶ手(攻撃), 両手ロケットパンチ Swing.wav
浮かぶ手(命中), 投げ飛ばし
影化(攻撃), 中ビーム 黄
影化(命中), ユニット変色 黒 BeamCoat.wav
炎, 火炎弾
隕石, 隕石
烈焔陣＋天絶陣, ＭＡＰ大キャノン砲
元始砲, 超ビーム
崑崙の仙道達, 連気弾
通天砲, 巨大ビーム
蒼巾力士, 連気弾



//莫邪の宝剣を一本持っている絵である前提のアニメ

黄天化(藤崎封神)
鑚心釘(準備), ビームナイフ 青 BeamSaber.wav
鑚心釘(攻撃), ２連小ビーム 青 Swing(2).wav
鑚心釘(命中), 連突
莫邪の宝剣(準備), 音再生 BeamSaber.wav
莫邪の宝剣(攻撃), 白兵武器
莫邪の宝剣(攻撃), タックル
莫邪の宝剣(命中), ビームサーベル 青
莫邪の宝剣二刀流(準備), ライトセイバー 青 BeamSaber.wav
莫邪の宝剣二刀流(攻撃), 白兵連撃
莫邪の宝剣二刀流(攻撃), タックル
莫邪の宝剣二刀流(命中), ビームサーベル 青 二刀流


黄天祥(藤崎封神)
槍(準備), -
槍(攻撃), タックル Swing.wav
槍(攻撃), 浴びせ蹴り
槍(攻撃), デフォルト Bow.wav
槍(命中), 大刺突

ジョカ(藤崎封神)
攻撃無効化, 決め画像 Magic\EFFECT_OnmyouTaikyokuzu01.bmp Inori.wav 前面


紂王(藤崎封神)
斬撃(準備), -
斬撃(攻撃), 地表衝撃波
斬撃(命中), 超斬撃



