#ハカイダーショットの画像は丸投げパック投稿済です

人造人間
ダブルチョップ(攻撃),			ダブル斬撃 Whiz.wav
毒の爪,					爪撃
コンドル手裏剣,				手裏剣
コンドルブーメラン(攻撃),		スーパーブーメラン 白 Swing(2).wav
コンドルブーメラン(命中),		回転斬撃 Saber.wav
コンドル光線,				特殊光線 赤
アームアロー,				ドリル
殺人高熱エネルギー,			中ビーム 白
ウルフパンチ(攻撃),			格闘
ウルフパンチ(命中),			強打 FightHit(1).wav
ウルフビーム,				２連小ビーム 赤
ウルフバズーカ(準備),			-
ウルフバズーカ(攻撃),			棘鉄球投擲 Bazooka.wav
ウルフバズーカ(命中),			強打 FightHit(1).wav
キャットクロー(攻撃),			格闘
キャットクロー(命中),			爪撃 FightHit(1).wav
猫爪ミサイル(攻撃),			重機関砲 MicroMissile.wav
猫爪ミサイル(命中),			連続爆発
キャットファイヤー,			火炎弾
タイガーリング(攻撃),			手錠 Bazooka.wav
タイガーリング(命中),			強打 FightHit(1).wav
タイガーガン,				キャノン砲 2
超回避(タイガー微塵隠れ),		煙 白 Explode(Small).wav
トータスガス弾(攻撃),			２ＷＡＹ射出 Bazooka.wav
トータスガス弾(命中),			煙 白 Explode(Small).wav
ギンガメバサミ(攻撃),			格闘
ギンガメバサミ(命中),			斬撃 FightHit(1).wav
パイナップル爆弾(攻撃),			ベアリング
パイナップル爆弾(命中),			連続爆発
ローリングボール(攻撃),			回転 FlyBy.wav
ローリングボール(命中),			連打 FightHit(1).wav
コウモリフラッシュ(攻撃),		発光 白 BeamCoat.wav
コウモリフラッシュ(命中),		発光 白 BeamCoat.wav
殺人テクニック(攻撃),			格闘
殺人テクニック(命中),			連打 FightHit(1).wav
コウモリ投げ(攻撃),			飛びかかり
コウモリ投げ(命中),			スクリュードライバー Crash.wav
コウモリ投げ(命中),			ジャイアントスイング Crash.wav
渦巻き催眠術,				音波
粘液(準備),				-
粘液(攻撃),				火炎弾 ホワイト Missile.wav
粘液(命中),				飛沫 ホワイト BreakOff.wav
破壊レーザー,				２連小ビーム 白
カメレオンテール(攻撃),			スピンキック 1 Swing(2).wav
カメレオンテール(命中),			強打 FightHit(1).wav
ミサイル弾(攻撃),			重機関砲 MicroMissile.wav
ミサイル弾(命中),			連続爆発
殺人毒ガス(攻撃),			粒子噴射 赤 Breath.wav
殺人毒ガス(命中),			煙 赤 Explode(Small).wav
発狂毒針(攻撃),				格闘
発狂毒針(命中),				刺突
アオタガメスモーク(攻撃),		粒子噴射 緑 Breath.wav
アオタガメスモーク(命中),		煙 緑 Explode(Small).wav
タガメ毒液(攻撃),			火炎放射 青 Breath.wav
カブトガニフォーム(命中),		火炎放射 青 Breath.wav
アオタガメ鎖鎌(攻撃),			２ＷＡＹ射出 Bazooka.wav
アオタガメ鎖鎌(命中),			噛み付き FightHit(1).wav
鬼牛殺し角(攻撃),			ダブル斬撃 Whiz.wav
鬼牛殺し角(命中),			ダブル斬撃 FightHit(1).wav
ダーク新型ペスト(攻撃),			粒子噴射 黒 Breath.wav
ダーク新型ペスト(命中),			煙 黒
電撃ネズミ花火(準備),			Reload.wav
電撃ネズミ花火(攻撃),			重機関砲 Beamvalcan.wav
電撃ネズミ花火(命中),			連続爆発
ネズミ爆弾,				ドリルミサイル
ネズミギロチン(攻撃),			なぎ払い Swing(2).wav
ネズミギロチン(命中),			強打 FightHit(1).wav;噛み付き FightHit(1).wav;噛み付き FightHit(1).wav
クラゲ煙幕(攻撃),			火炎放射 黒 Breath.wav
クラゲ煙幕(命中),			火炎放射 黒 Breath.wav
クラゲムチ,				触手
ミニ毒クラゲ(攻撃),			４ＷＡＹ射出
ミニ毒クラゲ(命中),			オールレンジ Stab.wav
クラゲソード(攻撃),			ニードル Swing(2).wav
クラゲソード(命中),			ニードル FightHit(1).wav
左手のムチ(攻撃),			振り下ろし Swing(2).wav
左手のムチ(命中),			強打 FightHit(1).wav
右手の爪(攻撃),				格闘
右手の爪(命中),				斬撃 FightHit(1).wav
体当たり攻撃(攻撃),			スピンアタック ピンク
体当たり攻撃(命中),			スピンアタック ピンク Crash.wav
回転ドリル,				ドリル
回転ノコギリ(攻撃),			ヘッドバット
回転ノコギリ(命中),			強風 Slash(2).wav
フライングカッター(攻撃),		チャクラム
フライングカッター(命中),		強風 Slash(2).wav
吸引装置,				旋風
酸化ガス弾(攻撃),			グレネード
酸化ガス弾(命中),			煙 白 Explode(Small).wav
ウルトラチョップ(攻撃),			振り下ろし Swing(2).wav
ウルトラチョップ(命中),			強打 FightHit(1).wav
マンモスドライガス(攻撃),		火炎放射 白 Breath.wav
マンモスドライガス(命中),		火炎放射 白 Breath.wav;凍結
アカネイカ吸盤絞め,			多触手 赤
アカネイカ牙砲弾(攻撃),			ネジ連射 MultipleRocketLauncher.wav
アカネイカ牙砲弾(命中),			連続爆発
アカネイカドクロ飛行(攻撃),		スーパーブーメラン 赤
アカネイカドクロ飛行(命中),		噛み付き FightHit(1).wav
オクトパス金縛り,			多触手 オレンジ
オクトパスブラック(攻撃),		火炎放射 黒 Breath.wav
オクトパスブラック(命中),		火炎放射 黒 Breath.wav
デンキウナギクロウハンド,		触手 青
電撃放射,				破壊光線
必殺サザエ車,				ネジ連射
必殺サザエ焼き(攻撃),			音波 Drill.wav
必殺サザエ焼き(命中),			音波 Drill.wav;炎
赤色毒液(攻撃),				粒子噴射 赤 Breath.wav
赤色毒液(命中),				飛沫 赤
オニオコゼ毒吹き矢,			ニードル連射
カイメン変化(攻撃),			格闘
カイメン変化(命中),			煙 緑 Explode(Small).wav
幻カイメン,				多触手 緑
カイメン炎,				火炎放射
カイメン玉転がし(攻撃),			ヘッドバット;光球 緑 Bazooka.wav
カイメン玉転がし(命中),			強打 FightHit(3).wav
カブトガニフォーム(攻撃),		火炎放射 黄 Breath.wav
カブトガニフォーム(命中),		火炎放射 黄 Breath.wav
カブトガニ必殺剣(準備),			-
カブトガニ必殺剣(攻撃),			投げナイフ Swing(2).wav
カブトガニ必殺剣(命中),			刺突 FightHit(1).wav
ボディアタック(攻撃),			スーパータックル
ボディアタック(命中),			強打 FightHit(1).wav
カブトガニ破壊光線,			２連小ビーム 白
キメンガニ破壊音波,			音波
ジェットナイフ(攻撃),			４ＷＡＹ射出
ジェットナイフ(命中),			ダブル斬撃 Slash(2).wav
ビートガン(準備),			Reload.wav
ビートガン(攻撃),			重機関砲
ビートガン(命中),			連続爆発
ハリモグラミサイル(攻撃),		重機関砲 MicroMissile.wav
ハリモグラミサイル(命中),		連続爆発
ハリモグラ殺人針,			ニードル連射
ハリモグラ土砂吹雪(攻撃),		粒子噴射 オレンジ Breath.wav
ハリモグラ土砂吹雪(命中),		粒子噴射 オレンジ Breath.wav
ヘッドミサイル,				ドリルミサイル
カラスドリル,				ドリル
ブラックアックス(準備),			Swing.wav;Swing.wav
ブラックアックス(攻撃),			シュートカッター 黒 Swing(2).wav
ブラックアックス(命中),			シュートカッター 黒 Slash(2).wav
高速突撃(攻撃),				スーパーパンチ 黒 FlyBy.wav
高速突撃(命中),				スーパーパンチ 黒 FightHit(1).wav
クワガタ縛り,				発光 青 BeamCoat.wav;特殊光線 青
クワガタハサミ(攻撃),			ダブル斬撃 Whiz.wav
クワガタハサミ(命中),			背負い固め Slash(2).wav;投げ飛ばし
クワガタハサミ飛行(攻撃),		２ＷＡＹ射出
クワガタハサミ飛行(命中),		噛み付き FightHit(1).wav
ヒトデ体当たり(攻撃),			回転 FlyBy.wav
ヒトデ体当たり(命中),			連打 FightHit(1).wav
ヒトデ雨アラレ(攻撃),			機関砲 MicroMissile.wav
ヒトデ雨アラレ(命中),			連続爆発
触覚ランプ(攻撃),			発光 赤 Flair.wav;発光 青 Flair.wav;発光 緑 Flair.wav
触覚ランプ(命中),			-
アンコウ脳天食らい,			噛み付き
アンコウ火炎,				火炎放射
マッドサイクル,				音波
マッドサイクル＋ギルの笛(攻撃),		音波 Null.wav
マッドサイクル＋ギルの笛(命中),		音波 Hittyuu.wav
キリギリスシザース(準備),		-
キリギリスシザース(攻撃),		ダブル斬撃 Swing.wav
キリギリスシザース(命中),		ダブル斬撃 FightHit(1).wav
必殺フェザーカッター(準備),		-
必殺フェザーカッター(攻撃),		シュートカッター 緑 Swing(2).wav
必殺フェザーカッター(命中),		シュートカッター 緑 Saber.wav
黒玉地雷(準備),				鉄球 Null.wav
黒玉地雷(攻撃),				ベアリング
黒玉地雷(命中),				連続爆発
有毒ガス(攻撃),				粒子噴射 白 Breath.wav
有毒ガス(命中),				粒子噴射 白 Breath.wav
電磁舌,					舌
地雷ガマ火炎地獄,			火炎放射
地雷(攻撃),				自爆
地雷(命中),				大爆発
アバラ火の玉(攻撃),			ブーメラン
アバラ火の玉(命中),			爆発
毒蛇の群れ,				蛇
牙,					噛み付き
ムササビ地獄締め(攻撃),			飛びかかり
ムササビ地獄締め(命中),			フォール FightHit(1).wav;噛み付き;噛み付き
トカゲ毒牙,				ニードル
スナトカゲタング,			舌
マダラ砂嵐,				旋風 オレンジ

ゴールドウルフ(人間体)
月光変身,				衛星ビーム 黄 Bitmap\Anime\Common\EFFECT_Moon01.bmp -.wav;4;発光 赤 BeamCoat.wav

キイロウスバカゲロウ
アルファベット作戦(攻撃),		-
アルファベット作戦(命中),		@戦闘アニメ_放電攻撃 Charge(2).wav;放電;4;@戦闘アニメ_粒子噴射攻撃 白 Breath.wav $(Partner(1));粒子噴射 白 Breath.wav;4;@戦闘アニメ_２ＷＡＹ射出攻撃 $(Partner(2));ダブル斬撃 FightHit(1).wav;爆発

第１キイロアリジゴク
アルファベット作戦(攻撃),		-
アルファベット作戦(命中),		@戦闘アニメ_放電攻撃 Charge(2).wav $(Partner(1));放電;4;@戦闘アニメ_粒子噴射攻撃 白 Breath.wav;粒子噴射 白 Breath.wav;4;@戦闘アニメ_２ＷＡＹ射出攻撃 $(Partner(2));ダブル斬撃 FightHit(1).wav;爆発

第２キイロアリジゴク
アルファベット作戦(攻撃),		-
アルファベット作戦(命中),		@戦闘アニメ_放電攻撃 Charge(2).wav $(Partner(1));放電;4;@戦闘アニメ_粒子噴射攻撃 白 Breath.wav $(Partner(2));粒子噴射 白 Breath.wav;4;@戦闘アニメ_２ＷＡＹ射出攻撃;ダブル斬撃 FightHit(1).wav;爆発

服部半平
煙玉(準備),				爆弾
煙玉(攻撃),				爆弾
煙玉(攻撃),				煙 白 Explode(Small).wav
水しぶき,				水鉄砲 -.bmp
消火器,					消火器
投げ縄,					フックロープ
イチローのトランペット(攻撃),		格闘  Whiz.wav
イチローのトランペット(命中),		強打 FightHit(1).wav
ビジンダーのハープ(準備),		ハープ
ビジンダーのハープ(攻撃),		格闘  Whiz.wav
ビジンダーのハープ(命中),		強打 FightHit(1).wav
ジローのギター,				ギター(殴り)
格闘,  					格闘
仕込み鎖鎌,   				分銅;鎌
ステッキ,				棒

ポンコツスバル
ハイパーモード,				-
体当たり(攻撃),				タックル Engine.wav
体当たり(命中),				タックル Crash.wav

人間
デスホイッスル,				特殊光線 白
電磁杖(攻撃),				振り下ろし
電磁杖(命中),				強打 FightHit(1).wav;放電
ギルの笛(攻撃),				変形 Bitmap\Unit\KDR_PrGilU(Fue)U.bmp -;音波 Null.wav
ギルの笛(命中),				音波 Null.wav
アンドロイドマン軍団(準備),		しもべ Bitmap\Unit\KDR_AndRoidManU.bmp 32
アンドロイドマン軍団(攻撃),		実弾発射 Bitmap\Unit\KDR_AndRoidManU.bmp 32 Swing(2).wav;実弾発射 Bitmap\Unit\KDR_AndRoidManU.bmp 32 Swing(2).wav;実弾発射 Bitmap\Unit\KDR_AndRoidManU.bmp 32 Swing(2).wav
アンドロイドマン軍団(命中),		乱打 FightHit(1).wav
ダミー,					変形 Bitmap\Unit\KDR_AndRoidManU.bmp -;爆発
