
汎用
アタックナイフ, ナイフ
マハーブフ(攻撃), 火炎弾 白 Interference.wav;吹雪 AntiShipMissile.wav
マハーブフ(命中), 凍結 Flair.wav
マハブフーラ(準備), 光噴出 白
マハブフーラ(攻撃), 火炎弾 白 Interference.wav;吹雪 AntiShipMissile.wav
マハブフーラ(命中), 凍結 Flair.wav
ジオ(準備), -
ジオ(攻撃), 火炎弾 黄 Cannon.wav
ジオ(命中), 落雷 Whip.wav
ジオンガ(準備), -
ジオンガ(攻撃), 火炎弾 黄 Cannon.wav
ジオンガ(命中), 大電撃 Whip.wav
ジオラオン(準備), -
ジオラオン(攻撃), 火炎弾 黄 Cannon.wav
ジオラオン(命中), 大電撃 Whip.wav
マハジオ(準備), -
マハジオ(攻撃), 火炎弾 黄 Cannon.wav
マハジオ(命中), @戦闘アニメ_落雷 相手ユニットＩＤ Whip.wav
マハジオンガ(準備), -
マハジオンガ(攻撃), 火炎弾 黄 Cannon.wav
マハジオンガ(命中), @戦闘アニメ_落雷 相手ユニットＩＤ Whip.wav
ザン(準備), -
ザン(攻撃), 火炎弾 青 Whiz.wav
ザン(命中), 斬撃
ザンマ(準備), -
ザンマ(攻撃), 火炎弾 青 Whiz.wav
ザンマ(命中), 大斬撃
ザンマオン(準備), -
ザンマオン(攻撃), 火炎弾 青 Whiz.wav
ザンマオン(命中), 大斬撃
マハザンマ(準備), -
マハザンマ(攻撃), 火炎弾 青 Whiz.wav
マハザンマ(命中), 旋風
マハザンマオン(準備), -
マハザンマオン(攻撃), 火炎弾 青 Whiz.wav
マハザンマオン(命中), 竜巻
ギガ, ２連小ビーム 赤
ギガオン, 中ビーム 赤
ギガリオン, ２連中ビーム 赤
マハギーガ, 拡散ビーム 赤
マハギガオン, 拡散ビーム 赤
ハンマ, ホーミングレーザー 白
マハンマ, ホーミングレーザー 白
ムド(攻撃), 飛来アップ Action\EFFECT_Bloodcurdling01.bmp 黒 Search.wav
ムド(命中), 粒子噴射 黒 BeamCoat.wav
ムドオン(攻撃), 飛来アップ Action\EFFECT_Bloodcurdling01.bmp 黒 Search.wav
ムドオン(命中), 粒子噴射 黒 BeamCoat.wav
メギド(攻撃), ホーミングレーザー 白 Breath.wav
メギド(命中), 超爆発
メギドラオン(攻撃), ホーミングレーザー 白 Breath.wav
メギドラオン(命中), 超爆発
ドグルラドル, 飛沫 白 Glass.wav;飛沫 青 Glass.wav
ドグルラドル(味方時), 飛沫 白 Glass.wav;飛沫 青 Glass.wav
マカジャマ, 飛沫 白 Glass.wav;飛沫 青 Glass.wav
マカジャマ(味方時), 飛沫 白 Glass.wav;飛沫 青 Glass.wav
パラルー, 飛沫 白 Glass.wav;飛沫 青 Glass.wav
パラルー(味方時), 飛沫 白 Glass.wav;飛沫 青 Glass.wav
ドルミナー, 飛沫 白 Glass.wav;飛沫 青 Glass.wav
ドルミナー(味方時), 飛沫 白 Glass.wav;飛沫 青 Glass.wav
シバブー, 飛沫 白 Glass.wav;飛沫 青 Glass.wav
シバブー(味方時), 飛沫 白 Glass.wav;飛沫 青 Glass.wav
ペトラム, 飛沫 白 Glass.wav;飛沫 青 Glass.wav
ペトラム(味方時), 飛沫 白 Glass.wav;飛沫 青 Glass.wav
ディア, 回復魔法泡
ディアラマ, 回復魔法泡
ディアラハン, 回復魔法泡
メディア(使用), @戦闘アニメ_Ｍ全投ビーム共通 黄 Sharara.wav 4
メディア(発動), -
メディアラハン(使用), @戦闘アニメ_Ｍ全投ビーム共通 黄 Sharara.wav 4
メディアラハン(発動), -
ディカーム, @戦闘アニメ_Ｍ全投ビーム共通 白 Sharara.wav 4
サマディカーム, @戦闘アニメ_Ｍ全投ビーム共通 白 Sharara.wav 4
パトラ, 回復魔法泡
マカカジャ, 回復魔法泡 Sharara.wav
ばくだんなげ, 手榴弾
おちょうしボム, 手榴弾
かみつき, 噛み付き
マヒかみつき, 噛み付き
マヒかみつき(味方時), 噛み付き
せきかかみつき, 噛み付き
せきかかみつき(味方時), 噛み付き
みわくかみつき, 噛み付き
みわくかみつき(味方時), 噛み付き
どくばり, ニードル連射
かなしばり, ニードル連射
かなしばり(味方時), ニードル連射
つくもばり, ニードル連射
まきつき, タックル;タックル
まきつき(味方時), タックル;タックル
ひっかき, 爪撃
どくひっかき, 爪撃
マヒひっかき, 爪撃
マヒひっかき(味方時), 爪撃
たいあたり, タックル;タックル
あばれまわり, タックル;タックル
テール, タックル;タックル
おしつぶし, 踏み潰し
はばたき(攻撃), ＭＡＰ強風 Interference.wav
はばたき(命中), ＭＡＰ強風
ねっぷう, 強風
しっぷう, 強風
れっぷう, 強風
かいしん, 強風
ヘルファイヤー(攻撃), 火炎放射 赤 Interference.wav
ヘルファイヤー(命中), 火炎放射 赤 Fire.wav
ヘルスプラッシュ(攻撃), 火炎放射 白 Interference.wav
ヘルスプラッシュ(命中), 火炎放射 白 -.wav
ヘルライトニング(攻撃), 火炎放射 黄 Interference.wav
ヘルライトニング(命中), 火炎放射 黄 Thunder.wav
バーニングリング(攻撃), 周囲回転 Fire\EFFECT_Fire(Red)02.bmp 32 Fire.wav 発光 3
バーニングリング(命中), 火柱 Fire.wav
アイスストーム(攻撃), 周囲回転 Fire\EFFECT_Fire(White)02.bmp 32 AntiShipMissile.wav 発光 3
アイスストーム(命中), 凍結 Flair.wav
らいでん(攻撃), 周囲回転 Fire\EFFECT_Fire(Yellow)02.bmp 32 BeamSaber.wav 発光 3
らいでん(命中), 大放電
ねんどうは(攻撃), 周囲回転 Fire\EFFECT_Fire(White)02.bmp 32 Storm.wav 発光 3
ねんどうは(命中), 竜巻
エクスプロード(攻撃), 周囲回転 Fire\EFFECT_Fire(Red)02.bmp 32 Fire.wav 発光 3
エクスプロード(命中), 超爆発
ディパニッシュ(攻撃), 周囲回転 Fire\EFFECT_Fire(White)02.bmp 32 Sharara.wav 発光 3
ディパニッシュ(命中), 発光 白
かみかぜ(攻撃), 周囲回転 Fire\EFFECT_Fire(White)02.bmp 32 Charge(high).wav 発光 3
かみかぜ(命中), 強風
ひっさつ(攻撃), 周囲回転 Fire\EFFECT_Fire(White)02.bmp 32 Charge(high).wav 発光 3
ひっさつ(命中), 強風;発光 白
ひっさつ(味方時)(攻撃), 周囲回転 Fire\EFFECT_Fire(White)02.bmp 32 Charge(high).wav 発光 3
ひっさつ(味方時)(命中), 強風;発光 白
ルイナーフレイム(攻撃), 必殺光線 赤 Charge(high).wav
ルイナーフレイム(命中), 火炎放射 赤 Fire.wav
アブソルートゼロ(攻撃), 必殺光線 白 Charge(high).wav
アブソルートゼロ(命中), 凍結 Flair.wav
ホーリースパーク(攻撃), 必殺光線 黄色 Charge(high).wav
ホーリースパーク(命中), 大放電
チャクラム(攻撃), 必殺光線 青 Charge(high).wav
チャクラム(命中), 強風
メルトダウン(攻撃), 必殺光線 白 Charge(high).wav
メルトダウン(命中), 超爆発
サードアイ(攻撃), 必殺光線 白 Charge(high).wav
サードアイ(命中), 光噴出
アフナ・ワルヤ(攻撃), 必殺光線 白 Charge(high).wav
アフナ・ワルヤ(命中), 光噴出
リーサルアッシュ(攻撃), 必殺光線 黒 Charge(high).wav
リーサルアッシュ(命中), 重力圧縮
アクマのキス(攻撃), 魔法陣 黒 BeamSaber.wav 相手ユニットＩＤ
アクマのキス(命中), 粒子集中 黒 Inori.wav
アクマのウインク(攻撃), 魔法陣 黒 BeamSaber.wav 相手ユニットＩＤ
アクマのウインク(命中), 粒子集中 黒 Inori.wav
アクマのウインク(味方時)(攻撃), 魔法陣 黒 BeamSaber.wav 相手ユニットＩＤ
アクマのウインク(味方時)(命中), 粒子集中 黒 Inori.wav
こもりうた(攻撃), 音符
こもりうた(命中), 決め画像 Common\EFFECT_Heart01.bmp UnitOn.wav 背面
セクシーダンス(攻撃), @戦闘アニメ_バラ吹雪準備  Sharara.wav
セクシーダンス(命中), 決め画像 Common\EFFECT_Heart01.bmp UnitOn.wav 背面
セクシーダンス(味方時)(攻撃), @戦闘アニメ_バラ吹雪準備  Sharara.wav
セクシーダンス(味方時)(命中), 決め画像 Common\EFFECT_Heart01.bmp UnitOn.wav 背面
にらみつけ(攻撃), 魔法陣 黒 BeamSaber.wav 相手ユニットＩＤ
にらみつけ(命中), 粒子集中 黒 Inori.wav
にらみつけ(味方時)(攻撃), 魔法陣 黒 BeamSaber.wav 相手ユニットＩＤ
にらみつけ(味方時)(命中), 粒子集中 黒 Inori.wav
ブレス(攻撃), 火炎放射 白 Breath.wav
ブレス(命中), 火炎放射 白 -.wav
ブレス(味方時)(攻撃), 火炎放射 白 Breath.wav
ブレス(味方時)(命中), 火炎放射 白 -.wav
ファイヤーブレス(攻撃), 火炎放射 赤 Breath.wav
ファイヤーブレス(命中), 火炎放射 赤 Fire.wav
ファイヤーブレス(味方時)(攻撃), 火炎放射 赤 Breath.wav
ファイヤーブレス(味方時)(命中), 火炎放射 赤 Fire.wav
アイスブレス(攻撃), 火炎放射 白 Breath.wav
アイスブレス(命中), 火炎放射 白 Storm.wav
アイスブレス(味方時)(攻撃), 火炎放射 白 Breath.wav
アイスブレス(味方時)(命中), 火炎放射 白 Storm.wav
ポイズンブレス(攻撃), 火炎放射 緑 Breath.wav
ポイズンブレス(命中), 火炎放射 緑 Bubble.wav
ポイズンブレス(味方時)(攻撃), 火炎放射 緑 Breath.wav
ポイズンブレス(味方時)(命中), 火炎放射 緑 Bubble.wav
フォッグブレス(攻撃), 火炎放射 白 Interference.wav
フォッグブレス(命中), 火炎放射 白 -.wav
フォッグブレス(味方時)(攻撃), 火炎放射 白 Interference.wav
フォッグブレス(味方時)(命中), 火炎放射 白 -.wav
マスタードブレス(攻撃), 火炎放射 黄 Breath.wav
マスタードブレス(命中), 火炎放射 黄 -.wav
マスタードブレス(味方時)(攻撃), 火炎放射 黄 Breath.wav
マスタードブレス(味方時)(命中), 火炎放射 黄 -.wav
ペトラブレス(攻撃), 火炎放射 黒 Breath.wav
ペトラブレス(命中), 火炎放射 黒 -.wav
ペトラブレス(味方時)(攻撃), 火炎放射 黒 Breath.wav
ペトラブレス(味方時)(命中), 火炎放射 黒 -.wav
デスタッチ(攻撃), 魔法陣 黒 BeamSaber.wav 相手ユニットＩＤ
デスタッチ(命中), 粒子集中 黒 Inori.wav
イービルアイズ(攻撃), 魔法陣 黒 BeamSaber.wav 相手ユニットＩＤ
イービルアイズ(命中), 粒子集中 黒 Inori.wav
だいちのうた, @戦闘アニメ_ＭＡＰ音符攻撃 Sharara.wav
しゅくふくのうた, @戦闘アニメ_ＭＡＰ音符攻撃 Sharara.wav
いのちのうた, @戦闘アニメ_ＭＡＰ音符攻撃 Sharara.wav




