汎用
ジャギッドロック, Punch(3).wav
チリーストローク(命中), Slash.wav
アイスボイル, AntiAirMissile.wav
レイザーミスト, 2;Explode(Small).wav;2;Explode(Small).wav;2;Explode(Small).wav;2;Explode(Small).wav;Explode.wav
ミストバースト, 3;Explode.wav;5;Explode.wav;2;Explode(Small).wav;2;Explode(Small).wav;2;Explode(Small).wav;2;Explode(Small).wav;Explode.wav
ソニックストール, Splash.wav
セイクレッドレイ, Beam.wav
プラグフェイザー, 2;Beam.wav;2;Beam.wav;Beam.wav
フォトンライト, Beam.wav
ピクシーダンス, Sharara.wav
ディバインギフト, Sharara.wav
ピュリフィケイト, 4;Sharara.wav;Sharara.wav
コンシクレット, Interference.wav
コンシクレット(クリティカル), Inori.wav
グッドハッチ, Sharara.wav
フェイルセーフ, Sharara.wav
ソウルサルベージ, 4;Sharara.wav;Inori.wav
エピタフ, 2;Explode(Small).wav;2;Explode(Small).wav;2;Explode(Small).wav;Explode.wav
エピタフ(クリティカル), Bubble.wav
ビィニードル, Bow.wav
ビィニードル(命中), Stab.wav
ブロウンハミング, 2;Bow.wav;2;Bow.wav;Bow.wav
ブロウンハミング(命中), Glass.wav
ワスプスラスト, AntiShipMissile.wav
ワスプスラスト(命中), Explode.wav
ホーネットレイド, 2;Beam.wav;2;Beam.wav;1;Beam.wav;1;Beam.wav;1;Beam.wav;Beam.wav
ヒートスラッシュ, 3;Swing.wav;Swing.wav
イングローイング, Beam.wav
キーンランジ, Thunder.wav
オンスロート, 4;Drill.wav;Drill.wav;
プラージュ, Charge(High).wav
ヒートスラッシュ(命中), Explode.wav
イングローイング(命中), Slash.wav
キーンランジ(命中), Explode.wav
オンスロート(命中), Explode.wav
プラージュ(命中), Explode.wav
クリスタライズ, 3;Bubble.wav;3;Bubble.wav;Bubble.wav
リユニオン, Charge.wav
ディスパージョン, Interference.wav
ディスパージョン(クリティカル), Bubble.wav
メタモルフォシス, 4;Wind.wav;5;Flair.wav;Inori.wav
メタモルフォシス(クリティカル), Bubble.wav
ワイアプラ, AntiShipMissile
ワイアプラ(クリティカル), BeamCoat.wav
ライドダウン, Inori.wav
レイサレイト, Storm.wav
デッドフォール, Storm.wav
スローターハウス, 6;Storm.wav;2;Beam.wav;Beam.wav
シュート, Gun.wav
チャージバッシュ, FastGun.wav
スティルバリアル, Glass.wav
スティグマ, Inori.wav
フリーズショット, 4;Beam.wav;Glass.wav
ボギースクリーマー, BeamSaber.wav
ボギースクリーマー(クリティカル), Bubble.wav
ゲートキーパー, AntiShipMissile.wav
ゲートキーパー(クリティカル), BreakOff.wav
ナイトメア, Glass.wav
ナイトメア(クリティカル), BreakOff.wav
クレイジーボール, Storm.wav
クレイジーボール(クリティカル), BreakOff.wav
カットスロート, AntiAirMissile.wav;2;AntiAirMissile.wav;2;AntiAirMissile.wav
フィアフルランス, AntiShipMissile.wav
フィアフルランス(命中), Fire.wav
レアトライデント, AntiShipMissile.wav
レアトライデント(命中), 5;Explode.wav;2;Fire.wav;2;Fire.wav;Fire.wav
ケルビンウィング, 3;AntiShipMissile.wav;AntiShipMissile.wav
ケルビンウィング(命中), AntiAirMissile.wav
レッドリージョン, Charge.wav
レッドリージョン(命中), Explode(Far).wav
イグニータ, AntiAirMissile.wav
イグニータ(命中), 2;Sword.wav;Sword.wav

ディゾナント
エンドオブワールド, Charge(Long).wav


