#RAGNAROK-the-Animation・effectデータ#

汎用
バッシュ, Swing.wav
ジャマダハル, Swing.wav;5;Swing.wav
ジャマダハル(命中), Slash.wav;5;Slash.wav
ベノムダスト(攻撃), Fold.wav
ベノムダスト(命中), -
インベナム(攻撃), Swing.wav
インベナム(命中), Slash(2).wav
カタール発射, Bow.wav
カタール発射(命中), Stab.wav
ベノムスプラッシャー, Whiz.wav
ベノムスプラッシャー(命中), Slash(2).wav
ベノムスプラッシャー(とどめ), 2;Snap(E).wav;8;Scream(Man).wav
エンチャントポイズン, Bubble.wav
アンクルスネア(攻撃), -
アンクルスネア(解説), ジュディアは、相手がある地点に来るのを待った
アンクルスネア(解説), ジュディアは、相手が目標地点に来るのを待った
アンクルスネア(命中), Sword.wav
アンクルスネア(クリティカル), Sword.wav
アローシャワー(準備), Reload(5).wav
アローシャワー, 2;Bow.wav;2;Bow.wav;2;Bow.wav;2;Bow.wav;2;Bow.wav;2;Bow.wav
アローシャワー(命中), Stab.wav
連弩(準備), Reload(5).wav
連弩, 2;Bow.wav;3;Bow.wav
連弩(命中), 2;Stab.wav;3;Stab.wav
ブリッツビート(準備), MouseWhisle.wav
ブリッツビート, Whiz.wav
ブリッツビート(命中), Slash.wav
ハンターボウ, 弓矢
ハンターボウ, Bow.wav
ハンターボウ(命中), Stab.wav
ダブルストレーピング, 2;Bow.wav;2;Bow.wav
ダブルストレーピング(命中), 2:Stab.wav;2;Stab.wav
バリスタ(準備), Reload.wav
バリスタ(攻撃), Bazooka.wav
バリスタ(命中), Stab.wav
スティール, Swing.wav
スティール(命中), -
マインゴーシュ, Swing.wav
マインゴーシュ(命中), Slash.wav
マインゴーシュ(追撃), Swing.wav
マインゴーシュ(追撃)(命中), Slash.wav
追加攻撃(ダブルアタック), -
ギャングスターパラダイス(準備), Charge(High).wav
ギャングスターパラダイス, Shock(Echo).wav
ギャングスターパラダイス(命中), -
スナッチャー(攻撃), BeamCoat.wav
スナッチャー(命中), -
ダブルストレーピング(ナイフ), 2;Swing.wav;3;Swing.wav
ダブルストレーピング(ナイフ)(命中), 2:Stab.wav;2;Stab.wav
バックスタブ, Whiz.wav
バックスタブ(命中), Slash.wav
ダマスカス, Swing.wav
ダマスカス(命中), Slash.wav
ダマスカス(追撃), Swing.wav
ダマスカス(追撃)(命中), Slash.wav
ハンマーフォール, 2;Swing.wav;8;Warship.wav
ハンマーフォール(命中), -
ハンマー, Swing.wav
ハンマー(命中), Crash.wav
ハンマー(AR)(攻撃), 2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav
ハンマー(AR)(命中), 2;Crash.wav;2;Crash.wav;2;Crash.wav;2;Crash.wav;2;Crash.wav;2;Crash.wav;2;Crash.wav;2;Crash.wav
アドレナリンラッシュ, Charge.wav
アドレナリンラッシュ(解説), $(ユニット)のASPDが上昇した。//ROやってる人なら、言葉の意味は判るよね？
アドレナリンラッシュ(解説), $(ユニット)の攻撃速度が上昇した。
カッター, Swing.wav
カッター(命中), Slash.wav
炎の矢, Bow.wav
炎の矢(命中), Fire.wav

黒騎士
ギザルム, Swing.wav
ギザルム(命中), Stab.wav
スピアブーメラン(攻撃), Swing.wav
スピアブーメラン(命中), Stab.wav
マグナムブレイク(単), Explode(Long).wav
マグナムブレイク(単)(命中), Explode.wav
エクスキューショナー, Swing.wav
エクスキューショナー(命中), Slash.wav
ラウンドブレイク, GunPod.wav
ラウンドブレイク(命中), Crash.wav
異形の爪, 2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav
異形の爪(命中), 2;Stab.wav;2;Stab.wav;2;Stab.wav;2;Stab.wav;2;Stab.wav;2;Stab.wav;2;Stab.wav;2;Stab.wav

ＭＯＢ
捕縛, Whip.wav
捕縛(命中), Punch.wav
ラリエット, Whip.wav
ラリエット(命中), Punch.wav
不可視の魔力, Whiz.wav
不可視の魔力(命中), Crash.wav
衝撃波【MAP】, Storm.wav
衝撃波【MAP】(命中), Shock(Low).wav
闇の波動, GunPod.wav
闇の波動(命中), Roar.wav
攻撃無効化(ダークハンド), Swing.wav
攻撃無効化(念属性), Noise.wav
攻撃無効化(念属性)(解説), 属性無し攻撃は一切通用しない！
剣圧, GunPod.wav
剣圧(命中), Crash.wav
阻止(打ち払い), Swing.wav
戦鎚, Swing.wav
戦鎚(命中), Shock(Low).wav
インパクト, Swing.wav
インパクト(命中), Crash.wav
求愛？(攻撃), イ・ト・シ・ノ・キミ――！;3;Sharara.wav;5;イ・ト・シ・ノ・キミ――！
求愛？(攻撃), イトシノキミ、愛シテル――！;3;Sharara.wav;5;イトシノキミ、愛シテル――！
求愛？(攻撃), アイ・ラブ・ユー！;3;Sharara.wav;5; アイ・ラブ・ユー！
求愛？(攻撃), ユー・ラブ・ミー！;3;Sharara.wav;5;ユー・ラブ・ミー！
求愛？(攻撃), アイ・ミー・ユー！;3;Sharara.wav;5;アイ・ミー・ユー！
求愛？(解説), ジャックは、ラブコールを送った！
求愛？(解説), ジャックは、真摯な思いを告げた！
求愛？(解説), ジャックは、熱烈な求愛を放った！
求愛？(命中), -
杖, Swing.wav
杖(命中), BreakOff.wav
ギアハンマー, Swing.wav
ギアハンマー(命中), Crash.wav
阻止(時報), Bird.wav
盗虫の群れ, March.wav
盗虫の群れ(解説), 無数の盗虫が、一斉に襲いかかってきた
盗虫の群れ(命中), 2;Punch(4).wav;5;Punch(4).wav
突撃, Jet.wav
突撃(命中), Crash.wav
蹄, Swing.wav
蹄(命中), Punch.wav
デスサイズ, Swing.wav
デスサイズ(命中), Slash.wav
剣の腕, Swing.wav
剣の腕, Slash.wav
大蟻の群れ, March.wav
大蟻の群れ(解説), 無数の大蟻が、一斉に襲いかかってきた
大蟻の群れ(命中), 2;Punch(4).wav;5;Punch(4).wav
打拳, Swing.wav
打拳(命中), Punch.wav
痛打, Swing.wav
痛打(命中), Crash.wav
掌打, Swing.wav
掌打(命中), Shock(Low).wav
ホールドウェブ, BeamSaber.wav
ホールドウェブ(命中), -
短刀, Swing.wav
短刀(命中), Slash.wav
水撃, Splash.wav
水撃(命中), BreakOff.wav
カッツバルゲル, Swing.wav
カッツバルゲル(命中), Slash.wav
ダークバッシュ, Swing.wav
ダークバッシュ(命中), Crash.wav
王の吐息, Bubble.wav
王の吐息(命中), -
王の魔眼(攻撃), 発光 ブラック BeamSaber.wav
王の魔眼(命中), -
王の一撃, Swing.wav
王の一撃(命中), Slash.wav
王の呪い, Roar.wav
王の呪い(命中), BeamSaber.wav
ダークサンダー, Thunderbolt.wav
ダークサンダー(命中), Thunder.wav
黄金の鐘, Swing.wav
黄金の鐘(命中), Punch.wav
九尾狐の群れ, Whiz.wav
九尾狐の群れ(解説), 九つの尾を持つ狐が、一斉に襲いかかってきた
九尾狐の群れ(命中), 2;Slash.wav;3;Slash.wav;3;Slash.wav;3;Slash.wav
ラッシュアタック, 2;Swing.wav;3;Swing.wav;3;Swing.wav;3;Swing.wav
ラッシュアタック(命中), Punch(4).wav
体当たり, Swing.wav
体当たり(命中), Punch.wav
念攻撃, Noise.wav
念攻撃(命中), Noise.wav
三つ叉の槍, Slash.wav
三つ叉の槍(命中), Stab.wav
アーバレスト, Bow.wav
アーバレスト(命中), Stab.wav
速射, Bow.wav
速射(命中), Stab.wav

術士
ナパームビート, Bazooka.wav
ナパームビート(命中), Crash.wav
ファイヤーボルト, Fire.wav
ファイヤーボルト(命中), Explode(Small).wav
ファイアーピラー, Charge(2).wav
ファイアーピラー(命中), Explode.wav
ファイアーボール, Fire.wav
ファイアーボール(命中), Explode.wav
ソウルストライク(準備), Charge.wav
ソウルストライク, MicroMissile.wav
ソウルストライク(命中), 2;Explode.wav;3;Explode.wav;3;Explode.wav;5;Explode(Long).wav
サイトラッシャー(準備), Charge.wav
サイトラッシャー, Breath.wav
サイトラッシャー(命中),  Explode.wav
ウォーターボール, Bubble.wav
ウォーターボール(命中), Bubble.wav
ロードオブヴァーミリオン(準備), 2;Charge.wav;8;Thunder.wav
ロードオブヴァーミリオン(攻撃), Thunderbolt.wav
ロードオブヴァーミリオン(命中), 2;Thunder.wav;2;Thunder.wav;2;Thunder.wav;2;Thunder.wav;2;Thunder.wav
阻止(ファイヤーウォール), Fire.wav
