
#　　このアニメでは、ＳＲＣＨＰ汎用コーナーで戦闘アニメとして配布されているもの以外
#　に、以下のアイコンを使用しています。
#　　なお、もしも無くても、見た目がおかしい程度でエラーは出ないようです。
#
#　FF04_CockatriceU.bmp
#　FF04_GobrinU.bmp
#　FF04_BombU.bmp
#　FF04_MindFlareU.bmp
#　FF04_SylfU.bmp
#　FF04_ChocoboU.bmp
#　FF04_TitanU.bmp
#　FF04_SivaU.bmp
#　FF04_RamuhU.bmp
#　FF04_EfreetU.bmp
#　FF04_MystDragonU.bmp
#　FF04_LeviathanU.bmp
#　FF04_OdeinU.bmp
#　FF04_BahamutU.bmp
#　FF04_AsuraU.bmp
#　FF04_SkullnantU.bmp

ＦＦ４
シャドーブレイド, 黒剣
ケアルダ(発動), 回復魔法
ケアルガ(使用), 周囲回転 Light.bmp 32 Inori.wav 相手ユニットＩＤ 2
エスナ(発動), 光噴出 青
プロテス(発動), 発光 白
シェル(発動), 発光 黄
リフレク(発動), エネルギーフィールド展開
ドレイン(準備), 魔法放射 緑
アスピル(準備), 魔法放射 緑
スリプル(準備), 魔法放射 緑
ブレイク(準備), 魔法放射 緑
ストップ(準備), 魔法放射 緑
デス(準備), 魔法放射 緑
ブリザド(準備), 魔法放射 緑
サンダー(準備), 魔法放射 緑
ファイア(準備), 魔法放射 緑
ブリザラ(準備), 魔法放射 緑
サンダラ(準備), 魔法放射 緑
ファイラ(準備), 魔法放射 緑
ブリザガ(準備), 魔法放射 緑
サンダガ(準備), 魔法放射 緑
ファイガ(準備), 魔法放射 緑
ポイズン(準備), 魔法放射 緑
バイオ(準備), 魔法放射 緑
クエイク(準備), 魔法放射 緑
トルネド(準備), 魔法放射 緑
フレア(準備), 魔法放射 緑
メテオ(準備), 魔法放射 緑
ドレイン(命中), 吸収 橙
アスピル(命中), 吸収 橙
スリプル(攻撃), 煙 緑
ブレイク(命中), 煙 白
ストップ(命中), 時間停止
デス(攻撃), 決め画像 EFFECT_Bloodcurdling03.bmp 相手ユニットＩＤ
ブリザド(命中), 吹雪
サンダー(命中), 電撃
ファイア(命中), 炎
ブリザラ(命中), 凍結
サンダラ(命中), 球電
ファイラ(命中), 炎
ブリザガ(命中), つらら
サンダガ(命中), 大落雷
ファイガ(命中), 発光 赤;爆発
ポイズン(命中), 光噴出 緑
バイオ(攻撃), 煙噴射 緑
クエイク(攻撃), ＭＡＰ地震
トルネド(攻撃), 竜巻
フレア(攻撃), 粒子集中 赤 相手ユニットＩＤ
フレア(命中), 発光 赤;連続大爆発
メテオ(攻撃), 隕石
メテオ(命中), 大爆発
コカトリス(準備), 魔法放射 赤;召喚 FF04_CockatriceU.bmp
ゴブリン(準備), 魔法放射 赤;召喚 FF04_GobrinU.bmp
チョコボ(準備), 魔法放射 赤;召喚 FF04_ChocoboU.bmp
ボム(準備), 魔法放射 赤;召喚 FF04_BombU.bmp
マインドフレイア(準備), 魔法放射 赤;召喚 FF04_MindFlareU.bmp
シルフ(準備), 魔法放射 赤;召喚 Magic\EFFECT_Fairy01.bmp
タイタン(準備), 魔法放射 赤;召喚 FF04_TitanU.bmp
シヴァ(準備), 魔法放射 赤;召喚 FF04_SivaU.bmp
ラムウ(準備), 魔法放射 赤;召喚 FF04_RamuhU.bmp
イフリート(準備), 魔法放射 赤;召喚 FF04_EfreetU.bmp
ミストドラゴン(準備), 魔法放射 赤;召喚 FF04_MystDragonU.bmp
リヴァイアサン(準備), 魔法放射 赤;召喚 FF04_LeviathanU.bmp
オーディン(準備), 魔法放射 赤;召喚 FF04_OdeinU.bmp
バハムート(準備), 魔法放射 赤;召喚 FF04_BahamutU.bmp
アスラ(準備), 魔法放射 赤;召喚 FF04_AsuraU.bmp
コカトリス(攻撃), 実弾発射 FF04_CockatriceU.bmp
ゴブリン(攻撃), 実弾発射 FF04_GobrinU.bmp
チョコボ(攻撃), 実弾発射 FF04_ChocoboU.bmp
ボム(攻撃), 実弾発射 FF04_BombU.bmp
マインドフレイア(攻撃), ＭＡＰ地震
シルフ(攻撃), 妖精
タイタン(攻撃), ＭＡＰ地震
シヴァ(攻撃), 吹雪
ラムウ(攻撃), 大電撃
イフリート(攻撃), 炎打ち上げ
ミストドラゴン(攻撃), ＭＡＰ風
リヴァイアサン(攻撃), ＭＡＰ津波
オーディン(攻撃), ＭＡＰ気斬
バハムート(攻撃), ＭＡＰ連気弾
コカトリス(命中), 粒子集中 黒
ゴブリン(命中), 乱打
チョコボ(命中), 乱打
ボム(命中), 爆発
マインドフレイア(命中), ＭＡＰフラッシュ
シルフ(命中), 光噴出 緑
タイタン(命中), ダメージ
シヴァ(命中), 凍結
ラムウ(命中), 電撃
イフリート(命中), 炎
ミストドラゴン(命中), 凍結
リヴァイアサン(命中), 津波
オーディン(命中), 横大斬撃
バハムート(命中), 大爆発
アスラ(発動), 発光 白;回復魔法
二刀流, 斬撃武器 Weapon\EFFECT_NinjaBlade01.bmp 二刀流
盗む, タックル
火遁の術(準備), 魔法放射 緑
水遁の術(準備), 魔法放射 緑
雷迅の術(準備), 魔法放射 緑
火遁の術(攻撃), 炎
水遁の術(攻撃), 津波
雷迅の術(攻撃), 電撃
影縛り(準備), 魔法放射 緑
手裏剣, 手裏剣
風魔手裏剣, 手裏剣
武器投げ, 投擲武器 Weapon\EFFECT_Sword01.bmp
沈黙の歌(準備), 竪琴
誘惑の歌(準備), 竪琴
子守唄(準備), 竪琴
沈黙の歌(攻撃), ＭＡＰ音符
沈黙の歌(命中), 決め文字 黙 灰色
誘惑の歌(攻撃), ＭＡＰ音符
誘惑の歌(命中), 羽
子守唄(攻撃), ＭＡＰ音符
子守唄(命中), 煙 緑
薬, 回復魔法
けり, スーパーキック
ためる, 粒子集中 白;連打
調べる, 振る武器 EFFECT_MagnifyingGlass.bmp
バッカスの酒, 光柱
プチフレア, 連気弾
プチメテオ, 流星
Ｗメテオ(準備), 魔法放射 緑
Ｗメテオ(攻撃), 隕石
Ｗメテオ(命中), 爆発
呪縛の冷気, 凍結
ビッグバーン, ＭＡＰブラックホール;ＭＡＰ地震
ワール, 竜巻
透過レーザー, ニードルレーザー
物体１９９, 重力弾
スカルナント, 実弾発射 FF04_SkullnantU.bmp
ガス, 煙
呪い, 泡
津波, 津波
大津波, ＭＡＰ津波
指先, 粒子集中 黒
ミールストーム, 竜巻
火燕流, 旋風 赤
リレイズ(準備), 発光
リレイズ(発動), 回復魔法
瞳, ＭＡＰフラッシュ
稲妻, 落雷
吹雪, 吹雪
炎, 炎
自爆, タックル;大爆発
治療, 回復魔法
給油, 回復魔法
睡眠ガス, 煙噴射
毒ガス, 煙 緑噴射
火炎放射, 火炎放射
レーザー, ニードルレーザー
冷たい霧, 吹雪
アクアブレス(攻撃), 泡
ゾンビブレス, 煙噴射 白
ポイズンブレス, 煙噴射 緑
アースシェイカー, ＭＡＰ地震
アトミックレイ, 中ビーム レッド
メガフレア, ＭＡＰ連気弾 ブラック
大爆発, 大爆発
吸血(命中), 吸収 黒
ささやき, 音符
ダークブレス, 火炎放射 黒
黒の牙, 発光 黒
クラッシュダウン, 踏み潰し
石化睨み, 粒子集中 黒
地震, ＭＡＰ地震
リフレク反射フレア(準備), 魔法放射 緑
リフレク反射フレア(攻撃), 粒子集中 赤 相手ユニットＩＤ
リフレク反射フレア(命中), 発光 赤;粒子噴射 赤
死の宣告(命中), 炎 青
死の宣告(クリティカル), 死神
臭い息, 煙噴射 緑
リフレク反射バイオ(準備), 魔法放射 緑
リフレク反射バイオ(命中), 煙噴射 緑
ブレイズ, 炎 青
格闘, 打撃
巻き付き, タックル
角(攻撃), デフォルト
角(命中), 大刺突
反撃の角(攻撃), デフォルト
反撃の角(命中), 大刺突
牙, 噛み付き
尻尾(攻撃), デフォルト
尻尾(命中), なぎ払い
脚, 触手
はさみ(攻撃), デフォルト
はさみ(命中), 斬撃
槍, スピア
鎌, 鎌
小剣, ショートソード
グングニル, 投擲武器 Weapon\EFFECT_Spear01.bmp
斬鉄剣(準備), 日本刀
斬鉄剣(攻撃), 日本刀突撃
斬鉄剣(命中), 横大斬撃
爆撃, 投下爆弾
砲撃, キャノン砲
ドリル, ドリル
大砲, 大キャノン砲
爆発, 爆発
攻撃(攻撃), デフォルト
攻撃(命中), ダメージ
思い出したホーリー(準備), 発光
思い出したブレイク(準備), 魔法放射 緑
思い出したブリザド(準備), 魔法放射 緑
思い出したサンダー(準備), 魔法放射 緑
思い出したファイア(準備), 魔法放射 緑
思い出したバイオ(準備), 魔法放射 緑
思い出したトルネド(準備), 魔法放射 緑
思い出したホーリー(命中), 光投射;発光
思い出したブレイク(命中), 煙 白
思い出したブリザド(命中), 吹雪
思い出したサンダー(命中), 電撃
思い出したファイア(命中), 炎
思い出したバイオ(攻撃), 煙噴射 緑
思い出したファイア(解説), $(ユニット)はファイアの呪文を唱えた。
思い出したブリザド(解説), $(ユニット)はブリザドの呪文を唱えた。
思い出したサンダー(解説), $(ユニット)はサンダーの呪文を唱えた。
思い出したバイオ(解説), $(ユニット)はバイオの呪文を唱えた。
思い出したブレイク(解説), $(ユニット)はブレイクの呪文を唱えた。
思い出したトルネド(解説), $(ユニット)はトルネドの呪文を唱えた。
思い出したホーリー(解説), $(ユニット)はホーリーの呪文を唱えた。

メーガス三姉妹・ドグ
デルタアタック(準備), 発光 Partner(0);エネルギーフィールド展開 Partner(1)
デルタアタック(攻撃), 魔法放射 緑 Partner(2);エネルギーフィールド展開 Partner(1)
デルタアタック(命中), 炎
デルタアタック(命中), 吹雪
デルタアタック(命中), 電撃

メーガス三姉妹・マグ
デルタアタック(準備), 発光 Partner(1);エネルギーフィールド展開 Partner(0)
デルタアタック(攻撃), 魔法放射 緑 Partner(2);エネルギーフィールド展開 Partner(0)
デルタアタック(命中), 炎
デルタアタック(命中), 吹雪
デルタアタック(命中), 電撃

メーガス三姉妹・ラグ
デルタアタック(準備), 発光 Partner(1);エネルギーフィールド展開 Partner(2)
デルタアタック(攻撃), 魔法放射 緑 Partner(0);エネルギーフィールド展開 Partner(2)
デルタアタック(命中), 炎
デルタアタック(命中), 吹雪
デルタアタック(命中), 電撃


リルマーダー(ＦＦ４)
自動反撃, 10;｢ヒッ、ヒッ、ひっかかりおったな！｣

