人造人間
ゼロワンカット(攻撃),			格闘 Swing(2).wav
マグマアッパー(攻撃),			アッパー Whiz.wav
マグマアッパー(命中),			アッパー FightHit(1).wav
ギロチンフック(攻撃),			スーパーキック 前転 Whiz.wav
ギロチンフック(命中),			ドライバー FightHit(1).wav
ハカイダー四段攻撃(攻撃),		-
ハカイダー四段攻撃(命中),		大爆発
ロケット弾,				小型ミサイル 2
電磁ムチ(準備),				Whip.wav
電磁ムチ(攻撃),				振り下ろし Swing(2).wav
電磁ムチ(命中),				強打 Whip.wav
電磁ムチ回し(準備),			Whip.wav
電磁ムチ回し(攻撃),			ワイヤー Bow.wav
電磁ムチ回し(命中),			強打 Whip.wav
ミサイルボウガン(準備),			クロスボウ
ミサイルボウガン(攻撃),			クロスボウ
ミサイルボウガン(命中),			矢;小爆発
ミサイルボウガン連続撃ち(準備),		クロスボウ
ミサイルボウガン連続撃ち(攻撃),		矢連射
ミサイルボウガン連続撃ち(命中),		矢;連続爆発
電子棒投げ(攻撃),			手投げ武器  Weapon\EFFECT_Rod01.bmp 32 Whiz.wav
電子棒投げ(命中),			強打 FightHit(1).wav
電子棒(攻撃),				振り下ろし Swing(2).wav
電子棒(命中),				強打 FightHit(1).wav
シルバー大回転(攻撃),			スーパーキック 前転 Whiz.wav
シルバー大回転(命中),			スーパーキック FightHit(1).wav
肩部ブーメラン,				スーパーブーメラン ブラック
死神ミサイル原爆砲(準備),		-
死神ミサイル原爆砲(攻撃),		投下爆弾;2;ＭＡＰ大爆発
死神ミサイル原爆砲(命中),		爆発
カミナリ剣(準備),			-
カミナリ剣(攻撃),			斬撃 Swing(2).wav
カミナリ剣(命中),			斬撃 FightHit(1).wav
ドラゴン百連銃(準備),			-
ドラゴン百連銃(攻撃),			内蔵ガトリング MultipleRocketLauncher(Light).wav
ドラゴン百連銃(命中),			ガトリング MicroMissile.wav
火炎ドラゴン,				火炎放射
サタンサンダー(準備),			-
サタンサンダー(攻撃),			@戦闘アニメ_落雷 Args(1) 相手ユニットＩＤ
サタンサンダー(命中),			@戦闘アニメ_落雷 Args(1) 相手ユニットＩＤ
爪(攻撃),				格闘 Swing.wav
爪(命中),				爪撃 FightHit(1).wav
ミサイルかみつき(攻撃),			２ＷＡＹ射出 Bazooka.wav
ミサイルかみつき(命中),			噛み付き FightHit(1).wav
かみつき(攻撃),				格闘 Swing.wav
かみつき(命中),				噛み付き FightHit(1).wav
子ムカデ(攻撃),				多触手 レッド Swing(2).wav
子ムカデ(命中),				触手 レッド FightHit(1).wav
毒トゲ弾(攻撃),  			ニードル連射
毒トゲ弾(命中),				ニードル連射;連続爆発
バラバラ攻撃(攻撃), 			８ＷＡＹ射出 Swing(2).wav
バラバラ攻撃(命中),			オールレンジ FightHit(1).wav
銀エビハサミ(攻撃),			斬撃 Swing.wav 二刀流
銀エビハサミ(命中),			斬撃 FightHit(1).wav 二刀流
必殺銀エビ機雷(攻撃),			スピンアタック 白 Drill.wav
必殺銀エビ機雷(命中),			スピンアタック 白 FightHit(1).wav
シャドウ剣(準備),			-
シャドウ剣(攻撃),			斬撃 Swing(2).wav
シャドウ剣(命中),			斬撃 FightHit(1).wav
ハガキ爆弾(準備),			お札
ハガキ爆弾(攻撃),			お札
ハガキ爆弾(命中),			小爆発
火炎大車輪(準備),			車輪(自転車)
火炎大車輪(攻撃),			蹴り飛ばし武器 DGoods\EFFECT_Wheel(Bicycle)01.bmp 32 - Swing.wav
火炎大車輪(命中),			爆発
鉤爪(攻撃),				格闘
鉤爪(命中),				爪撃 FightHit(1).wav
剣(準備),  				サーベル
剣(攻撃),   				斬撃
剣(命中),				斬撃 FightHit(1).wav
殺人眼力光線(攻撃),			怪光線 LaserGun.wav
殺人眼力光線(命中),			怪光線 LaserGun.wav
デッドインパルス(準備),  		サーベル
デッドインパルス(攻撃),			気弾 Beam.wav
デッドインパルス(命中),			爆発
三叉槍(準備),  				トライデント
三叉槍(攻撃),				連突
三叉槍(命中),				連突 FightHit(1).wav
エネルギー弾(攻撃),			球電
エネルギー弾(命中),			爆発
ザダム念力(攻撃),			旋風 Charge(2).wav
ザダム念力(命中),			旋風 Charge(2).wav;爆発
三位一体攻撃(準備),			同時粒子集中 黄 Sword.wav
三位一体攻撃(攻撃),			同時スーパータックル イエロー Whiz.wav
三位一体攻撃(命中),			同時スーパータックル イエロー FightHit(1).wav
ロングボウ,				弓
赤面ブーメラン(準備),			-
赤面ブーメラン(攻撃),			回転投擲 Bullet\EFFECT_ShootingCutter(Red)01.bmp 24 Swing.wav
赤面ブーメラン(命中),			斬撃 FightHit(1).wav
噛みつき(攻撃),				格闘 Swing.wav
噛みつき(命中),				噛み付き FightHit(1).wav
人魂ミサイル,           		火炎弾
幽霊火車(攻撃),				炎投射
幽霊火車(命中),				火柱
首投げ噛みつき(攻撃),			２ＷＡＹ射出 Bazooka.wav
首投げ噛みつき(命中),			噛み付き FightHit(1).wav
猫爪ロケット(攻撃),			重機関砲 MicroMissile.wav
猫爪ロケット(命中),			連続爆発
キャットファイヤー,			火炎放射
死神触手(攻撃),				格闘  Whip.wav
死神触手(命中),				強打 FightHit(1).wav
大砲,					キャノン砲長距離
催眠ガス(攻撃),				粒子噴射 白 Breath.wav
催眠ガス(命中),				粒子噴射 白 Breath.wav
毒ガス(攻撃),				粒子噴射 黄 Breath.wav
毒ガス(命中),				粒子噴射 黄 Breath.wav
フクロウ毒矢(攻撃),  			ニードル連射
フクロウ毒矢(命中),			ニードル連射;連続爆発
リモコンアーム,				ロケットパンチ
ハンマーロクロ,				棘鉄球
ニトロ爆弾,				キャノン砲
地獄光線,				必殺光線 黄
ヘッドリング,				手錠
尺八火炎,				火炎放射器 赤 Music\EFFECT_Flute01.bmp 32 -
トマホーク(準備),			トマホーク
トマホーク(攻撃),			斬撃 Swing(2).wav
カミナリ剣(命中),			斬撃 FightHit(1).wav
死の谷念力(攻撃),			音波 Null.wav
死の谷念力(命中),			音波 Hittyuu.wav
ドラキュラ暗幕(攻撃),			回転投擲 Shield\EFFECT_BatWingGurad01.bmp 32 Swing(2).wav
ドラキュラ暗幕(命中),			ダメージ Whiz.wav
ドラキュラ首(攻撃),			２ＷＡＹ射出 Bazooka.wav
ドラキュラ首(命中),			噛み付き FightHit(1).wav
ドラキュラ火炎,				火炎放射
催眠光線,				特殊光線 ホワイト
サソリハンド(攻撃),   			格闘
サソリハンド(命中),			斬撃 FightHit(1).wav
サソリ破壊ガス(攻撃),			火炎放射 黄 Breath.wav
サソリ破壊ガス(命中),			火炎放射 黄 Breath.wav;爆発
ヒトデ白糸(攻撃),			特殊光線 ホワイト Breath.wav
ヒトデ白糸(命中),			特殊光線 ホワイト Null.wav
吸血マジックハンド,			多触手 赤
怪力(攻撃),				格闘
怪力(命中),				強打 FightHit(1).wav
ピッグノーズ,				分銅
ピッグファイヤー,			火炎放射
錫杖(準備),				錫杖
錫杖(攻撃),				振り下ろし Swing(2).wav
錫杖(命中),				強打 FightHit(1).wav
サンダー金縛り(攻撃),			怪光線 Thunder.wav
サンダー金縛り(命中),			怪光線 Thunder.wav;放電
大量電気ショック(攻撃),			大電撃
大量電気ショック(命中),			放電
バチ(準備),				警棒 - - 二刀流
バチ(攻撃),				白兵武器 - - 二刀流
バチ(命中),				強打 FightHit(1).wav
大脳マヒ電気ショック(攻撃),		怪光線 Thunder.wav
大脳マヒ電気ショック(命中),		怪光線 Thunder.wav;放電
サンダーショック(攻撃),			破壊光線 Thunder.wav
サンダーショック(命中),			破壊光線 Thunder.wav;放電
サンダー殺人ビーム(攻撃),		大放電 Thunder.wav
サンダー殺人ビーム(命中),		大放電 Thunder.wav
河童パンチ(攻撃),			格闘
河童パンチ(命中),			強打 Punch.wav
水中戦(攻撃),				スーパーパンチ乱舞 青 Whiz.wav
水中戦(命中),				スーパーパンチ乱舞 青 Punch.wav
水爆,					超自爆
人魚鱗責め(攻撃),			クナイ;クナイ;クナイ
人魚鱗責め(命中),			連続爆発
人魚キック,				スーパーキック
アンコウレーザー,			ニードルレーザー 黄
人魚スピンビーム,			特殊光線 イエロー
人魚ボイン爆弾(攻撃),			棘鉄球投擲
人魚ボイン爆弾(命中),			爆発
ナマズひげ,				多触手 黒
ナマズ地震波,				ＭＡＰ地震
ナマズガス(攻撃),			粒子噴射 黒 Breath.wav
ナマズガス(命中),			粒子噴射 黒
ナマズクロウハンド(攻撃),		格闘
ナマズクロウハンド(命中),		噛み付き FightHit(1).wav
スミイカ炎,				火炎放射
スミイカ左腕(攻撃),			格闘
スミイカ左腕(命中),			強打 Punch.wav
インク爆弾(攻撃),			火炎放射 黒 Breath.wav
インク爆弾(命中),			火炎放射 黒 Breath.wav;爆発
ゴリランバズーカ,			大キャノン砲
セコンドサイクル音波,			音波
万力アーム(攻撃),			格闘
万力アーム(命中),			強打 FightHit(1).wav
キチガイバト時計針(攻撃),		重機関砲 Beamvalcan.wav
キチガイバト時計針(命中),		連続爆発
キモノドクガ火炎地獄(攻撃),		炎投射
キモノドクガ火炎地獄(命中),		火柱
キモノドクガ火炎地獄<Ｍ>(攻撃),		ＭＡＰ炎
キモノドクガ火炎地獄<Ｍ>(命中),		火柱
火炎鬘,					炎投射
忍者刀,					脇差
溶解液銃,				火炎放射器 赤 Weapon\EFFECT_BeamRifle01.bmp 32 Breath.wav
冷凍ガス銃,				火炎放射器 白 Weapon\EFFECT_BeamRifle01.bmp 32 Breath.wav;凍結
イカルスの秘術,				-
天候操作,				強風;落雷
破壊銃(攻撃),				重機関砲 MicroMissile.wav
破壊銃(命中),				連続爆発
破壊ガス(攻撃),				火炎放射 黒 Breath.wav
破壊ガス(命中),				火炎放射 黒 Breath.wav;爆発
ミサイル(攻撃),				重機関砲 MicroMissile.wav
ミサイル(命中),				連続爆発
暗殺血風刀,				妖刀
ゼロワン封じ暗闇斬り(準備),		妖刀
ゼロワン封じ暗闇斬り(攻撃),		発光 白 Glass.wav;連斬撃
ゼロワン封じ暗闇斬り(命中),		連斬撃 Slash(2).wav

シャドウメカ
ロケット弾(攻撃),			重機関砲 MicroMissile.wav
ロケット弾(命中),			連続爆発
キャタピラ(攻撃),			タックル
キャタピラ(命中),			強打 Crash.wav
ブレード(攻撃),				タックル
ブレード(命中),				横大斬撃 Slash(2).wav
ロケット砲(攻撃),			重機関砲 MicroMissile.wav
ロケット砲(命中),			連続爆発
デビルミサイル(Ｍ)(攻撃),		ＭＡＰミサイル
デビルミサイル(Ｍ)(命中),		連続爆発
破壊光線(Ｍ)(攻撃),			ＭＡＰビーム 白
破壊光線(Ｍ)(命中),			爆発
振り下ろしパンチ(攻撃),			Swing(2).wav
振り下ろしパンチ(命中),			超打 Crash.wav;Shock(Low).wav
アーマゲドンＸＹＺ砲(Ｍ)(攻撃),		ＭＡＰビーム 白
アーマゲドンＸＹＺ砲(Ｍ)(命中),		超爆発
デビルミサイル(攻撃),			小型ミサイル
デビルミサイル(命中),			小爆発
破壊光線(攻撃),				特殊光線 白
破壊光線(命中),				特殊光線 白
パンチ(攻撃),				格闘 Swing(2).wav
パンチ(命中),				強打 Crash.wav
アーマゲドンＸＹＺ砲(攻撃),		大ビーム 白
アーマゲドンＸＹＺ砲(命中),		大ビーム 白
砲撃(攻撃),				重機関砲 MicroMissile.wav
砲撃(命中),				連続爆発
大竜巻,					ＭＡＰ竜巻
高熱放射(攻撃),				必殺光線 赤
高熱放射(命中),				爆発


大首領ビッグシャドウ
杖(準備),				-
杖(攻撃),				振り下ろし Swing(2).wav
杖(命中),				強打 FightHit(1).wav
念力波,					地表衝撃波 ホワイト
