

うたわれるもの
格闘(命中), FightHit(2).wav
ジャンプ(超跳躍), Cannon.wav
弓矢, Bow.wav
弓矢(命中), Stab.wav
弐連狙撃, 3;Bow.wav;Bow.wav
弐連狙撃(命中), 3;Stab.wav;Stab.wav
多連続狙撃, 3;Bow.wav;1;Bow.wav;3;Bow.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav;Bow.wav
多連続狙撃(命中), 3;Stab.wav;1;Stab.wav;3;Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav;Stab.wav
集中落下狙撃, 1;Bow.wav;1;Bow.wav;3;Bow.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav;Bow.wav
集中落下狙撃(命中), FastGun.wav
槍術, Saber.wav
槍術(命中), 2;Slash(2).wav;2;Slash(2).wav;2;Slash(2).wav;Slash(4).wav
槍術(クリティカル), 1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;3;Swing.wav;Slash(4).wav
突撃, Whiz.wav
突撃(命中), Slash(4).wav
跳躍斬り, Cannon.wav
跳躍斬り(命中), 1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;3;Swing.wav;Slash(4).wav
奥義・雷獣槍, Saber.wav
奥義・雷獣槍(命中), 3;Whiz.wav;2;Slash(4).wav;3;Whiz.wav;2;Slash(4).wav;3;Whiz.wav;2;Slash(4).wav;3;Whiz.wav;2;Slash(4).wav;1;Sword.wav;1;Sword.wav;1;Sword.wav;1;Sword.wav;1;Sword.wav;1;Sword.wav;1;Sword.wav;1;Sword.wav;3;Sword.wav;7;Charge(High).wav;4;Thunder.wav;4;Thunder.wav;Thunder.wav
長剣, Saber.wav
長剣(命中), Slash(4).wav
奥義・龍神斬, Saber.wav
奥義・龍神斬(命中), 3;Slash(4).wav;3;Slash(4).wav;3;Slash(4).wav;White.bmp 480 480;3;Clear;1;Sword.wav;1;Sword.wav;1;Sword.wav;1;Sword.wav;1;Sword.wav;1;Sword.wav;1;Sword.wav;7;Charge(High).wav;Explode(Nuclear).wav
居合抜き, Swing.wav
居合抜き(命中), Slash(4).wav
四連抜刀術, Swing(2).wav
四連抜刀術(命中), 3;Slash(4).wav;2;Slash(2).wav;3;Slash(2).wav;Slash(4).wav
疾風殺, Whiz.wav
疾風殺(命中), 1;Glass.wav;1;White.bmp 480 480;8;Clear;1;Glass.wav;1;White.bmp 480 480;8;Clear;1;Glass.wav;1;White.bmp 480 480;8;Clear;Slash(4).wav
石飛礫, 3;Saber.wav;Missile.wav
石飛礫(命中), FightHit(3).wav
超巨大薙鉈, Saber.wav
超巨大薙鉈(命中), Sword.wav
爆熱の壱太刀, Inori.wav
爆熱の壱太刀(命中), 3;Saber.wav;Breath.wav
剣の術法, BeamSaber.wav
剣の術法(命中), Slash(4).wav
閃の術法, Whiz.wav
閃の術法(命中), Explode(Far).wav
風の術法, Breath.wav
風の術法(命中), Storm.wav
雷の術法, Thunder.wav
雷の術法(命中), Explode.wav
光の術法, Hittyuu.wav
光の術法(命中), 1;Interference.wav;7;White.bmp 480 480;Clear
爪の術法, BeamSaber.wav
爪の術法(命中), Slash.wav
重の術法, Charge.wav
重の術法(命中), Interference.wav
土の術法, FlyBy.wav
土の術法(命中), 3;Crash.wav;Explode(Far).wav
炎の術法, Charge.wav
炎の術法(命中), Explode(Nuclear).wav
闇の術法, Hittyuu.wav
闇の術法(命中), 1;Interference.wav;7;Black.bmp 480 480;Clear
消の術法, 1;Flair.wav;7;Black.bmp 480 480;Clear
鎧内蔵式参連刃, Sword.wav
鎧内蔵式参連刃(命中), Slash(4).wav
超滅多斬り, Sword.wav
超滅多斬り(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav;2;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;2;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;Slash.wav
大鉈, Swing.wav
大鉈(命中), Sword.wav
滅多斬り, Saber.wav
滅多斬り(命中), 2;Sword.wav;2;Sword.wav;Sword.wav
薙刀, Saber.wav
薙刀(命中), 2;Slash(4).wav;3;Slash(4).wav;Slash(4).wav
豪風斬, 3;Saber.wav;Storm.wav
豪風斬(命中), Breath.wav
棍術, 2;Bazooka.wav;3;FightHit(4).wav;Shock(Low).wav
紫雷陣, 4;Thunder.wav;4;Thunder.wav;Thunder.wav
紫雷陣【MAP】, 4;Thunder.wav;4;Thunder.wav;Thunder.wav
双鉄爪, Saber.wav
双鉄爪(命中), 2;Slash(4).wav;3;Slash(4).wav;Slash(4).wav
雷神の鉄槌, 4;Thunder.wav;4;Thunder.wav;Thunder.wav
体術(命中), 2;FightHit(1).wav;3;FightHit(1).wav;FightHit(1).wav
灼熱の煉拳(命中), 13;FastGun.wav;5;Saber.wav;Explode(Nuclear).wav
大剣, Saber.wav
大剣(命中), Sword.wav
大地を駆ける爆炎, 3;Saber.wav;Explode(Nuclear).wav
巨剣, Saber.wav
巨剣(命中), Sword.wav
光を放つ斬撃, Saber.wav
光を放つ斬撃(命中), 1;White.bmp 480 480;4;Explode.wav;4;Explode.wav;Explode(Nuclear).wav;Clear
滅の波陣, Whiz.wav
滅の波陣(命中), BeamShot.wav;3;Black.bmp 480 480;6;Sword.wav;2;Slash(4).wav;2;Slash(4).wav;2;Slash(4).wav;5;Sword.wav;Clear
砕の波陣, 0.8;Swing.wav;0.8;Swing.wav;0.8;Swing.wav;0.8;Swing.wav;0.8;Swing.wav;0.8;Swing.wav;0.8;Swing.wav;0.8;Swing.wav;0.8;Swing.wav;0.8;Swing.wav;0.8;Swing.wav;0.8;Swing.wav;0.8;Swing.wav;Swing.wav
砕の波陣(命中), 0.8;Slash(4).wav;0.8;Slash(4).wav;0.8;Slash(4).wav;0.8;Slash(4).wav;0.8;Slash(4).wav;0.8;Slash(4).wav;0.8;Slash(4).wav;0.8;Slash(4).wav;0.8;Slash(4).wav;0.8;Slash(4).wav;0.8;Slash(4).wav;Slash(4).wav
朱に輝く巨爪(準備), Charge.wav
朱に輝く巨爪, 3;Saber.wav;Explode(Far).wav
朱に輝く巨爪(命中), -
巨爪, Swing.wav
巨爪(命中), Slash(4).wav
両の巨爪, 2;Saber.wav;2;Saber.wav;2;Saber.wav;2;Saber.wav;Saber.wav
両の巨爪(命中), 2;Sword.wav;2;Sword.wav;2;Sword.wav;2;Sword.wav;Sword.wav
豪腕, Swing.wav
豪腕(命中), Bazooka.wav
巨腕, MicroMissile.wav
巨腕(命中), -
全てを無に帰す光, Charge(high).wav
全てを無に帰す光(命中), 1;Interference.wav;7;White.bmp 480 480;Clear
黒き枷, BeamSaber.wav
黒き枷(クリティカル), Inori.wav
白き剣閃, Saber
白き剣閃(命中), 3;Slash(4).wav;1;Slash(4).wav;3;Slash(4).wav;4;Whiz.wav;4;Whiz.wav;4;Whiz.wav;Slash(4).wav
天より堕ちる閃光, 3;Beam.wav;1;Beam.wav;2;Beam.wav;3;Beam.wav;1;Beam.wav;1;Beam.wav;1;Beam.wav;1;Beam.wav;1;Beam.wav;1;Beam.wav;1;Beam.wav;1;Beam.wav;Beam.wav
天より堕ちる閃光(命中), Explode(Nuclear).wav
朱き閃爪, Saber.wav
朱き閃爪(命中), Slash(4).wav
朱尾を帯びた飛翔, Storm.wav
朱尾を帯びた飛翔(命中), 1;MicroMissile.wav;11;White.bmp 480 480;Clear
影の術法, 3;Whiz.wav;3;Whiz.wav;3;Whiz.wav;Whiz.wav
影の術法(命中), 1;Slash(4).wav;1;Slash(4).wav;1;Slash(4).wav;Slash(4).wav
薙撃, Saber.wav
薙撃(命中), Slash.wav
毒霧, Inori.wav
粘体, Inori.wav
粘体(命中), Splash.wav
身軽な体躯(命中), Punch.wav

