ポポロクロイス物語
攻撃無効化(マジカルロード), ビームコート BeamCoat.wav マジカルロード
ソードフレイム(準備), ソード;@戦闘アニメ_振り上げ攻撃 Reload(4).wav;オーラ上昇 赤 Charge.wav
ソードフレイム(攻撃), 大炎斬撃
ソードフレイム(命中), 炎斬撃 Explode(Nuclear).wav
ソードオブサン(準備), ソード;@戦闘アニメ_振り上げ攻撃 Reload(4).wav;オーラ上昇 黄 Charge(High).wav
ソードオブサン(攻撃), 大炎斬撃 黄
ソードオブサン(命中), 雷斬撃 Warship.wav;4;超爆発
魔王のカナヅチ, 木槌
漢のカナヅチ, 木槌
マグネットキャッチャー(準備), Reload.wav
マグネットキャッチャー(攻撃), 特殊光線 赤
マグネットキャッチャー(命中), 吸収 赤 BreakOff.wav
マジックハンド(準備), Reload.wav
マジックハンド(攻撃), 打撃突撃;ロケットパンチ
マジックハンド(命中), 強打
いなずまパンチ(準備), Reload.wav
いなずまパンチ(攻撃), 打撃突撃;ロケットパンチ
いなずまパンチ(命中), 強打;放電
キャッチャービーム(準備), Reload.wav
キャッチャービーム(攻撃), 特殊光線 黄
キャッチャービーム(命中), 吸収 黄 BreakOff.wav
ガミガミミサイル(準備), Reload.wav
ガミガミミサイル(攻撃), ホーミングミサイル
ガミガミミサイル(命中), 連続爆発
ガミガミキャノン(準備), Reload.wav
ガミガミキャノン(攻撃), 大キャノン砲
ガミガミキャノン(命中), 大爆発
ガミガミロボ(準備), 妖精 Walk(Robot).wav
ガミガミロボ(攻撃), マシンガン;マシンガン;キャノン砲 3;キャノン砲 3
ガミガミロボ(命中), 連続爆発
Ｇガミガミロボ(準備), 怪ロボット召喚 Roar.wav
Ｇガミガミロボ(攻撃), ＭＡＰ持続ビーム 黄 LaserGun.wav
Ｇガミガミロボ(命中), 大爆発 Explode(Far).wav
アイテムボンバー(準備), Reload.wav
アイテムボンバー(攻撃), ロックオン;スーパーミサイル Bazooka.wav
アイテムボンバー(攻撃), ロックオン;ＩＣＢＭ Bazooka.wav
アイテムボンバー(攻撃), ロックオン;ドリルミサイル Bazooka.wav
アイテムボンバー(攻撃), ロックオン;グレネード Bazooka.wav
アイテムボンバー(命中), 超爆発
######## ポポロ２味方 ########
魅惑のステップ(攻撃), バック転 Sharara.wav
セクシーダイナマイツ(攻撃), バック転 Sharara.wav
イリュージョンダンス(準備), -.wav
イリュージョンダンス(攻撃), 透明化 対象ユニットＩＤ;@戦闘アニメ_転移 Whiz.wav;分身打撃
イリュージョンダンス(命中), 連打
ディメンジョンダンス(準備), -.wav
ディメンジョンダンス(攻撃), 透明化 対象ユニットＩＤ;@戦闘アニメ_転移 Whiz.wav;分身打撃
ディメンジョンダンス(命中), 連打
アクセルスピンキック(準備), -.wav
アクセルスピンキック(攻撃), スピンキック
アクセルスピンキック(命中), 連打
アクセルボンバー(準備), -.wav
アクセルボンバー(攻撃), スピンキック
アクセルボンバー(命中), 連打
ファントムスラスト(準備), 粒子集中 桃
ファントムスラスト(攻撃), 火炎弾 桃
ファントムスラスト(命中), 強打
ジルバちゃんスペシャル(準備), 粒子集中 桃
ジルバちゃんスペシャル(攻撃), スーパータックル 桃
ジルバちゃんスペシャル(命中), 強打;連打;アッパー Explode(Far).wav
癒しの舞, 回復魔法
豊穣の舞, 回復魔法
狩人の弓, 弓矢
スターボウ, 弓矢
影縫い(準備), 弓矢;粒子集中 黒
影縫い(攻撃), 光矢 黒
影縫い(命中), Stab.wav
シャドウキラー(準備), 弓矢;粒子集中 黒
シャドウキラー(攻撃), 光矢 黒
シャドウキラー(命中), Stab.wav
貫矢(準備), 弓矢;粒子集中 白
貫矢(攻撃), 小ビーム 白
貫矢(命中), 小ビーム 白 Stab.wav
トルネードショット(準備), 弓矢;粒子集中 白
トルネードショット(攻撃), 小ビーム 白
トルネードショット(命中), 小ビーム 白 Stab.wav
武弓追施(準備), 弓矢;粒子集中 黄
武弓追施(攻撃), ホーミングレーザー 黄
武弓追施(命中), ホーミングレーザー 黄 Stab.wav
スターゲイザー(準備), 弓矢;粒子集中 黄
スターゲイザー(攻撃), ホーミングレーザー 黄
スターゲイザー(命中), ホーミングレーザー 黄 Stab.wav
みだれ撃ち(準備), 弓矢;EvilEye.wav
みだれ撃ち(攻撃), 1;Bow.wav;1;Bow.wav;1;Bow.wav;1;矢連射 Whiz.wav
みだれ撃ち(命中), 連突 Stab.wav
マシンガンショット(準備), 弓矢;EvilEye.wav
マシンガンショット(攻撃), 1;Bow.wav;1;Bow.wav;1;Bow.wav;1;矢連射 Whiz.wav
マシンガンショット(命中), 連突 Stab.wav
エスペランサ(準備), 粒子集中 黒
エスペランサ(攻撃), ＭＡＰビーム 黄 Breath.wav
エスペランサ(命中), 大ビーム 黄 Breath.wav
エスペランサ(解説), $(パイロット)はエスペランサを召喚した！
マルコシアス(準備), 粒子集中 黒
マルコシアス(攻撃), 音波 Roar.wav
マルコシアス(命中), ダメージ Shock(Low).wav
マルコシアス(解説), $(パイロット)はマルコシアスを召喚した！
ブルンバブン(準備), 粒子集中 黒
ブルンバブン(攻撃), 魔法放射 青
ブルンバブン(命中), 津波 Inori.wav;飛沫 青 Splash.wav;飛沫 青 Splash.wav;飛沫 青 Splash.wav
ブルンバブン(解説), $(パイロット)はブルンバブンを召喚した！
カルラ(準備), 粒子集中 黒
カルラ(攻撃), スーパータックル 赤
カルラ(命中), 連続なぎ払い;竜巻 Storm.wav
カルラ(解説), $(パイロット)はカルラを召喚した！
キングナイト(準備), 粒子集中 黒
キングナイト(攻撃), スーパータックル 黒
キングナイト(命中), 超斬撃;大放電 黒 Explode.wav
キングナイト(解説), $(パイロット)はキングナイトを召喚した！
モノケロース, 回復魔法
モノケロース(解説), $(パイロット)はモノケロースを召喚した！
カタナ,	日本刀
コクレン, 日本刀
二刀流(準備), 日本刀 二刀流
二刀流(攻撃), 連斬撃
二刀流(命中), 斬撃;斬撃
桜花乱舞(準備), 日本刀
桜花乱舞(攻撃), スーパータックル 青
桜花乱舞(命中), 斬撃;斬撃;飛沫 桃 Inori.wav
居合(準備), Reload(4).wav
居合(攻撃), 振る武器突撃 -.bmp;なぎ払い
居合(命中), Slash(4).wav
居合(とどめ), 横分割
心眼・斬(準備), Reload(4).wav
心眼・斬(攻撃), 振る武器突撃 -.bmp;なぎ払い
心眼・斬(命中), Slash(4).wav
心眼・斬(とどめ), 横分割
三日月斬り(準備), Reload(4).wav
三日月斬り(攻撃), 振る武器突撃 -.bmp;振り上げ
三日月斬り(命中), 円弧斬撃 黄 Slash(4).wav
円月殺法(準備), Reload(4).wav
円月殺法(攻撃), 円月殺法 黄
円月殺法(命中), 円弧斬撃 黄 Slash(4).wav
鬼雷(準備), オーラ上昇 黒
鬼雷(攻撃), フラッシュ 黒
鬼雷(命中), ＭＡＰ落雷
鬼面(準備), オーラ上昇 黒
鬼面(攻撃), フラッシュ 黒;透明化 対象ユニットＩＤ;@戦闘アニメ_転移 Whiz.wav
鬼面(命中), 超斬撃 黒 Slash(4).wav
強力招来, 魔法集中 赤 Fire.wav
来迎光臨, 魔法集中 赤 Fire.wav
######## サブ味方 ########
兵士の剣, 剣
ポポロスラッシュ(攻撃), 振る武器突撃 -.bmp;なぎ払い
ポポロスラッシュ(命中), なぎ払い
かいふく, 回復魔法
ひぃぃ！(攻撃), 回転斬撃
ひぃぃ！(命中), 斬撃乱舞
ガーン！(攻撃), スーパーパンチ 橙
ガーン！(命中), 横大斬撃 Crash.wav
ナグロスコップ, ピック
落とし穴(攻撃), 振り上げ Reload.wav;振り上げ Reload.wav;振り上げ Reload.wav
落とし穴(命中), ダメージ 橙 PowerDown(2).wav
魔法のハンカチ(攻撃), 振り下ろし Sharara.wav
魔法のハンカチ(命中), ダメージ 紫 PiyoPiyo(2).wav
######## ポポロ１ボス ########
ヘルファイア(準備), 粒子集中 赤 Hittyuu.wav
ヘルファイア(攻撃), 火炎弾
ヘルファイア(命中), 火柱 Explode.wav
イビルサンダー(準備), 粒子集中 黄 Hittyuu.wav
イビルサンダー(攻撃), 魔法放射 黄
イビルサンダー(命中), 落雷
アーム(攻撃), 振り下ろし
アーム(命中), 強打
ポイズンミスト(準備), 粒子集中 緑
ポイズンミスト(攻撃), 魔法放射 緑
ポイズンミスト(命中), 煙 緑 Bubble.wav
スリープボンバー(準備), 粒子集中 白
スリープボンバー(攻撃), 魔法放射 白 Snap(E).wav
コソドロスペシャル(攻撃), 振る武器突撃 -.bmp
コソドロスペシャル(命中), Bow.wav
コソドロスペシャル(クリティカル), 4;吸収 黄 Breakoff.wav
引っ掻き, 爪撃
魔力の杖, 杖
メガファイア(準備), 粒子集中 赤 Hittyuu.wav
メガファイア(攻撃), 火炎弾
メガファイア(命中), 火柱 Explode.wav
メガフレイム(準備), 粒子集中 赤 Hittyuu.wav
メガフレイム(攻撃), 魔法放射 赤
メガフレイム(命中), 連続爆発;炎 Fire.wav
パワーロッド, 杖
気合の一撃(準備), オーラ上昇 緑 Charge.wav
気合の一撃(攻撃), 杖
気合の一撃(命中), 強打 Crash.wav
ギガストーム(準備), 粒子集中 白 Hittyuu.wav
ギガストーム(攻撃), 魔法放射 白
ギガストーム(命中), 竜巻 Storm.wav
おたけび(攻撃), Roar.wav
おたけび(命中), -
ファイヤーブレス(準備), 粒子集中 赤
ファイヤーブレス(攻撃), 火炎放射 Breath.wav
ファイヤーブレス(命中), 火炎放射 Breath.wav
爪, 爪撃 連続
フォース(準備), 粒子集中 黒
フォース(攻撃), 魔法放射 黒
フォース(命中), 吸収 黒 BreakOff.wav
ノヴァ(準備), 粒子集中 黒 Hittyuu.wav
ノヴァ(攻撃), 魔法放射 黒
ノヴァ(命中), 連続爆発;大爆発
ドゥーム(準備), 粒子集中 黒 Hittyuu.wav
ドゥーム(攻撃), 魔法放射 黒
ドゥーム(命中), 落雷 黒;大放電 黒
ジ・エンド(準備), 粒子集中 黒 Hittyuu.wav
ジ・エンド(攻撃), 魔法放射 黒
ジ・エンド(命中), 旋風 Slash.wav
氷の剣(準備), BeamSaber.wav
氷の剣(攻撃), 振る武器突撃 -.bmp;なぎ払い
氷の剣(命中), 凍斬撃 Slash(4).wav
ダークバニッシャー(攻撃), なぎ払い Saber.wav;地表衝撃波 青
ダークバニッシャー(命中), ダメージ 青 Explode(Small).wav
イビルストライク(攻撃), 急降下
イビルストライク(命中), 唐竹割り 青 Warship.wav
######## ポポロ２ボス ########
スーパーガブガブ(準備), 粒子集中 青
スーパーガブガブ(攻撃), 振る武器突撃 -.bmp
スーパーガブガブ(命中), フォール Slash.wav;噛み付き
鋼鉄ハリケーン(攻撃), 竜巻
鋼鉄ハリケーン(命中), 竜巻
鋼鉄ミサイル(準備), Reload.wav
鋼鉄ミサイル(攻撃), ホーミングミサイル
鋼鉄ミサイル(命中), 連続爆発
鋼鉄キャノン(準備), Reload.wav
鋼鉄キャノン(攻撃), 大キャノン砲
鋼鉄キャノン(命中), 大爆発
鋼鉄ストライクアタック(攻撃), 急降下
鋼鉄ストライクアタック(命中), ダメージ Warship.wav
奇怪なためいき(攻撃), 魔法放射 緑 Bubble.wav
奇怪なためいき(命中), 煙 緑 Bubble.wav
がまんできなーい！(攻撃), 舌 Swing(2).wav
がまんできなーい！(命中), フォール Bubble.wav
カイザーアッパー(攻撃), 振る武器突撃 -.bmp
カイザーアッパー(命中), @戦闘アニメ_アッパー攻撃;超アッパー
カイザーキック(攻撃), 振る武器突撃 -.bmp
カイザーキック(命中), @戦闘アニメ_キック攻撃;超打
ズール(準備), 変形 PCS_Zulu(TrueFigure)U.bmp;オーラ上昇 橙
ズール(攻撃), 白兵回転;ＭＡＰ地震 Bomb.wav
ズール(命中), 連打
ザード(準備), 変形 PCS_ZardU.bmp;粒子集中 青
ザード(攻撃), 振る武器突撃 -.bmp
ザード(命中), フォール Slash.wav;噛み付き
クスカ王(準備), 変形 PCS_KingCscaU.bmp
クスカ王(攻撃), 舌 Swing(2).wav
クスカ王(命中), フォール Bubble.wav
ゴーグ(準備), 変形 PCS_Gorg(TrueFigure)U.bmp
ゴーグ(攻撃), 急降下
ゴーグ(命中), ダメージ Warship.wav
スプラッシュショット(攻撃), 舌 Swing(2).wav
スプラッシュショット(命中), ダメージ 橙 Crash.wav;爆発
ファイアースマッシュ(攻撃), ベアリング Whiz.wav
ファイアースマッシュ(命中), 連続爆発;炎
ゴブリンラッシュ(準備), オーラ上昇 橙
ゴブリンラッシュ(攻撃), 白兵回転;ＭＡＰ地震 Bomb.wav
ゴブリンラッシュ(命中), 連打
メタモルフォーゼ(準備), 粒子集中 紫
メタモルフォーゼ(攻撃), @戦闘アニメ_魔法陣準備 紫 BeamSaber.wav;魔法陣 紫 BeamSaber.wav
メタモルフォーゼ(命中), @戦闘アニメ_フラッシュ準備 Glass.wav
くちばし(攻撃), 振る武器突撃 -.bmp
くちばし(命中), 点打
ジャイアントアッパー(攻撃), 振る武器突撃 -.bmp
ジャイアントアッパー(命中), @戦闘アニメ_アッパー攻撃;超アッパー
ボンバーキック(攻撃), 振る武器突撃 -.bmp
ボンバーキック(命中), @戦闘アニメ_キック攻撃;超打
ボディプレッシャー(攻撃), 急降下
ボディプレッシャー(命中), ダメージ Warship.wav
突風(攻撃), なぎ払い;旋風
突風(命中), 旋風 Crash.wav
マイラの尻尾(攻撃), 舌 Swing(2).wav
マイラの尻尾(命中), 噛み付き
なぎはらう(攻撃), なぎ払い
なぎはらう(命中), 強打
ブレス(攻撃), 火炎放射 桃 Breath.wav
ブレス(命中), 火炎放射 桃 Breath.wav
召喚(攻撃), ＭＡＰ落雷
召喚(命中), 落雷
暗黒の輝き(準備), オーラ上昇 黒
暗黒の輝き(攻撃), 大ビーム 黒 Breath.wav
暗黒の輝き(命中), 大ビーム 黒 Explode.wav
シャドウクラスター(準備), 粒子集中 黒
シャドウクラスター(攻撃), 魔法放射 黒
シャドウクラスター(命中), 強打
ヘルスナイパー(攻撃), 魔法放射 黒
ヘルスナイパー(命中), アッパー;石柱 赤 Slash.wav
ダークネスボム(攻撃), 拡散ビーム 紫 LaserGun.wav
ダークネスボム(命中), 拡散ビーム 紫
ソニックバスター(準備), 粒子集中 黒 Charge.wav
ソニックバスター(攻撃), ＭＡＰ風 Explode(Far).wav
ソニックバスター(命中), 強打
闇の視線(攻撃), 双邪眼解放 黒
闇の視線(命中), 粒子集中 黒 Charge.wav;飛沫 黒 Explode.wav
カオスプリズン(攻撃), なぎ払い;シュートカッター 紫 Whiz.wav
カオスプリズン(命中), 光噴出 紫 Explode.wav
深遠の瞳(攻撃), 双邪眼解放 黒
深遠の瞳(命中), 重力圧縮;飛沫 黒
美の旋律(攻撃), 音波
美の旋律(命中), Slash(4).wav;2;Slash(4).wav;2;Slash(4).wav;2;岩柱 紫 Slash(4).wav
シャドウバースト(準備), 粒子集中 黒
シャドウバースト(攻撃), ＭＡＰ炎
シャドウバースト(命中), 炎
メルトクラスター(準備), 粒子集中 黒
メルトクラスター(攻撃), 超ビーム 黒 Breath.wav
メルトクラスター(命中), 超ビーム 黒 Explode.wav
######## 古の勇者 ########
レイブレス<MAP>(準備), 粒子集中 黄
レイブレス<MAP>(攻撃), ＭＡＰビーム 黄 Breath.wav
レイブレス<MAP>(命中), 大ビーム 黄 Breath.wav
レイブレス(準備), 粒子集中 黄
レイブレス(攻撃), 大ビーム 黄 Breath.wav
レイブレス(命中), 大ビーム 黄 Breath.wav
黄金の祝福, 回復魔法
地獄の雄叫び(準備), 粒子集中 青
地獄の雄叫び(攻撃), 音波 Roar.wav
地獄の雄叫び(命中), ダメージ Shock(Low).wav
精霊の杖, 杖
ビッグウェーブ(準備), 粒子集中 黒
ビッグウェーブ(攻撃), 魔法放射 青
ビッグウェーブ(命中), 津波 Inori.wav;飛沫 青 Splash.wav;飛沫 青 Splash.wav;飛沫 青 Splash.wav
三日月刀, 青龍刀
剣の舞(準備), 粒子集中 赤
剣の舞(攻撃), なぎ払い
剣の舞(命中), 斬撃 Slash(4).wav
斬・真空剣(準備), 粒子集中 赤
斬・真空剣(攻撃), スーパータックル 赤
斬・真空剣(命中), 連続なぎ払い;竜巻 Storm.wav
極星の剣, 神剣
乱・疾風剣(準備), 粒子集中 黒
乱・疾風剣(攻撃), スーパータックル 黒
乱・疾風剣(命中), 超斬撃;大放電 黒 Explode.wav
######## ザコモンスター ########
オーバーヒート(準備), 粒子集中 赤
オーバーヒート(攻撃), スーパーパンチ 赤
オーバーヒート(命中), スーパーパンチ 赤
雷の術(攻撃), 魔法放射 黄
雷の術(命中), 落雷
忍刀, 脇差
突撃(攻撃), 振る武器突撃 -.bmp
突撃(命中), 強打
自爆(攻撃), ＭＡＰ大爆発 Explode(Nuclear).wav
自爆(命中), ダメージ Crash.wav
刀, 日本刀
隼斬り(攻撃), なぎ払い Saber.wav;シュートカッター 白 Whiz.wav
隼斬り(命中), 斬撃 Slash(4).wav
燕返し(攻撃), 振り上げ;振り下ろし
燕返し(命中), 振り上げ;振り下ろし
#メンテナンス
スタナーソード, ソード
ダブルアタック(攻撃), 連斬撃
ダブルアタック(命中), 連斬撃
ファイアミサイル(攻撃), ミサイル
ファイアミサイル(命中), 爆発
シャイニング(準備), 粒子集中 黄
シャイニング(攻撃), 魔法放射 黄
シャイニング(命中), 大爆発
ダークキャノン(準備), 粒子集中 黒
ダークキャノン(攻撃), 大ビーム 黒
ダークキャノン(命中), 大ビーム 黒
ソニックボイス(攻撃), 音波
ソニックボイス(命中), -.wav
ぬすむ(攻撃), 振る武器突撃 -.bmp
ぬすむ(命中), Bow.wav
ぬすむ(クリティカル), 4;吸収 黄 Breakoff.wav
サルザケ, 回復魔法
氷の槍, 十字槍
サンダーソード(攻撃), 振り上げ;光打ち上げ 黄 LaserGun.wav
サンダーソード(命中), 落雷
グレートソード, ソード
カオスアロー, 弓矢
カオスフィアー(攻撃), 音波 Roar.wav
カオスフィアー(命中), ダメージ 黒 Shock(Low).wav
カオスフレイム(準備), 粒子集中 黒
カオスフレイム(攻撃), 斬撃 BeamSaber.wav
カオスフレイム(命中), 飛沫 黒;炎 黒
カオスバスター(攻撃), 振り下ろし
カオスバスター(命中), 唐竹割り Warship.wav
カオスブレス(攻撃), 火炎放射 黒 Breath.wav
カオスブレス(命中), 火炎放射 黒 Breath.wav
アサルトメイス, メイス
カオスダークネス(準備), 粒子集中 黒
カオスダークネス(攻撃), 魔法放射 黒
カオスダークネス(命中), 重力圧縮
カオスフィールド(準備), 粒子集中 黒
カオスフィールド(攻撃), 魔法放射 黒
カオスフィールド(命中), 光噴出 黒
