汎用
攻撃無効化(霧), バリア -.wav 霧
火炎竜六色変化(準備), 竜降臨 赤;竜降臨 緑;竜降臨 白;竜降臨 黄;竜降臨 橙; 竜降臨 桃;竜降臨 黒
火炎竜六色変化(攻撃), 竜炎 赤;竜炎 緑;竜降臨 白;竜炎 黄;竜炎 橙; 竜炎 桃;竜炎 黒
火炎竜六色変化(命中), 竜炎 黒 燃焼
幻想世界, 音波
幻夢自悶殺, 怨念
念写力, 発光 白
格闘, 格闘
踏みつけ, 踏み潰し
反射(念写反鏡殺), 反射 Glass.wav 念写反鏡殺
念写二次元鏡, 発光 黒; Glass.wav
二次元相殺, 回転; Glass.wav
終血凝堅牢, 煙 赤
ブラックホール, 重力弾
幻夢爆霊帰, 重力弾
亜空逆回時, 時間逆行
火球, 火炎弾
超念波, 音波
絶対零度, 吹雪
電撃波, 大電撃
念動削岩撃, 旋風

地下闘士
テコンドー, 格闘
テポドンキック, スーパーキック
目潰し, 煙 赤
プロレス技, タックル
凶器攻撃(準備), ガラス片
凶器攻撃(攻撃), 斬撃
凶器攻撃(命中), 斬撃
ネックハンギングスピン(攻撃), ワイヤー
ネックハンギングスピン(命中), ジャイアントスイング
蝙蝠の群れ, 蝙蝠
関節技, 足固め
ヒジュラ・ロック(攻撃), 飛びかかり
ヒジュラ・ロック(命中), フォール;噛み付き
拳圧, 波動放射 白
拳(攻撃), 打突
拳(命中), 超打
踏みつけ, 踏み潰し
