
#以下のアイコンは丸投げ画像パックに収録されているものを使用しています
#EFFECT_DMD_Aeon'sGun.bmp
#EFFECT_DMD_BowOfSirius.bmp
#EFFECT_DMD_Cthugha.bmp
#EFFECT_DMD_Ithaqua.bmp
#EFFECT_DMD_Liogor&Zhar.bmp
#EFFECT_DMD_LordByakhee'sRifle.bmp
#EFFECT_DMD_ScimitarOfBarzai(Open).bmp
#EFFECT_DMD_ScimitarOfBarzai(Spin).bmp
#EFFECT_DMD_ScimitarOfBarzai.bmp
#EFFECT_DMD_ShiningTrapezohedron.bmp
#EFFECT_DMD_SwordOfGoldCross(Extend).bmp
#EFFECT_DMD_SwordOfGoldCross.bmp

鬼械神
分身(ニトクリスの鏡), ダミー Glass.wav ニトクリスの鏡
#イタクァ神獣弾(攻撃), 銃撃武器 "Weapon\EFFECT_DMD_Ithaqua.bmp" 32 "Beam2\EFFECT_BeamShotGun(Blue)03.bmp" 64 Bazooka.wav 大;1;実弾発射 Info(ユニットデータ,ページモンスター・イタクァ,グラフィック) 32 Flash.wav 発光 遅 残像
#MultipleRocketLauncher(Light).wav
イタクァ神獣弾(命中), 超ビーム 白 Freeze.wav;魔法集中 白 Ice.wav;凍結 -.wav
神獣弾同時撃ち(準備), 振る武器粒子集中召喚 "Weapon\EFFECT_DMD_Cthugha.bmp" 32 赤 "Weapon\EFFECT_DMD_Ithaqua.bmp" 32 青 二刀流;発光 赤;@戦闘アニメ_デフォルト攻撃 Reload.wav;2;発光 青;@戦闘アニメ_デフォルト攻撃 Reload.wav;2;別武器二丁拳銃 "Weapon\EFFECT_DMD_Cthugha.bmp" 32 "Weapon\EFFECT_DMD_Ithaqua.bmp" 32 Flair.wav
神獣弾同時撃ち(攻撃), 銃撃武器 "Weapon\EFFECT_DMD_Ithaqua.bmp" 32 "Beam2\EFFECT_BeamShotGun(Blue)03.bmp" 64 Bazooka.wav 大;1;実弾発射 "Creature\EFFECT_ChineseDragon(White)01.bmp" 40 Flash.wav 発光 遅 残像;銃撃武器 "Weapon\EFFECT_DMD_Cthugha.bmp" 32 "Beam2\EFFECT_BeamShotGun(Red)03.bmp" 64 Bazooka.wav 大;1;実弾発射 "Animal\EFFECT_Tiger(Red)01.bmp" 40 Roar.wav 発光 遅 残像
神獣弾同時撃ち(命中), 超ビーム 白 Freeze.wav;魔法集中 白 Ice.wav;凍結 -.wav;2;音再生 Breath.wav;超ビーム 赤 -.wav;超大爆発 赤 HyperExplode.wav
魔銃融合砲(準備), 振る武器粒子集中召喚 "Weapon\EFFECT_DMD_Cthugha.bmp" 32 赤 "Weapon\EFFECT_DMD_Ithaqua.bmp" 32 青 二刀流;光球放出 白 Glass.wav;射撃武器粒子集中召喚 "Weapon\EFFECT_BusterBeamLauncher01.bmp" 64 白 Charge(High).wav
魔銃融合砲(攻撃), 巨大ビームランチャー 黄 "Weapon\EFFECT_BusterBeamLauncher01.bmp" 64 電撃 BeamCannon(2).wav
魔銃融合砲(命中), HyperExplode.wav;巨大ビーム 黄 電撃 -.wav
#魔銃融合砲(攻撃), 巨大ビームランチャー 黄 "Weapon\EFFECT_DMD_CthughaIthaquaCombineCannon.bmp" 64 電撃 BeamCannon(2).wav
零距離銃舞(準備), 振る武器粒子集中召喚 "Weapon\EFFECT_DMD_Cthugha.bmp" 32 赤 "Weapon\EFFECT_DMD_Ithaqua.bmp" 32 青 二刀流;2;光噴出 緑 Charge.wav
零距離銃舞(攻撃), 急降下 Bazooka.wav
零距離銃舞(命中), 急降下 Shock(Low).wav;@戦闘アニメ_別武器二丁拳銃準備 "Weapon\EFFECT_DMD_Cthugha.bmp" 32 "Weapon\EFFECT_DMD_Ithaqua.bmp" 32;2;@戦闘アニメ_別武器二丁拳銃乱射攻撃 画像ファイル="Weapon\EFFECT_DMD_Cthugha.bmp"="Weapon\EFFECT_DMD_Ithaqua.bmp"="ShootAnime\EFFECT_ChainGunShot(Red)01.bmp"="ShootAnime\EFFECT_ChainGunShot(Blue)01.bmp" 画像サイズ=32=32=64=64;点乱打 黄 Crash.wav;@戦闘アニメ_スーパーキック攻撃 緑;スーパーキック 緑 Explode(High).wav
輝くトラペゾヘドロン(未制御)(準備), オーラ上昇 白 Charge(High).wav;魔法陣 白 発光 -.wav;2;音再生 Walk(Snow).wav;振る武器変形 "LightWeapon\EFFECT_WeaponBase(Black)01.bmp" 32 "Weapon\EFFECT_DMD_ShiningTrapezohedron.bmp" 56 発光 Glass.wav;光大噴出 黄
輝くトラペゾヘドロン(未制御)(攻撃), 振る武器突撃 "Weapon\EFFECT_DMD_ShiningTrapezohedron.bmp" 56 発光 -.wav;大炎斬撃 白 AntiAirMissile.wav
輝くトラペゾヘドロン(未制御)(命中), センタリング;唐竹割り 黒 Crash.wav;超斬撃 黒 -.wav
輝くトラペゾヘドロン(未制御)(とどめ), 縦分割;重力圧縮
輝くトラペゾヘドロン(準備), オーラ上昇 白 Charge(High).wav;魔法陣 白 発光 -.wav;2;音再生 Walk(Snow).wav;振る武器変形 "LightWeapon\EFFECT_WeaponBase(Black)01.bmp" 32 "Weapon\EFFECT_DMD_ShiningTrapezohedron.bmp" 56 発光 Glass.wav
輝くトラペゾヘドロン(攻撃), 回転斬撃;@戦闘アニメ_振る武器準備 "Weapon\EFFECT_DMD_ShiningTrapezohedron.bmp" 56 発光 Swing.wav;なぎ払い;振り下ろし;なぎ払い;1;@戦闘アニメ_振る武器準備 "Weapon\EFFECT_DMD_ShiningTrapezohedron.bmp" 56 発光 Slash(4).wav;2;@戦闘アニメ_ユニット変色準備 イエロー Flash.wav;振る武器突撃 "Weapon\EFFECT_DMD_ShiningTrapezohedron.bmp" 56 発光
輝くトラペゾヘドロン(命中), センタリング;超斬撃 黒 Crash.wav;2;オーラ 黒
輝くトラペゾヘドロン(とどめ), 透明化 反映 相手ユニットＩＤ;@戦闘アニメ_フラッシュ命中 黒 Interference.wav
真・輝くトラペゾヘドロン(準備), オーラ上昇 黄;@戦闘アニメ_光打ち上げ攻撃 黄;@戦闘アニメ_光打ち上げ攻撃 黄;2;大光柱 黄;五芒星 BeamCoat.wav 黄 発光
真・輝くトラペゾヘドロン(攻撃), 伸縮武器振り下ろし "SlideWeapon\EFFECT_SlideBeamSaber(Yellow)[01-03].bmp" 32 無限 MicroMissile.wav
真・輝くトラペゾヘドロン(命中), MicroMissile.wav;巨大ビーム 黄 -.wav
真・輝くトラペゾヘドロン(とどめ), 透明化 反映 相手ユニットＩＤ;@戦闘アニメ_フラッシュ命中 黄 Interference.wav
ロイガー＆ツァール(準備), 振る武器粒子集中召喚 "Weapon\EFFECT_Dagger01.bmp" 32 "Weapon\EFFECT_Sword01.bmp" 32 二刀流 白;左右別武器 "Weapon\EFFECT_Dagger01.bmp" 32 - "Weapon\EFFECT_Sword01.bmp" 32 - Reload(2).wav
ロイガー＆ツァール(攻撃), なぎ払い;斬撃
ロイガー＆ツァール(命中), なぎ払い;斬撃;@戦闘アニメ_左右別武器突撃攻撃 "Weapon\EFFECT_Dagger01.bmp" 32 "Weapon\EFFECT_Sword01.bmp" 32 Swing.wav;斬撃 二刀流
ロイガー＆ツァール投擲(準備), 振る武器粒子集中召喚 "Weapon\EFFECT_Dagger01.bmp" 32 "Weapon\EFFECT_Sword01.bmp" 32 二刀流 白;振る武器 "Weapon\EFFECT_DMD_Liogor&Zhar.bmp" 44 Sword.wav
ロイガー＆ツァール投擲(攻撃), 回転投擲武器 "Weapon\EFFECT_DMD_Liogor&Zhar.bmp" 44 速
ロイガー＆ツァール投擲(命中), 光回転斬撃 大 黄 Drill.wav
銃声の鎮魂歌(準備), 振る武器粒子集中召喚 "Weapon\EFFECT_DMD_Cthugha.bmp" 32 赤 "Weapon\EFFECT_DMD_Ithaqua.bmp" 32 青 二刀流;左右別武器 "Weapon\EFFECT_DMD_Cthugha.bmp" 32 - "Weapon\EFFECT_DMD_Ithaqua.bmp" 32 - Reload.wav
銃声の鎮魂歌(攻撃), 斬撃乱舞 Gun.wav
銃声の鎮魂歌(命中), 小ビーム 青 Glass.wav ランダム方向;小ビーム 青 Glass.wav ランダム方向;1;大爆発 赤 Explode(Nuclear).wav
銃鳴葬送曲(準備), 振る武器粒子集中召喚 "Weapon\EFFECT_DMD_Cthugha.bmp" 32 赤 "Weapon\EFFECT_DMD_Ithaqua.bmp" 32 青 二刀流;別武器二丁拳銃 "Weapon\EFFECT_DMD_Cthugha.bmp" 32 "Weapon\EFFECT_DMD_Ithaqua.bmp" 32
銃鳴葬送曲(攻撃), 別武器二丁拳銃 画像ファイル="Weapon\EFFECT_DMD_Cthugha.bmp"="Weapon\EFFECT_DMD_Ithaqua.bmp"="ShootAnime\EFFECT_ChainGunShot(Red)01.bmp"="ShootAnime\EFFECT_ChainGunShot(Blue)01.bmp" 画像サイズ=32=32=64=64;_
2;拡散ビームライフル 青 "Weapon\EFFECT_DMD_Ithaqua.bmp" 32;_
2;別武器二丁拳銃連射 画像ファイル="Weapon\EFFECT_DMD_Cthugha.bmp"="Weapon\EFFECT_DMD_Ithaqua.bmp"="ShootAnime\EFFECT_ChainGunShot(Red)01.bmp"="ShootAnime\EFFECT_ChainGunShot(Blue)01.bmp" 画像サイズ=32=32=64=64
銃鳴葬送曲(命中), 点乱打 黄 Explode.wav;ビームレイン 青 Glass.wav;_
3;@戦闘アニメ_別武器二丁拳銃乱射攻撃 画像ファイル="Weapon\EFFECT_DMD_Cthugha.bmp"="Weapon\EFFECT_DMD_Ithaqua.bmp"="ShootAnime\EFFECT_ChainGunShot(Red)01.bmp"="ShootAnime\EFFECT_ChainGunShot(Blue)01.bmp" 画像サイズ=32=32=64=64;連続大爆発 4 黄 Explode(High).wav;大爆発 黄 Explode(High).wav
剣聖銃神騎行曲(準備), 振る武器粒子集中召喚 "Weapon\EFFECT_DMD_Cthugha.bmp" 32 赤 "Weapon\EFFECT_DMD_Ithaqua.bmp" 32 青 二刀流;別武器二丁拳銃 "Weapon\EFFECT_DMD_Cthugha.bmp" 32 "Weapon\EFFECT_DMD_Ithaqua.bmp" 32
剣聖銃神騎行曲(攻撃), 別武器二丁拳銃乱射 画像ファイル="Weapon\EFFECT_DMD_Cthugha.bmp"="Weapon\EFFECT_DMD_Ithaqua.bmp"="ShootAnime\EFFECT_ChainGunShot(Red)01.bmp"="ShootAnime\EFFECT_ChainGunShot(Blue)01.bmp" 画像サイズ=32=32=64=64
剣聖銃神騎行曲(命中), 点乱打 黄 Crash.wav;_
3;@戦闘アニメ_振る武器粒子集中召喚準備 "Weapon\EFFECT_Dagger01.bmp" 32 "Weapon\EFFECT_Sword01.bmp" 32 二刀流 白;_
3;@戦闘アニメ_左右別武器突撃攻撃 "Weapon\EFFECT_Dagger01.bmp" 32 "Weapon\EFFECT_Sword01.bmp" 32 Swing(2).wav;横大斬撃 Slash(4).wav;_
3;@戦闘アニメ_左右別武器突撃攻撃 "Weapon\EFFECT_Dagger01.bmp" 32 "Weapon\EFFECT_Sword01.bmp" 32 Swing(2).wav;唐竹割り Slash(4).wav;_
3;二種突撃 "Weapon\EFFECT_Dagger01.bmp" 32 "Weapon\EFFECT_Sword01.bmp" 32 振り 斬撃
Ａ・Ｗ・ストライク(準備), 同時魔法集中 緑 Charge.wav
Ａ・Ｗ・ストライク(攻撃), 同時スーパーキック 緑
Ａ・Ｗ・ストライク(命中), 同時スーパーキック 緑 Explode(High).wav
Ａ・Ｗ・ストライク(解説), 二機のデモンベインはアトランティス・ダブル・ストライクで攻撃を攻撃をかけた。
レムリア・Ｗ・インパクト(準備), 同時粒子集中 緑;同時五芒星 緑
レムリア・Ｗ・インパクト(攻撃), 同時スーパーパンチ 緑 MultipleRocketLauncher(Light).wav
レムリア・Ｗ・インパクト(命中), 同時スーパーパンチ 緑 Crash.wav;3;レムリア・インパクト
レムリア・Ｗ・インパクト(とどめ), レムリア・インパクト 結界なし
レムリア・Ｗ・インパクト(解説), 二機のデモンベインはレムリア・ダブル・インパクトで攻撃をかけた。
プラズマ・ガン(準備), 射撃武器 "Weapon\EFFECT_MilitaryPistol01.bmp" 32
プラズマ・ガン(攻撃), 手持ち発射 "Weapon\EFFECT_MilitaryPistol01.bmp" 32 対象ユニットＩＤ "Bullet\EFFECT_AuraBall(Orange)01.bmp" 32 Bazooka.wav
プラズマ・ガン(命中), 大爆発 橙 Explode(High).wav
クトゥグア(未制御)(準備), 粒子集中 赤 Charge(High).wav;粒子集中 赤 -.wav;粒子集中 赤 -.wav;炎の壁
クトゥグア(未制御)(攻撃), 実弾発射 "Animal\EFFECT_Tiger(Red)01.bmp" 40 Roar.wav 発光 遅 残像
#クトゥグア(未制御)(攻撃), 実弾発射 Info(ユニットデータ,ページモンスター・クトゥグア,グラフィック) 32 Roar.wav 発光 遅 残像
クトゥグア(未制御)(命中), Breath.wav;超ビーム 赤 -.wav;超大爆発 赤 HyperExplode.wav
クトゥグア(準備), 粒子集中 橙 Charge(High).wav
クトゥグア(攻撃), 光球 橙 MultipleRocketLauncher(Light).wav
クトゥグア(命中), 大爆発 橙 Explode(High).wav
Ａ・Ｓ・ヴォーテックス(準備), 粒子集中 緑 Charge(High).wav;粒子集中 緑 -.wav;オーラ上昇 緑 -.wav;
Ａ・Ｓ・ヴォーテックス(攻撃), スーパータックル 緑
Ａ・Ｓ・ヴォーテックス(命中), Storm.wav;@戦闘アニメ_キック攻撃 -.wav;@戦闘アニメ_浴びせ蹴り攻撃 -.wav;@戦闘アニメ_バックキック攻撃 Swing(2).wav;点乱打 緑 Crash.wav;3;@戦闘アニメ_スーパーキック攻撃 緑;スーパーキック 緑 Explode(High).wav
Ａ・Ｓ・ヴォーテックス(解説), $(ユニット)はアトランティス・ストライク・ヴォーテックスで攻撃をかけた。
Ｌ・デュアル・インパクト(準備), 粒子集中 緑 Charge(High).wav;粒子集中 緑 -.wav;粒子集中 緑 -.wav;魔法陣 緑 背面;自機連続爆発 緑 3;光大噴出 緑
Ｌ・デュアル・インパクト(攻撃), スーパーパンチ 緑
Ｌ・デュアル・インパクト(命中), スーパーパンチ 緑 Crash.wav;3;レムリア・インパクト;1;@戦闘アニメ_スーパーパンチ攻撃 緑;スーパーパンチ 緑 Crash.wav;3;レムリア・インパクト
Ｌ・デュアル・インパクト(とどめ), レムリア・インパクト 結界なし
Ｌ・デュアル・インパクト(解説), $(ユニット)はレムリア・デュアル・インパクトで攻撃をかけた。
## アイオーン
神銃(準備), 射撃武器粒子集中召喚 "Weapon\EFFECT_DMD_Aeon'sGun.bmp" 32 青;射撃武器 "Weapon\EFFECT_DMD_Aeon'sGun.bmp" 32
神銃(攻撃), ビームランチャー "Weapon\EFFECT_DMD_Aeon'sGun.bmp" 32 青 BeamGun.wav
神銃(命中), 中ビーム 青 BeamGun.wav;大爆発 青 -.wav
焼滅呪法(準備), 粒子集中 橙 Breath.wav;オーラ上昇 橙 -.wav;ユニット変色 オレンジ
焼滅呪法(攻撃), スーパータックル 橙 MultipleRocketLauncher(Light).wav
焼滅呪法(命中), ダメージ 橙 Crash.wav;2;@戦闘アニメ_光球集中準備 橙 Charge(high).wav;@戦闘アニメ_光大噴出準備 橙 -.wav;2;超大爆発 オレンジ HyperExplode.wav
対霊狙撃砲(準備), 射撃武器粒子集中召喚 "Weapon\EFFECT_AntiMaterialRifle01.bmp" 64 Breath.wav 赤;2;射撃武器 "Weapon\EFFECT_AntiMaterialRifle01.bmp" 64
対霊狙撃砲(攻撃), ＭＡＰバスタービームライフル "Weapon\EFFECT_AntiMaterialRifle01.bmp" 64 橙 MicroMissile.wav
対霊狙撃砲(命中), MicroMissile.wav;超ビーム オレンジ -.wav
必滅の掌打(準備), 球体圧縮 緑 Charge(High).wav;粒子集中 緑 -.wav
必滅の掌打(攻撃), スーパーパンチ 緑
必滅の掌打(命中), スーパーパンチ 緑 Crash.wav;3;魔法集中 緑 Charge(High).wav;2;超大爆発 緑
魔銃鍛造(準備), 振る武器粒子集中召喚 "Weapon\EFFECT_Revolver01.bmp" 32 白 二刀流;銃撃武器 "Weapon\EFFECT_Revolver01.bmp" 32 二丁拳銃
魔銃鍛造(攻撃), 銃撃武器連射 "Weapon\EFFECT_Revolver01.bmp" 32 二丁拳銃
魔銃鍛造(命中), 点連打 青 Explode.wav
二刀偃月刀(準備), 振る武器粒子集中召喚 "Weapon\EFFECT_DMD_ScimitarOfBarzai.bmp" 32 赤 二刀流 Breath.wav;2;@戦闘アニメ_斬撃攻撃 二刀流;振る武器 "Weapon\EFFECT_DMD_ScimitarOfBarzai.bmp" 32 二刀流 Reload(2).wav
二刀偃月刀(攻撃), 振る武器突撃 "Weapon\EFFECT_DMD_ScimitarOfBarzai.bmp" 32 二刀流
二刀偃月刀(命中), 大斬撃 赤 二刀流 Crash.wav
偃月刀投擲剣舞(準備), 光球集中 赤 Breath.wav;四刀流 "Weapon\EFFECT_DMD_ScimitarOfBarzai(Spin).bmp" 32
偃月刀投擲剣舞(攻撃), 実弾連射 "Weapon\EFFECT_DMD_ScimitarOfBarzai(Spin).bmp" 前転;実弾連射 "Weapon\EFFECT_DMD_ScimitarOfBarzai(Spin).bmp" 前転
偃月刀投擲剣舞(命中), 光斬撃乱舞 中 赤 Drill.wav
魔刃結界(準備), 振る武器粒子集中召喚 "Weapon\EFFECT_DMD_ScimitarOfBarzai.bmp" 32 赤 Breath.wav;1;発光 黄;多数射撃武器突き立て "Weapon\EFFECT_DMD_ScimitarOfBarzai.bmp" 32 突き刺し;羽
魔刃結界(攻撃), なぎ払い;1;実弾乱射 "Weapon\EFFECT_DMD_ScimitarOfBarzai.bmp" 32
魔刃結界(命中), 乱突 Slash(4).wav;1;放電;_
会話 魔術師アズラッド "──久遠の虚無へと還れ！" 固定;@戦闘アニメ_振る武器突撃攻撃 "Weapon\EFFECT_DMD_ScimitarOfBarzai.bmp" 32 二刀流;振る武器突撃 "Weapon\EFFECT_DMD_ScimitarOfBarzai.bmp" 32 二刀流 斬撃
## アイオーン＝エドガー
偃月刀二重螺旋(準備), 振る武器粒子集中召喚 "Weapon\EFFECT_DMD_ScimitarOfBarzai.bmp" 32 赤 青 二刀流 Breath.wav;4;@戦闘アニメ_斬撃攻撃 二刀流;振る武器 "Weapon\EFFECT_DMD_ScimitarOfBarzai.bmp" 32 二刀流 Reload(2).wav
偃月刀二重螺旋(攻撃), 斬撃 二刀流;交差ビーム 赤 青 チャージなし Drill.wav
偃月刀二重螺旋(命中), 交差ビーム 赤 青 Drill.wav
呪文螺旋・神銃形態(準備), 射撃武器粒子集中召喚 "Weapon\EFFECT_AntiMaterialRifle01.bmp" 64 Breath.wav 赤;2;射撃武器 "Weapon\EFFECT_AntiMaterialRifle01.bmp" 64
呪文螺旋・神銃形態(攻撃), 手持ち発射 "Weapon\EFFECT_AntiMaterialRifle01.bmp" 64 対象ユニットＩＤ "Impact\EFFECT_ImpactBall(Orange)02.bmp" 28 Shock(Low).wav;2;発光 橙 -.wav;ＭＡＰオーラ 橙 Explode(Long).wav
呪文螺旋・神銃形態(命中), 大爆発 橙 Explode(Nuclear).wav
## 超鬼械神デモンベイン
六挺拳銃(準備), 粒子集中 白;2;銃撃武器 "Weapon\EFFECT_Revolver01.bmp" 32 二丁拳銃;銃撃武器 "Weapon\EFFECT_Revolver01.bmp" 32 二丁拳銃;銃撃武器 "Weapon\EFFECT_Revolver01.bmp" 32 二丁拳銃
六挺拳銃(攻撃), 銃撃武器乱射 "Weapon\EFFECT_Revolver01.bmp" 32 二丁拳銃
六挺拳銃(命中), MultipleRocketLauncher.wav;交差ビーム 黒 黒 -.wav
#六発の呪力弾が六重螺旋を描きひとつの流れとなる
呪文螺旋同時撃ち(準備), 振る武器粒子集中召喚 "Weapon\EFFECT_AntiMaterialRifle01.bmp" 64 赤 青 二刀流 Breath.wav;2;銃撃武器 "Weapon\EFFECT_AntiMaterialRifle01.bmp" 64 二丁拳銃
呪文螺旋同時撃ち(攻撃), 手持ち発射 "Weapon\EFFECT_AntiMaterialRifle01.bmp" 64 対象ユニットＩＤ "Impact\EFFECT_ImpactBall(Blue)02.bmp" 28 Shock(Low).wav;手持ち発射 "Weapon\EFFECT_AntiMaterialRifle01.bmp" 64 対象ユニットＩＤ "Impact\EFFECT_ImpactBall(Orange)02.bmp" 28 Shock(Low).wav
呪文螺旋同時撃ち(命中), センタリング;球体圧縮 青 Ice.wav;凍結 -.wav;1;オーラ 橙 Explode(Long).wav
呪文螺旋・神槍形態(準備), 射撃武器粒子集中召喚 "Weapon\EFFECT_AntiMaterialRifle01.bmp" 64 Breath.wav 赤;射撃武器変形 "Weapon\EFFECT_AntiMaterialRifle01.bmp" 64 "Weapon\EFFECT_Houtengeki_thrust01.bmp" 64;振る武器 "Weapon\EFFECT_Houtengeki01.bmp" 48 Reload(2).wav
呪文螺旋・神槍形態(攻撃), なぎ払い大炎斬撃 赤 AntiShipMissile.wav
呪文螺旋・神槍形態(命中), 超斬撃 赤 Crash.wav
呪文螺旋・神槍形態(とどめ), 横分割
## リベル・レギス
手刀(準備), -
手刀(攻撃), なぎ払い;刺突
手刀(命中), なぎ払い Slash.wav;刺突 Stab.wav
乱撃(準備), 
