
#　　このアニメでは、ＳＲＣＨＰ汎用コーナーで戦闘アニメとして配布されているもの以外
#　に、以下のアイコンを使用しています。
#　　なお、もしも無くても、見た目がおかしい程度でエラーは出ないようです。
#　　入っているフォルダ名については特に指定していないので、必要に応じて変更してください。
#
#　EFFECT_Clogs01.bmp
#　EFFECT_Coin01.bmp
#　EFFECT_Crescent.bmp
#　EFFECT_Tower.bmp
#　EFFECT_Eye.bmp
#　EFFECT_SaGaF1_Nightmare.bmp
#　EFFECT_SaGaF1_BlackCat.bmp
#　EFFECT_SaGaF1_Reaper.bmp
#　EFFECT_SaGaF1_Cockatrice.bmp
#　EFFECT_Rune_Ger.bmp
#　EFFECT_Rune_Thorn.bmp
#　EFFECT_Rune_Tyr.bmp
#　EFFECT_Rune_Hagel.bmp
#　EFFECT_Rune_Eolh.bmp
#　EFFECT_Rune_Wyn.bmp
#　EFFECT_Rune_Eoh.bmp
#　EFFECT_Rune_Ing.bmp
#　　ルーン文字のフォントというものもあるのですが、普通は入れてないでしょうし。

サガフロ
シャドウダガー, ナイフ
かすみ二段(命中), 連斬撃
三花仙(準備), 桜吹雪
三花仙(攻撃), 日本刀突撃;決め文字 花
三花仙(命中), 日本刀突撃;飛沫
ライジングノヴァ(攻撃), タックル;振り上げ
ライジングノヴァ(命中), 火柱 Saber.wav;落下
ロザリオインペール(攻撃), 急降下
ロザリオインペール(命中), 急降下;@戦闘アニメ_決め画像攻撃 Common\EFFECT_Shine(White)03.bmp Glass.wav 背後 相手ユニットＩＤ
無月散水(攻撃), 分身斬撃
無月散水(命中), 分身斬撃;クリティカル斬撃
サミング(攻撃), 打突
サミング(命中), 打撃 Stab.wav
パンチ, 打突
キック, キック
空気投げ(攻撃), タックル
空気投げ(命中), 落下
スライディング, キック
短勁(攻撃), 打突
短勁(命中), 打突;発光
どつきまわす, 乱打
ローリングクレイドル, 地獄車
裏拳, 打突
スープレックス, ブレーンバスター
爆砕鉄拳(攻撃), 乱打
爆砕鉄拳(命中), 小爆発;小爆発;小爆発;小爆発
鬼走り, 地表衝撃波
三角蹴り, スーパーキック
金剛神掌(攻撃), 発光;打突
金剛神掌(命中), 打突;爆発
バベルクランブル, バックドライバー
ロコモーションＧ, ブレーンバスター;ブレーンバスター;ブレーンバスター;ブレーンバスター
ジャイアントスイング, ジャイアントスイング
羅刹掌(攻撃), 決め文字 一撃必殺;打突
羅刹掌(命中), 超打
スカイツイスター(攻撃), 透明化;竜巻;透明化 解除;@戦闘アニメ_急降下命中
スカイツイスター(命中), 竜巻 BreakOff.wav
三龍旋(攻撃), スーパータックル グリーン;周囲回転 Creature\EFFECT_ChineseDragon01.bmp
三龍旋(命中), 強打;強打;スーパータックル グリーン
ＤＳＣ(攻撃), キック
ＤＳＣ(命中), キック;ブレーンバスター;ドライバー;ジャイアントスイング
ＤＳＣ(クリティカル), @戦闘アニメ_振る武器攻撃 -.bmp;@戦闘アニメ_ジャンプバスター命中
当て身投げ, 投げ飛ばし
ブライトナックル, スーパーパンチ イエロー
レイブレード, ライトセイバー
アル・ブラスター, 連気弾
シャイニングキック(攻撃), キック
シャイニングキック(命中), 発光 グリーン Punch.wav
カイザーウイング, 気斬 レッド
スパークリングロール(攻撃), 白兵回転
スパークリングロール(命中), ビームサーベル イエロー Punch.wav
フラッシュスクリュー(攻撃), 打突
フラッシュスクリュー(命中), 打突;発光
カイザースマッシュ(準備), ライトセイバー
カイザースマッシュ(攻撃), 連斬撃
カイザースマッシュ(命中), 連斬撃
ディフレクトランス, スーパーキック イエロー 前転
アル・フェニックス, スーパータックル イエロー
真アル・フェニックス(攻撃), 透明化;浮上アップ Info(ユニットデータ, 対象ユニットＩＤ, グラフィック);ロックオン;スーパータックル イエロー;透明化 解除
真アル・フェニックス(命中), @戦闘アニメ_飛来アップ攻撃 Common\EFFECT_Shine(Yellow)04.bmp 黒 Jet.wav 残像;_
                            スーパータックル イエロー Explode(Nuclear).wav
アグニＳＳＰ, ピストル
アグニＣＰ１, ピストル
ガーランド, ライフル
アグニＭＢＸ, サブマシンガン
ブラックイーグル, ピストル
禅銃, ピストル
リーサルドラグーン, ライフル
ブリューナク, 投擲武器 Weapon\EFFECT_Lance01.bmp
地上掃射(準備), ピストル
地上掃射(攻撃), バルカン
地上掃射(命中), 煙
精密射撃(準備), ピストル
精密射撃(攻撃), ロックオン;ピストル
精密射撃(命中), 銃弾
早撃ち, ピストル
曲射(準備), ピストル
曲射(攻撃), ピストル;つらら
曲射(命中), ダメージ
全体射撃(準備), ピストル
全体射撃(攻撃), ピストル;2;Gun.wav;2;Gun.wav;2;Gun.wav;2;Gun.wav
全体射撃(命中), 銃弾
集中連射(準備), ピストル
集中連射(攻撃), ピストル;2;Gun.wav;2;Gun.wav;2;Gun.wav;2;Gun.wav;2;Gun.wav
集中連射(命中), 銃弾;銃弾;銃弾;銃弾;銃弾
跳弾(準備), ピストル
跳弾(攻撃), ピストル;1;Slash(4).wav;1;Slash(4).wav;1;Slash(4).wav;1;Slash(4).wav;1;Slash(4).wav;1;Slash(4).wav
跳弾(命中), ダメージ
十字砲火(準備), ピストル
十字砲火(攻撃), ピストル;2;Gun.wav;2;Gun.wav;2;Gun.wav;2;Gun.wav
十字砲火(命中), 銃弾;銃弾;銃弾;銃弾;銃弾;@戦闘アニメ_決め画像攻撃 Common\EFFECT_Shine(White)03.bmp  相手ユニットＩＤ
反応射撃, ピストル
フラッシュフラッド, 旋風 イエロー
太陽光線(攻撃), 光打ち下ろし
太陽光線(命中), 発光
光の剣, ソード
フラッシュファイア(攻撃), 光噴出 イエロー Whiz.wav
フラッシュファイア(命中), 光噴出 イエロー Fire.wav
超風(攻撃), 発光;旋風 イエロー
超風(命中), 旋風 イエロー
スターライトヒール, 光柱
シャドウネット(攻撃), 実弾発射 Weapon\EFFECT_Net01.bmp 残像
シャドウネット(命中), ネット
ハイドビハインド(攻撃), 魔法放射 ブラック
ハイドビハインド(命中), 透明化;@戦闘アニメ_決め画像攻撃 Info(ユニットデータ, 対象ユニットＩＤ, グラフィック) 背後;透明化 解除
パワースナッチ(攻撃), 火炎弾 ブラック
パワースナッチ(命中), 吸収 ブラック
ダークスフィア, 重力弾
シャドウサーバント, 左右分離回避 シャドウサーバント
停滞のルーン(攻撃), BeamSaber.wav;BeamSaber.wav;決め画像 EFFECT_Rune_Ger.bmp BeamSaber.wav 相手ユニットＩＤ
停滞のルーン(クリティカル), 氷柱 対象ユニットＩＤ;氷柱
矮人のルーン(攻撃), BeamSaber.wav;BeamSaber.wav;決め画像 EFFECT_Rune_Thorn.bmp BeamSaber.wav 相手ユニットＩＤ
矮人のルーン(クリティカル), 魔法集中 イエロー
勝利のルーン(使用), BeamSaber.wav;BeamSaber.wav;決め画像 EFFECT_Rune_Tyr.bmp BeamSaber.wav 相手ユニットＩＤ
勝利のルーン(発動), 光噴出 レッド Charge.wav
活力のルーン(使用), BeamSaber.wav;BeamSaber.wav;決め画像 EFFECT_Rune_Hagel.bmp BeamSaber.wav 相手ユニットＩＤ
活力のルーン(発動), 回復魔法泡;発光
保護のルーン(使用), BeamSaber.wav;BeamSaber.wav;決め画像 EFFECT_Rune_Eolh.bmp BeamSaber.wav 相手ユニットＩＤ
保護のルーン(発動), 周囲回転 EFFECT_Rune_Eolh.bmp - 3
解放のルーン(使用), BeamSaber.wav;BeamSaber.wav;決め画像 EFFECT_Rune_Wyn.bmp BeamSaber.wav 相手ユニットＩＤ
解放のルーン(発動), エネルギーフィールド展開
壁のルーン(使用), BeamSaber.wav;BeamSaber.wav;決め画像 EFFECT_Rune_Eoh.bmp BeamSaber.wav 相手ユニットＩＤ
壁のルーン(発動), 回復魔法
魂のルーン(使用), BeamSaber.wav;BeamSaber.wav;決め画像 EFFECT_Rune_Ing.bmp BeamSaber.wav 相手ユニットＩＤ
魂のルーン(発動), オーラ上昇 イエロー
秘術『金貨』(攻撃), 決め画像 Card\EFFECT_Card01.bmp
秘術『金貨』(命中), @戦闘アニメ_周囲回転攻撃 EFFECT_Coin01.bmp - 3 相手ユニットＩＤ
秘術『死神』(攻撃), 決め画像 Card\EFFECT_Card01.bmp;実弾発射 Action\EFFECT_Bloodcurdling03.bmp
秘術『死神』(命中), 斬撃
秘術『愚者』(攻撃), 決め画像 Card\EFFECT_Card01.bmp
秘術『愚者』(命中), ＭＡＰダークネス
秘術『剣』(攻撃), 決め画像 Card\EFFECT_Card01.bmp;周囲回転 Weapon\EFFECT_Sword01.bmp 3 相手ユニットＩＤ
秘術『剣』(命中), 刺突;刺突;刺突
秘術『塔』(攻撃), 決め画像 Card\EFFECT_Card01.bmp
秘術『塔』(命中), 決め画像 EFFECT_Tower.bmp;大落雷
秘術『杯』(使用), 決め画像 Card\EFFECT_Card01.bmp
秘術『杯』(発動), 衛星ビーム ブルー Weapon\EFFECT_HolyWater01.bmp
当て身技(秘術『魔術師』), 決め画像 Card\EFFECT_Card01.bmp;ダミー - 『魔術師』
ディレイオーダー(攻撃), 周囲回転 Common\EFFECT_GroundCharge(blue)01.bmp 3
タイムリープ(攻撃), 周囲回転 Action\EFFECT_Remove01.bmp
時間触(攻撃), 決め画像 Action\EFFECT_Remove01.bmp Interference.wav 背後
時間触(クリティカル), 重力圧縮;石化
カオスストリーム(攻撃), 時間 WarShip.wav
カオスストリーム(攻撃), 時間逆行 WarShip.wav
タイムツイスター, 光噴出 ブルー
オーヴァドライブ, 時間
バニッシュ(攻撃), 魔法放射 青
バニッシュ(クリティカル), 発光
ヴォーテクス, 重力弾
ヴェイパーブラスト(攻撃), 魔法放射 ブルー
ヴェイパーブラスト(命中), オールレンジ Stab.wav
リバースグラビティ(攻撃), オーラ上昇 ブルー
リバースグラビティ(命中), 落下
エナジーチェーン, 小ビーム ブルー
インプロージョン(攻撃), @戦闘アニメ_バリア発動 Charge.wav インプロージョン 相手ユニットＩＤ
インプロージョン(命中), 爆発
ヴァーミリオンサンズ(攻撃), 光打ち下ろし レッド;飛沫 レッド
ヴァーミリオンサンズ(命中), オールレンジ
ファッシネイション(攻撃), 実弾発射 Heart.bmp
ファッシネイション(命中), @戦闘アニメ_周囲回転攻撃 Heart.bmp 相手ユニットＩＤ
幻夢の一撃(準備), 召喚 EFFECT_SaGaF1_Nightmare.bmp
幻夢の一撃(準備), 狼召喚
幻夢の一撃(準備), 黒豹召喚
幻夢の一撃(準備), 召喚 EFFECT_SaGaF1_Cockatrice.bmp
幻夢の一撃(準備), 召喚 EFFECT_SaGaF1_Reaper.bmp
幻夢の一撃(攻撃), 実弾発射 EFFECT_SaGaF1_Nightmare.bmp
幻夢の一撃(攻撃), 狼
幻夢の一撃(攻撃), 黒豹
幻夢の一撃(攻撃), 実弾発射 EFFECT_SaGaF1_Cockatrice.bmp
幻夢の一撃(攻撃), 実弾発射 EFFECT_SaGaF1_Reaper.bmp
幻夢の一撃(命中), 斬撃
幻夢の一撃(命中), 爪撃
幻夢の一撃(命中), 煙
幻夢の一撃(命中), ダメージ
ブロークングラス, ビームシールド ホワイト Glass.wav 硝子の盾;@戦闘アニメ_ニードル連射攻撃
呪縛(攻撃), 決め画像 Weapon\EFFECT_MandaraCard01.bmp 相手ユニットＩＤ
生命波動(攻撃), 決め画像 Weapon\EFFECT_MandaraCard01.bmp 対象ユニットＩＤ;発光;実弾発射 Beam\EFFECT_BeamHit(Yellow)03.bmp 発光
生命波動(命中), 小ビーム イエロー
覚醒, 決め画像 Weapon\EFFECT_MandaraCard01.bmp;光噴出
克己, 決め画像 Weapon\EFFECT_MandaraCard01.bmp;回復魔法
ナイトメア(準備), 召喚 EFFECT_SaGaF1_Nightmare.bmp
ナイトメア(攻撃), 実弾発射 EFFECT_SaGaF1_Nightmare.bmp
ナイトメア(命中), ダメージ
コカトリス(準備), 召喚 EFFECT_SaGaF1_Cockatrice.bmp
コカトリス(準備), 実弾発射 EFFECT_SaGaF1_Cockatrice.bmp
コカトリス(命中), 煙
ジャッカル, 狼召喚
リーパー(準備), 召喚 EFFECT_SaGaF1_Reaper.bmp
リーパー(攻撃), 実弾発射 EFFECT_SaGaF1_Reaper.bmp
リーパー(命中), 斬撃
激痛, 発光 ブラック
呪殺, 実弾発射 Action\EFFECT_Bloodcurdling03.bmp
痛覚倍増, キャノン砲
雑霊撃, ＭＡＰダークネス;粒子集中 ホワイト
サクリファイス(使用), 発光
サクリファイス(発動), 回復魔法
リヴァイヴァ, 発光
妖魔武具, 剣
妖魔武具, 打突
妖魔武具, キック
ミステリータップ(攻撃), Kabuki.wav;発光 レッド -.wav;発光 グリーン -.wav;発光 ブルー.wav;発光 ピンク -.wav;発光 レッド -.wav
グレムリン効果(攻撃), タックル
グレムリン効果(命中), タックル
ねこだまし(攻撃), Slap.wav;タックル
サイネット(攻撃), 実弾発射 Weapon\EFFECT_Net01.bmp 発光
サイネット(命中), ネット;発光
スポイル(攻撃), 打突
スポイル(命中), 光噴出
ブレードネット(攻撃), 実弾発射 Weapon\EFFECT_Net01.bmp
ブレードネット(命中), ネット;斬撃
ニードル(攻撃), ニードル
ニードル(命中), ニードル
ランス(準備), ビームサーベル ピンク
ランス(攻撃), 刺突
ランス(命中), 刺突
振動波(攻撃), 音波
振動波(命中), 音波
サンダーボール, 球電
パワーキック, キック
火炎, 火炎放射
ポイゾナスブロウ, 打突
ヘルウイング, 波動放射 ホワイト
土蜘蛛, 地表衝撃波 オレンジ
タイタスウェイブ(攻撃), 地表衝撃波 ブルー 速 残像
タイタスウェイヴ(命中), 光噴出 ブルー
流砂, ＭＡＰオーラ オレンジ
スプレッドブラスター(攻撃), 魔法放射 イエロー;連気弾
スプレッドブラスター(命中), 連気弾
落雷, 落雷
暗殺(攻撃), 透明化;急降下;透明化 解除
暗殺(命中), 急降下
クリスタライザ(攻撃), 波動放射 ホワイト
クリスタライザ(命中), 石柱
グリフィススクラッチ, 爪撃
タイガーランページ(攻撃), 乱打
タイガーランページ(命中), 連続爆発;超打
マジカルヒール, 回復魔法泡
アシスト, オーラ上昇 イエロー
ぽんぽこ(使用), 回転 対象ユニットＩＤ
ぽんぽこ(発動), 光噴出
パラライザー(準備), レーザーガン
パラライザー(攻撃), 怪光線 Weapon\EFFECT_Pistol01.bmp
パラライザー(命中), 怪光線 Whip.wav
ロケット弾, バズーカ
バルカン, ガトリングガン
ブラスター, ビームライフル
ソニックブラスター(準備), ライフル
ソニックブラスター(攻撃), ライフル
ソニックブラスター(命中), 銃弾;飛沫 ブルー
ミサイル, ミサイル長距離
ハンドブラスター, レーザーガン
火炎放射, 火炎放射器
ブラスターソード(準備), レーザーガン
ブラスターソード(攻撃), ビームサーベル ピンク
ブラスターソード(命中), ビームサーベル ピンク
破壊光線, ビームライフル
プラズマガン, ビームランチャー ホワイト Weapon\EFFECT_BeamRifle01.bmp
陽子ロケット弾(準備), バズーカ
陽子ロケット弾(攻撃), スーパーミサイル Weapon\EFFECT_Bazooka01.bmp
陽子ロケット弾(命中), 超爆発
陽子ロケット弾(準備), バズーカ
陽子ロケット弾(攻撃), ミサイルランチャー Weapon\EFFECT_Bazooka01.bmp
陽子ロケット弾(命中), ミサイル;爆発
マイクロミサイル, ＭＡＰ小型ミサイル 20
機関砲, 内蔵ガトリング
連装ミサイル, ミサイル 5
レールガン(攻撃), ライフル -.bmp
レールガン(命中), 銃弾
ビット, ４ＷＡＹ射出
ビームソード, ビームサーベル ピンク
電磁ハンマー(準備), ハンマー
電磁ハンマー(攻撃), ハンマー
電磁ハンマー(命中), 強打;放電
圧縮レーザー砲(攻撃), 拡散ビーム イエロー
圧縮レーザー砲(命中), 中ビーム イエロー
メガビームソード, ハイパービームサーベル ピンク
グラビトン, 交差ビーム ホワイト ホワイト
スターライトシャワー(攻撃), 透明化;浮上アップ Info(ユニットデータ, 対象ユニットＩＤ, グラフィック);ＭＡＰビーム;透明化 解除
スターライトシャワー(命中), ホーミングレーザー
コスミックレイヴ(攻撃), 透明化;浮上アップ Info(ユニットデータ, 対象ユニットＩＤ, グラフィック);透明化 解除;スーパータックル乱舞 ブルー
コスミックレイヴ(命中), スーパータックル乱舞 ブルー
加速装置, オーラ上昇 ブルー
医療パック, 回復魔法
修理装置, 回復魔法
ビットシステム, @戦闘アニメ_４ＷＡＹ射出攻撃
ジャマー(攻撃), 魔法放射 グリーン Computer.wav
論理爆弾(攻撃), タックル
論理爆弾(命中), @戦闘アニメ_決め画像攻撃 Event\スペシャルパワー\Sarch01.bmp Computer.wav
催眠フラッシュ, ＭＡＰフラッシュ
無伴奏ソナタ(攻撃), 魔法放射 ブルー Sharara.wav
無伴奏ソナタ(命中), 音符
範囲射撃, 内蔵ガトリング
集中射撃, 内蔵ガトリング
メイルシュトローム(攻撃), ＭＡＰ津波
メイルシュトローム(命中), 津波
びっくりソルジャー(攻撃), 実弾発射 Info(ユニットデータ, 対象ユニット, グラフィック) 4 遅 残像;_
                          実弾発射 Info(ユニットデータ, 対象ユニット, グラフィック) 4 遅 残像;_
                          実弾発射 Info(ユニットデータ, 対象ユニット, グラフィック) 4 遅 残像;_
                          実弾発射 Info(ユニットデータ, 対象ユニット, グラフィック) 4 遅 残像;_
                          実弾発射 Info(ユニットデータ, 対象ユニット, グラフィック) 4 遅 残像;_
                          実弾発射 Info(ユニットデータ, 対象ユニット, グラフィック) 4 遅 残像;_
                          実弾発射 Info(ユニットデータ, 対象ユニット, グラフィック) 4 遅 残像;_
                          実弾発射 Info(ユニットデータ, 対象ユニット, グラフィック) 4 遅 残像;_
                          実弾発射 Info(ユニットデータ, 対象ユニット, グラフィック) 4 遅 残像;_
                          実弾発射 Info(ユニットデータ, 対象ユニット, グラフィック) 4 遅 残像
びっくりソルジャー(命中), 連続爆発;連続爆発
どっきりナイツ(攻撃), 実弾発射 Info(ユニットデータ, 対象ユニット, グラフィック) 4 遅 残像;_
                      実弾発射 Info(ユニットデータ, 対象ユニット, グラフィック) 4 遅 残像;_
                      実弾発射 Info(ユニットデータ, 対象ユニット, グラフィック) 4 遅 残像;_
                      実弾発射 Info(ユニットデータ, 対象ユニット, グラフィック) 4 遅 残像;_
                      実弾発射 Info(ユニットデータ, 対象ユニット, グラフィック) 4 遅 残像;_
                      実弾発射 Info(ユニットデータ, 対象ユニット, グラフィック) 4 遅 残像;_
                      実弾発射 Info(ユニットデータ, 対象ユニット, グラフィック) 4 遅 残像;_
                      実弾発射 Info(ユニットデータ, 対象ユニット, グラフィック) 4 遅 残像;_
                      実弾発射 Info(ユニットデータ, 対象ユニット, グラフィック) 4 遅 残像;_
                      実弾発射 Info(ユニットデータ, 対象ユニット, グラフィック) 4 遅 残像
どっきりナイツ(命中), 連続爆発;連続爆発
多段斬り, 連斬撃;連斬撃;連斬撃;連斬撃
次元衛星砲(攻撃), ロックオン;衛星ビーム ホワイト
次元衛星砲(命中), 大ビーム ホワイト
神威クラッシュ, スーパータックル ブルー
ハンマークラッシュ, ハンマー突撃
マグニファイ, 大放電
全弾発射, ミサイル 20;バルカン;中ビーム;バルカン;バルカン;中ビーム
エネルギー補給, 補給装置
ヘッジホグシステム, 小型ミサイル 20
スミ, 煙 黒
フェロモン(攻撃), 実弾発射 Heart.bmp
フェロモン(命中), @戦闘アニメ_周囲回転攻撃 Heart.bmp 相手ユニットＩＤ
死の凝視(攻撃), 決め画像 EFFECT_Eye.bmp 32 背後
死の凝視(命中), 大放電 レッド
マヒ凝視(攻撃), 決め画像 EFFECT_Eye.bmp 32 背後
マヒ凝視(命中), 大放電 ブルー
魅了凝視(攻撃), 決め画像 EFFECT_Eye.bmp 32 背後
魅了凝視(命中), 大放電 レッド
石化凝視(攻撃), 決め画像 EFFECT_Eye.bmp 32 背後
石化凝視(命中), 大放電 ホワイト
フェイント, タックル
閃光, ＭＡＰフラッシュ
スポイル, 光噴出
イルストーム, ＭＡＰ煙 青
催眠(攻撃), 決め画像 EFFECT_Eye.bmp 32 背後
催眠(命中), 大放電 ブルー
死人ゴケ, 煙 緑
サッドソング, 音符
エクトプラズムネット(攻撃), 実弾発射 Weapon\EFFECT_Net01.bmp 発光
エクトプラズムネット(命中), ネット
睡眠ガス, 煙
カウンターフィアー, 波動放射 レッド
デスタッチ(攻撃), タックル
デスタッチ(命中), タックル;飛沫 レッド
ララバイ, 音波
グレムリンタッチ(攻撃), タックル
グレムリンタッチ(命中), タックル;飛沫 ピンク
百足蹂躙, ＭＡＰ移動タックル
パラリシスタッチ(攻撃), タックル
パラリシスタッチ(命中), タックル;大放電
胞子(攻撃), 光打ち上げ オレンジ Type.wav;光打ち上げ オレンジ Type.wav;光打ち上げ オレンジ Type.wav;_
            光打ち下ろし オレンジ;光打ち下ろし オレンジ;光打ち下ろし オレンジ
胞子(命中), 粒子噴射 グリーン
毒液(攻撃), 泡
毒液(命中), 飛沫
溶解液(攻撃), 泡
溶解液(命中), 飛沫 ブルー Sprash.wav
シードバルカン, バルカン
牙, 噛みつき
体当たり, タックル
針, ニードル
クチバシ, ヘッドバッド
水撃, 小ビーム ブルー Bubble.wav
毒ガス, 煙 緑
翼, 波動放射 ホワイト
ペインパウダー, 煙 イエロー
突き, 刺突
キック, キック
爪, 爪撃
強酸(攻撃), 泡
強酸(命中), 飛沫 ブルー Sprash.wav
エルフショット, ホーミングレーザー グリーン
吸血(攻撃), タックル
吸血(命中), 吸収 レッド
地響き, ＭＡＰ地震
炎のくちづけ(攻撃), タックル
炎のくちづけ(命中), @戦闘アニメ_周囲回転攻撃 Fire\EFFECT_Fire(Red)01.bmp 3
しっぽ, タックル
ライトボール, 連気弾
電撃, 電撃
突進, タックル
生気吸収(攻撃), 触手
生気吸収(命中), 吸収 レッド
サンダーボール, 球電
ブレード, 斬撃
突進, タックル
角, タックル
ファングクラッシュ, 噛み付き
触手, 触手 レッド
丸のみ(攻撃), 触手 レッド
丸のみ(命中), @戦闘アニメ_透明化攻撃 相手ユニットＩＤ;@戦闘アニメ_回復魔法発動 対象ユニットＩＤ;@戦闘アニメ_透明化攻撃 解除 相手ユニットＩＤ;投げ飛ばし
打撃, 打突
毒撃, 爪撃
ゴーストタッチ, タックル
ブレインクラッシュ(攻撃), タックル
ブレインクラッシュ(命中), タックル;大放電
スクリーム, 音波
冷気, 吹雪
超音波, 音波
地震, ＭＡＰ地震
フリーズバリア(攻撃), 凍結 対象ユニットＩＤ
フリーズバリア(命中), 凍結 相手ユニットＩＤ
ファイアーバリア(攻撃), 炎 対象ユニットＩＤ
ファイアーバリア(命中), 炎 相手ユニットＩＤ
まきつき, 触手
石化ガス, 煙
尾撃, タックル
ダガージョウ, 噛み付き
岩石, 岩弾
放射電撃, ＭＡＰ放電
放射火炎, ＭＡＰ炎
烈風撃, 気斬 グリーン 速
ヒートスマッシュ(攻撃), 打突
ヒートスマッシュ(命中), 打突;炎
ヒートスマッシュ(剣)(命中), 斬撃;炎
アイススマッシュ(攻撃), 打突
アイススマッシュ(命中), 打突;凍結
強風, 波動放射 ブルー
ぶちかまし, タックル
聖歌, 音符
