ウィザードリィ・モンスターズ
アイスブレス(攻撃), 火炎放射 青 Breath.wav
金剛の戦斧(準備), 片刃斧
金剛の戦斧(攻撃), 斬撃
金剛の戦斧(命中), 唐竹割り
大地のフレイル(準備), フレイル
大地のフレイル(攻撃), 斬撃
大地のフレイル(命中), 超打
木霊の弓(準備), 弓
木霊の弓(攻撃), 弓;小ビーム 緑
木霊の弓(命中), 小ビーム 緑
アイシングダガー(準備), ビームナイフ 青
アイシングダガー(攻撃), 斬撃;ニードル連射
アイシングダガー(命中), ニードル連射
シールド防御(KOD'sシールド), シールド防御 Shield\EFFECT_WIZ_KOD'sShield.bmp
