
武者頑駄無
豪嵐剣(準備), 日本刀
光凰剣(攻撃), 斬撃
光凰剣(命中), 炎斬撃 ホワイト Slash.wav
光凰剣(神馬凰)(準備), ハイパービームサーベル グリーン
光凰剣(神馬凰)(攻撃), 斬撃
光凰剣(神馬凰)(命中), 炎斬撃 ホワイト Slash.wav
豪爆拳(準備), -
豪爆拳(攻撃), アッパー
豪爆拳(命中), 超打
三連大目牙砲, バスタービームライフル
大目牙撃砲(準備), -
大目牙撃砲(攻撃), ２連中ビーム
大目牙撃砲(命中), ２連中ビーム
紅蓮爆身砕(準備), オーラ上昇 緑
紅蓮爆身砕(攻撃), スーパータックル グリーン
紅蓮爆身砕(命中), スーパータックル グリーン
魔劫消滅斬(準備), ハイパービームサーベル グリーン
魔劫消滅斬(攻撃), 振り下ろし
魔劫消滅斬(命中), クリティカル斬撃
太陽砲(準備), 粒子集中
太陽砲(攻撃), 大ビーム イエロー
太陽砲(命中), 大ビーム イエロー
氷雷剣(準備), 日本刀 二刀流
氷雷剣(攻撃), なぎ払い;斬撃
氷雷剣(命中), 横大斬撃;斬撃
光砲(準備), -
光砲(攻撃), 中ビーム イエロー
光砲(命中), 中ビーム イエロー
二連光砲(準備), -
二連光砲(攻撃), ２連中ビーム イエロー
二連光砲(命中), ２連中ビーム イエロー
光砲一斉射撃(準備), 粒子集中
光砲一斉射撃(攻撃), ２連中ビーム イエロー;２連中ビーム イエロー
光砲一斉射撃(命中), ２連中ビーム イエロー;２連中ビーム イエロー
雷撃槍(準備), 南蛮棒
雷撃槍(攻撃), 刺突
雷撃槍(命中), 刺突
鋼炎剣(準備), 日本刀
鋼炎剣(攻撃), 斬撃
鋼炎剣(命中), 斬撃
掃滅破(準備), 炎剣;粒子集中
掃滅破(攻撃), なぎ払い;波動放射 レッド
掃滅破(命中), クリティカル斬撃
パワーソード(準備), 仕込み刃
パワーソード(攻撃), 斬撃
パワーソード(命中), 斬撃
パワーハンド(準備), -
パワーハンド(攻撃), タックル
パワーハンド(命中), 立ち固め
風雷凄砲(準備), 粒子集中
風雷凄砲(攻撃), 大ビーム イエロー
風雷凄砲(命中), 大ビーム イエロー
邪射鳥(準備), バスタービームライフル
邪射鳥(攻撃), バスタービームライフル グリーン
邪射鳥(命中), 中ビーム グリーン
翼心丸(準備), 野太刀
翼心丸(攻撃), 斬撃
翼心丸(命中), 斬撃
白鷺の舞(準備), 野太刀
白鷺の舞(攻撃), 円月殺法
白鷺の舞(命中), 斬撃;横大斬撃
飛燕返し(準備), 野太刀
飛燕返し(攻撃), 野太刀突撃
飛燕返し(命中), 野太刀突撃;横大斬撃
手甲剣(準備), 仕込み刃
手甲剣(攻撃), 斬撃
手甲剣(命中), 斬撃
邪封丸(準備), 突剣
邪封丸(攻撃), 突剣突撃
邪封丸(命中), 斬撃
邪封丸(武者)(準備), 突剣
邪封丸(武者)(攻撃), 突剣突撃
邪封丸(武者)(命中), なぎ払い;斬撃
邪封丸(武者)(命中), 爪撃;$(パイロット).「手甲剣！」;なぎ払い;$(パイロット).「邪封丸！」;斬撃
邪封丸(武者)(命中), 爪撃;$(パイロット).「手甲剣！」;なぎ払い;$(パイロット).「邪封丸薙刀形態！」;_
@戦闘アニメ_左右別武器準備 EFFECT_ThrustingSword01.bmp - - EFFECT_Tonfer01.bmp - -;TransForm.wav;_
@戦闘アニメ_振り下ろし攻撃;唐竹割り
強爆銃(準備), ライフル
強爆銃(攻撃), 中ビーム イエロー
強爆銃(命中), 中ビーム イエロー
風車剣(準備), 脇差 二刀流
風車剣(攻撃), 回転斬撃
風車剣(命中), 斬撃 二刀流
邪封剣(準備), 脇差
邪封剣(攻撃), 円月殺法
邪封剣(命中), 雷斬撃
破空弾(準備), 粒子集中;ライフル
破空弾(攻撃), 中ビーム イエロー
破空弾(命中), 大爆発
月光凍刃の術(準備), 魔法集中
月光凍刃の術(攻撃), 回転
月光凍刃の術(命中), 氷柱;爆発
心眼朧月(準備), 脇差
心眼朧月(攻撃), 黒斬撃
心眼朧月(命中), 黒斬撃
妖気殲滅破(準備), 魔法集中
妖気殲滅破(攻撃), ＭＡＰ波動放射 ブラック;決め文字 破 黄 Breath.wav 前面
妖気殲滅破(命中), 重力圧縮
轟雷剣(準備), 野太刀
轟雷剣(攻撃), 振り下ろし
轟雷剣(命中), 大斬撃
轟天砲(準備), 対物ライフル
轟天砲(攻撃), 大ビーム イエロー
轟天砲(命中), 大ビーム イエロー
銀狼剣(準備), 剣
銀狼剣(攻撃), 斬撃
銀狼剣(命中), 斬撃
参叉の槍(準備), トライデント
参叉の槍(攻撃), 刺突
参叉の槍(命中), 刺突
目牙光銃, ビームライフル グリーン
参刃衝(準備), 剣
参刃衝(攻撃), 斬撃
参刃衝(命中), 連斬撃
双刃剣(準備), 両刃鎌
双刃剣(攻撃), 回転斬撃
双刃剣(命中), 回転斬撃
斬凰剣(準備), ライトセイバー ホワイト
斬凰剣(攻撃), 斬撃
斬凰剣(命中), 超斬撃
大目牙破壊砲(準備), -
大目牙破壊砲(攻撃), ２連中ビーム イエロー
大目牙破壊砲(命中), ２連中ビーム イエロー
天空破斬(準備), 粒子集中;ライトセイバー ホワイト
天空破斬(攻撃), 斬撃
天空破斬(命中), 大斬撃
弥七丸(準備), 忍者刀
弥七丸(攻撃), 斬撃
弥七丸(命中), 斬撃
花風車(準備), かざぐるま
花風車(攻撃), かざぐるま
花風車(命中), 刺突
げっぷ玉(準備), -
げっぷ玉(攻撃), 泡球
げっぷ玉(命中), 泡
忍者鎌(準備), -
忍者鎌(攻撃), 斬撃
忍者鎌(命中), 斬撃
真空鎌鼬(準備), -
真空鎌鼬(攻撃), 斬撃 二刀流;竜巻
真空鎌鼬(命中), 竜巻
双龍刀(準備), ソード 二刀流
双龍刀(攻撃), 斬撃 二刀流
双龍刀(命中), 斬撃 二刀流
龍牙斬(準備), ソード 二刀流
龍牙斬(攻撃), 斬撃;なぎ払い
龍牙斬(命中), 大斬撃;横大斬撃
金剛破空斬(準備), ソード 二刀流
金剛破空斬(攻撃), 大電撃;斬撃 二刀流
金剛破空斬(命中), 大電撃;大斬撃 二刀流
怒龍十字斬(準備), ソード 二刀流
怒龍十字斬(攻撃), ダブル斬撃
怒龍十字斬(命中), ダブル大斬撃
白火弾(準備), -
白火弾(攻撃), 火炎弾
白火弾(命中), 火柱
翔破天誅弾(準備), 粒子集中
翔破天誅弾(攻撃), 火炎放射
翔破天誅弾(命中), 火炎放射
真双龍刀(準備), ソード 二刀流
真双龍刀(攻撃), 斬撃 二刀流
真双龍刀(命中), 斬撃 二刀流
双爆砲(準備), -
双爆砲(攻撃), ２連小ビーム イエロー
双爆砲(命中), ２連小ビーム イエロー
龍帝逆鱗弾(準備), ソード 二刀流
龍帝逆鱗弾(攻撃), 円月殺法
龍帝逆鱗弾, ダブル大斬撃
断烈刀(準備), 青龍刀
断烈刀(攻撃), 斬撃
断烈刀(命中), 斬撃
蒼龍砲, バズーカ
烈風斬(準備), 青龍刀
烈風斬(攻撃), なぎ払い;竜巻
烈風斬(命中), 横大斬撃
烈風剣(青龍)(準備), 青龍刀
烈風剣(青龍)(攻撃), なぎ払い;旋風
烈風剣(青龍)(命中), 旋風
火炎戟(準備), パイク
火炎戟(攻撃), 刺突
火炎戟(命中), 刺突
赤龍砲, バズーカ
灼熱弾(準備), パイク
灼熱弾(攻撃), 白兵武器;火炎弾
灼熱弾(命中), 炎斬撃;火炎弾
短剣(準備), ダガー
短剣(攻撃), 斬撃
短剣(命中), 斬撃
荒神剣(準備), ソード
荒神剣(攻撃), 斬撃
荒神剣(命中), 斬撃
気光斬(準備), ソード
気光斬(攻撃), スーパーブーメラン ホワイト
気光斬(命中), 回転斬撃
神威の槍(準備), スピア
神威の槍(攻撃), 刺突
神威の槍(命中), 刺突
業火召輪斬(準備), オーラ上昇 赤
業火召輪斬(攻撃), 円月殺法 赤
業火召輪斬, 炎斬撃
荒神の杵(準備), ヴァジュラ
荒神の杵(攻撃), 振り上げ;振り下ろし
荒神の杵(命中), 斬撃;斬り上げ
神威の戟(準備), スピア
神威の戟(攻撃), 刺突
神威の戟(命中), 刺突
武衛須砲(準備), -
武衛須砲(攻撃), ２連小ビーム ピンク
武衛須砲(命中), ２連小ビーム ピンク
業火光輪斬(準備), オーラ上昇
業火光輪斬(攻撃), 円月殺法
業火光輪斬(命中), 炎斬撃 イエロー Sword.wav
怒濤剣(準備), ソード
怒濤剣(攻撃), 斬撃
怒濤剣(命中), 斬撃
凌駕の槍(準備), トライデント
凌駕の槍(攻撃), 刺突
凌駕の槍(命中), 刺突
対雷威銃(準備), ショットガン
対雷威銃(攻撃), ２連小ビーム イエロー
対雷威銃(命中), ２連小ビーム イエロー
遠方雷威銃(準備), バスタービームライフル
遠方雷威銃(攻撃), 中ビーム グリーン
遠方雷威銃(命中), 中ビーム グリーン
激刃迫撃斬(準備), ソード
激刃迫撃斬(攻撃), 斬撃
激刃迫撃斬(命中), 大斬撃
武器鳥形態(準備), 変形 SDGNM_MecanBird.bmp
武器鳥形態(攻撃), スーパータックル ブルー
武器鳥形態(命中), スーパータックル ブルー
凄烈剣(準備), レイピア
凄烈剣(攻撃), 斬撃
凄烈剣(命中), 斬撃
炎の斧(準備), バイキングアクス
炎の斧(攻撃), なぎ払い
炎の斧(命中), 横大斬撃
火炎乱散天(準備), ビームライフル
火炎乱散天(攻撃), 中ビーム レッド
火炎乱散天(命中), 中ビーム レッド
轟破旋烈斬(準備), バイキングアクス
轟破旋烈斬(攻撃), 回転斬撃
轟破旋烈斬(命中), 回転斬撃
武器獣形態(準備), 変形 SDGNM_Mecanmal.bmp
武器獣形態(攻撃), スーパータックル レッド
武器獣形態(命中), スーパータックル レッド
武器腕(準備), 左右別武器 Weapon\EFFECT_Sword02.bmp - - Weapon\EFFECT_Spear01.bmp - -;左右別武器 Weapon\EFFECT_Dagger01.bmp - - Weapon\EFFECT_BlackSword01.bmp - -
武器腕(攻撃), 斬撃乱舞
武器腕(命中), 斬撃乱舞
業火猛襲弾(準備), -
業火猛襲弾(攻撃), スーパータックル レッド;火炎放射
業火猛襲弾(命中), 火炎放射
雀落とし(準備), 弓
雀落とし(攻撃), ロックオン;弓矢
雀落とし(命中), 矢
臥山(準備), 剣
臥山(攻撃), 斬撃
臥山(命中), 斬撃
光蹟衝, 拡散ビーム イエロー
光針衝, ニードルレーザー連射 イエロー
結界剣(準備), 剣
結界剣(攻撃), 斬撃
結界剣(命中), 斬撃
妖刀(準備), シミター
妖刀(攻撃), 斬撃
妖刀(命中), 斬撃
土蜘蛛(準備), 蜘蛛召喚
土蜘蛛(攻撃), 蜘蛛
土蜘蛛(命中), 爆発
飛出槍(準備), -
飛出槍(攻撃), 投げ槍
飛出槍(命中), 刺突
獣爪(準備), -
獣爪(攻撃), 打突
獣爪(命中), 爪撃
石化光線(準備), -
石化光線(攻撃), 特殊光線 ホワイト
石化光線(命中), 凍結
大蛇牙(準備), -
大蛇牙(攻撃), 格闘
大蛇牙(命中), 噛み付き
大蛇息(準備), -
大蛇息(攻撃), 火炎放射 赤
大蛇息(命中), 火炎放射 赤
邪獣剣(準備), 青龍刀
邪獣剣(攻撃), 斬撃
邪獣剣(命中), 斬撃
爆砕雷撃弾(準備), 大放電
爆砕雷撃弾(攻撃), 大放電 桃
爆砕雷撃弾(命中), 大放電 桃
蟲戦輪(準備), チャクラム
蟲戦輪(攻撃), 回転投擲 Weapon\EFFECT_Chakram01.bmp
蟲戦輪(命中), 刺突
羅刹棘燕砕(準備), チャクラム
羅刹棘燕砕(攻撃), 回転投擲 Weapon\EFFECT_Chakram01.bmp
羅刹棘燕砕(命中), オールレンジ;乱突
地獄牙地脈割り(準備), 魔法集中
地獄牙地脈割り(攻撃), 地表衝撃波 ホワイト;ＭＡＰ石柱
地獄牙地脈割り(命中), 投げ飛ばし
鬼神闇縛の舞(準備), -
鬼神闇縛の舞(攻撃), ８ＷＡＹ射出;対象指定回転発射 PilotID(地獄牙兄弟地獄羅刹) 相手ユニット Weapon\EFFECT_Chakram01.bmp;同時タックル
鬼神闇縛の舞(命中), 同時斬撃乱舞
飛出剣(準備), 釘
飛出剣(攻撃), 釘
飛出剣(命中), 刺突
夜叉刀(準備), フランベルジュ
夜叉刀(攻撃), 斬撃
夜叉刀(命中), 斬撃
夜叉焔蝎砕(準備), フランベルジュ
夜叉焔蝎砕(攻撃), 円月殺法 赤
夜叉焔蝎砕(命中), 炎斬撃
燐光剣(準備), 大剣
燐光剣(攻撃), 振り下ろし
燐光剣(命中), 大斬撃
大輝主撃砲(準備), 粒子集中 白
大輝主撃砲(攻撃), ２連中ビーム イエロー
大輝主撃砲(命中), ２連中ビーム イエロー
光帝凰(準備), -
光帝凰(攻撃), スーパータックル イエロー
光帝凰(命中), スーパータックル イエロー
邪影剣(準備), 大剣
邪影剣(攻撃), 振り下ろし
邪影剣(命中), 大斬撃
黒影主撃砲(準備), 粒子集中 黒
黒影主撃砲(攻撃), ２連中ビーム ブラック
黒影主撃砲(命中), ２連中ビーム ブラック
闇帝凰(準備), -
闇帝凰(攻撃), スーパータックル ブラック
闇帝凰(命中), スーパータックル ブラック
大蛇剣(準備), 剣
大蛇剣(攻撃), 斬撃
大蛇剣(命中), 斬撃
大蛇槍(準備), トライデント
大蛇槍(攻撃), 刺突
大蛇槍(命中), 刺突
二連大蛇砲(準備), -
二連大蛇砲(攻撃), ２連小ビーム 
二連大蛇砲(命中), ２連小ビーム 
闇紫電(準備), 同時魔法集中 黒
闇紫電(攻撃), 大放電
闇紫電(命中), 大放電
黄虎剣(準備), 日本刀
黄虎剣(攻撃), 斬撃
黄虎剣(命中), 斬撃
夜叉鎌(準備), ハルバード
夜叉鎌(攻撃), 斬撃;刺突
夜叉鎌(命中), 斬撃;刺突
羅刹斧(準備), 片刃斧
羅刹斧(攻撃), 振り下ろし
羅刹斧(命中), 大斬撃
冥府の灼杖(準備), 錫杖
冥府の灼杖(攻撃), 白兵武器
冥府の灼杖(命中), 打撃
土蜘蛛地獄(準備), 魔法集中
土蜘蛛地獄(攻撃), ８ＷＡＹ射出;ニードル連射
土蜘蛛地獄(命中), 連続爆発
凶魔爪(準備), -
凶魔爪(攻撃), 格闘
凶魔爪(命中), 爪撃
脳天打ち(準備), -
脳天打ち(攻撃), 格闘
脳天打ち(命中), 強打
竜巻激流砲(準備), 
竜巻激流砲(攻撃), 大ビーム 白 Splash.wav
竜巻激流砲(命中), 大ビーム 白 Splash.wav
邪鋭爪(準備), -
邪鋭爪(攻撃), 格闘
邪鋭爪(命中), 爪撃
邪鉄扇(準備), 扇子
邪鉄扇(攻撃), 白兵武器
邪鉄扇(命中), 強打
氷牙手裏剣(準備), クナイ
氷牙手裏剣(攻撃), クナイ
氷牙手裏剣(命中), 連突
氷眼氷結の術(準備), 魔法放射
氷眼氷結の術(攻撃), 文字ビーム ◎ 水色 EvilEye.wav
氷眼氷結の術(命中), 凍結
乱撃鋭爪弾(準備), クナイ
乱撃鋭爪弾(攻撃), 吹雪;強風
乱撃鋭爪弾(命中), オールレンジ
破空丸(準備), 日本刀
破空丸(攻撃), 斬撃
破空丸(命中), 斬撃
紅鷹の舞(準備), 日本刀
紅鷹の舞(攻撃), 円月殺法
紅鷹の舞(命中), 大斬撃
焼尽丸(準備), 日本刀
焼尽丸(攻撃), 斬撃
焼尽丸(命中), 斬撃
鬼炎弓(準備), 弓
鬼炎弓(攻撃), 弓矢
鬼炎弓(命中), 矢
赤神鬼炎斬(準備), 日本刀
赤神鬼炎斬(攻撃), 斬撃
赤神鬼炎斬(命中), 炎斬撃
妖刀黒刃(準備), 黒剣
妖刀黒刃(攻撃), 斬撃
妖刀黒刃(命中), 斬撃
殺駆魔神銃, サブマシンガン
黒刃妖炎斬(準備), 黒剣
黒刃妖炎斬(攻撃), 円月殺法 黒;火炎放射 黒;斬撃
黒刃妖炎斬(命中), 火炎放射 黒;炎斬撃 ブラック
焦炎刀(準備), 日本刀
焦炎刀(攻撃), 斬撃
焦炎刀(命中), 斬撃
火球斬(準備), 日本刀
火球斬(攻撃), 斬撃;火炎弾
火球斬(命中), 炎斬撃;火柱
冷血刀(準備), 鉈 二刀流
冷血刀(攻撃), 斬撃
冷血刀(命中), 斬撃
氷針斬(準備), 脇差
氷針斬(攻撃), 斬撃;ニードルレーザー連射 ブルー
氷針斬(命中), ニードルレーザー連射 ブルー
氷炎刀(準備), 野太刀
氷炎刀(攻撃), 振り下ろし
氷炎刀(命中), 大斬撃
爆冷破(準備), 魔法集中
爆冷破(攻撃), 波動放射 ブルー Storm.wav
爆冷破(命中), 大爆発
双刃斬(準備), 鉈 二刀流 二刀流
双刃斬(攻撃), ダブル斬撃
双刃斬(命中), ダブル斬撃
凶魔玉(準備), -
凶魔玉(攻撃), 特殊光線 ブラック
凶魔玉(命中), 逆五芒星
凶魔刀(準備), ショーテル
凶魔刀(攻撃), なぎ払い
凶魔刀(命中), なぎ払い
冷眼不動陣(準備), 魔法集中;ショーテル
冷眼不動陣(攻撃), 文字ビーム ◎ 黒 EvilEye.wav;なぎ払い
冷眼不動陣(命中), 周囲回転 EFFECT_Ghost01.bmp;黒斬撃
黒魔暗黒弾(準備), 粒子集中 黒
黒魔暗黒弾(攻撃), 重力弾
黒魔暗黒弾(命中), 重力圧縮;超爆発
ギャザズ(準備), -
ギャザズ(攻撃), 白兵武器
ギャザズ(命中), 爪撃;爪撃
大暗黒砲, ＭＡＰビーム ブラック
最強形態, エネルギーフィールド展開
天来変幻(烈光), 落雷;@戦闘アニメ_決め文字準備 光 白
天来変幻(烈空), 落雷;@戦闘アニメ_決め文字準備 空 青
天来変幻(烈破), 落雷;@戦闘アニメ_決め文字準備 破 赤

Ｇ－ＡＲＭＳ
迅翼の槍(準備), トライデント
迅翼の槍(攻撃), 刺突
迅翼の槍(命中), 刺突
光凰の弓(準備), 弓
光凰の弓(攻撃), 弓矢
光凰の弓(命中), 矢
天空撃(準備), -
天空撃(攻撃), スーパータックル ブルー
天空撃(命中), スーパータックル ブルー
可変式バルカンライフル, ガトリング
ＡＡＭミサイル(準備), -
ＡＡＭミサイル(攻撃), ミサイル 2
ＡＡＭミサイル(命中), 爆発

