
## デビルメイクライ２ #################################

デビルメイクライ２
## ダンテ #############################################
リベリオン, 鋼剣
毒吐き(命中), 炎 緑 Breath.wav
羽飛ばし, 拡散ビーム 赤
急降下蹴り, タックル
全身毒針, 連突 青
地面突き刺し毒針(攻撃), 打突
地面突き刺し毒針(命中), 連突 紫
マジックミサイル, 拡散ビーム 青
魔法弾, 魔法陣;拡散ビーム 青
砲撃, 大キャノン砲長距離
しっぽ突き刺し, 刺突
体力吸収, タックル
収束魔法(攻撃), -
収束魔法(命中), 魔法陣 青;爆発
破片突撃, タックル
ツメ飛ばし, ニードル
回転突撃, スーパータックル
かみつき, 噛み付き
冷気ブレス, 火炎放射 青
雷撃波, 球電
突進かみつき(攻撃), タックル
突進かみつき(命中), 噛み付き
反転体当たり, スーパータックル乱舞
回転体当たり, スーパータックル
連続斬り(準備), シミター 二刀流
連続斬り(攻撃), 斬撃乱舞
連続斬り(命中), 斬撃乱舞
## 小説版 ###########################################
特殊弾丸, 対戦車ライフル
五連射(準備), 対戦車ライフル
五連射(攻撃), 対戦車ライフル;対戦車ライフル;対戦車ライフル;対戦車ライフル;対戦車ライフル
五連射(命中), 対戦車ライフル;対戦車ライフル;対戦車ライフル;対戦車ライフル;対戦車ライフル
光の針, 刺突
ヤリ, 刺突
回転体当たり(攻撃), スーパータックル 黒
回転体当たり(命中), スーパータックル 黒 Slash.wav Slash.wav Slash.wav Slash.wav
ツメ突き刺し, 刺突
ドリル, スーパータックル
クチバシ, タックル
はさみこみ放電, 破壊光線
爆撃, 球電
電撃カーテン, ＭＡＰ持続ビーム 黄
電撃波, 地表衝撃波 黄
最大放電, ＭＡＰ落雷
急降下体当たり(攻撃), 急降下
急降下体当たり(命中), 急降下;大電撃
瞬間移動(攻撃), 透明化
瞬間移動(命中), 吹雪
氷針展開(準備), 粒子集中 青
氷針展開(攻撃), ＭＡＰ氷柱
氷針展開(命中), 氷柱
大剣(準備), 大剣
大剣(攻撃), 透明化
大剣(命中), 連斬撃
雷光, 大電撃
居合い斬り(攻撃), 大剣突撃
居合い斬り(命中), 超斬撃
絶望の声, 音波
突撃, タックル
爆撃, バルカン;ミサイル 4;大キャノン砲 2
魔剣, 黒剣
アラストル(準備), ソード
アラストル(攻撃), 連斬撃
アラストル(命中), 連斬撃
雷撃, 電撃
白玉レーザー, ４ＷＡＹ射出
レーザー, 中ビーム 白
メテオスウォーム, ＭＡＰ火炎弾
魔帝パンチ, 打突
魔帝カッター, 地表衝撃波 赤
魔帝光弾, 光球
火炎昇竜(準備), 粒子集中 赤
火炎昇竜(攻撃), 打突; 炎
火炎昇竜(命中), 火柱

魔人ルシア２
ボウガン, クロスボウ
スローダガー, クナイ
カトラシア, シミター 二刀流
ホイールキック(攻撃), バックキック
ホイールキック(命中), 超打
ダート, 連投剣
ラピッドファイア, ジャンプ;キック
アクスキック(攻撃), 急降下
アクスキック(命中), 急降下
クランキーボム(攻撃), グレネード
クランキーボム(命中), 爆発
セラフィックソアー(準備), 翼
セラフィックソアー(攻撃), 拡散ビーム 白
セラフィックソアー(命中), 拡散ビーム 白
ディヴァインアンガー(準備), 粒子集中 白
ディヴァインアンガー(攻撃), 振り下ろし;波動放射 白
ディヴァインアンガー(命中), 拡散ビーム 白;拡散ビーム 白

反逆者ブレイド(ＤＭＣ２)
シールド防御, スモールシールド

デュカス(獣の首)
格闘(攻撃), 透明化;swing.wav
格闘(命中), 連打

ゴーストナイツ・ライフル(ＤＭＣ２)
格闘, 殴打武器 Weapon\EFFECT_AntiMaterialRifle01.bmp
ロングライフル, 対物ライフル


## アイテム ###########################
汎用
ミサイルランチャー, バズーカ
サブマシンガン, サブマシンガン;サブマシンガン
ナイトメアγ(攻撃), ホーミングレーザー 緑
ナイトメアγ(命中), ホーミングレーザー 緑
バイタルスターＳ(発動), 粒子集中 緑
バイタルスターＬ(発動), 粒子集中 緑
デビルスターＳ(発動), 粒子集中 青
デビルスターＬ(発動), 粒子集中 青
ホーリースター(発動), 粒子集中 白
スメルオブフィアー(発動), 粒子集中 紫
ホーリーウォーター, ＭＡＰフラッシュ
