汎用
マサムネ(ＳａＧａ２)(命中), Slash(4).wav
鼻息, Mist.wav
マヒにらみ, EvilEye.wav
マヒの鱗粉, Mist.wav
石化ガス, Mist.wav
石化にらみ, EvilEye.wav
電撃, BeamSaber.wav
蜘蛛糸(命中), Page.wav
砂地獄, Mist.wav
触ると火傷(命中), Fire.wav
ケアル, Sharara.wav
回復鱗粉, Sharara.wav
生命の雫, Sharara.wav
