
真田幸村(無双)
炎槍(準備), 十字槍
無双秘奥義(命中), 斬撃乱舞;なぎ払い;なぎ払い;横大斬撃;「<B>これぞ戦の華よおっ！！</B>」
変形(馬呼び), MouseWhisle.wav
獅子奮迅(攻撃), なぎ払い
獅子奮迅(命中), 超打 Crash.wav

前田慶次(無双騎馬)
豪気皆朱槍, 月牙
無双奥義(準備), 決め文字 豪 黒
無双奥義(攻撃), ＭＡＰ移動タックル 黒
無双奥義(命中), ダメージ Shock(Low).wav

服部半蔵(無双)
首薙鎌, 鎌
手裏剣, 手裏剣
回転鎌(準備), 鎌
回転鎌(攻撃), 回転斬撃
回転鎌(命中), 回転斬撃;刺突
忍術(攻撃), Whiz.wav
忍術(命中), 火柱;煙 白 Bazooka.wav;風 Storm.wav
無双奥義(準備), 決め文字 断 黒
無双奥義(攻撃), シュートカッター 黒 Whiz.wav;シュートカッター 黒 Whiz.wav;シュートカッター 黒 Whiz.wav
無双奥義(命中), シュートカッター 黒;シュートカッター 黒;シュートカッター 黒
無双秘奥義(準備), 決め文字 滅 黒 Glass.wav
無双秘奥義(攻撃), シュートカッター 黒 Whiz.wav;シュートカッター 黒 Whiz.wav;シュートカッター 黒 Whiz.wav
無双秘奥義(命中), シュートカッター 黒;シュートカッター 黒;シュートカッター 黒;連斬撃;斬撃;「<B>残すは屍……！</B>」
分身(分身の術), 分身 - 分身の術

武田信玄(無双)
風林火山配, 殴打武器 LightWeapon\EFFECT_LightAx(Red)01.bmp
武田の兵法(攻撃), 粒子集中 白 対象ユニットＩＤ
武田の兵法(命中), 「疾きこと風の如し！！」;風 Storm.wav
武田の兵法(命中), 「静かなること林の如し！！」;木の葉乱舞 Saber.wav
武田の兵法(命中), 「侵略すること火の如し！！」;炎
武田の兵法(命中), 「動かざること山の如し！！」;石柱 Shock(Low).wav
跳躍蹴り(攻撃), キック
跳躍蹴り(命中), 超打 Crash.wav
回転投げ(攻撃), タックル
回転投げ(命中), ジャイアントスイング
無双奥義(準備), 決め文字 師 黒
無双奥義(攻撃), なぎ払い;なぎ払い;なぎ払い;なぎ払い
無双奥義(命中), 連打
無双秘奥義(準備), 決め文字 風林火山 黒 Glass.wav
無双秘奥義(攻撃), なぎ払い;なぎ払い;なぎ払い;なぎ払い
無双秘奥義(命中), 連打;強打;強打;強打;「<B>…なぁ～んてな</B>」

上杉謙信(無双)
紙人形(攻撃), 実弾発射 Common\EFFECT_Shine(White)01.bmp Search.wav 遅
紙人形(命中), 小爆発
姫鶴一文字, 七支刀
毘沙門天(準備), 七支刀
毘沙門天(攻撃), @戦闘アニメ_オーラ上昇準備 白 Bazooka.wav;斬撃
毘沙門天(命中), 大斬撃
衝撃波(準備), 七支刀
衝撃波(攻撃), 魔法放射 青 Whiz.wav
衝撃波(命中), 飛沫 青
式神光弾, ショックビーム
無双奥義(準備), 決め文字 仏 黒
無双奥義(攻撃), 連斬撃;連斬撃
無双奥義(命中), 連斬撃;連斬撃
無双秘奥義(準備), 決め文字 毘 黒 Glass.wav
無双秘奥義(攻撃), 連斬撃;連斬撃
無双秘奥義(命中), 連斬撃;連斬撃;連斬撃;なぎ払い;「<B>地獄で悔いよ！！</B>」
シールド防御(千里天眼), ビームコート - 千里天眼

お市(無双１)
剣美玉・百合(攻撃), 斬撃;ニードルレーザー 白 Saber.wav
剣美玉・百合(命中), 強打
剣玉跳び(攻撃), ジャンプ;ジャンプ;ジャンプ
剣玉跳び(命中), 連打
空中乱舞(攻撃), 回転斬撃
空中乱舞(命中), 連打;連打;@戦闘アニメ_バック転攻撃;強打
無双奥義(準備), 決め文字 憐 黒
無双奥義(攻撃), 回転斬撃;回転斬撃
無双奥義(命中), 乱打
無双秘奥義(準備), 決め文字 凛 黒 Glass.wav
無双秘奥義(攻撃), 回転斬撃;回転斬撃
無双秘奥義(命中), 乱打;強打;強打;強打;「<B>良い子は真似しないでね！！</B>」

お市(無双２)
如意宝珠・菫(攻撃), 斬撃;ニードルレーザー 白 Saber.wav
如意宝珠・菫(命中), 強打
伏兵(攻撃), 実弾発射 SENM_AshigaruGashiraU.bmp Chaff.wav
伏兵(攻撃), 実弾発射 SENM_NinjyaU.bmp Chaff.wav
伏兵(攻撃), 実弾発射 SENM_HininU.bmp Chaff.wav
伏兵(攻撃), 実弾発射 SENM_SenninU.bmp Chaff.wav
伏兵(攻撃), 実弾発射 SENM_BakuninU.bmp Chaff.wav
伏兵(攻撃), 実弾発射 SENM_TotuninU.bmp Chaff.wav
伏兵(命中), 連打
剣玉発射(攻撃), 斬撃;実弾発射 Explode\EFFECT_BigExplode01.bmp 20 有線
剣玉発射(命中), 強打
空中乱舞(攻撃), バック転
空中乱舞(命中), 連打
無双奥義(準備), 決め文字 憐 黒
無双奥義(攻撃), 回転斬撃;回転斬撃
無双奥義(命中), 乱打
無双秘奥義(準備), 決め文字 凛 黒 Glass.wav
無双秘奥義(攻撃), 回転斬撃;回転斬撃
無双秘奥義(命中), 乱打;強打;強打;強打;「<B>哀しき業などっ！！</B>」
回復, 回復魔法
青雲之志(攻撃), 回転斬撃
青雲之志(命中), 連打
青雲之志(クリティカル), @戦闘アニメ_ジャンプ攻撃;@戦闘アニメ_振り下ろし攻撃;@戦闘アニメ_煙命中 白 Bazooka.wav

雑賀孫市(無双)
紀州国友, 長筒
銃剣(準備), 長筒 -.wav
銃剣(攻撃), 刺突
銃剣(命中), 刺突
照準発射(準備), 長筒
照準発射(攻撃), ロックオン;長筒;長筒;長筒
照準発射(命中), 長筒;長筒;長筒
紅蓮弾(準備), 長筒
紅蓮弾(攻撃), 竜弾銃 Weapon\EFFECT_MatchlockRifle01.bmp 48 Gun.wav
紅蓮弾(命中), 炎
掃射, マシンガン Weapon\EFFECT_MatchlockRifle01.bmp 48
無双奥義(準備), 決め文字 撃 黒
無双奥義(攻撃), ショットガン Weapon\EFFECT_MatchlockRifle01.bmp 48;ショットガン Weapon\EFFECT_MatchlockRifle01.bmp 48
無双奥義(命中), ショットガン;ショットガン
無双秘奥義(準備), 決め文字 衝 黒 Glass.wav
無双秘奥義(攻撃), ショットガン Weapon\EFFECT_MatchlockRifle01.bmp 48;ショットガン Weapon\EFFECT_MatchlockRifle01.bmp 48
無双秘奥義(命中), ショットガン;ショットガン;振り下ろし;アッパー;マシンガン;「<B>愛は不滅さ！</B>」
一射神痛(孫市)(準備), 長筒
一射神痛(孫市)(攻撃), 発光 白 Hittyuu.wav 対象ユニットＩＤ;長筒
一射神痛(孫市)(命中), 長筒

森蘭丸(無双)
不動行光, 野太刀
不動行光(解説), $(ユニット)は不動行光で攻撃をかけた。
斬撃波(準備), 野太刀
斬撃波(攻撃), なぎ払い;実弾発射 Common\EFFECT_SonicBoom(Blue)02.bmp Whiz.wav 発光
斬撃波(命中), 飛沫 青
一閃(攻撃), 振る武器突撃 -.bmp
一閃(命中), 野太刀突撃
捨て身(準備), オーラ上昇 赤 Inori.wav
捨て身(攻撃), 斬撃乱舞
捨て身(命中), 斬撃乱舞
無双奥義(準備), 決め文字 誠 黒
無双奥義(攻撃), なぎ払い;なぎ払い;なぎ払い;なぎ払い;なぎ払い
無双奥義(命中), なぎ払い;なぎ払い;なぎ払い;なぎ払い;なぎ払い
無双秘奥義(準備), 決め文字 義 黒 Glass.wav
無双秘奥義(攻撃), なぎ払い;なぎ払い;なぎ払い;なぎ払い;なぎ払い
無双秘奥義(命中), なぎ払い;なぎ払い;なぎ払い;なぎ払い;なぎ払い;連斬撃;なぎ払い;「<B>お許しを！！</B>」
行雲流水(準備), 野太刀
行雲流水(攻撃), 振り下ろし;振り上げ
行雲流水(命中), 振り下ろし;振り上げ
行雲流水(クリティカル), @戦闘アニメ_浴びせ蹴り攻撃;@戦闘アニメ_なぎ払い命中;@戦闘アニメ_なぎ払い命中;@戦闘アニメ_実弾発射攻撃 Bullet\EFFECT_GroundCutter(Blue)01.bmp Whiz.wav 発光;@戦闘アニメ_飛沫命中 青

阿国(無双) 
ジャンプ(落下傘), @戦闘アニメ_中心回転武器攻撃 Magic\EFFECT_MCircle(Red)01.bmp Whiz.wav
仕込み針, ニードルガン DGoods\EFFECT_BambooUmbrella01.bmp 32
流泉月花, 唐傘
回転蹴り(準備), 殴打武器 DGoods\EFFECT_BambooUmbrella01.bmp
回転蹴り(攻撃), スピンキック
回転蹴り(命中), 強打
阿国の舞(準備), 殴打武器 DGoods\EFFECT_BambooUmbrella01.bmp
阿国の舞(攻撃), 中心回転武器 Magic\EFFECT_MCircle(Red)01.bmp Sharara.wav
阿国の舞(命中), アッパー;アッパー;アッパー;アッパー
三連紅蓮弾(準備), 殴打武器 DGoods\EFFECT_BambooUmbrella01.bmp
三連紅蓮弾(攻撃), 竜弾銃 DGoods\EFFECT_BambooUmbrella02.bmp Beam.wav;竜弾銃 DGoods\EFFECT_BambooUmbrella02.bmp Beam.wav;竜弾銃 DGoods\EFFECT_BambooUmbrella02.bmp Beam.wav
三連紅蓮弾(命中), 炎
無双奥義(準備), 決め文字 舞 黒
無双奥義(攻撃), 周囲回転 Magic\EFFECT_MCircle(Red)01.bmp 対象ユニットＩＤ
無双奥義(命中), 連打
無双秘奥義(準備), 決め文字 麗 黒 Glass.wav
無双秘奥義(攻撃), 周囲回転 Magic\EFFECT_MCircle(Red)01.bmp 対象ユニットＩＤ
無双秘奥義(命中), 連打;強打;強打;強打;「<B>ほなおおきにぃ！！<B>」
反射(天命反転), 反射 - 天命反転

伊達政宗(無双１)
砕骨刀(準備), 木刀 二刀流
砕骨刀(攻撃), 連斬撃
砕骨刀(命中), 打撃;打撃
独眼竜光弾(攻撃), 光弾 青 Beam.wav
独眼竜光弾(命中), 爆発
乱打(準備), 木刀 二刀流
乱打(攻撃), 連斬撃;連斬撃;連斬撃
乱打(命中), 乱打
無双奥義(準備), 決め文字 乱 黒
無双奥義(攻撃), 光弾 青 Beam.wav;光弾 青 Beam.wav;光弾 青 Beam.wav;光弾 青 Beam.wav;光弾 青 Beam.wav
無双奥義(命中), 連続爆発 5
無双秘奥義(準備), 決め文字 竜 黒 Glass.wav
無双秘奥義(攻撃), 光弾 青 Beam.wav;光弾 青 Beam.wav;光弾 青 Beam.wav;光弾 青 Beam.wav;光弾 青 Beam.wav
無双秘奥義(命中), 連続爆発 5;強打;強打;強打;「<B>馬鹿めがっ！！</B>」

伊達政宗(無双２)
二丁拳銃(準備), 火縄銃 25
二丁拳銃(攻撃), 火縄銃 25;火縄銃 25
二丁拳銃(命中), 火縄銃;火縄銃
倭刀蓬莱, サーベル
銃撃波(準備), 火縄銃 25
銃撃波(攻撃), 実弾発射 Common\EFFECT_SonicBoom(Blue)02.bmp Gun.wav 発光 速;実弾発射 Common\EFFECT_SonicBoom(Blue)02.bmp Gun.wav 発光 速
銃撃波(命中), 飛沫 青;飛沫 青
乱射(準備), 火縄銃 25
乱射(攻撃), ２連光弾銃 Weapon\EFFECT_MatchlockGun01.bmp 25 発光 青
乱射(命中), 連続爆発 2
全方位発射(準備), 火縄銃 25
全方位発射(攻撃), ＭＡＰビーム 赤 Rifle.wav
全方位発射(命中), 小ビーム 赤
無双奥義(準備), 決め文字 乱 黒
無双奥義(攻撃), ヘビーマシンガン Weapon\EFFECT_MatchlockGun01.bmp 25
無双奥義(命中), ヘビーマシンガン
無双秘奥義(準備), 決め文字 竜 黒 Glass.wav
無双秘奥義(攻撃), ヘビーマシンガン Weapon\EFFECT_MatchlockGun01.bmp 25
無双秘奥義(命中), ヘビーマシンガン;小ビーム 赤;小ビーム 赤;小ビーム 赤;「<B>……馬鹿めが！</B>」

濃姫(無双)
蜘蛛(攻撃), 格闘
蜘蛛(命中), 爪撃 二刀流
爆弾投げ, ポテトマッシャー
地雷(攻撃), 5;Reload(4).wav;5;Reload(4).wav;5;Reload(4).wav
地雷(命中), 連続爆発 3
暗器乱舞, 回転斬撃
無双奥義(準備), 決め文字 艶 黒
無双奥義(攻撃), 爆弾;爆弾;爆弾;爆弾;爆弾
無双奥義(命中), 爆発;爆発;爆発;爆発;爆発
無双秘奥義(準備), 決め文字 蝶 黒 Glass.wav
無双秘奥義(攻撃), 爆弾;爆弾;爆弾;爆弾;爆弾
無双秘奥義(命中), 爆発;爆発;爆発;爆発;爆発;連続爆発 3;「<B>欲しかったんでしょう？</B>」

織田信長(無双)
圧し切長谷部, 妖刀
黒球(攻撃), 重力弾
黒球(命中), 飛沫 黒
妖気刀, 光剣 黒
空中斬り(準備), 妖刀
空中斬り(攻撃), アッパー
空中斬り(命中), 振り上げ;振り上げ;落下 Crash.wav
無双奥義(準備), 決め文字 天 黒
無双奥義(攻撃), 妖刀突撃
無双奥義(命中), 妖刀突撃
無双秘奥義(準備), 決め文字 覇 黒 Glass.wav
無双秘奥義(攻撃), 妖刀突撃
無双秘奥義(命中), 妖刀突撃;斬撃;なぎ払い;なぎ払い;「<B>無価値！！</B>」
攻撃無効化(妖気の壁), バリア - 妖気の壁

くのいち(無双)
烈風円旋刃(準備), クナイ 二刀流
烈風円旋刃(攻撃), 連斬撃
烈風円旋刃(命中), 連斬撃
手裏剣, 手裏剣
空中斬り(準備), クナイ 二刀流
空中斬り(攻撃), 回転斬撃
空中斬り(命中), 回転斬撃;爆発
連斬(準備), クナイ 二刀流
連斬(攻撃), 連斬撃;連斬撃
連斬(命中), 連斬撃;連斬撃;@回転投擲武器攻撃 Weapon\EFFECT_TwinBlade01.bmp 34;なぎ払い
無双奥義(準備), 決め文字 殺 黒
無双奥義(攻撃), スピンアタック
無双奥義(命中), 斬撃乱舞
無双秘奥義(準備), 決め文字 葬 黒 Glass.wav 
無双秘奥義(攻撃), スピンアタック
無双秘奥義(命中), 斬撃乱舞;回転斬撃;「<B>おあとがよろしいようで！</B>」
分身(分身の術), 分身 - 分身の術

石川五右衛門(無双)
大砲, 大砲 40
嶽崩し, 殴打武器 Weapon\EFFECT_SpinHummer01.bmp
大砲連射(準備), 大砲 40
大砲連射(攻撃), 大キャノン砲長距離;大キャノン砲長距離;大キャノン砲長距離
大砲連射(命中), 連続大爆発 3
仕掛け金棒, スピンハンマー
無双奥義(準備), 決め文字 壊 黒
無双奥義(攻撃), 大砲 40;大砲 40
無双奥義(命中), 大砲;大砲
無双秘奥義(準備), 決め文字 爆 黒 Glass.wav
無双秘奥義(攻撃), 大砲 40;大砲 40
無双秘奥義(命中), 大砲;大砲;連打;「<B>ア、絶景かなぁ～っ！！</B>」

羽柴秀吉(無双)
三天鐘鬼, 三節棍
全方位攻撃(準備), 三節棍
全方位攻撃(攻撃), 斬撃乱舞
全方位攻撃(命中), 連打
薙ぎ払い(準備), 三節棍
薙ぎ払い(攻撃), なぎ払い;なぎ払い
薙ぎ払い(命中), 強打;強打
二連撃(準備), 三節棍
二連撃(攻撃), 振り下ろし;振り下ろし
二連撃(命中), 煙 白 Bazooka.wav;煙 白 Bazooka.wav
無双奥義(準備), 決め文字 志 黒
無双奥義(攻撃), ジャンプ;ジャンプ;ジャンプ;ジャンプ
無双奥義(命中), 乱打
無双秘奥義(羽柴)(準備), 決め文字 昇 黒 Glass.wav
無双秘奥義(羽柴)(攻撃), ジャンプ;ジャンプ;ジャンプ;ジャンプ
無双秘奥義(羽柴)(命中), 乱打;強打;強打;強打;「<B>わしが鳴かすでぇ！！</B>」
無双秘奥義(豊臣)(準備), 決め文字 昇 黒 Glass.wav
無双秘奥義(豊臣)(攻撃), ジャンプ;ジャンプ;ジャンプ;ジャンプ
無双秘奥義(豊臣)(命中), 乱打;強打;強打;強打;「<B>わしが鳴かすわぁ！！</B>」
青雲之志(準備), 三節棍
青雲之志(攻撃), 回転斬撃
青雲之志(命中), 連打
青雲之志(クリティカル), @戦闘アニメ_ジャンプ攻撃;@戦闘アニメ_振り下ろし攻撃;@戦闘アニメ_煙命中 白 Bazooka.wav

本多忠勝(無双)
蜻蛉切, 方天戟
斬撃波(準備), 方天戟
斬撃波(攻撃), なぎ払い;実弾発射 Common\EFFECT_SonicBoom(Blue)02.bmp Whiz.wav 発光
斬撃波(命中), 飛沫 青
三連撃(準備), 方天戟
三連撃(攻撃), 方天戟突撃
三連撃(命中), 斬撃;なぎ払い;@戦闘アニメ_振り下ろし攻撃;煙 白 Bazooka.wav
三連衝撃弾(準備), 方天戟
三連衝撃弾(攻撃), なぎ払い;実弾発射 Common\EFFECT_LightBall01.bmp 35 Bazooka.wav 発光 速;実弾発射 Common\EFFECT_LightBall01.bmp 35 Bazooka.wav 発光 速;実弾発射 Common\EFFECT_LightBall01.bmp 35 Bazooka.wav 発光 速
三連衝撃弾(命中), 超打 Crash.wav
無双奥義(準備), 決め文字 轟 黒
無双奥義(攻撃), 連斬撃;連斬撃;斬撃
無双奥義(命中), 連斬撃;連斬撃;斬撃
無双秘奥義(準備), 決め文字 哮 黒 Glass.wav
無双秘奥義(攻撃), 連斬撃;連斬撃;斬撃
無双秘奥義(命中), 連斬撃;連斬撃;斬撃;唐竹割り;唐竹割り;横大斬撃;「<B>武で語るがよい！！</B>」
攻撃無効化(明鏡止水), バリア - 明鏡止水

稲姫(無双)
都城大弓, 和弓
片刃(準備), 和弓 -.wav
片刃(攻撃), 斬撃
片刃(命中), 斬撃
矢連射, 和弓連射
二段発射(準備), 和弓
二段発射(攻撃), 手持ち発射 Weapon\EFFECT_JapaneseBow00.bmp - - Bullet\EFFECT_LightBullet(Blue)02.bmp Whiz.wav
二段発射(命中), 飛沫 青;飛沫 青
五連拡散矢(準備), 和弓
五連拡散矢(攻撃), 大拡散ビーム 紫 Bow.wav
五連拡散矢(命中), 小ビーム 紫 Stab.wav
無双奥義(準備), 決め文字 純 黒
無双奥義(攻撃), 和弓連射;和弓連射;和弓連射
無双奥義(命中), 和弓連射;和弓連射;和弓連射
無双秘奥義(準備), 決め文字 爽 黒 Glass.wav
無双秘奥義(攻撃), 和弓連射;和弓連射;和弓連射
無双秘奥義(命中), 和弓連射;和弓連射;和弓連射;なぎ払い;なぎ払い;なぎ払い;「<B>燃え尽きるまでっ！！</B>」
一射神痛(稲姫)(準備), 和弓
一射神痛(稲姫)(攻撃), 発光 白 Hittyuu.wav 対象ユニットＩＤ;和弓
一射神痛(稲姫)(命中), 和弓

今川義元(無双)
太刀, 日本刀
蹴覇将鞠(準備), 振る武器 Magic\EFFECT_MCircle(Pink)01.bmp 20
蹴覇将鞠(攻撃), 投擲武器 Magic\EFFECT_MCircle(Pink)01.bmp 20 Whiz.wav
蹴覇将鞠(命中), 強打
蹴鞠お手玉(準備), 振る武器 Magic\EFFECT_MCircle(Pink)01.bmp 20
蹴鞠お手玉(攻撃), 振り上げ;振り上げ;振り上げ;振り上げ
蹴鞠お手玉(命中), アッパー;アッパー;アッパー;アッパー;@戦闘アニメ_バック転攻撃;落下 Crash.wav
三連蹴鞠(準備), 振る武器 Magic\EFFECT_MCircle(Pink)01.bmp 20
三連蹴鞠(攻撃), 投擲武器 Magic\EFFECT_MCircle(Pink)01.bmp 20 Whiz.wav;投擲武器 Magic\EFFECT_MCircle(Pink)01.bmp 20 Whiz.wav;投擲武器 Magic\EFFECT_MCircle(Pink)01.bmp 20 Whiz.wav
三連蹴鞠(命中), 爆発
引起し投げ(攻撃), -
引起し投げ(命中), ジャイアントスイング
無双奥義(準備), 決め文字 貴 黒
無双奥義(攻撃), スーパーパンチ 桃
無双奥義(命中), なぎ払い;強打
無双秘奥義(準備), 決め文字 趣 黒 Glass.wav
無双秘奥義(攻撃), スーパーパンチ 桃
無双秘奥義(命中), なぎ払い;強打;連斬撃;斬撃;「<B>決まったかの？</B>」

徳川家康(無双)
砲撃, 大砲 Weapon\EFFECT_Dabou_thrust01.bmp 64
槍破炮震, 蛇矛
誘導弾(準備), 射撃武器 Weapon\EFFECT_Dabou_thrust01.bmp 64
誘導弾(攻撃), 手持ち発射 Weapon\EFFECT_Dabou_thrust01.bmp 64 - Bullet\EFFECT_SmallCannon04.bmp Cannon.wav
誘導弾(命中), 連続爆発 4
火炎放射, 火炎放射器 Weapon\EFFECT_Dabou_thrust01.bmp 64
三連紅蓮弾(準備), 射撃武器 Weapon\EFFECT_Dabou_thrust01.bmp 64
三連紅蓮弾(攻撃), 竜弾銃 Weapon\EFFECT_Dabou_thrust01.bmp 64 Cannon.wav;竜弾銃 Weapon\EFFECT_Dabou_thrust01.bmp 64 Cannon.wav;竜弾銃 Weapon\EFFECT_Dabou_thrust01.bmp 64 Cannon.wav
三連紅蓮弾(命中), 炎
筒槍光弾, ビームランチャー 青 Weapon\EFFECT_Dabou_thrust01.bmp 64
無双奥義(準備), 決め文字 将 黒
無双奥義(攻撃), 手持ち発射 Weapon\EFFECT_Dabou_thrust01.bmp 64 - Bullet\EFFECT_SmallCannon04.bmp Cannon.wav;手持ち発射 Weapon\EFFECT_Dabou_thrust01.bmp 64 - Bullet\EFFECT_SmallCannon04.bmp Cannon.wav;_
手持ち発射 Weapon\EFFECT_Dabou_thrust01.bmp 64 - Bullet\EFFECT_SmallCannon04.bmp Cannon.wav;手持ち発射 Weapon\EFFECT_Dabou_thrust01.bmp 64 - Bullet\EFFECT_SmallCannon04.bmp Cannon.wav
無双奥義(命中), 連続爆発 5
無双秘奥義(準備), 決め文字 統 黒 Glass.wav
無双秘奥義(攻撃), 手持ち発射 Weapon\EFFECT_Dabou_thrust01.bmp 64 - Bullet\EFFECT_SmallCannon04.bmp Cannon.wav;手持ち発射 Weapon\EFFECT_Dabou_thrust01.bmp 64 - Bullet\EFFECT_SmallCannon04.bmp Cannon.wav;_
手持ち発射 Weapon\EFFECT_Dabou_thrust01.bmp 64 - Bullet\EFFECT_SmallCannon04.bmp Cannon.wav;手持ち発射 Weapon\EFFECT_Dabou_thrust01.bmp 64 - Bullet\EFFECT_SmallCannon04.bmp Cannon.wav
無双秘奥義(命中), 連続爆発 5;連続大爆発 3;「<B>勝つべくして勝つ！！</B>」
金剛堅固(攻撃), タックル
金剛堅固(命中), 超打

石田三成(無双)
嘉瑞招福(準備), 鉄扇
嘉瑞招福(攻撃), 斬撃
嘉瑞招福(命中), 斬撃
扇光弾(準備), 鉄扇
扇光弾(攻撃), 光球 青
扇光弾(命中), 中ビーム 青
地雷(準備), 鉄扇
地雷(攻撃), 5;Reload(4).wav;5;Reload(4).wav;5;Reload(4).wav
地雷(命中), 連続爆発 3
回転扇(準備), 鉄扇
回転扇(攻撃), 周囲回転 DGoods\EFFECT_IronFan01.bmp Whiz.wav 対象ユニットＩＤ
回転扇(命中), なぎ払い;なぎ払い
無双奥義(準備), 決め文字 鋭 黒
無双奥義(攻撃), 回転投擲武器 DGoods\EFFECT_IronFan01.bmp;回転投擲武器 DGoods\EFFECT_IronFan01.bmp;回転投擲武器 DGoods\EFFECT_IronFan01.bmp;回転投擲武器 DGoods\EFFECT_IronFan01.bmp
無双奥義(命中), 回転斬撃
無双秘奥義(準備), 決め文字 策 黒 Glass.wav
無双秘奥義(攻撃), 回転投擲武器 DGoods\EFFECT_IronFan01.bmp;回転投擲武器 DGoods\EFFECT_IronFan01.bmp;回転投擲武器 DGoods\EFFECT_IronFan01.bmp;回転投擲武器 DGoods\EFFECT_IronFan01.bmp
無双秘奥義(命中), 回転斬撃;振り上げ;なぎ払い;なぎ払い;「<B>愚かだな</B>」
反射(天命反転), 反射 - 天命反転

浅井長政(無双)
伏兵(攻撃), 実弾発射 SENM_AshigaruGashiraU.bmp Chaff.wav
伏兵(攻撃), 実弾発射 SENM_NinjyaU.bmp Chaff.wav
伏兵(攻撃), 実弾発射 SENM_HininU.bmp Chaff.wav
伏兵(攻撃), 実弾発射 SENM_SenninU.bmp Chaff.wav
伏兵(攻撃), 実弾発射 SENM_BakuninU.bmp Chaff.wav
伏兵(攻撃), 実弾発射 SENM_TotuninU.bmp Chaff.wav
伏兵(命中), 連打
聖槍舶来鋼, ランス
突進, ランス突撃
五連閃光弾(準備), ランス
五連閃光弾(攻撃), 大拡散ビーム 黄 Thunder.wav
五連閃光弾(命中), 放電
突刺し投げ(準備), ランス
突刺し投げ(攻撃), 刺突
突刺し投げ(命中), 刺突;投げ飛ばし
無双奥義(準備), 決め文字 仁 黒
無双奥義(攻撃), 乱突
無双奥義(命中), 乱突
無双秘奥義(準備), 決め文字 信 黒 Glass.wav
無双秘奥義(攻撃), 乱突
無双秘奥義(命中), 乱突;刺突;刺突;なぎ払い;「<B>見知ったか！！</B>」
電光石火(準備), ランス
電光石火(攻撃), スピンキック
電光石火(命中), 強打
