
シャイニングフォース
ミドルソード, ソード
パワースティック, 杖
パラライザー, 杖
屍よ眠れ, 杖
守りの杖, 杖
聖者の杖, 錫杖
ヘビーメイス, メイス
ホーリーメイス, メイス
サテライトノヴァ(攻撃), 斬撃;衛星ビーム -.bmp ブルー
サテライトノヴァ(命中), 光柱
ブレイズLv1, 炎
ブレイズLv2, 炎投射;炎投射;炎投射;炎投射
ブレイズLv3, 火柱
ブレイズLv4, 旋風 赤 Fire.wav
フリーズLv1, 吹雪
フリーズLv2, つらら
フリーズLv3(攻撃), 炎打ち下ろし ホワイト BeamCoat.wav;炎打ち下ろし ホワイト BeamCoat.wav;炎打ち下ろし ホワイト BeamCoat.wav;炎打ち下ろし ホワイト BeamCoat.wav
フリーズLv3(命中), 凍結
フリーズLv4(攻撃), ＭＡＰ氷柱
フリーズLv4(命中), 氷柱;凍結
スパーク, 落雷;落雷
スパークLv1, 落雷
スパークLv2, 落雷;落雷
スパークLv3, 大落雷
スパークLv4(攻撃), 周囲回転 Common\EFFECT_LargeThunder01.bmp Thunder.wav
スパークLv4(命中), 放電
ソウルスチルLv1(準備), 召喚 Action\EFFECT_Bloodcurdling03.bmp
ソウルスチルLv1(攻撃), 実弾発射 Action\EFFECT_Bloodcurdling03.bmp 発光 残像 速
ソウルスチルLv1(命中), 斬撃
ソウルスチルLv2(準備), 召喚 Action\EFFECT_Bloodcurdling03.bmp
ソウルスチルLv2(攻撃), 実弾発射 Action\EFFECT_Bloodcurdling03.bmp 発光 残像 速
ソウルスチルLv2(命中), 斬撃
スリープ, 音波
イリュート, 煙
ヒールLv1, 妖精
ヒールLv2, 妖精;妖精
ヒールLv3, 妖精;妖精;妖精
ヒールLv4, 妖精;妖精;妖精;妖精
オーラLv1, 妖精
オーラLv2, 妖精;妖精
オーラLv3, 妖精;妖精;妖精
オーラLv4, 妖精;妖精;妖精;妖精
クイックLv1, 羽
クイックLv2, 羽
アタックLv1, 魔法放射 レッド
アタックLv2, 魔法放射 レッド
アタックLv3, 魔法放射 レッド
ステップLv2, オーラ上昇 ホワイト
スペルブーストLv1, 光柱
スペルブーストLv2, 光柱
スペルブーストLv3, 光柱
アンチドウテ, 回復魔法
スペルウォル, 発光
触手, 触手 ホワイト
鉄拳, 打突
気孔波, 気弾
爪, 爪撃
突撃(攻撃), スーパータックル ホワイト
突撃(命中), 爪撃
呪法(攻撃), オーラ上昇
呪法(命中), オールレンジ Sword.wav
気斬, 地表衝撃波 ホワイト 残像
急降下攻撃, 急降下
平手打ち, 打突
分身殺法(攻撃), 分身打撃
分身殺法(命中), ダメージ
火炎弾, 火炎弾
つららの雨, つらら
爆炎(攻撃), @戦闘アニメ_爆発命中
爆炎(命中), 爆発
ビームソード, エナジーブレード
ツインビームソード, エナジーブレード
デーモンブレス, 怨霊
フリーズブレス, 氷弾;氷弾;氷弾
ブレイズブレス, 火炎放射
大砲, キャノン砲
バルカン砲, ガトリング
アイビーム, 小ビーム
炎のブレス, 火炎放射
牙, 噛み付き
なぎ払い, 打突
格闘, 打突
浮動アーム, ロケットパンチ
ビーム, 中ビーム
突進, タックル
パンチ, 打突
脚, 触手
メイス, メイス
甲羅ミサイル, ドリルミサイル
腕, 打突
噴き上がる大地(攻撃), オーラ上昇
頭突き, ヘッドバッド
レーザーアイ(攻撃), ＭＡＰビーム
レーザーアイ(命中), 大ビーム

汎用
暗黒の剣, 呪剣
デビルランス, ランス
ドラゴスレイヤー, ランス
バルキリー, 投擲武器 Weapon\EFFECT_Spear01.bmp
アトラスの斧, 巨大斧
デーモンロッド, 杖
ミラクルメイス, メイス
ソウルスチルLv1(準備), 召喚 Action\EFFECT_Bloodcurdling03.bmp
ソウルスチルLv1(攻撃), 実弾発射 Action\EFFECT_Bloodcurdling03.bmp 発光 残像 速
ソウルスチルLv1(命中), 斬撃
ブレイズLv2, 炎投射;炎投射;炎投射;炎投射
スパークLv4(攻撃), 周囲回転 Common\EFFECT_LargeThunder01.bmp Thunder.wav
スパークLv4(命中), 放電
