鬼畜戦士ランス
手加減攻撃, タックル
連続弓(準備), アーチェリーボウ
連続弓(攻撃), アーチェリーボウ連射;アーチェリーボウ連射;アーチェリーボウ連射
ちょー弓(準備), アーチェリーボウ
ちょー弓(攻撃), 光弾
ちょー弓(命中), 光矢
悪魔カマ, 大鎌
デビルビーム, 中ビーム 黒
薙刀, ナギナタ
乱舞, ナギナタ突撃;斬撃乱舞
#####
お神籤箱, 殴打武器 Anime\Weapon\EFFECT_Potatomasher01.bmp
運試し, ６ＷＡＹ射出
運試し(命中), -
大凶(攻撃), 決め文字 大凶 対象ユニットＩＤ 赤
凶(攻撃), 決め文字 凶 対象ユニットＩＤ 赤
小吉(攻撃), 決め文字 小吉 相手ユニットＩＤ 緑
中吉(攻撃), 決め文字 中吉 相手ユニットＩＤ 緑
大吉(攻撃), 決め文字 大吉 相手ユニットＩＤ 黄
運試し(解説), $(ユニット)は運試しを行った
大凶(解説), 運試しの結果は大凶だった。
凶(解説), 運試しの結果は凶だった。
小吉(解説), 運試しの結果は小吉だった。
中吉(解説), 運試しの結果は中吉だった。
大吉(解説), 運試しの結果は大吉だった。
強運補正, 粒子集中 青
#####
ロングソード, ソード
#####
呪う(攻撃), 魔法集中 黒 相手ユニットＩＤ
呪う(命中), 飛沫 黒
待ち針(攻撃), レイピア突撃
待ち針(命中), 刺突
待ち針投げ, 投剣
毒乳液, ショックビーム 白 Chaff.wav
ビンタ, 打突 Whip.wav
狸呪, 髑髏弾
狸呪(クリティカル), 決め文字 たぬき 相手ユニットＩＤ
小達磨(攻撃), 実弾発射 Anime\Weapon\EFFECT_Rock01.bmp;実弾発射 Anime\Weapon\EFFECT_Rock01.bmp;実弾発射 Anime\Weapon\EFFECT_Rock01.bmp
#達磨の画像とかないかなー
小達磨(命中), 乱打
