
乙女の騎士ワルキューレ(冒険)
光の杖, 気弾
竜巻の術(攻撃), 瞬間変形 Anime\Common\EFFECT_Tornado01.bmp;スーパータックル乱舞 ブルー
竜巻の術(命中), スーパータックル乱舞 ブルー

コアクマンのサビーヌ
光の魔法, 気弾

ワルキューレ＆サビーヌ(冒険)
光の杖(準備), 瞬間変形 VAL_ValkyrieU.bmp
光の杖(攻撃), 気弾
光の杖(命中), ダメージ
福音の杖(準備), 瞬間変形 VAL_ValkyrieU.bmp
福音の杖(攻撃), 光球
福音の杖(命中), ダメージ
三光石(準備), 瞬間変形 VAL_ValkyrieU.bmp
三光石(攻撃), 連気弾
三光石(命中), ダメージ;ダメージ;ダメージ
風切りの石(準備), 瞬間変形 VAL_ValkyrieU.bmp
風切りの石(攻撃), 斬撃;気斬
風切りの石(命中), 斬撃
狩人のたましい(準備), 瞬間変形 VAL_ValkyrieU.bmp
狩人のたましい(攻撃), 回転発射 Bullet\EFFECT_ShootingCutter(Orange)01.bmp
狩人のたましい(命中), 斬撃
くさびの魔石(準備), 瞬間変形 VAL_ValkyrieU.bmp;エナジーブレード ブラック
くさびの魔石(攻撃), 刺突
くさびの魔石(命中), 大刺突
爆弾(準備), 瞬間変形 VAL_ValkyrieU.bmp
爆弾(攻撃), 爆弾
爆弾(命中), 爆発
竜巻の術(冒険)(準備), 瞬間変形 VAL_ValkyrieU.bmp
竜巻の術(冒険)(攻撃), 竜巻
竜巻の術(冒険)(命中), 竜巻
星の術(準備), 瞬間変形 VAL_ValkyrieU.bmp
星の術(攻撃), 隕石;隕石;隕石;隕石;隕石;ＭＡＰ爆発
星の術(命中), 隕石
炎の術(準備), 瞬間変形 VAL_ValkyrieU.bmp
炎の術(攻撃), 火炎放射;周囲回転 Fire\EFFECT_Fire(Red)01.bmp
炎の術(命中), 炎
光の魔法(準備), 瞬間変形 VAL_SabineU.bmp
光の魔法(攻撃), 気弾
光の魔法(命中), ダメージ

ワルキューレ＆サビーヌ(伝説)
光の剣(準備), 瞬間変形 VAL_ValkyrieU.bmp
光の剣(攻撃), 光球
光の剣(命中), ダメージ
永遠の剣(準備), 瞬間変形 VAL_ValkyrieU.bmp
永遠の剣(攻撃), 光球
永遠の剣(命中), ダメージ
３ＷＡＹ(準備), 瞬間変形 VAL_ValkyrieU.bmp
３ＷＡＹ(攻撃), 連気弾
３ＷＡＹ(命中), ダメージ;ダメージ;ダメージ
ワイドビーム(準備), 瞬間変形 VAL_ValkyrieU.bmp
ワイドビーム(攻撃), 斬撃;気斬
ワイドビーム(命中), 斬撃
誘導弾(準備), 瞬間変形 VAL_ValkyrieU.bmp
誘導弾(攻撃), 回転発射 Bullet\EFFECT_ShootingCutter(Blue)01.bmp
誘導弾(命中), 斬撃
貫通弾(準備), 瞬間変形 VAL_ValkyrieU.bmp
貫通弾(攻撃), ドリルミサイル
貫通弾(命中), ドリルミサイル
爆弾(準備), 瞬間変形 VAL_ValkyrieU.bmp
爆弾(攻撃), 爆弾
爆弾(命中), 爆発
サイクロンの術(準備), 瞬間変形 VAL_ValkyrieU.bmp
サイクロンの術(攻撃), 周囲回転 Bullet\EFFECT_Cannon01.bmp 3 対象ユニットＩＤ
サイクロンの術(命中), 炎
分身の術(準備), 瞬間変形 VAL_ValkyrieU.bmp;召喚 VAL_ValkyrieU.bmp 16;召喚 VAL_ValkyrieU.bmp 16;召喚 VAL_ValkyrieU.bmp 16;召喚 VAL_ValkyrieU.bmp 16
分身の術(攻撃), 気弾;連気弾
分身の術(命中), 気弾;連気弾
ビッグの術(準備), 瞬間変形 VAL_ValkyrieU.bmp
ビッグの術(攻撃), 画像前面発射 VAL_ValkyrieU.bmp 64 Charge.wav 1;急降下;ＭＡＰ地震
ビッグの術(命中), ダメージ
竜巻の術(伝説)(準備), 瞬間変形 VAL_ValkyrieU.bmp
竜巻の術(伝説)(攻撃), スピン拡散 ブルー
竜巻の術(伝説)(命中), スピン拡散 ブルー
光の魔法(準備), 瞬間変形 VAL_SabineU.bmp
光の魔法(攻撃), 気弾
光の魔法(命中), ダメージ

クリノ＝サンドラ＆サビーヌ
伝説の三叉槍(準備), VAL_SandraU.bmp;トライデント
伝説の三叉槍(攻撃), 刺突
伝説の三叉槍(攻撃), 白兵回転
伝説の三叉槍(命中), 刺突
伝説の三叉槍(命中), なぎ払い
兜割り(準備), 瞬間変形 VAL_SandraU.bmp;トライデント
兜割り(攻撃), 斬撃
兜割り(命中), 唐竹割り
キリモミアタック(準備), 瞬間変形 VAL_SandraU.bmp;トライデント
キリモミアタック(攻撃), スピンアタック ブルー
キリモミアタック(命中), スピンアタック ブルー
ワイドビーム(準備), VAL_SandraU.bmp
ワイドビーム(攻撃), 斬撃;気斬
ワイドビーム(命中), 斬撃
誘導弾(準備), VAL_SandraU.bmp
誘導弾(攻撃), 回転発射 Bullet\EFFECT_ShootingCutter(Blue)01.bmp
誘導弾(命中), 斬撃
サイクロンの術(準備), VAL_SandraU.bmp
サイクロンの術(攻撃), 周囲回転 Bullet\EFFECT_Cannon01.bmp 3 対象ユニットＩＤ
サイクロンの術(命中), 炎
ビッグの術(準備), 瞬間変形 VAL_SandraU.bmp
ビッグの術(攻撃), 画像前面発射 VAL_SandraU.bmp 64 Charge.wav 1;急降下;ＭＡＰ地震
ビッグの術(命中), ダメージ
竜巻の術(準備), 瞬間変形 VAL_SandraU.bmp
竜巻の術(攻撃), スピン拡散 ブルー
竜巻の術(命中), スピン拡散 ブルー
光の魔法(準備), 瞬間変形 VAL_SabineU.bmp
光の魔法(攻撃), 気弾
光の魔法(命中), ダメージ

#三叉槍・大回転(準備), 瞬間変形 VAL_SandraU.bmp;トライデント
#三叉槍・大回転(攻撃), 中心回転武器 Weapon\EFFECT_Trident01.bmp
#三叉槍・大回転(命中), 連斬撃
#毒の槍・連続突き(準備), 瞬間変形 VAL_SabineU.bmp;スピア
#毒の槍・連続突き(攻撃), 乱突
#毒の槍・連続突き(命中), 乱突
#ファイヤーボール(準備), 瞬間変形 VAL_SabineU.bmp
#ファイヤーボール(攻撃), 火炎弾
#ファイヤーボール(命中), 炎
#ビッグの術(準備), 瞬間変形 VAL_SandraU.bmp;@戦闘アニメ_画像前面発射攻撃 VAL_SandraU.bmp 64
#ビッグの術(攻撃), 中心回転武器 Weapon\EFFECT_Trident01.bmp
#ビッグの術(命中), 連斬撃
#女神降臨(攻撃), 竜巻 Partner(1);瞬間変形 VAL_SandraU.bmp;スピンアタック ブルー;瞬間変形 VAL_SabineU.bmp;同時乱突;火炎弾
#女神降臨(命中), 竜巻;瞬間変形 VAL_SandraU.bmp;スピンアタック ブルー;瞬間変形 VAL_SabineU.bmp;同時乱突;炎;@戦闘アニメ_スーパータックル攻撃 ブルー Partner(1);スーパータックル ブルー Partner(1)

サンドラ(栄光)
トライデント, トライデント
投石, 投石

アイリーア＝バルク(戦乙女)
戦乙女の槍, スピア

ズール族のトシュカ(戦乙女)
戦乙女の斧, ハルバード

魔王ゾウナ
光の柱(攻撃), 実弾発射 Action\EFFECT_Burn03.bmp
光の柱(命中), 魔法放射 レッド;炎
魔竜召喚(準備), 竜召喚
魔竜召喚(攻撃), 火炎放射;電撃
魔竜召喚(命中), 炎;放電
裁きの光弾(準備), 杖
裁きの光弾(攻撃), 実弾発射 Weapon\EFFECT_Staff01.bmp;光打ち下ろし;光打ち下ろし;光打ち下ろし;光打ち下ろし
裁きの光弾(命中), 魔法放射 ホワイト;魔法放射 ホワイト;魔法放射 ホワイト;魔法放射 ホワイト
闇の深淵(準備), 魔法集中 ブラック
闇の深淵(攻撃), ＭＡＰブラックホール
闇の深淵(命中), 重力圧縮;落下
突進, タックル
火の玉, 火炎弾

悪の化身カムーズ
パンチ, 打突
爪, 爪撃
火の玉, 火炎弾
電撃, 電撃
突進, タックル
炎(準備), 斧
炎(攻撃), 斬撃;火炎放射
炎(命中), 炎
つらら(準備), 斧
つらら(攻撃), 斬撃;つらら
つらら(命中), つらら
急降下攻撃(準備), 斧
急降下攻撃(攻撃), 急降下
急降下攻撃(命中), 急降下

ブラックワルキューレ
斧槍, ハルバード
衝撃波(準備), ハルバード
衝撃波(攻撃), 火炎弾 ブルー
衝撃波(命中), 炎

巨人グロール
呪いの分身(攻撃), 蝙蝠;蝙蝠;蝙蝠;蝙蝠;蝙蝠
呪いの分身(命中), ダメージ
パンチ, 打突

ワルキューレの伝説
岩弾(攻撃), 実弾発射 Weapon\EFFECT_Rock01.bmp 10
岩弾(命中), ダメージ
炎の雨, 炎投射;炎投射;炎投射;炎投射
地震, ＭＡＰ地震
放射火炎弾(攻撃), @戦闘アニメ_飛沫命中 レッド Fire.wav 対象ユニットＩＤ
放射火炎弾(命中), 炎
首, 触手
電撃, 電撃
子トレント(攻撃), 実弾発射 VAL_TrentU.bmp
子トレント(命中), ダメージ
根っこ, 触手 レッド
ハサミ, 爪撃
火炎弾, 火炎弾
火炎放射, 火炎放射
杖, 杖
地を走る電流(攻撃), 放電;地表衝撃波 イエロー 速
地を走る電流(命中), 放電
衝撃波, 波動放射 イエロー
氷の羽, 氷弾
電撃放射, ＭＡＰ球電
不気味な光, 特殊光線 ブラック
浮遊する髑髏(攻撃), 実弾発射 common\EFFECT_Skull02.bmp 4
浮遊する髑髏(命中), ダメージ
鬼火, 火炎弾 ブルー;火炎弾 ブルー;火炎弾 ブルー;火炎弾 ブルー;火炎弾 ブルー
突進, タックル
流星雨, 隕石;隕石;隕石;隕石
三叉槍(準備), トライデント
三叉槍(攻撃), なぎ払い
三叉槍(命中), なぎ払い
三叉槍・投擲, 回転投擲武器 Weapon\EFFECT_Trident01.bmp
回転アタック, 回転斬撃
投げ槍, 投擲武器 Weapon\EFFECT_Spear01.bmp
五連投げ槍, 投擲武器 Weapon\EFFECT_Spear01.bmp;投擲武器 Weapon\EFFECT_Spear01.bmp;投擲武器 Weapon\EFFECT_Spear01.bmp;投擲武器 Weapon\EFFECT_Spear01.bmp;投擲武器 Weapon\EFFECT_Spear01.bmp
爆弾, 爆弾
棍棒, 棍棒
ブーメラン, ブーメラン
鎖鉄球, 鎖鉄球
鉄球投げ, 鉄球
突進, タックル
火の玉, 火炎弾
分身攻撃(攻撃), 周囲回転 Fire\EFFECT_FlameThrowerHit(Red)07.bmp 3 相手ユニットＩＤ
分身攻撃(命中), オールレンジ
毒の槍, スピア
槍投げ, 投擲武器 Weapon\EFFECT_Spear01.bmp
かみつき, 噛み付き
スコップ, シャベル
レーザー, 小ビーム イエロー
レーザー速射, 小ビーム イエロー;小ビーム イエロー;小ビーム イエロー
三連レーザー, 拡散ビーム
