
武装神姫
#
## アーンヴァル
#
エンジェリックスカイ,                 風
風刃,                                 気斬
スーパーねこパンチ,                   スーパータックル 橙
スーパーねこキック,                   スーパーダイブ 橙
ふぁいなるＤＤあたっく(攻撃),         ドリル突撃
ふぁいなるＤＤあたっく(命中),         ドリル突撃;大爆発
子猫球＆子旋牙,                       打突;ドリル
スーパーねこコンボ(準備),             粒子集中 橙
スーパーねこコンボ(攻撃),             打突;打突;打突;打突;アッパー
スーパーねこコンボ(命中),             打突;打突;打突;打突;アッパー
#
## ヴァッフェバニー
#
Ｈ・アーミーブレード,                 ナイフ
ラストキッス(準備),                   光噴出;ピストル
ラストキッス(攻撃),                   ピストル;ピストル
ラストキッス(命中),                   銃弾;銃弾
カロッテP12(準備),                    ピストル
カロッテP12(攻撃),                    ピストル;ピストル
カロッテP12(命中),                    銃弾;銃弾
STR6ミニガン,                         ガトリング
カロッテTMP,                          マシンガン
ルナティックレジスタンス(準備),       光噴出;マシンガン
ルナティックレジスタンス(攻撃),       マシンガン
ルナティックレジスタンス(命中),       マシンガン
ハンティングエッジ(攻撃),             タックル;サマーソルト
ハンティングエッジ(命中),             超アッパー
バレットシャワー(準備),               ガトリング
バレットシャワー(攻撃),               振り上げ;MachineGun.wav;キャノン砲長距離 -.wav
バレットシャワー(命中),               爆撃;爆撃;爆撃;大爆発
#
## サイフォス
#
フレシュドエクレール(準備),           光噴出;クロスボウ
フレシュドエクレール(攻撃),           光矢
フレシュドエクレール(命中),           光矢
コルヌ,                               銀剣
ベック,                               クロスボウ
クリニエール,                         トマホーク
デファンス,                           刺突武器 Weapon\EFFECT_KnightLance01.bmp 64
サクレクール(準備),                   銀剣;オーラ上昇 青
グランシュヴァリエ(準備),             刺突武器 Weapon\EFFECT_KnightLance01.bmp 64;オーラ上昇 青
グランシュヴァリエ(攻撃),             突く武器突撃 Weapon\EFFECT_KnightLance01.bmp 64
グランシュヴァリエ(命中),             大刺突
サクレクール(攻撃),                   銀剣突撃
サクレクール(命中),                   斬撃突撃
#
## 紅緒
#
怨徹骨髄,                             脇差
為虎添翼,                             野太刀
破邪顕正,                             和槍
気炎万丈,                             長筒
斬牙滅衆(準備),                       光噴出
斬牙滅衆(攻撃),                       タックル;投剣
斬牙滅衆(命中),                       投剣
燦華繚乱(準備),                       和槍
燦華繚乱(攻撃),                       中心回転武器 Weapon\EFFECT_JapaneseSpear01.bmp;和槍突撃
燦華繚乱(命中),                       和槍突撃
蒼天残月(準備),                       -
蒼天残月(攻撃),                       なぎ払い
蒼天残月(命中),                       なぎ払い -.wav;4;超斬撃
#
## ツガル
#
ハイパーモード(レインディアライディング),  大放電;Transform.wav
フォービドブレード,                   斬撃 二刀流
Ｈスナイパーライフル(準備),           長筒
Ｈスナイパーライフル(攻撃),           ビームライフル 赤 Weapon\EFFECT_MatchlockRifle01.bmp 48;ビームライフル 赤 Weapon\EFFECT_MatchlockRifle01.bmp 48
Ｈスナイパーライフル(命中),           小ビーム 赤;小ビーム 赤
ホーリィナイト・ミサ(準備),           長筒;長筒
ホーリィナイト・ミサ(攻撃),           ビームライフル 赤 Weapon\EFFECT_MatchlockRifle01.bmp 48;ビームライフル 赤 Weapon\EFFECT_MatchlockRifle01.bmp 48;ビームライフル 赤 Weapon\EFFECT_MatchlockRifle01.bmp 48;ビームライフル 赤 Weapon\EFFECT_MatchlockRifle01.bmp 48;ビームライフル 赤 Weapon\EFFECT_MatchlockRifle01.bmp 48;ビームライフル 赤 Weapon\EFFECT_MatchlockRifle01.bmp 48
ホーリィナイト・ミサ(命中),           小ビーム 赤;小ビーム 赤;小ビーム 赤;小ビーム 赤;小ビーム 赤;小ビーム 赤
ＨＥＭランチャー,                     ２連中ビーム 赤
レインディア突撃,                     スーパータックル 赤
レインディア突撃【Ｍ】(攻撃),         ＭＡＰ移動タックル 赤
レインディア突撃【Ｍ】(命中),         大爆発
レインディアライディング(準備),       変形 Unit\BSSK_Tsugaru(RR)U.bmp Transform.wav
レインディアライディング(攻撃),       ＭＡＰ移動タックル 赤
レインディアライディング(命中),       大爆発
#
## ジルダリア
#
ハイパーモード(ブルーミングガーデン),  粒子集中 青;5;魔法放射 青
グラースプアイビー,                   竜槍
モルートブレイド,                     鉈
フレグランスキラー(準備),             スーパーガン
フレグランスキラー(攻撃),             煙 緑
フレグランスキラー(命中),             煙 緑
アレルギーペタル,                     スタンロッド突撃
ポーレンホーミング,                   小型ミサイルランチャー
フラクシャスバインド(準備),           竜槍
フラクシャスバインド(攻撃),           竜槍突撃
フラクシャスバインド(命中),           ダメージ 緑;ダメージ 緑;粒子集中 緑
アナフィラキシーショック(準備),       バラ吹雪 青;スタンロッド
アナフィラキシーショック(攻撃),       スタンロッド突撃
アナフィラキシーショック(命中),       乱打 緑
ブルーミングガーデン(準備),           変形 Unit\BSSK_Zyrdarya(BG)U.bmp Sharara.wav
ブルーミングガーデン(攻撃),           バラ吹雪 青
ブルーミングガーデン(命中),           バラ吹雪 青
#
## ジュビジー
#
ハイパーモード(シェルプロテクション),  粒子集中 黄;5;魔法放射 黄
グリーンカッター,                     チェンソー
パウダースプレイヤー,                 レーザーガン 赤 Weapon\EFFECT_SuperGun01.bmp 32
ハンマーシード,                       杖
ナットシェルクラッシュ(準備),         光噴出;杖
ナットシェルクラッシュ(攻撃),         杖
ナットシェルクラッシュ(命中),         杖
収穫の季節(準備),                     粒子集中 黄;5;魔法放射 黄
収穫の季節(攻撃),                     タックル
収穫の季節(命中),                     刺突;3;爪撃 Bazooka.wav
キュベレーアフェクション(攻撃),       タックル
キュベレーアフェクション(命中),       刺突;3;爪撃 Bazooka.wav
#
## フォートブラッグ
#
ハイパーモード(砲撃体勢),             Transform.wav
アルファ・ピストル(準備),             ピストル
アルファ・ピストル(攻撃),             ピストル;ピストル
アルファ・ピストル(命中),             銃弾;銃弾
M16A1アサルトライフル,                マシンガン Weapon\EFFECT_Rifle02.bmp 40
スマートショット(準備),               光噴出;ピストル
スマートショット(攻撃),               ピストル;ピストル
スマートショット(命中),               銃弾;銃弾
FB256滑空砲,                          バズーカ
敵陣突破(準備),                       マシンガン Weapon\EFFECT_Rifle02.bmp 40
敵陣突破(攻撃),                       マシンガン Weapon\EFFECT_Rifle02.bmp 40;スーパータックル 青
敵陣突破(命中),                       マシンガン;スーパータックル 青
砲撃・近距離,                         バズーカ
砲撃・中距離,                         バズーカ
砲撃・遠距離,                         バズーカ
砲撃(準備),                           変形 Unit\BSSK_Foetbragg(BP)U.bmp Transform.wav
砲撃(攻撃),                           バズーカ
砲撃(命中),                           バズーカ
#
## その他
#
Ｓ・Ｏ・ガルガンテュア,               巨大剣
シェルブレイク(攻撃),                 タックル;刺突
シェルブレイク(命中),                 刺突;爆発
蒼き風の拳,                           乱打 青
#
## インセクト
#
マンティスアーム,                     斬撃
アラクノフォビア(準備),               -
アラクノフォビア(攻撃),               ４ＷＡＹ射出
アラクノフォビア(命中),               包囲ビーム 緑
#
## ウェスタン
#
蹄鉄,                                 チャクラム
"ピースビルダー",                     リボルバー
"ピースブレーカー",                   長筒
"ピースビルダー"二丁拳銃,             リボルバー;リボルバー
#
## 鬼神
#
ヴァジュラ,                           殴打武器 Weapon\EFFECT_Vajra01.bmp 32
チャクラム,                           斬撃武器 Weapon\EFFECT_Chakram01.bmp 32 二刀流
サルンガ,                             アーチェリーボウ
金棒,                                 殴打武器 Weapon\EFFECT_MetalButt01.bmp 32
ナヴァグラハ(攻撃),                   ８ＷＡＹ射出
ナヴァグラハ(命中),                   乱打
迅雷百轟(準備),                       @ＳＰアニメ_鼓舞 対象パイロット
迅雷百轟(攻撃),                       大放電 対象ユニットＩＤ
迅雷百轟(命中),                       大落雷
ディーヴァの煌輝(準備),               アーチェリーボウ
ディーヴァの煌輝(攻撃),               アーチェリーボウ;全拡散ビーム 黄 相手ユニットＩＤ
ディーヴァの煌輝(命中),               全拡散ビーム 黄
#
## ギャンブル
#
グレートリッチ(攻撃),                 白兵武器
グレートリッチ(命中),                 ダメージ Whip.wav
エーススラッシャー,                   トランプ(スペード)
エーススラッシャー,                   トランプ(クラブ)
エーススラッシャー,                   トランプ(ハート)
エーススラッシャー,                   トランプ(ダイア)
エースのフォーカード(準備),           トランプ
エースのフォーカード(攻撃),           トランプ(スペード);トランプ(クラブ);トランプ(ハート);トランプ(ダイア)
エースのフォーカード(命中),           乱突
ラッキーコイン(解説),                 ラッキーコインを放り投げた。
ラッキーコイン(攻撃),                 投擲武器 DGoods\EFFECT_GoldCoin01.bmp
ラッキーコイン(命中),                 -
ラッキーコイン(クリティカル),         -
追加攻撃(ラッキーコイン)(解説),       出たのは……
表(解説),                             表だった。
表(攻撃),                             -
表(命中),                             爆発
裏(解説),                             裏だった。
裏(攻撃),                             -
裏(命中),                             吸収 赤 対象ユニットＩＤ
スーパーダイス(解説),                 スーパーダイスを放り投げた。
スーパーダイス(攻撃),                 投擲武器 DGoods\EFFECT_Dice(White)01.bmp
スーパーダイス(攻撃),                 投擲武器 DGoods\EFFECT_Dice(White)02.bmp
スーパーダイス(攻撃),                 投擲武器 DGoods\EFFECT_Dice(White)03.bmp
スーパーダイス(攻撃),                 投擲武器 DGoods\EFFECT_Dice(White)04.bmp
スーパーダイス(攻撃),                 投擲武器 DGoods\EFFECT_Dice(White)05.bmp
スーパーダイス(攻撃),                 投擲武器 DGoods\EFFECT_Dice(White)06.bmp
スーパーダイス(命中),                 -
スーパーダイス(クリティカル),         -
追加攻撃(スーパーダイス)(解説),       出た目は……
【１】(解説),                         １だった。
【１】(攻撃),                         -
【１】(命中),                         連続描画 DGoods\EFFECT_Dice(White)[01-06].bmp 32 1 3 前面 発光;決め画像 DGoods\EFFECT_Dice(White)01.bmp Punch.wav;吸収 赤 対象ユニットＩＤ
【２】(解説),                         ２だった。
【２】(攻撃),                         -
【２】(命中),                         連続描画 DGoods\EFFECT_Dice(White)[01-06].bmp 32 1 3 前面 発光;決め画像 DGoods\EFFECT_Dice(White)02.bmp Punch.wav;小爆発
【３】(解説),                         ３だった。
【３】(攻撃),                         -
【３】(命中),                         連続描画 DGoods\EFFECT_Dice(White)[01-06].bmp 32 1 3 前面 発光;決め画像 DGoods\EFFECT_Dice(White)03.bmp Punch.wav;小爆発
【４】(解説),                         ４だった。
【４】(攻撃),                         -
【４】(命中),                         連続描画 DGoods\EFFECT_Dice(White)[01-06].bmp 32 1 3 前面 発光;決め画像 DGoods\EFFECT_Dice(White)04.bmp Punch.wav;爆発
【５】(解説),                         ５だった。
【５】(攻撃),                         -
【５】(命中),                         連続描画 DGoods\EFFECT_Dice(White)[01-06].bmp 32 1 3 前面 発光;決め画像 DGoods\EFFECT_Dice(White)05.bmp Punch.wav;大爆発
【６】(解説),                         ６だった。
【６】(攻撃),                         -
【６】(命中),                         連続描画 DGoods\EFFECT_Dice(White)[01-06].bmp 32 1 3 前面 発光;決め画像 DGoods\EFFECT_Dice(White)06.bmp Punch.wav;超爆発
#
## クッキング
#
万能包丁,                             出刃包丁
フライングソーサー,                   ソーサー
ネギ・ソード,                         殴打武器 -.bmp
銀のナイフ,                           鉈
土鍋,                                 鉄球
美味礼賛・主菜風(準備),               鉈
美味礼賛・主菜風(攻撃),               振り下ろし;振り上げ;振り下ろし;振り上げ;振り下ろし;振り上げ
美味礼賛・主菜風(命中),               振り下ろし;振り上げ;
#
## チアリーダーコーディネート
#
ポンポン,                             打突 黄;打突 黄
スポーツバッグ,                       投擲武器 Weapon\EFFECT_SuitcaseGun02.bmp 40
トゥインクルバトン,                   回転投擲武器 Weapon\EFFECT_Baton01.bmp 32
チアリーディング,                     @ＳＰアニメ_応援
#
## 中華
#
素手,                                 打突
センス・オブ・ユーモア(準備),         振る武器 Weapon\EFFECT_Harisen01.bmp 32
センス・オブ・ユーモア(攻撃),         白兵武器
センス・オブ・ユーモア(命中),         ダメージ Whip.wav
青龍刀・飛鱗,                         青龍刀
如意棒(準備),                         ロッド
如意棒(攻撃),                         小ビーム 赤 Whiz.wav
如意棒(命中),                         小ビーム 赤
桃花扇,                               ソーサー
方天戟,                               方天戟(突)
九鉤刀,                               斬撃武器 Weapon\EFFECT_SwordBreaker01.bmp 48
桃源の舞(準備),                       光噴出
桃源の舞(攻撃),                       タックル;ソーサー
桃源の舞(命中),                       ソーサー
刀技・灼刑帝(準備),                   青龍刀
刀技・灼刑帝(攻撃),                   振り下ろし;なぎ払い;振り下ろし;青龍刀突撃
刀技・灼刑帝(命中),                   連続なぎ払い
#
## ティーチャー
#
黒板消し,                             投擲武器 DGoods\EFFECT_BuildingStone01.bmp 32
教鞭,                                 警棒
#
## ナース
#
お注射器,                             刺突
エナジーアブソープション(攻撃),       刺突
エナジーアブソープション(命中),       刺突;飛沫 赤
治療,                                 回復魔法
#
## パイレーツ
#
カットラス,                           カトラス
ブランダーバス,                       フリントロック銃
大砲,                                 大砲
#
## ファンシー
#
思考ロジック干渉(攻撃),               @ＳＰアニメ_愛
思考ロジック干渉(命中),               -
ミトン,                               打突 桃
愛のムチ,                             鞭
ダブルコットン,                       バトン
ホウキ・オブ・ザ・ＣＫ,               打突武器 Weapon\EFFECT_BambooBroom01.bmp 32
ラブラブボンバー,                     投擲武器 Common\EFFECT_Heart01.bmp 32
枕,                                   投擲武器 DGoods\EFFECT_BuildingStone01.bmp 32
パンプキンヘッド(準備),               投擲武器 Creature\EFFECT_JackOLantern01.bmp
パンプキンヘッド(攻撃),               投擲武器 Creature\EFFECT_JackOLantern01.bmp
パンプキンヘッド(命中),               爆発
ゴージャスフェザー,                   ソーサー
レインボーアーチ,                     虹色光線
ハピラピ・Ｂ・ハリケーン(攻撃),       泡球 緑
ハピラピ・Ｂ・ハリケーン(命中),       乱打;超打
#
## ポリス
#
スタンロッド,                         スタンロッド
#
## マジカル
#
阻止(マジカルサークル),               魔法陣 橙
トリックトリップ,                     @戦闘アニメ_竹ぼうき準備;風
マジカルステッキ(準備),               振る武器 Weapon\EFFECT_FancyMagicRod02.bmp 32
マジカルステッキ(攻撃),               白兵武器 Sharara.wav;実弾発射 Bullet\EFFECT_ShootingStar01.bmp 32 -.wav
マジカルステッキ(命中),               ロケットパンチ Bullet\EFFECT_ShootingStar01.bmp 32 Sharara.wav 発光
星槍"レゴール",                       竜騎槍
マジカルブルーム(準備),               突く武器 Weapon\EFFECT_BambooBroom01.bmp 32
マジカルブルーム(攻撃),               刺突
マジカルブルーム(命中),               ダメージ
コメットコリジョン(１)(準備),         振る武器 Weapon\EFFECT_FancyMagicRod02.bmp 32
コメットコリジョン(１)(攻撃),         円月殺法 Sharara.wav
コメットコリジョン(１)(命中),         @戦闘アニメ_流星攻撃;@戦闘アニメ_流星命中 
コメットコリジョン(２)(準備),         -
コメットコリジョン(２)(攻撃),         -
コメットコリジョン(２)(命中),         @戦闘アニメ_流星攻撃;@戦闘アニメ_流星命中
コメットコリジョン(３)(準備),         -
コメットコリジョン(３)(攻撃),         -
コメットコリジョン(３)(命中),         @戦闘アニメ_隕石攻撃;@戦闘アニメ_隕石命中
Al_Suhail_al-Muhlif(準備),            竜騎槍
Al_Suhail_al-Muhlif(攻撃),            オーラ上昇 緑 対象ユニットＩＤ;バスタービームランチャー 緑 Weapon\EFFECT_DragoonLance01.bmp 56 発光
Al_Suhail_al-Muhlif(命中),            超ビーム 緑
#
## ミリタリー
#
グリーフエングレイバー,               ナイフ
"ジャマダハル",                       マシンガン Weapon\EFFECT_Rifle03.bmp 40
M49ショットガン,                      ショットガン
SR108スナイパーライフル,              対物ライフル
"アイゼンイーゲル",                   大型ガトリング
手榴弾(準備),                         手榴弾
手榴弾(攻撃),                         手榴弾;ＭＡＰ爆発
手榴弾(命中),                         爆発
ASK-77アサルトライフル,               マシンガン
MSR-22スナイパーライフル,             対戦車ライフル
シュトルムウントドラング,             ロケットランチャー
#
## 洋風
#
ロングボウ,                           弓矢
レーヴァテイン,                       炎剣
バトルアックス,                       巨大斧
ニョルニルハンマー,                   メイス
クライモア,                           巨大剣
ドラゴンクラッシャー(準備),           巨大剣;光噴出
ドラゴンクラッシャー(攻撃),           スーパーダイブ 青
ドラゴンクラッシャー(命中),           スーパーダイブ 青;大炎斬撃 青 Slash.wav
バルムンク,                           斬撃武器 Weapon\EFFECT_SaintGreatSword01.bmp 48
ガンバンテイン(準備),                 振る武器 Weapon\EFFECT_IceSword01.bmp 48
ガンバンテイン(攻撃),                 白兵武器
ガンバンテイン(命中),                 凍斬撃
ブリューナク,                         呪槍
聖槍"ロンギヌス",                     十字槍
魔槍"グングニル",                     方天戟(突)
ダークテンプテーション(準備),         -
ダークテンプテーション(攻撃),         透明化;フラッシュ 黒
ダークテンプテーション(命中),         立ち固め;魔法放射 黒
炎と氷の兄弟剣(準備),                 振る武器 Weapon\EFFECT_FireSword01.bmp 32;振る武器 Weapon\EFFECT_IceSword01.bmp 48
炎と氷の兄弟剣(攻撃),                 白兵連撃
炎と氷の兄弟剣(命中),                 炎斬撃;凍斬撃
#
## 和風
#
阻止(和傘廻し),                       唐傘防御
うちわ,                               殴打武器 DGoods\EFFECT_Fan01.bmp 32
みたらし団子(攻撃),                   投擲武器 Bullet\EFFECT_Needle01.bmp 32
みたらし団子(命中),                   刺突
水風船ヨーヨー,                       ヨーヨー
蛇の目傘,                             投擲武器 DGoods\EFFECT_BambooUmbrella01.bmp
命儚し夏の華(準備),                   振る武器 Common\EFFECT_LightningBall01.bmp 32 発光 Fire.wav
命儚し夏の華(攻撃),                   -
命儚し夏の華(命中),                   大爆発
竹刀,                                 竹刀
蕨手刀,                               鉈
大筆,                                 殴打武器 DGoods\EFFECT_WritingBrush01.bmp 48
風車手裏剣,                           手裏剣
野太刀,                               野太刀
毛筆乱舞(準備),                       殴打武器 DGoods\EFFECT_WritingBrush01.bmp 48
毛筆乱舞(攻撃),                       斬撃乱舞
毛筆乱舞(命中),                       決め文字 "筆" 黒 Crash.wav 前面 相手ユニットＩＤ
# 筆の文字は捏造です。
毛筆乱舞(天使型)(準備),               殴打武器 DGoods\EFFECT_WritingBrush01.bmp 48
毛筆乱舞(天使型)(攻撃),               斬撃乱舞
毛筆乱舞(天使型)(命中),               決め文字 "天" 黒 Crash.wav 前面 相手ユニットＩＤ
毛筆乱舞(悪魔型)(準備),               殴打武器 DGoods\EFFECT_WritingBrush01.bmp 48
毛筆乱舞(悪魔型)(攻撃),               斬撃乱舞
毛筆乱舞(悪魔型)(命中),               決め文字 "魔" 黒 Crash.wav 前面 相手ユニットＩＤ
毛筆乱舞(忍者型)(準備),               殴打武器 DGoods\EFFECT_WritingBrush01.bmp 48
毛筆乱舞(忍者型)(攻撃),               斬撃乱舞
毛筆乱舞(忍者型)(命中),               決め文字 "忍" 黒 Crash.wav 前面 相手ユニットＩＤ
毛筆乱舞(犬型)(準備),                 殴打武器 DGoods\EFFECT_WritingBrush01.bmp 48
毛筆乱舞(犬型)(攻撃),                 斬撃乱舞
毛筆乱舞(犬型)(命中),                 決め文字 "太" 黒 Crash.wav 前面 相手ユニットＩＤ
毛筆乱舞(猫型)(準備),                 殴打武器 DGoods\EFFECT_WritingBrush01.bmp 48
毛筆乱舞(猫型)(攻撃),                 斬撃乱舞
毛筆乱舞(猫型)(命中),                 決め文字 "・ω・" 黒 Crash.wav 前面 相手ユニットＩＤ
毛筆乱舞(兎型)(準備),                 殴打武器 DGoods\EFFECT_WritingBrush01.bmp 48
毛筆乱舞(兎型)(攻撃),                 斬撃乱舞
毛筆乱舞(兎型)(命中),                 決め文字 "義" 黒 Crash.wav 前面 相手ユニットＩＤ
毛筆乱舞(騎士型)(準備),               殴打武器 DGoods\EFFECT_WritingBrush01.bmp 48
毛筆乱舞(騎士型)(攻撃),               斬撃乱舞
毛筆乱舞(騎士型)(命中),               決め文字 "Tres bien!" 黒 Crash.wav 前面 相手ユニットＩＤ
毛筆乱舞(侍型)(準備),                 殴打武器 DGoods\EFFECT_WritingBrush01.bmp 48
毛筆乱舞(侍型)(攻撃),                 斬撃乱舞
毛筆乱舞(侍型)(命中),                 決め文字 "武" 黒 Crash.wav 前面 相手ユニットＩＤ
毛筆乱舞(サンタ型)(準備),             殴打武器 DGoods\EFFECT_WritingBrush01.bmp 48
毛筆乱舞(サンタ型)(攻撃),             斬撃乱舞
毛筆乱舞(サンタ型)(命中),             決め文字 "Ｘ" 黒 Crash.wav 前面 相手ユニットＩＤ
毛筆乱舞(花型)(準備),                 殴打武器 DGoods\EFFECT_WritingBrush01.bmp 48
毛筆乱舞(花型)(攻撃),                 斬撃乱舞
毛筆乱舞(花型)(命中),                 決め文字 "◎" 黒 Crash.wav 前面 相手ユニットＩＤ
# 本来は◎ではなく花丸です。
毛筆乱舞(種型)(準備),                 殴打武器 DGoods\EFFECT_WritingBrush01.bmp 48
毛筆乱舞(種型)(攻撃),                 斬撃乱舞
毛筆乱舞(種型)(命中),                 決め文字 "実" 黒 Crash.wav 前面 相手ユニットＩＤ
毛筆乱舞(砲台型)(準備),               殴打武器 DGoods\EFFECT_WritingBrush01.bmp 48
毛筆乱舞(砲台型)(攻撃),               斬撃乱舞
毛筆乱舞(砲台型)(命中),               決め文字 "撃" 黒 Crash.wav 前面 相手ユニットＩＤ
和弓,                                 和弓
お祓い棒(準備),                       振る武器 Weapon\EFFECT_Tamagushi01.bmp 32
お祓い棒(攻撃),                       白兵武器
お祓い棒(命中),                       落雷
セブンエッジ(準備),                   七支刀
セブンエッジ(攻撃),                   連続なぎ払い
セブンエッジ(命中),                   連続なぎ払い
天叢雲剣,                             斬撃武器 Weapon\EFFECT_AncientBronzeSword01.bmp 32
天羽々斬,                             大剣
#
## レイディアント
#
ビームジッテ,                         ビームナイフ
ライトトンファー(準備),               ライトセイバー 緑 二刀流
ライトトンファー(攻撃),               白兵連撃
ライトトンファー(命中),               ダメージ 緑;ダメージ 緑
レイディアントボウ(準備),             アーチェリーボウ
レイディアントボウ(攻撃),             アーチェリーボウ
レイディアントボウ(命中),             小ビーム 青
ダブルレイブレード(攻撃),             白兵回転
ダブルレイブレード(命中),             回転エナジーブレード
#
## パンキッシュ
#
キーボード(攻撃),                     ピアノ 音符
キーボード(攻撃),                     爆発
ラジオロンドＣＤ,                     ソーサー
エレキベース(準備),                   エレキギター
エレキベース(攻撃),                   エレキギター 音符
エレキベース(命中),                   爆発
ドラムセット(攻撃),                   白兵回転 DrumRoll.wav
ドラムセット(命中),                   爆発
エレキギター,                         殴打武器 Music\EFFECT_ElekiGuitar01.bmp 32
グルービーセッション(準備),           エレキギター partner(0);エレキギター partner(1);ピアノ partner(3)
グルービーセッション(攻撃),           エレキギター 音符 partner(0);エレキギター 音波 partner(1);ピアノ 音符 partner(3);白兵回転 DrumRoll.wav
グルービーセッション(命中),           連続爆発 Applause(2).wav
#
## ドラゴン
#
ヌンチャク,                           ヌンチャク
ドラゴンクロー,                       爪撃
ドラゴンキャノン,                     竜弾銃 Weapon\EFFECT_DragonGun01.bmp 48
ドラゴンブレス,                       超火炎放射器 Weapon\EFFECT_DragonGun01.bmp 48
ドラゴンテイルストライク,             スーパーダイブ
#
## メカ
#
"ヘルゲート",                         レーザーマシンガン(２)
