
一文字號
合体(ゲッター號(前期型)), チェンジゲッタァァァァ・號ォォォッ！！！
ダメージ大(スーパーゲッター號), ゲッター！ 力をくれ！！ お前が死ぬときは、俺達が死ぬときだ！！
ダメージ大, くそっ！！ うっ！！ うおっっっ！！？
ダメージ大, 頼む！！ 動いてくれっ！！！
破壊, ちっきしょぉぉぉぉー！
破壊, くそっ やられちまった
破壊, くそっ！ 駄目か！
破壊, ちっくしょぉぉぉ！！！！！
脱出, だめか！ 脱出する！！
射程外, くそっ とどかねえ！
射程外, ちきしょう、正々堂々勝負しやがれ！
射程外, うっ！ 反撃できねえ！
射程外, しまった！ 反撃できない！
射程外, ちくしょう！ この距離じゃ届かない！
ビーム無効化, 効かないぜっ！
ビーム無効化, ありがとう、ゲッター…俺を守ってくれたんだな……
ビーム無効化, この程度のビーム、ゲッターにはなんともないぜ！
攻撃, くたばれっ！！
攻撃, いけーっ！！
攻撃, イチかバチかだ！
攻撃, いくぜェ！
攻撃, いくぜっ！！！
攻撃, たたっ切ってやる！！
攻撃, 覚悟しやがれ！！
攻撃(ゲッター號(前期型)), 見せてやるぜ！！ 俺達の魂を！！！
攻撃(ゲッター號), 見せてやるぜ！！ 俺達の魂を！！！
攻撃(スーパーゲッター號), 見せてやるぜ！！ 俺達の魂を！！！
攻撃, てやぁぁぁ！！
攻撃, 覚悟ォォォ！！！
攻撃, 俺達の青春を！ お前に叩き付けてやる！！！
攻撃(反撃), こいつはお返しだ！！
攻撃(反撃), 今度はこっちから行くぜ！！
かけ声, ゲッター！ お前と俺は一心同体！！ いけっ！！！
かけ声(ゲッター號(前期型)), 見せてやるぜ！！ 俺達の魂を！！！
かけ声(ゲッター號), 見せてやるぜ！！ 俺達の魂を！！！
かけ声(スーパーゲッター號), 見せてやるぜ！！ 俺達の魂を！！！
かけ声, くたばれっ！！
かけ声, いけーっ！！
かけ声, いくぜェ！
かけ声, いくぜっ！！！
かけ声, てやぁぁぁ！！
かけ声, 覚悟ォォォ！！！
かけ声(ゲッター號(前期型)), 俺達の青春を！ お前に叩き付けてやる！！！
かけ声(ゲッター號), 俺達の青春を！ お前に叩き付けてやる！！！
かけ声(スーパーゲッター號), 俺達の青春を！ お前に叩き付けてやる！！！
かけ声(反撃), こいつはお返しだ！！
かけ声(反撃), 今度はこっちから行くぜ！！
かけ声(反撃), さっきのお返しだ、遠慮はいらねえ取っときな！！
ソードトマホーク, むうぅぅん！;むうぅぅん！ .ソォォォド・トマホォォォクッ！！！;とぉりゃぁぁぁッッ！！！
ソードトマホーク, むうぅぅん！;むうぅぅん！ .ソォォォド・トマホォォォクッ！！！;この一撃にかけるッ！ .たりゃぁぁぁぁッ！！！！
ソードトマホーク, むうぅぅん！;むうぅぅん！ .ソォォォド・トマホォォォクッ！！！;こいつが最後の決め手だぜっ！ .てやぁぁぁぁぁぁぁっ！！！
ソードトマホーク, むうぅぅん！;むうぅぅん！ .ソォォォド・トマホォォォクッ！！！;これまでのおかえしだっ！！ .遠慮はいらねえ、取っときなっっ！！
マグフォースサンダー, マグフォォォスサンダァァァッ！！！
フィンカッター, フィィィンカッタァァァ！！
レッグブレード, レッグブレェェェェド！！
ブーメランソーサー, ブゥゥゥメランソォォォサァァァッ！！
ナックルボンバー, ナックルボンバァァァッ！！
ダブルナックルボンバー, ダブルナックルボンバァァァッ！！
ダブルナックルボンバー, ナックルボンバァァァッ！！;今だ、もういっちょうッ！！ .ダブルナックルボンバァァァッ！！！
ハイパーモード(スーパーゲッター號), 目にもの見せてやるぜっ！！;Ｇ！！ アァァァムライザァァァッ！！！
変形(スーパーゲッター號=>ゲッター號), Ｇアァァァムライザァァァッ！！ オォォォフ！！！


大道剴
合体(ゲッター剴(前期型)), チェェェンジゲッタァァァ！ ガァァァイッ！！
合体(ゲッター剴(前期型)), チェェェンジゲッタァァァ・剴ッ！！
合体(ゲッター剴), チェェェンジゲッタァァァ！ ガァァァイッ！！
合体(ゲッター剴), チェェェンジゲッタァァァ・剴ッ！！
分離(ゲッター剴(前期型)), チェェェンジゲッタァァァ！ オォォォフ！！
分離(ゲッター剴), チェェェンジゲッタァァァ！ オォォォフ！！
回避, おっと！ 甘いぜ！
回避, こんなものっ！！
回避, あぶないっ！
回避, 甘いぜ！
回避, 自分はここだっ！！
回避, ふぅ…あぶなかったな！
ダメージ小, まだまだっ！！
ダメージ小, くっそお！！
ダメージ小, やるな！ だがゲッターにはまだまだだ！！
ダメージ小, まだだ！
ダメージ小, 被弾？ 損壊$(損傷率)％…なら、まだまだいける！！
ダメージ小, この程度のダメージなど！
ダメージ小, なんの！！
ダメージ小, まだまだ！！ 勝負はこれからだ！！
ダメージ小, く…やるな！
ダメージ中, 被弾？ 損壊$(損傷率)％…まだまだいける！！
ダメージ中, くっ！ なんのこれしき！！
ダメージ中, ぬおっ！？ ダメージ$(損傷率)％？？ .だが、まだまだあきらめないぞ！！
ダメージ中, ぬおっ！？ ダメージ$(損傷率)％？？ .だが、この程度なら、まだ！！
ダメージ中, やるな！ だがまだ！！
ダメージ中, どわぁ！！ だ、だがこんなものでゲッターは落ちないぞ！！
ダメージ中, くっ！ ま、まだいける！
ダメージ中, やるな！ しかし！！
ダメージ中, なにっ！ こ、こいつ！
ダメージ中(ゲッター剴(前期型)), ぬうっ！！ だが、ゲッターの力は、自分達の力はこんなものじゃないんだ！！
ダメージ中(ゲッター剴), ぬうっ！！ だが、ゲッターの力は、自分達の力はこんなものじゃないんだ！！
ダメージ中, っばかなぁ！？
ダメージ中, くうっ！ この程度で落ちるものかっ！！
ダメージ中, くっ！ だがこの程度ならまだいける！
ダメージ大, うわぁぁぁぁ！！！
ダメージ大, うぉおおっ！？ 出力$(100 - $(損傷率))％！！ .や、やばい、このままでは！？
ダメージ大, うっくわっっ！？ 機体の損壊$(損傷率)％……かなりひどい！
ダメージ大, ぐわっ！！ まずい！ このままでは自分もゲッターも……！！
ダメージ大, ぐっ！ ダメージを受けすぎたか！？
ダメージ大, ぐっ…まずい…
ダメージ大, うわぁぁぁっ！！
ダメージ大, うわあああああッ！！！
ダメージ大, 自分はまだ！！ 燃え尽きちゃいない！！
ダメージ大(ゲッター剴(前期型)), じ、自分達は！！ 自分達はまだやられるわけにはいかないんだ！！
ダメージ大(ゲッター剴), じ、自分達は！！ 自分達はまだやられるわけにはいかないんだ！！
破壊, しまった！？ ゲ、ゲッターが！？
破壊, くっ！ しまったっ！！
破壊, し、しまったっ！！
破壊, 手も足も出ないのか…？
射程外, くそっ、この距離では！！
射程外, くそっ、だめか！？
射程外, 駄目だ、手が出せないっ！！
射程外, くそ、遠すぎるか
射程外, 駄目だ、この距離では反撃できない！
ビーム無効化, ビームなど！
ビーム無効化, ムダだっ！！
攻撃, くらえ！
攻撃, いくぜぇ！！
攻撃, これならどうだ！
攻撃, よし、いくぞ！
攻撃, よし、とどめだ！
攻撃, 自分に！！ この大道剴にまかせろっ！！
攻撃(ゲッター剴(前期型)), ゲッター！！ お前に賭ける！！！
攻撃(ゲッター剴), ゲッター！！ お前に賭ける！！！
攻撃(反撃), 今度はこっちの番だ！！
攻撃(反撃), 今度はこっちから行くぞ！！
攻撃(反撃), お返しだ！！ いくぞ！
かけ声, 自分に！！ この大道剴にまかせろっ！！
かけ声, くらえ！
かけ声, いくぜぇ！！
かけ声, これならどうだ！
かけ声, よし、いくぞ！
かけ声, よし、とどめだ！
かけ声(ゲッター剴(前期型)), ゲッター！！ お前に賭ける！！！
かけ声(ゲッター剴), ゲッター！！ お前に賭ける！！！
かけ声(反撃), これまでの借りは返させてもらう！！
かけ声(反撃), 今度はこっちから行くぞ！！
かけ声(反撃), お返しだ！！ いくぞ！
かけ声(反撃), いつまでもやられてる自分じゃないぜ！！
ブレストビーム, ブレストビィィィム！！！
ハープンキャノン, ハァァプゥゥゥンキャノォォォン！！！
ハープンキャノン, ミサイルハァプゥンキャノォォォン！！！
インパクトキャノン, インパクトキャノォォォン！！！
トマホークブーメラン, トマホォォォクブゥメランッ！！！
トマホークブーメラン, トマホォォォォクブゥゥメラン！！！

橘翔
合体(ゲッター翔(前期型)), チェェェェンジゲッタァァァァ・翔ォォォッ！！
合体(ゲッター翔), チェェェェンジゲッタァァァァ・翔ォォォッ！！
分離(ゲッター翔(前期型)), チェェェェンジゲッタァァァァ・オォォフ！！
分離(ゲッター翔), チェェェェンジゲッタァァァァ・オォォフ！！
分離(ゲッター翔(前期型)), チェンジ・ゲッター・オフ！！
分離(ゲッター翔), チェンジ・ゲッター・オフ！！
回避, まだ！ あたらないわよ！
回避, あたらない！！
回避, その程度！ 余裕よ！！
回避, そんな攻撃が当たるとおもってるの！？
回避, さあ！ どっからでもかかってきな！！
回避, やられるわけにはいかないのよ！！
回避(ゲッター翔(前期型)), 兄さんの残したゲッターロボ……こんな攻撃通用しないわ！！
回避(ゲッター翔), 兄さんの残したゲッターロボ……こんな攻撃通用しないわ！！
ダメージ小, もっと気合を入れないと、ボクはやられないよ！
ダメージ小, やられるもんか！！
ダメージ小, この程度なら、全然効いてない！！
ダメージ小, これくらいどうってことない！！
ダメージ小, う！ ……まだまだ！！
ダメージ中, うっ！！ な、何！？
ダメージ中, や、やってくれたわね……！！
ダメージ中, うわぁぁあ！？ ……や、やってくれる！！
ダメージ中, ボクはまだ、負けるわけにはっ！！！
ダメージ中, う、嘘？
ダメージ中(ゲッター翔(前期型)), お願い、もって！ ゲッターロボ！！
ダメージ中(ゲッター翔), お願い、もって！ ゲッターロボ！！
ダメージ中, うわぁぁぁッ！！ こ、このままじゃゲッターがもたない！！
ダメージ中, さ、最後まで…最後まで戦わせてッ！！
ダメージ大, うわぁッッ！！！ まだ！ まだ終わってないわ！！！
ダメージ大, こ、この……ま、まだよ！！
ダメージ大, ボク達は、まだやられるわけにはいかない！！
ダメージ大, はぁぁ、はああ！！！！
ダメージ大, あああっっ！！ だ、ダメッ！！！ こんなことでくたばっては…………！！
ダメージ大, ああああっっ！！ ……に、兄さん……！！
破壊, も、もうだめっ！！
破壊, きゃあぁぁぁ！
脱出, ごめんなさい、脱出します！
射程外, ちょっとあんた卑怯だよ！
射程外, うっ！ だめか！？
射程外, どこから攻撃してくる？ この卑怯者！！
ビーム無効化, 効かないよ！
攻撃, ボクが相手だ！！
攻撃, これでもくらいなさいっ！
攻撃, 観念しなさい！！
攻撃, これでどう！？
攻撃, やらせるもんか！
攻撃(反撃), さあ、こんどはボクの番だ！！
攻撃(反撃), お返しよ！！
かけ声, ボクが相手だ！！
かけ声, これでもくらいなさいっ！
かけ声, 観念しなさい！！
かけ声, これでどう！？
かけ声, やらせるもんか！
かけ声(反撃), さあ、こんどはボクの番だ！！
かけ声(反撃), お返しよ！！
かけ声(反撃), よくもやってくれたね！！
ストリングアタック, ストリングアタァァァック！！！
ブレストボンバー, ブレストボンバァァァッ！！！
トルネードアタック, トルネェドアタァァァック！！！
発進, $(機体)発進！！



